Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.2,30.5,21.2,30.7,20.47013583333333
2015.0,0.2,19.0,21.1,27.5,16.000122083333334
2015.0,0.0,30.9,22.3,31.4,16.393530416666668
2015.0,0.0,22.1,22.9,33.8,19.547528437499995
2015.0,0.0,16.5,20.6,25.8,20.144548125
2015.0,0.0,30.4,21.3,28.8,20.49472364583333
2015.0,0.0,30.4,22.2,31.5,20.20513364583333
2015.0,0.0,31.7,21.4,30.8,16.46954208333332
2015.0,0.0,22.3,22.4,33.3,20.1781353125
2015.0,0.4,15.4,21.7,28.4,19.8186378125
2015.0,20.6,3.2,20.3,23.1,21.22625375
2015.0,7.2,15.8,20.3,23.2,16.211772187500006
2015.0,4.6,21.5,19.0,29.9,16.729402500000003
2015.0,1.0,29.7,21.1,35.0,20.33192958333334
2015.0,0.0,30.2,22.0,27.1,21.558913437500014
2015.0,0.0,27.2,21.1,29.1,20.20995395833333
2015.0,0.0,32.1,21.2,35.8,16.63112447916666
2015.0,0.0,30.6,21.5,27.2,16.414291458333327
2015.0,0.4,5.4,20.5,23.0,16.38987937500001
2015.0,3.6,18.8,18.4,27.1,15.911056770833335
2015.0,13.0,27.6,19.5,29.1,12.58451395833334
2015.0,0.0,28.3,22.3,29.3,13.381166666666672
2015.0,0.0,28.6,23.4,31.7,16.419874999999994
2015.0,0.0,27.7,23.2,31.6,20.414531666666672
2015.0,0.6,27.0,21.6,36.6,16.467900416666666
2015.0,0.4,3.7,19.8,21.1,16.275318958333333
2015.0,18.4,3.6,18.6,20.6,16.271489895833337
2015.0,43.2,4.5,16.9,21.5,12.640995104166675
2015.0,6.2,28.7,15.2,21.7,13.008607083333324
2015.0,0.0,27.7,14.3,25.2,16.136346770833335
2015.0,0.0,29.4,17.0,25.6,16.4345540625
2015.0,0.0,21.7,19.6,25.2,20.673749270833333
2015.0,0.0,26.3,19.4,22.7,17.055538541666657
2015.0,0.0,27.8,20.0,24.0,16.934756145833333
2015.0,0.0,23.3,17.6,23.5,17.039583229166663
2015.0,2.0,11.1,18.7,24.0,16.92757635416667
2015.0,0.0,17.9,18.1,25.8,13.229270000000026
2015.0,0.0,21.2,19.2,27.7,13.419459270833327
2015.0,0.0,28.2,19.6,33.1,16.586928125000004
2015.0,0.0,14.2,21.8,27.1,16.82418562500001
2015.0,0.0,22.7,22.0,28.8,16.69366958333334
2015.0,0.2,25.2,22.1,30.7,16.85322458333334
2015.0,0.0,23.1,21.7,30.2,13.50992770833333
2015.0,22.2,16.8,20.2,27.0,12.831821666666658
2015.0,1.0,17.5,21.0,29.5,13.2417175
2015.0,1.0,22.8,19.6,29.1,16.229207187500002
2015.0,0.0,24.6,22.5,29.8,16.784775624999998
2015.0,0.0,26.4,22.4,29.8,16.665269166666665
2015.0,0.0,25.3,22.8,30.0,13.961943020833331
2015.0,0.2,17.1,22.0,27.5,17.134517604166675
2015.0,0.0,15.0,21.5,27.4,17.505480520833334
2015.0,5.8,11.7,20.8,24.7,17.398739687500008
2015.0,3.6,21.8,20.5,27.7,17.495270104166664
2015.0,0.0,14.7,21.8,28.0,17.479314374999998
2015.0,0.0,19.1,22.0,24.1,13.352129166666664
2015.0,0.0,12.2,19.7,23.6,13.951572708333332
2015.0,11.4,13.4,19.5,28.4,16.641494895833336
2015.0,0.6,22.8,21.2,27.0,17.199615833333336
2015.0,0.0,19.7,20.3,29.4,17.167705000000016
2015.0,0.0,18.3,21.5,37.9,17.382784687500003
2015.0,10.6,15.1,18.6,24.2,17.085216562499994
2015.0,0.0,19.8,17.9,28.7,12.84299020833334
2015.0,0.0,19.0,21.4,28.4,12.3936871875
2015.0,0.0,22.6,19.6,27.5,16.73387708333335
2015.0,0.0,23.7,16.5,30.5,17.522553958333344
2015.0,0.2,17.9,18.3,27.0,17.335716250000004
2015.0,0.0,20.6,19.7,24.6,17.268223958333337
2015.0,0.0,23.7,20.0,31.3,13.360584062499994
2015.0,0.0,8.9,21.4,25.5,14.440446145833336
2015.0,0.0,20.4,21.2,30.2,17.697903229166656
2015.0,0.2,20.1,20.5,25.6,17.305879374999993
2015.0,0.2,4.0,20.2,22.6,17.874689375000006
2015.0,2.0,19.9,16.2,24.8,16.864232916666676
2015.0,0.0,15.3,17.4,22.8,14.29174166666666
2015.0,7.2,17.0,17.3,23.8,17.47037875
2015.0,0.0,12.2,15.6,25.3,17.82857885416666
2015.0,0.0,17.5,19.1,29.8,17.732526145833337
2015.0,0.0,21.4,19.9,28.1,17.642698333333332
2015.0,0.0,14.9,20.3,30.7,16.97049645833334
2015.0,3.6,8.7,18.1,23.4,13.173746458333335
2015.0,1.4,7.7,18.4,25.3,13.781966666666676
2015.0,3.2,17.6,18.6,28.2,17.513618333333344
2015.0,0.0,5.3,20.4,26.5,17.678118125000008
2015.0,14.6,17.8,15.2,23.2,17.54201947916667
2015.0,0.0,20.1,17.9,29.2,17.414694166666674
2015.0,0.0,21.1,14.0,27.1,17.395708124999995
2015.0,0.0,19.8,15.1,23.1,13.482004270833338
2015.0,0.0,17.0,15.3,26.4,14.13394239583333
2015.0,0.0,8.4,17.9,24.4,16.9765584375
2015.0,9.6,7.3,16.5,23.8,17.371614270833323
2015.0,22.6,11.9,17.7,27.0,17.448201562500003
2015.0,0.0,13.4,19.0,31.0,17.48617583333333
2015.0,0.6,3.3,17.7,19.8,13.427117916666676
2015.0,17.6,3.3,17.5,19.7,13.97343208333333
2015.0,14.0,16.2,15.8,23.2,17.411982916666666
2015.0,0.0,13.6,15.5,25.7,17.59786239583333
2015.0,2.6,14.0,15.2,24.3,17.086333125000003
2015.0,0.4,13.3,14.6,23.0,13.46253906249999
2015.0,0.0,12.5,15.2,20.4,14.128837500000005
2015.0,0.4,13.1,14.7,20.3,16.99570510416667
