year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,1.36057,1.36057,1.36057,1.36057,1.36057,1.36057,1.36057,1.36057,1.36057,1.36057,1.36057,1.32962,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.14877,1.12802,0.93722,0.93722,0.93722,0.93722,0.93722,0.93722,0.93722,0.93722,0.93722,0.93722,0.93722,1.11506,1.15202,1.15202,1.15202,1.15202,1.15202,1.15202,1.15202,1.26501,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.36919,1.2250363541666673
2023,1.35709,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.13856,1.15363,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.35074,1.52951,1.57616,1.57616,1.44335,1.4177,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.57551,1.54582,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.58585,1.404086874999998
2023,1.41248,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.37823,1.53004,1.58925,1.58925,1.58925,1.58925,1.58925,1.58925,1.58925,1.58925,1.58925,1.41504,1.38032,1.38032,1.38032,1.38032,1.51498,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.59094,1.58523,1.4882002083333339
2023,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.37208,1.44048,1.42245,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.37731,1.45624,1.48314,1.48314,1.48314,1.48314,1.48314,1.48314,1.63686,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.68932,1.56204,1.48014,1.48014,1.48014,1.48014,1.48014,1.48014,1.48014,1.48014,1.4719719791666657
2023,1.48014,1.48014,1.48014,1.48014,1.48014,1.44944,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.26885,1.2706,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.47805,1.58328,1.70856,1.64778,1.5072,1.68369,1.68369,1.61081,1.47398,1.49773,1.68645,1.68645,1.47689,1.47621,1.47621,1.47621,1.66403,1.69482,1.69482,1.60997,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4622606250000005
2023,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.4872,1.35022,1.27254,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.2283,1.34629,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.401811979166669
2023,1.43631,1.43631,1.43631,1.43631,1.43631,1.43631,1.41617,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.23027,1.38611,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.47019,1.3266806250000007
2023,1.41242,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.2618,1.1495,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.16374,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2317672916666644
2023,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.2635,1.15216,1.05614,1.05614,1.15748,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.26599,1.45959,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.48734,1.59514,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.6939,1.61553,1.48314,1.48314,1.48314,1.48314,1.48314,1.48314,1.48314,1.4578843750000001
2023,1.48314,1.48314,1.48314,1.48314,1.48314,1.48314,1.32563,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.27487,1.41388,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.49401,1.45631,1.38115,1.49296,1.31014,1.28286,1.39715,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.51481,1.450634166666667
