year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2019,10.90857,10.51223,10.05928,10.56885,11.36152,11.09729,10.43674,9.83281,9.22887,9.68182,8.98352,8.88916,8.53057,8.26635,8.03988,7.77566,7.77566,7.96439,7.98326,8.07762,8.49283,8.98352,9.83281,10.34238,11.26715,12.11643,12.9091,12.98459,13.66402,14.24908,14.7209,15.02287,15.06061,15.02287,14.89076,15.04174,15.26822,15.26822,15.23047,15.2116,15.17385,14.98512,14.83414,14.85301,14.90963,14.94738,14.89076,14.9285,14.85301,14.75865,14.55104,14.49443,14.70203,14.81527,14.9285,14.75865,14.79639,14.98512,14.83414,14.73977,14.81527,14.73977,14.68316,14.66428,14.47555,14.49443,14.45668,14.58879,14.75865,15.24934,15.70229,15.75891,15.57018,15.28709,15.28709,15.17385,14.49443,14.24908,13.87162,13.70176,13.34318,13.04121,12.626,12.30516,11.96545,11.53137,11.36152,11.04068,11.04068,10.51223,10.399,9.88943,11.77672,11.47475,11.70123,11.07842,0,12.674256288659794
2019,10.71984,10.3235,9.9083,10.399,11.17279,11.00293,10.26689,9.66295,9.26662,9.53084,8.77592,8.77592,8.34184,8.07762,7.92664,7.90777,7.71904,7.70016,7.90777,8.05875,8.32297,8.96465,9.81393,10.24801,11.15391,12.04094,12.83361,12.85248,13.64514,14.41893,14.77752,15.02287,15.32484,15.28709,15.49469,15.28709,15.19273,15.11723,15.19273,15.2116,15.28709,15.09836,15.60793,15.45695,14.9285,15.06061,15.09836,15.30596,14.77752,15.04174,14.68316,14.87188,15.32484,15.24934,15.15498,15.34371,15.26822,15.11723,15.17385,15.13611,15.04174,14.9285,14.9285,14.87188,14.77752,14.58879,14.73977,14.75865,14.47555,15.06061,15.83441,15.92877,15.68342,15.55131,15.51357,15.07949,14.66428,14.41893,14.13584,13.75838,13.38092,13.21107,12.96572,12.38066,12.07869,11.62574,11.47475,11.3049,11.28602,10.8142,10.6066,10.00266,12.05982,11.7201,11.85221,11.26715,1,12.787685670103093
2019,10.83307,10.51223,10.05928,10.45561,11.28602,11.21053,10.45561,9.64408,9.13451,9.49309,8.96465,8.75705,8.24748,8.19086,8.00213,7.90777,7.73791,7.92664,7.92664,8.00213,8.60607,9.0024,9.68182,10.24801,11.11617,12.02207,12.7015,12.87135,13.66402,14.5133,14.87188,14.9285,15.17385,15.11723,14.89076,14.98512,15.30596,15.30596,15.23047,15.11723,15.17385,15.04174,15.13611,15.09836,15.32484,15.51357,15.30596,15.19273,15.49469,15.4192,15.15498,15.09836,15.32484,15.32484,15.38145,15.51357,15.6268,15.77779,15.81553,15.92877,15.75891,15.6268,15.60793,15.47582,15.38145,15.2116,14.98512,15.06061,15.13611,15.79666,16.21186,16.28736,16.30623,16.19299,15.83441,15.53244,15.19273,15.004,14.83414,14.55104,14.17359,13.73951,13.62627,13.17332,12.66375,11.73898,11.5125,11.0218,11.09729,10.71984,10.399,9.75732,11.83334,11.45588,11.55025,11.04068,2,12.981860515463918
2019,10.71984,10.19139,9.64408,10.399,11.09729,10.96518,10.30463,9.66295,9.21,9.45535,8.7193,8.73818,8.34184,8.07762,7.94551,7.73791,7.70016,7.75678,7.79453,8.05875,8.34184,8.88916,9.37986,9.83281,10.83307,11.87109,12.72037,12.72037,13.58852,14.34344,14.66428,15.07949,15.53244,15.58906,15.40033,15.79666,15.85328,15.87215,15.77779,15.79666,15.94764,15.87215,15.92877,16.00426,16.49496,16.3251,16.15525,16.5327,16.17412,15.96652,15.83441,15.6268,15.57018,15.57018,15.70229,15.58906,15.55131,15.24934,15.23047,15.2116,15.004,14.81527,14.62654,14.70203,14.62654,14.3057,14.09809,14.3057,14.32457,14.53217,14.83414,14.75865,14.34344,14.06035,13.73951,13.56965,13.3243,13.28656,12.9091,12.75811,12.38066,11.98432,11.81447,11.45588,11.13504,10.83307,10.85195,10.64434,10.66322,10.34238,10.15365,9.71957,11.77672,11.60686,11.64461,11.26715,3,12.69214824742268
2019,10.87082,10.51223,9.98379,10.399,11.09729,10.98406,10.22914,9.68182,9.19113,9.32324,8.60607,8.56832,8.20973,7.88889,7.8134,7.53031,7.62467,7.37932,7.41707,7.53031,7.71904,7.87002,8.19086,8.5117,9.17225,9.54971,9.83281,10.09703,10.6066,11.19166,11.53137,11.79559,12.02207,12.19193,12.51277,12.64488,12.75811,12.81473,12.73924,12.68262,12.64488,12.7015,12.64488,12.53164,12.47502,12.32404,12.36178,12.13531,11.94658,11.88996,11.83334,11.85221,11.68236,11.64461,11.68236,11.66348,11.58799,11.47475,11.7201,11.7201,11.7201,11.85221,12.07869,12.04094,11.88996,12.24854,12.34291,12.55051,12.77699,13.43754,13.90936,13.94711,13.72063,13.58852,13.30543,12.9091,12.66375,12.30516,12.15418,12.11643,11.62574,11.5125,11.26715,11.00293,10.79533,10.49336,10.38012,10.38012,10.38012,10.36125,10.28576,9.85168,12.0032,11.94658,12.0032,11.55025,4,11.043194226804129
2019,11.04068,10.68209,10.28576,10.73871,11.43701,11.38039,10.71984,10.22914,9.68182,10.02154,9.28549,9.09676,8.60607,8.24748,8.03988,7.79453,7.73791,7.73791,7.56805,7.45482,7.73791,7.75678,7.77566,8.17199,8.45508,8.87029,9.11564,9.17225,9.58746,10.05928,10.36125,10.6066,10.98406,10.98406,11.24828,11.28602,11.56912,11.60686,11.79559,11.9277,11.94658,11.9277,11.87109,11.53137,11.70123,11.66348,11.64461,11.45588,11.41813,11.45588,11.3049,11.22941,11.24828,10.96518,11.15391,11.19166,11.04068,11.00293,11.11617,11.22941,11.24828,11.47475,11.56912,11.7201,11.53137,11.79559,12.0032,12.28629,12.77699,13.3243,13.98486,14.36232,14.32457,14.28682,14.19246,13.87162,13.43754,13.15445,12.94684,12.64488,12.19193,11.85221,11.60686,11.3049,11.15391,10.90857,10.62547,10.49336,10.53111,10.05928,9.88943,9.47422,11.49363,11.24828,11.5125,11.11617,5,10.849014639175257
2019,10.75758,10.34238,9.88943,10.399,11.15391,11.21053,10.6066,9.98379,9.28549,9.60633,8.96465,9.02127,8.49283,8.22861,8.021,8.00213,7.70016,7.70016,7.90777,7.98326,8.47395,8.98352,9.45535,10.36125,11.38039,12.4184,13.09783,13.45641,14.11697,14.90963,15.30596,15.40033,15.60793,15.74004,15.4192,15.4192,15.68342,15.4192,15.34371,15.26822,15.2116,15.15498,15.02287,15.06061,14.87188,15.07949,15.17385,15.17385,15.23047,15.17385,14.9285,14.83414,15.004,14.94738,15.04174,15.06061,14.90963,14.98512,15.09836,14.94738,14.77752,14.70203,14.73977,14.56992,14.53217,14.53217,14.75865,15.13611,15.19273,15.70229,16.15525,16.40059,16.07975,16.02313,15.64568,15.38145,14.98512,14.58879,14.13584,13.815,13.51303,13.24881,12.85248,12.64488,12.2108,11.87109,11.66348,11.34264,11.22941,10.75758,10.6066,10.15365,12.05982,11.73898,11.75785,11.3049,6,12.93028927835052
2019,10.96518,10.51223,9.98379,10.38012,11.21053,11.09729,10.47449,9.85168,9.60633,9.71957,8.85141,8.85141,8.36072,8.021,7.98326,7.83227,7.79453,7.98326,8.05875,8.11537,8.64381,9.09676,9.9083,10.38012,11.09729,12.04094,12.79586,13.3243,13.77725,14.19246,14.60766,15.07949,15.66455,15.83441,15.87215,15.83441,15.83441,15.96652,15.64568,15.85328,15.49469,15.58906,15.43807,15.28709,15.2116,15.28709,15.13611,15.26822,15.32484,15.58906,14.64541,14.73977,14.94738,15.004,15.24934,15.45695,14.9285,15.19273,15.28709,15.15498,14.96625,14.96625,14.89076,14.83414,14.75865,14.77752,14.62654,14.83414,15.17385,15.81553,16.21186,16.26848,15.83441,15.74004,15.72117,15.45695,14.96625,14.89076,14.7209,14.28682,13.89049,13.58852,13.26768,13.13557,12.55051,12.17305,11.81447,11.73898,11.64461,11.11617,10.87082,10.45561,12.38066,12.02207,12.07869,11.43701,7,13.054030927835056
2019,11.04068,10.68209,10.17252,10.70096,11.38039,11.32377,10.77645,10.17252,9.77619,9.88943,9.05902,8.94578,8.54945,8.32297,8.24748,8.021,8.021,8.021,8.19086,8.49283,8.75705,9.34211,9.9083,10.38012,11.26715,12.22967,13.15445,13.56965,13.85275,14.49443,15.07949,15.30596,15.81553,15.53244,15.36258,15.57018,15.53244,15.53244,15.26822,15.19273,15.30596,14.94738,15.11723,14.81527,14.90963,15.15498,14.90963,15.04174,15.15498,15.30596,14.96625,15.09836,15.06061,14.94738,14.96625,15.23047,15.13611,15.24934,15.17385,15.17385,14.94738,15.004,14.89076,14.94738,14.89076,14.58879,14.7209,15.02287,15.40033,15.98539,16.19299,16.09863,15.6268,15.57018,15.49469,15.2116,14.89076,14.45668,14.26795,13.92824,13.53191,13.39979,12.89023,12.68262,12.24854,11.79559,11.66348,11.39926,11.19166,10.8142,10.58773,9.9083,11.9277,11.73898,11.9277,11.36152,8,13.008305154639173
2019,10.96518,10.51223,10.04041,10.47449,11.21053,11.13504,10.54998,10.04041,9.4176,9.73844,8.83254,8.75705,8.60607,8.24748,8.11537,7.96439,7.85115,7.83227,8.021,8.11537,8.60607,9.15338,9.81393,10.47449,11.15391,12.05982,12.77699,13.1167,13.68289,14.45668,15.23047,15.57018,15.75891,15.75891,15.96652,15.87215,16.15525,15.94764,15.77779,15.58906,15.49469,15.26822,15.19273,15.004,14.96625,14.94738,15.09836,14.98512,15.19273,15.02287,14.75865,14.66428,15.11723,15.04174,15.26822,15.13611,15.19273,15.23047,15.07949,15.04174,15.04174,15.07949,14.87188,14.73977,14.79639,14.79639,15.07949,15.13611,15.15498,15.79666,16.38172,16.55158,16.58932,16.85354,16.89129,16.51383,16.19299,16.00426,15.49469,15.32484,15.28709,14.68316,14.49443,14.53217,13.75838,12.83361,12.55051,12.15418,12.09756,11.79559,11.3049,10.51223,12.47502,12.43727,12.47502,11.88996,9,13.284781340206182
