year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,Date_01DEC2022,Date_01FEB2023,Date_01JAN2023,Date_01JUL2022,Date_01JUN2022,Date_01MAR2023,Date_01MAY2022,Date_01NOV2022,Date_02AUG2022,Date_02DEC2022,Date_02FEB2023,Date_02JAN2023,Date_02JUL2022,Date_02JUN2022,Date_02MAR2023,Date_02MAY2022,Date_02NOV2022,Date_03AUG2022,Date_03DEC2022,Date_03FEB2023,Date_03JAN2023,Date_03JUL2022,Date_03JUN2022,Date_03MAR2023,Date_03MAY2022,Date_03NOV2022,Date_04AUG2022,Date_04DEC2022,Date_04FEB2023,Date_04JAN2023,Date_04JUL2022,Date_04MAR2023,Date_04MAY2022,Date_04NOV2022,Date_05AUG2022,Date_05DEC2022,Date_05FEB2023,Date_05JAN2023,Date_05JUL2022,Date_05MAR2023,Date_05MAY2022,Date_05NOV2022,Date_06AUG2022,Date_06DEC2022,Date_06FEB2023,Date_06JAN2023,Date_06JUL2022,Date_06MAR2023,Date_06MAY2022,Date_06NOV2022,Date_07AUG2022,Date_07DEC2022,Date_07FEB2023,Date_07JAN2023,Date_07JUL2022,Date_07MAR2023,Date_07MAY2022,Date_07NOV2022,Date_08AUG2022,Date_08DEC2022,Date_08FEB2023,Date_08JAN2023,Date_08JUL2022,Date_08MAR2023,Date_08MAY2022,Date_08NOV2022,Date_09AUG2022,Date_09DEC2022,Date_09FEB2023,Date_09JAN2023,Date_09JUL2022,Date_09MAR2023,Date_09MAY2022,Date_09NOV2022,Date_10AUG2022,Date_10DEC2022,Date_10FEB2023,Date_10JAN2023,Date_10JUL2022,Date_10MAR2023,Date_10MAY2022,Date_10NOV2022,Date_11AUG2022,Date_11DEC2022,Date_11FEB2023,Date_11JAN2023,Date_11JUL2022,Date_11MAR2023,Date_11MAY2022,Date_11NOV2022,Date_12AUG2022,Date_12DEC2022,Date_12FEB2023,Date_12JAN2023,Date_12JUL2022,Date_12JUN2022,Date_12MAR2023,Date_12MAY2022,Date_12NOV2022,Date_13AUG2022,Date_13DEC2022,Date_13FEB2023,Date_13JAN2023,Date_13JUL2022,Date_13JUN2022,Date_13MAR2023,Date_13MAY2022,Date_13NOV2022,Date_14AUG2022,Date_14DEC2022,Date_14FEB2023,Date_14JAN2023,Date_14JUL2022,Date_14JUN2022,Date_14MAR2023,Date_14MAY2022,Date_14NOV2022,Date_15AUG2022,Date_15DEC2022,Date_15FEB2023,Date_15JAN2023,Date_15JUL2022,Date_15JUN2022,Date_15MAR2023,Date_15MAY2022,Date_15NOV2022,Date_16AUG2022,Date_16DEC2022,Date_16FEB2023,Date_16JAN2023,Date_16JUL2022,Date_16JUN2022,Date_16MAR2023,Date_16MAY2022,Date_16NOV2022,Date_17AUG2022,Date_17DEC2022,Date_17FEB2023,Date_17JAN2023,Date_17JUL2022,Date_17JUN2022,Date_17MAR2023,Date_17MAY2022,Date_17NOV2022,Date_18AUG2022,Date_18DEC2022,Date_18FEB2023,Date_18JAN2023,Date_18JUL2022,Date_18JUN2022,Date_18MAR2023,Date_18MAY2022,Date_18NOV2022,Date_19AUG2022,Date_19DEC2022,Date_19FEB2023,Date_19JAN2023,Date_19JUL2022,Date_19JUN2022,Date_19MAR2023,Date_19MAY2022,Date_19NOV2022,Date_20AUG2022,Date_20DEC2022,Date_20FEB2023,Date_20JAN2023,Date_20JUL2022,Date_20JUN2022,Date_20MAR2023,Date_20MAY2022,Date_20NOV2022,Date_21AUG2022,Date_21DEC2022,Date_21FEB2023,Date_21JAN2023,Date_21JUL2022,Date_21JUN2022,Date_21MAR2023,Date_21MAY2022,Date_21NOV2022,Date_22AUG2022,Date_22DEC2022,Date_22FEB2023,Date_22JAN2023,Date_22JUL2022,Date_22JUN2022,Date_22MAR2023,Date_22MAY2022,Date_22NOV2022,Date_23AUG2022,Date_23DEC2022,Date_23FEB2023,Date_23JAN2023,Date_23JUL2022,Date_23JUN2022,Date_23MAR2023,Date_23MAY2022,Date_23NOV2022,Date_24AUG2022,Date_24DEC2022,Date_24FEB2023,Date_24JAN2023,Date_24JUL2022,Date_24JUN2022,Date_24MAR2023,Date_24MAY2022,Date_24NOV2022,Date_25AUG2022,Date_25DEC2022,Date_25FEB2023,Date_25JAN2023,Date_25JUL2022,Date_25JUN2022,Date_25MAR2023,Date_25MAY2022,Date_25NOV2022,Date_26AUG2022,Date_26DEC2022,Date_26FEB2023,Date_26JAN2023,Date_26JUL2022,Date_26JUN2022,Date_26MAR2023,Date_26MAY2022,Date_26NOV2022,Date_27DEC2022,Date_27FEB2023,Date_27JAN2023,Date_27JUL2022,Date_27JUN2022,Date_27MAR2023,Date_27MAY2022,Date_27NOV2022,Date_28AUG2022,Date_28DEC2022,Date_28FEB2023,Date_28JAN2023,Date_28JUL2022,Date_28JUN2022,Date_28MAR2023,Date_28MAY2022,Date_28NOV2022,Date_29AUG2022,Date_29DEC2022,Date_29JAN2023,Date_29JUL2022,Date_29JUN2022,Date_29MAR2023,Date_29MAY2022,Date_29NOV2022,Date_30AUG2022,Date_30DEC2022,Date_30JAN2023,Date_30JUL2022,Date_30JUN2022,Date_30MAR2023,Date_30MAY2022,Date_30NOV2022,Date_31AUG2022,Date_31DEC2022,Date_31JAN2023,Date_31JUL2022,Date_31MAY2022
2023,10.9301,10.4741,10.06969,10.02557,10.33295,10.15192,9.73569,9.22141,8.73042,8.64745,8.47896,8.2554,8.18444,7.92415,7.71714,7.67804,7.45746,7.39506,7.40617,7.33275,7.41648,7.6028,7.71569,7.77549,8.04582,8.21441,8.36402,8.59223,8.6337,8.81484,9.06651,8.84593,8.95764,9.11065,9.34856,9.12461,9.60132,9.4059,9.10203,9.07967,9.17929,8.8714,9.05839,8.70369,8.48033,8.4519,8.74827,8.57992,8.09886,8.23289,8.26635,8.19804,8.18399,8.45182,8.3812,8.41694,8.6482,8.89961,9.06021,9.97709,10.34303,9.96437,10.73807,10.91264,10.88621,11.23976,11.61691,12.17502,12.35583,12.48894,12.94852,13.2776,13.36082,13.21328,13.0247,12.87505,12.52441,12.20332,11.84596,11.66817,11.41433,11.0528,10.95249,10.78131,10.50019,10.42774,10.16974,9.86418,9.87979,9.7564,9.82154,9.74714,10.32933,10.89837,10.94297,10.67423,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,10.50305,10.05865,9.78158,9.63441,9.94359,9.86562,9.44259,8.96291,8.61036,8.6003,8.39512,8.28657,8.15335,7.77219,7.64579,7.48424,7.43337,7.39533,7.46104,7.64579,7.90063,8.2487,8.53647,8.84901,9.56398,10.37463,11.2169,11.57358,11.59772,12.25143,12.89813,12.72362,12.74313,12.41991,12.19823,12.01658,11.89929,11.77805,11.47252,11.33072,11.19562,10.97179,10.81683,10.74153,10.79959,10.77642,11.11238,11.37271,11.86778,12.39338,12.75327,12.75921,13.03567,12.78,13.17233,12.28646,12.2597,12.28479,12.48718,12.53788,12.63689,12.60284,12.46766,12.70387,12.76423,13.13289,13.34984,13.67562,13.76648,14.29637,14.60958,14.89973,14.68154,14.52054,14.33601,13.90327,13.63939,13.28053,12.99019,12.76651,12.44475,12.09214,11.8511,11.62708,11.38242,11.09325,10.90018,10.52745,10.42871,10.37511,10.35128,10.12673,10.63508,11.01097,11.04954,10.57032,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,10.43063,10.03424,9.73339,9.62328,9.69416,9.62153,9.3818,8.89256,8.45625,8.45561,8.30689,8.09198,7.94143,7.75609,7.57735,7.3691,7.33245,7.3312,7.47017,7.65949,7.88978,8.2302,8.5635,9.11322,9.6925,10.4674,11.01435,11.30085,11.65996,12.01754,12.21221,12.14133,12.52821,12.37011,12.20244,11.92305,12.09202,11.74825,11.67109,11.35465,11.37288,11.32837,11.21328,11.04047,10.79653,11.04283,11.38013,11.1295,10.76899,10.71033,10.79371,10.71526,10.8551,11.1671,11.11421,11.40825,11.40857,11.62199,11.73152,12.10561,12.44753,12.87165,12.81404,12.8452,12.98039,13.04825,13.16522,13.49489,13.6611,14.08142,14.35839,14.40995,14.29365,14.16446,14.01533,13.54264,13.3146,13.04562,12.69178,12.38421,12.21459,11.82696,11.7041,11.44722,11.05572,10.81965,10.66489,10.42312,10.36868,10.31824,10.21673,10.0804,10.40193,10.70447,10.73625,10.51677,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,10.4109,10.09057,9.78186,9.65791,9.81248,9.71246,9.30958,8.82516,8.42868,8.59129,8.21381,8.10525,7.95729,7.71119,7.53196,7.43237,7.34916,7.38589,7.37314,7.51887,7.93281,8.22459,8.47297,8.98423,9.5773,10.32796,11.22964,11.51906,11.57325,12.05898,12.07414,12.12365,12.54739,12.18198,12.03305,11.97531,11.93203,11.65181,11.60196,11.45206,11.37911,11.00676,10.97464,11.11296,10.9666,10.84654,10.94934,11.06124,10.91336,11.13997,10.83311,11.07015,11.18838,11.53651,11.66099,11.89897,12.06919,12.06307,12.43297,13.08209,13.11803,12.95898,13.0472,13.41447,13.19471,13.42162,13.64934,13.76941,13.90502,14.49758,14.40116,14.49078,14.27571,14.13197,14.04659,13.75414,13.37285,13.09007,12.97375,12.69275,12.27567,12.06406,11.80239,11.72039,11.32519,10.89237,10.74762,10.489,10.4673,10.25966,10.31071,10.06464,10.39016,10.8393,10.82247,10.48369,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,10.37362,9.93641,9.64575,9.51214,9.86994,9.6427,9.2424,8.89529,8.54033,8.49605,8.27804,8.0169,7.9396,7.64583,7.47426,7.36499,7.36057,7.48044,7.52285,7.68405,7.9684,8.40016,8.73296,8.92324,9.54677,10.43813,11.0883,11.32178,11.71011,12.21715,12.53493,12.61892,13.75221,13.77552,13.93961,13.79808,14.06876,13.28565,13.27556,12.43362,12.71869,13.06887,12.45663,11.78481,12.47451,11.75728,11.5277,11.27124,11.65479,11.32086,12.06178,12.53874,12.6079,12.62352,12.05965,11.55559,11.5845,11.81216,12.80977,13.12361,12.03245,12.60736,13.03371,12.81884,12.92477,13.15042,13.30454,13.5798,13.62838,14.05645,14.53837,14.79201,14.82659,14.59477,14.53284,14.39484,14.08983,13.86568,13.61724,13.22295,13.08152,12.7666,12.65395,12.37685,11.7949,11.29137,11.06264,10.79442,10.77038,10.54458,10.45871,10.31334,10.62285,11.14179,11.00228,10.86138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,10.50622,10.09016,9.72586,9.75197,10.0116,9.87957,9.53408,9.11574,8.67851,8.71347,8.47964,8.30636,8.02403,7.78496,7.68012,7.54404,7.58812,7.523,7.63048,7.80088,8.12372,8.53172,8.7862,9.06272,9.82365,10.81211,11.42306,11.66158,11.76082,12.24132,12.6211,12.46471,12.69287,12.56365,12.49079,12.16006,12.0589,11.75767,11.4993,11.24932,11.10226,10.88533,10.7236,10.52184,10.35338,10.31741,10.12636,10.12125,10.03197,10.00743,10.03955,10.07306,10.17288,10.18028,10.29436,10.42518,10.6241,10.58307,10.63722,10.95997,11.14021,11.45222,11.71253,12.1475,12.41229,12.59377,12.90837,13.08175,13.25014,13.76515,14.15473,14.4692,14.28704,14.14581,14.09494,13.82144,13.61003,13.55243,13.34821,13.09924,12.87616,12.77505,12.52231,12.24212,11.88251,11.57035,11.44719,11.07747,11.14779,10.95765,10.83424,10.74992,11.11842,11.54905,11.5277,11.25818,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,11.11739,10.70067,10.37997,10.15935,10.30229,10.25743,9.93444,9.52382,9.1243,9.08939,8.83486,8.71943,8.47142,8.20023,7.99064,7.86431,7.77964,7.76812,7.77077,7.77438,8.0639,8.25881,8.36256,8.53033,9.02063,9.46002,10.02539,10.50448,10.62543,10.94718,11.16044,11.20935,11.63839,11.55358,11.45142,11.34584,11.35419,10.95136,10.84929,10.50849,10.68364,10.5628,10.04051,9.27289,9.1507,8.97993,8.89112,9.02963,8.70242,8.5681,9.08864,8.98735,8.74655,9.62176,9.24424,9.42602,9.00143,10.2684,9.69665,10.01946,10.29834,10.51339,10.79926,11.18202,11.63752,11.93536,12.42537,13.0887,13.41806,13.87946,14.2237,14.4742,14.41781,14.43294,14.33494,14.03348,13.81896,13.51837,13.3435,13.17527,12.89802,12.72583,12.65275,12.37305,12.24818,11.96153,11.80616,11.41357,11.46136,11.33058,11.33344,11.15809,11.54384,12.11764,12.04348,11.79909,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,11.60502,11.10163,10.7632,10.64225,10.71541,10.58967,10.28933,9.85384,9.41695,9.38533,9.2137,8.87553,8.61578,8.39261,8.24576,7.97813,7.9443,7.74909,7.70417,7.62595,7.82799,7.94298,8.05454,8.25689,8.74779,9.09841,9.4716,9.75908,9.92722,10.28125,10.38771,10.68685,10.69222,10.75488,10.78864,10.66274,10.83446,10.42539,10.26901,9.86302,9.8244,9.44678,9.09061,9.07478,8.86839,8.6326,8.45938,8.31836,8.19622,8.0763,8.02734,7.99264,8.02993,8.03273,8.03143,8.24172,8.22048,8.3548,8.67716,8.93386,9.29592,9.61387,9.98635,10.42813,10.79821,11.17315,11.81511,12.19586,12.38893,12.68211,12.89093,13.29071,13.49088,13.65736,13.58634,13.66686,13.62363,13.45876,13.2574,13.07842,12.78851,12.49605,12.24747,12.02149,11.80483,11.57693,11.22349,10.93334,10.81655,10.66352,10.61076,10.51483,10.9819,11.35254,11.3573,11.05496,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,11.01997,10.55534,10.20855,10.07244,10.22165,10.09737,9.78049,9.44543,9.10744,8.95173,8.69643,8.54865,8.45749,8.14054,7.915,7.72263,7.74948,7.91127,7.74166,7.75027,8.27357,8.74265,8.95932,9.24752,9.97807,11.00186,11.73842,12.17886,12.36749,13.14232,13.29686,13.21776,13.39403,13.75132,14.05708,14.47295,13.32571,13.15685,14.49595,14.2779,14.17873,14.10312,14.11945,14.01837,13.89113,13.6183,13.75825,14.20697,13.61144,13.61803,13.63957,13.69974,14.11663,14.23867,14.22431,13.99374,13.65796,12.53673,12.31052,13.09623,13.53188,14.23078,14.84352,15.029,15.05497,15.38285,15.80973,16.07557,16.66963,17.33624,17.58601,17.36809,17.17074,16.87201,16.65588,16.25493,15.74979,15.33795,15.01623,14.74381,14.3071,13.95409,13.53541,13.11939,12.75804,12.32409,12.00872,11.6477,11.56137,11.27293,11.0496,10.94928,11.21863,11.53192,11.35416,11.16788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023,10.89529,10.53337,10.19873,10.13203,10.43063,10.2206,9.95694,9.44206,9.08214,9.03976,8.76084,8.54509,8.40569,8.14995,7.96847,7.79619,7.66442,7.75449,7.76474,7.84354,8.13732,8.506,9.09369,9.49038,10.28509,11.22576,11.89375,12.19512,12.57624,13.2322,13.74979,13.6233,13.30773,13.06774,12.99824,13.31657,12.85564,12.58052,12.81607,12.81075,12.96332,12.70705,12.57026,12.33126,11.52747,11.603,11.06202,11.72911,11.07858,12.9419,13.38255,12.8433,11.06459,11.79904,11.96285,12.36415,12.0281,12.51253,13.22852,13.3247,12.85196,12.94856,13.09478,13.00376,13.3779,13.1689,14.03926,14.45795,15.03352,15.42186,15.93559,16.22349,15.9585,15.69807,15.46364,15.00831,14.60827,14.21104,14.0055,13.73089,13.50911,13.19816,12.92623,12.6137,12.31448,11.8362,11.70849,11.36009,11.21368,10.99241,10.87522,10.71742,10.97265,11.35363,11.27618,11.04971,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
