Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66013,2015,1,1,30.9,0
66013,2015,1,2,20.1,1
66013,2015,1,3,31.4,2
66013,2015,1,4,24.9,3
66013,2015,1,5,15.1,4
66013,2015,1,6,27.4,5
66013,2015,1,7,30.4,6
66013,2015,1,8,31.8,7
66013,2015,1,9,25.3,8
66013,2015,1,10,15.0,9
66013,2015,1,11,3.1,10
66013,2015,1,12,13.7,11
66013,2015,1,13,20.3,12
66013,2015,1,14,29.5,13
66013,2015,1,15,29.1,14
66013,2015,1,16,28.5,15
66013,2015,1,17,32.2,16
66013,2015,1,18,30.3,17
66013,2015,1,19,5.6,18
66013,2015,1,20,21.0,19
66013,2015,1,21,27.6,20
66013,2015,1,22,28.9,21
66013,2015,1,23,28.5,22
66013,2015,1,24,26.4,23
66013,2015,1,25,26.3,24
66013,2015,1,26,3.3,25
66013,2015,1,27,3.6,26
66013,2015,1,28,4.7,27
66013,2015,1,29,27.7,28
66013,2015,1,30,27.7,29
66013,2015,1,31,26.9,30
66013,2015,2,1,20.3,31
66013,2015,2,2,23.6,32
66013,2015,2,3,22.8,33
66013,2015,2,4,19.6,34
66013,2015,2,5,11.6,35
66013,2015,2,6,17.6,36
66013,2015,2,7,21.5,37
66013,2015,2,8,27.4,38
66013,2015,2,9,11.1,39
66013,2015,2,10,23.0,40
66013,2015,2,11,22.9,41
66013,2015,2,12,24.0,42
66013,2015,2,13,16.7,43
66013,2015,2,14,16.3,44
66013,2015,2,15,22.1,45
66013,2015,2,16,23.8,46
66013,2015,2,17,26.8,47
66013,2015,2,18,24.4,48
66013,2015,2,19,17.7,49
66013,2015,2,20,15.2,50
66013,2015,2,21,10.2,51
66013,2015,2,22,19.4,52
66013,2015,2,23,17.8,53
66013,2015,2,24,18.9,54
66013,2015,2,25,10.2,55
66013,2015,2,26,15.4,56
66013,2015,2,27,18.7,57
66013,2015,2,28,21.2,58
