Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,index,Quality_Y
66124,2015,1,1,18.2,1.0,0,True
66124,2015,1,2,21.2,1.0,1,True
66124,2015,1,3,20.5,1.0,2,True
66124,2015,1,4,20.6,1.0,3,True
66124,2015,1,5,20.0,1.0,4,True
66124,2015,1,6,19.2,1.0,5,True
66124,2015,1,7,19.5,1.0,6,True
66124,2015,1,8,17.0,1.0,7,True
66124,2015,1,9,20.0,1.0,8,True
66124,2015,1,10,21.9,1.0,9,True
66124,2015,1,11,20.0,1.0,10,True
66124,2015,1,12,20.2,1.0,11,True
66124,2015,1,13,18.3,1.0,12,True
66124,2015,1,14,20.6,1.0,13,True
66124,2015,1,15,18.7,1.0,14,True
66124,2015,1,16,18.5,1.0,15,True
66124,2015,1,17,19.7,1.0,16,True
66124,2015,1,18,18.5,1.0,17,True
66124,2015,1,19,19.3,1.0,18,True
66124,2015,1,20,16.8,1.0,19,True
66124,2015,1,21,19.2,1.0,20,True
66124,2015,1,22,19.2,1.0,21,True
66124,2015,1,23,20.2,1.0,22,True
66124,2015,1,24,20.8,1.0,23,True
66124,2015,1,25,19.7,1.0,24,True
66124,2015,1,26,20.0,1.0,25,True
66124,2015,1,27,17.6,1.0,26,True
66124,2015,1,28,16.2,1.0,27,True
66124,2015,1,29,13.0,1.0,28,True
66124,2015,1,30,12.3,1.0,29,True
66124,2015,1,31,14.5,1.0,30,True
66124,2015,2,1,17.0,1.0,31,True
66124,2015,2,2,17.2,1.0,32,True
66124,2015,2,3,14.8,1.0,33,True
66124,2015,2,4,13.6,1.0,34,True
66124,2015,2,5,15.5,1.0,35,True
66124,2015,2,6,13.4,1.0,36,True
66124,2015,2,7,15.6,1.0,37,True
66124,2015,2,8,15.9,1.0,38,True
66124,2015,2,9,21.2,1.0,39,True
66124,2015,2,10,19.2,1.0,40,True
66124,2015,2,11,19.3,1.0,41,True
66124,2015,2,12,17.8,1.0,42,True
66124,2015,2,13,18.0,1.0,43,True
66124,2015,2,14,17.7,1.0,44,True
66124,2015,2,15,17.7,1.0,45,True
66124,2015,2,16,17.8,1.0,46,True
66124,2015,2,17,16.8,1.0,47,True
66124,2015,2,18,17.5,1.0,48,True
66124,2015,2,19,17.2,1.0,49,True
66124,2015,2,20,18.3,1.0,50,True
66124,2015,2,21,19.7,1.0,51,True
66124,2015,2,22,18.9,1.0,52,True
66124,2015,2,23,18.7,1.0,53,True
66124,2015,2,24,19.5,1.0,54,True
66124,2015,2,25,19.5,1.0,55,True
66124,2015,2,26,18.0,1.0,56,True
66124,2015,2,27,17.7,1.0,57,True
66124,2015,2,28,17.2,1.0,58,True
66124,2015,3,1,18.0,1.0,59,True
66124,2015,3,2,15.8,1.0,60,True
66124,2015,3,3,15.2,1.0,61,True
66124,2015,3,4,20.7,1.0,62,True
66124,2015,3,5,17.5,1.0,63,True
66124,2015,3,6,13.4,1.0,64,True
66124,2015,3,7,15.5,1.0,65,True
66124,2015,3,8,17.7,1.0,66,True
66124,2015,3,9,17.3,1.0,67,True
66124,2015,3,10,19.8,1.0,68,True
66124,2015,3,11,18.7,1.0,69,True
66124,2015,3,12,17.6,1.0,70,True
66124,2015,3,13,17.8,1.0,71,True
66124,2015,3,15,15.0,1.0,73,True
66124,2015,3,16,11.6,1.0,74,True
66124,2015,3,17,11.8,1.0,75,True
66124,2015,3,18,16.2,1.0,76,True
66124,2015,3,19,16.3,1.0,77,True
66124,2015,3,20,16.8,1.0,78,True
66124,2015,3,21,17.0,1.0,79,True
66124,2015,3,22,16.0,1.0,80,True
66124,2015,3,23,15.5,1.0,81,True
66124,2015,3,24,18.0,1.0,82,True
66124,2015,3,25,12.0,1.0,83,True
66124,2015,3,26,14.2,1.0,84,True
66124,2015,3,27,10.5,1.0,85,True
66124,2015,3,28,9.8,1.0,86,True
66124,2015,3,29,11.9,1.0,87,True
66124,2015,3,30,15.0,1.0,88,True
66124,2015,3,31,16.7,1.0,89,True
66124,2015,4,1,15.2,1.0,90,True
66124,2015,4,2,15.5,1.0,91,True
66124,2015,4,3,16.0,1.0,92,True
66124,2015,4,4,16.4,1.0,93,True
