year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2023,33.35007,33.96438,32.88654,32.2719,32.72849,30.9335,29.17114,27.88509,26.46493,25.2453,24.23824,23.62249,23.00019,22.37808,21.89516,21.81146,21.81146,21.81146,21.49432,21.38863,21.81146,21.81146,21.81146,21.93909,22.45985,23.12208,23.88001,24.58352,24.46186,25.1529,25.75412,26.04502,26.67411,26.27995,26.79251,27.18554,27.70174,28.00478,28.65947,27.89382,26.68971,26.35643,26.02592,25.52657,25.8713,24.8672,24.7853,24.72611,24.58213,24.51569,24.34636,24.9343,24.06468,24.58948,24.43618,24.74948,25.80221,26.39414,26.44891,25.94609,26.538,27.30148,28.20284,29.34274,30.84661,32.09985,32.96616,34.47191,34.86554,35.87094,37.62494,38.59097,39.06954,38.95215,38.29184,37.9044,37.40153,36.82087,36.39793,35.80011,35.33623,34.77421,34.50487,34.15389,33.65791,32.91565,32.40506,31.87901,31.84302,32.42115,32.30758,31.63933,30.87277,31.49272,33.0113,32.72203,0,28.364256185567022
2023,32.56472,33.44264,32.33546,31.76117,32.21799,30.839,29.38225,28.15445,26.80856,25.4907,24.57501,23.92572,23.38251,22.82696,22.26548,22.26548,22.26548,22.26548,22.26548,22.3412,23.44675,23.92955,24.74318,25.66667,27.35444,29.28813,31.48887,33.34243,33.42738,34.49024,34.75546,34.6004,34.8052,34.71666,34.24494,33.8123,33.54099,32.86003,32.54095,32.32939,31.84873,30.67465,30.18692,30.07825,30.4682,31.97312,33.70184,33.65207,33.33708,33.48119,32.38185,30.23728,31.56564,31.19809,31.98872,31.98103,32.42092,31.56488,32.40745,32.88202,32.55507,32.93746,33.49563,33.46108,34.70888,35.33831,36.06663,36.71717,37.67214,39.13258,39.97993,40.54442,40.98393,41.16392,41.09728,41.27258,40.76572,40.00578,39.06581,38.30265,37.95109,37.45028,37.04643,36.55657,35.95266,34.86866,34.20232,33.49309,33.63613,34.10868,33.86168,33.11791,32.34831,32.48079,34.09,33.58354,1,32.01860556701031
2023,33.38466,34.05196,32.8836,32.47017,32.81217,31.34768,29.54127,28.03795,27.04319,25.99995,25.27059,24.67328,24.23368,23.5518,23.287,23.14636,22.77624,22.77624,22.77624,22.83523,23.30592,23.88887,24.8059,25.90395,27.62109,29.67635,31.70215,33.44892,33.81256,34.60416,35.18588,34.81773,35.00912,34.5625,34.01666,34.15286,33.52661,33.13432,31.67359,30.73735,30.0914,29.34722,29.37679,29.09776,28.691,28.07833,27.81822,27.55348,27.83391,27.50358,28.06299,27.99737,28.45883,28.77802,28.5989,28.6744,29.24012,29.65583,30.12169,31.17666,31.52987,32.21589,32.86302,33.923,34.71873,35.76853,36.19324,36.91608,37.13134,38.79658,39.83407,40.60639,41.06852,40.75155,40.40745,40.03495,39.3326,38.70447,38.29378,37.669,36.94075,36.49626,36.13174,35.58425,34.91472,34.16519,33.57793,33.13295,33.3684,33.63763,33.59164,32.86463,32.06314,32.31543,33.75648,33.25509,2,31.331933402061875
2023,33.31178,33.80526,32.53151,31.90447,32.70799,30.95472,29.2852,27.66392,26.63191,25.57003,24.65828,24.07018,23.59514,23.33167,22.88974,22.52659,22.36006,22.36006,22.8465,23.10086,23.57645,24.28961,24.48036,25.48533,27.25192,29.24143,30.7209,32.14281,32.57652,33.70422,33.97519,34.10657,34.47404,33.95649,33.76185,33.50226,32.97993,32.41402,31.41426,30.8719,30.40218,29.53202,29.35608,28.92636,28.7723,28.74275,28.59015,28.6164,28.81499,28.61638,28.77094,28.92431,29.1031,29.5634,29.30725,29.5781,30.00259,30.53906,31.7592,32.0973,31.95527,33.99151,34.26384,33.37318,34.67668,35.4003,36.10617,36.80063,37.31972,38.40643,39.36246,40.28182,39.91296,39.74678,39.3628,38.95712,38.31701,37.63276,36.98863,36.29401,36.16957,35.89445,35.11021,34.75269,33.94837,33.50726,32.94268,32.13537,32.31181,32.91208,32.89195,32.21284,31.87093,31.80011,33.49477,32.66724,3,31.11153814432991
2023,33.00165,33.56716,32.38922,31.69697,32.43845,30.63699,29.31872,27.88122,26.70149,25.52697,24.66199,23.84701,23.3469,22.99159,22.76269,22.32223,22.24732,22.27996,21.90605,22.05771,23.27116,23.32003,24.34954,24.89754,26.48842,28.34484,29.89114,31.28109,31.45143,32.91534,33.86863,33.91597,34.1587,33.73273,34.52981,34.83704,34.7834,33.44908,30.98935,33.69848,31.57749,33.93783,33.41346,32.3337,31.47513,29.44634,29.54345,28.62223,29.43673,30.29618,33.22454,29.57936,30.28065,34.97498,30.8513,33.3132,34.10781,34.5967,34.27372,32.93455,31.61334,32.82931,32.74362,33.59005,34.87944,35.52067,35.84299,36.84616,37.72082,39.0401,40.25224,41.24962,41.54369,41.4964,41.56076,40.96741,40.17769,39.49427,39.13428,38.59316,38.28829,37.97424,37.22663,36.75601,35.4549,34.1708,33.53058,32.78365,33.15854,33.45881,33.45277,32.62168,31.64851,32.0188,33.93928,33.19767,4,31.88404680412371
2023,32.80369,33.3018,32.27484,31.60234,31.92995,30.40346,29.00803,27.28544,25.94318,25.10565,24.36824,23.75317,23.12803,22.61497,22.5114,22.12544,22.00064,22.00064,22.00064,22.31415,22.7096,23.55184,24.03107,25.23346,27.36615,29.16378,30.81363,32.35813,33.00471,34.10169,34.52378,34.59972,34.92276,34.68005,34.55089,33.94154,33.35634,32.23699,31.60082,30.75701,29.75231,29.16464,28.69315,28.1196,27.88387,27.64685,27.36695,27.4843,27.3826,27.2522,27.36797,27.54615,27.82161,27.73969,27.57825,27.86567,27.77198,28.31206,28.96067,29.90437,30.55541,31.02439,31.98159,33.1019,34.0409,35.10004,35.85443,37.0243,37.77436,39.19578,40.15466,40.81703,40.95851,41.05163,41.03369,40.675,40.31582,39.83435,39.00817,38.81962,38.88431,38.59097,38.22119,37.64832,37.15582,36.72308,36.10478,35.62713,35.7986,35.91819,35.95959,35.51646,34.58412,34.7986,36.2128,35.36372,5,31.361070206185573
2023,35.39863,35.64007,34.65794,33.77085,34.18627,32.45464,30.67379,29.40703,28.25315,26.89555,25.9879,25.22093,24.36364,24.03402,23.73484,23.30592,23.30592,23.04559,22.79516,22.87807,23.30592,23.30592,23.55903,24.03514,25.23689,26.32111,27.61269,28.95492,29.86688,31.32446,32.26486,32.89335,33.67138,34.18206,34.42467,34.45591,33.52891,32.63869,31.86741,31.35264,30.19674,28.54484,28.73711,30.59519,28.17376,29.18167,30.63169,29.19354,27.08132,26.59551,26.74533,27.07732,26.06576,26.27369,26.06553,26.37217,26.80541,26.89111,27.54595,28.71071,30.82144,30.44058,31.32295,32.04852,32.66501,33.87572,35.13133,36.76585,38.13845,39.74712,41.36477,42.30773,43.08114,42.97974,42.86039,42.60796,42.0405,41.50681,41.15859,40.62236,40.64429,40.15326,39.80167,39.29294,38.76122,38.26947,37.94044,37.24065,37.25378,37.68809,37.37877,36.49502,35.88295,35.9337,37.52139,36.64068,6,31.821467835051543
2023,36.53505,37.00561,35.57163,34.98218,35.36702,34.0053,32.65835,31.06023,29.6637,28.25988,27.39926,26.60496,25.81264,25.12196,24.61145,24.21356,23.59136,23.58968,23.58968,23.58968,23.58968,23.64203,24.08152,24.52284,25.12346,25.87824,26.78313,28.29792,28.70931,30.28735,31.31967,32.37667,33.15284,33.16175,33.53029,33.50298,33.03344,32.94089,32.18863,31.10359,30.26864,29.58502,28.49702,27.67022,27.09873,26.2879,26.0129,25.14743,25.12196,24.71111,24.66795,24.85915,24.68029,24.69286,24.41377,24.80037,25.16927,25.33005,25.65811,26.78843,27.90233,28.50231,29.60118,30.77018,32.06477,34.12609,35.54654,36.71234,37.72074,39.02792,41.30764,42.58517,43.29081,43.47159,43.85099,43.39213,42.73382,42.63735,42.05333,41.7123,41.7123,41.22813,40.89892,40.2815,39.94342,38.97699,38.25371,37.10604,37.19074,37.46905,36.69535,35.4531,34.48126,34.50571,36.06873,35.40632,7,31.583519484536094
2023,35.54156,35.80821,35.05122,34.42516,35.19177,33.50238,31.81887,30.5661,29.23911,28.19391,27.03548,26.11366,25.54658,25.15386,24.64904,24.25856,24.13827,24.13827,24.13827,24.13827,25.20252,26.01879,26.71076,27.96187,30.14015,32.05493,34.28174,36.44047,36.93096,38.63838,39.46506,39.70109,39.95731,40.39495,40.653,40.98518,41.88735,41.85505,41.35184,41.45895,40.97063,41.0204,41.38145,41.47588,42.28054,41.49684,41.22399,42.04783,42.02462,41.72273,40.94825,39.26981,40.15204,40.32251,40.06785,40.52956,40.68991,40.05212,40.12022,39.5459,39.38091,39.54919,40.16799,40.83588,41.52743,42.68784,43.77194,44.95945,45.73537,47.81382,48.57858,49.23684,49.1038,49.23804,48.70589,48.21804,47.32167,46.70142,45.90454,45.29173,44.66115,44.01456,43.03623,42.06576,41.05565,39.81317,39.03876,37.86276,37.6259,37.71263,37.11928,36.04594,35.09202,35.1446,36.83942,36.31256,8,37.672708659793805
2023,36.3,36.74737,35.49463,34.70472,35.27506,33.48048,31.83179,30.45342,29.18006,28.077,27.03217,26.13888,25.51497,24.60835,24.45986,24.25875,23.96719,24.10067,24.07687,24.44095,25.06799,25.61938,26.4723,27.72482,29.8737,32.05277,34.57177,36.73641,36.73123,38.64273,39.68557,39.80998,39.70624,39.18522,39.58807,39.69296,38.12711,34.9027,34.7091,35.63392,36.87915,36.86304,36.33227,36.59286,33.56003,32.00378,34.57735,32.97888,35.81511,37.82706,36.71637,36.79794,37.36479,35.04804,33.27461,34.23786,34.74929,33.03439,33.52878,34.64942,34.54576,35.45072,35.45445,36.37525,36.87239,37.64626,39.04483,40.32616,41.23555,42.91984,44.06437,44.84324,45.15648,45.55397,45.351,44.86467,44.28263,43.84507,42.93085,42.66884,42.18635,41.51497,41.13664,40.36378,39.67096,38.43094,37.87937,36.58477,36.53208,36.79752,36.75058,35.55395,34.95888,34.97792,36.30328,35.72633,9,35.20936938144331
