Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,30.6,18.2,32.8,29.86790288659793
2015,1,0.0,18.4,21.2,28.7,33.08601463917525
2015,2,0.0,31.1,20.5,32.0,34.127010103092786
2015,3,0.0,26.9,20.6,35.0,34.04595515463917
2015,4,1.6,13.3,20.0,26.5,29.805851752577325
2015,5,0.0,25.6,19.2,28.7,30.47099103092783
2015,6,0.0,30.9,19.5,30.3,33.599381134020625
2015,7,0.0,31.8,17.0,31.5,34.53875701030927
2015,8,0.0,23.3,20.0,34.4,34.18282402061857
2015,9,0.0,13.9,21.9,30.0,34.20274659793814
2015,10,8.4,3.0,20.0,22.4,34.534549793814435
2015,11,20.6,9.2,20.2,23.3,36.54431350515463
2015,12,2.0,21.5,18.3,28.8,36.32381927835051
2015,13,0.0,30.7,20.6,32.2,31.71522670103094
2015,14,0.0,27.6,18.7,28.3,31.850327835051537
2015,15,0.0,29.9,18.5,31.5,37.20261164948455
2015,16,0.0,32.2,19.7,34.7,33.637614226804125
2015,17,0.0,30.7,18.5,29.7,35.32350134020619
2015,18,5.6,3.5,19.3,21.6,34.08499329896906
2015,19,20.6,22.8,16.8,26.0,34.35671505154639
2015,20,0.2,26.9,19.2,28.8,33.849794123711334
2015,21,0.0,27.9,19.2,29.4,33.02893319587629
2015,22,0.0,28.6,20.2,31.8,30.3141118556701
2015,23,0.0,26.1,20.8,31.8,27.372097835051544
2015,24,0.0,27.1,19.7,36.5,38.04510783505153
2015,25,0.0,2.9,20.0,21.0,37.69334278350515
2015,26,17.4,3.1,17.6,19.8,35.04921958762887
2015,27,58.4,6.3,16.2,20.5,31.948037731958777
2015,28,25.0,25.7,13.0,24.4,35.80724195876288
2015,29,0.0,30.2,12.3,27.9,37.46618680412371
2015,30,0.0,27.0,14.5,27.0,39.801165257731945
2015,31,0.0,17.1,17.0,26.2,29.375380721649496
2015,32,0.0,15.4,17.2,25.0,38.285289690721655
2015,33,1.8,23.8,14.8,25.3,33.50262556701031
2015,34,0.0,17.9,13.6,25.0,33.9478455670103
2015,35,13.2,17.2,15.5,23.8,37.25311463917526
2015,36,0.0,15.8,13.4,24.8,38.75786041237113
2015,37,0.6,21.0,15.6,27.3,38.83372680412372
2015,38,0.0,27.8,15.9,35.2,38.28381484536083
2015,39,0.0,9.1,21.2,26.2,38.40133587628865
2015,40,0.0,20.3,19.2,28.4,38.531183814433
2015,41,2.2,25.3,19.3,29.0,36.58258298969072
2015,42,0.0,24.7,17.8,29.0,34.547615051546394
2015,43,12.6,13.3,18.0,26.5,34.12572412371134
2015,44,8.0,17.4,17.7,27.7,30.815886494845365
2015,45,0.0,21.4,17.7,29.8,31.127734329896903
2015,46,0.0,23.8,17.8,29.3,34.56675835051546
2015,47,0.0,26.2,16.8,29.0,38.16877206185566
2015,48,0.0,24.0,17.5,28.9,31.964775463917515
2015,49,0.0,17.6,17.2,28.0,34.32038896907217
2015,50,0.0,14.1,18.3,27.2,35.3157224742268
2015,51,11.0,10.2,19.7,25.2,34.866507113402065
2015,52,5.0,16.6,18.9,27.3,34.540727835051555
2015,53,6.2,16.5,18.7,28.0,34.452841752577314
2015,54,0.0,14.4,19.5,26.4,30.80880865979381
2015,55,0.0,10.5,19.5,23.0,30.88391082474227
2015,56,6.6,11.9,18.0,27.2,36.12049948453609
2015,57,0.0,18.9,17.7,27.2,34.541251649484536
2015,58,4.0,21.3,17.2,30.6,34.79291041237113
2015,59,0.0,17.9,18.0,36.2,34.302231855670094
2015,60,0.0,11.7,15.8,23.7,36.24206051546392
2015,61,0.0,20.0,15.2,30.0,36.826002886597934
2015,62,0.0,16.0,20.7,29.5,36.1377501030928
2015,63,0.0,23.1,17.5,28.0,37.60676391752577
