year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,index,averagemwh
2022,9.4614212349,9.2715283745,8.8622609836,8.5771111603,8.3884954705,7.8179928361,7.6014774008,7.3924707653,7.0445906911,6.9678920495,6.7910310956,6.6761137573,6.7782258151,6.8096079518,6.6265921961,6.4691062343,6.4507092608,6.4681602401,6.4711108405,6.4619353217,6.688631054,6.6041485198,6.6638720562,6.70467832,6.8302132086,7.0170966276,7.1312964524,7.3389806955,7.4970464527,7.8294958742,7.7906704456,7.8042264342,8.1132139661,8.1989886324,8.4428797722,8.3360813842,8.0063422223,8.069422142,8.1554517402,8.2130842148,8.5490763045,8.146681589,8.1368587264,8.464337607,9.1970665064,9.3002772629,8.9362218934,9.2188125405,8.6211474272,8.6637260924,9.1251340666,8.5589354036,8.2466799152,8.9525138126,8.7481087408,8.0692572392,8.1639491853,8.197233087,7.7827864113,7.7305434906,8.2430342237,8.356221679,8.9117115002,9.2520320255,9.21067722,9.4171627228,9.5875633262,9.8410309043,10.107919794,10.336518832,10.69045891,10.829213928,10.766171111,10.623084632,10.500496844,10.632649345,10.379865066,10.175886104,10.041641359,9.8028179504,9.7589942957,9.7334855039,9.6963171922,9.7221837106,9.4779754501,9.5770708383,9.5328511793,9.1355793973,9.557681121,9.3553067029,9.4290587255,9.1515044219,9.0782524744,8.862621154,9.3628330083,9.0749858944,0,8.43140061591443
2022,9.163902793,8.814937896,8.612438192,8.2768182306,8.0538930739,7.6966075333,7.3512705844,7.0413398883,6.8003814204,6.5348202631,6.3710003896,6.2229874781,6.2641714313,6.1971799668,6.0734498306,6.0226083852,5.9518989184,5.9860348545,6.0798251871,6.0232978505,6.1102457328,6.1818418647,6.2277472927,6.2497623423,6.2907897461,6.3510245818,6.3567343358,6.4674572645,6.6028769464,6.8337731139,6.884929714,6.9258274994,6.9162962965,7.4090416462,7.5134684266,7.2115695861,7.3697651378,7.1830892399,7.2138100593,7.1840574241,7.6381725058,7.8153175301,7.6057074826,7.5156534957,7.6670445055,7.9316522111,8.2244454231,8.0513116288,7.1940275291,7.2725087414,7.1631176976,6.8949295622,6.9417238977,7.5486463481,6.8909531902,7.2688364227,7.436221868,7.5936330524,8.0427210891,7.8143306406,7.2916052545,7.5722847306,7.7918827881,7.9607103881,8.2859586721,8.8072334753,9.0869628031,9.34465093,9.6548455929,9.9557156909,10.314970522,10.394553992,10.446567811,10.453061398,10.402162349,10.461974529,10.356616302,10.233928755,10.091912203,9.9729386701,10.004388935,9.7805203376,9.820719705,9.7307552645,9.5448717967,9.4625507353,9.5126725221,9.3196302817,9.5901377297,9.3188133551,9.2914729407,9.0755922127,8.9103218972,8.7692643815,9.1047443208,8.7212375275,1,7.890434618964952
2022,8.9136883355,8.4447753134,8.2051814402,7.8562935191,7.6386297569,7.2898317577,7.0031642218,6.7100376517,6.4974936085,6.3278695232,6.2726352947,6.1443960012,6.1467280835,6.0232644697,5.9228379451,5.9556918479,5.9521259461,5.9901258983,6.1778404672,6.3093629538,6.454390429,6.6290291303,6.7359311797,6.9706570112,7.647227334,8.0207694844,8.47479791,8.8431282599,9.3370843038,9.9153269469,10.334711227,10.423320329,10.712099728,10.791016055,10.616581253,10.289015471,9.5684243426,9.5277395593,9.5969726027,9.449009638,9.4935799568,9.5551835493,9.5029447503,9.4646766131,9.2195289835,9.2201287586,9.2837577019,9.2955513276,9.2151577331,9.2919922672,9.5389892361,9.7130108189,9.766768329,9.7348556877,9.8817756261,9.9574420406,10.062665485,10.227027128,10.026098401,10.306092283,10.502641269,10.782245009,11.003012482,11.117708836,11.28195382,11.802642048,11.952942304,12.231041577,12.20180051,12.323238144,12.636769958,12.468400854,12.327744683,12.133313936,11.95655283,11.765634584,11.538407828,11.392291897,11.174164993,10.950595355,10.857027147,10.711646164,10.712486216,10.445112163,10.176688655,10.111200675,9.9701114678,9.6891909631,10.129390605,9.8797014788,9.8234619765,9.4963476794,9.2271930534,8.9856183597,9.4140263867,9.2210642094,2,9.312059824988662
2022,9.2498044646,8.8129552258,8.5828763949,8.242411484,8.039653488,7.5891820975,7.287445619,7.1155958088,6.7836305368,6.6677227067,6.5003074606,6.3967063524,6.4846433294,6.3268276785,6.2258151372,6.2080305352,6.2502327381,6.4914998713,6.5295109332,6.5475603643,6.8118612437,7.0390424983,7.2170065776,7.3288695917,7.8880546057,8.3651695268,8.5906623295,8.8211946679,9.4568490538,10.01786779,10.384920843,10.686066544,10.810302137,10.822635931,10.815167782,10.857709584,11.066461626,11.191750059,11.344811683,11.308872719,11.307516653,11.282427926,11.328964578,11.441555868,11.348021456,11.552484231,11.735228193,11.506927484,11.724013859,11.429557008,11.632366252,11.883948457,11.960651922,11.585453277,11.662157982,11.921180152,11.91151581,11.816379702,11.879150129,11.958686638,11.81695652,11.842912362,11.857028526,11.864865677,12.220573316,12.460131785,12.730260919,12.917918686,12.977257986,12.991139444,13.113425641,13.278104322,13.058188728,12.824310371,12.629270952,12.480617667,12.2400666,11.962260538,11.840496481,11.743030014,11.748011595,11.498563487,11.397608711,11.178588097,11.047240475,10.888531138,10.724502965,10.39169706,10.623609444,10.496126497,10.442199452,10.037917797,9.9003503179,9.6512591364,9.9453078294,9.5759963889,3,10.179610345586596
2022,9.7589374065,9.3526114328,8.9716157576,8.7422166719,8.4862975542,8.0900610311,7.6179124927,7.2753491549,7.0000639653,6.8074371793,6.7547346216,6.7149909113,6.6777677589,6.590187671,6.520205409,6.4831679732,6.6091661302,6.7588365795,6.8185172168,6.8234588713,7.0957998117,7.2031936394,7.3800804553,7.7550006904,8.391288355,8.7750167422,9.1519136924,9.5288918473,10.105838181,10.578369729,10.99724014,11.37589854,11.265073174,11.581553737,11.569578396,11.554292131,11.143418756,11.302832466,11.561544469,11.745979138,11.548839703,11.540488889,11.435117666,11.142229876,11.338333483,11.639797405,11.344706099,11.333055765,11.108108528,11.227137145,10.632049837,10.823386362,11.350523856,11.285920284,11.168736157,11.09238987,10.089365728,9.5983348767,10.408181852,10.669801282,10.737487629,10.499768848,11.277808586,11.836906111,11.908414458,12.039044048,12.222188177,12.753255191,12.984922127,13.118817402,13.230393134,13.12813571,12.982131851,12.925900439,12.679871744,12.449619003,12.347967554,11.995793567,11.759012328,11.629506654,11.514944057,11.303816108,11.281202729,11.040525757,11.073995806,10.897447505,10.745877113,10.368931074,10.708274285,10.305195697,10.169582033,10.113544344,9.7979389547,9.5140915637,9.9113849812,9.5277753925,4,10.169838314480414
2022,9.5330404327,9.2614523416,8.9335160098,8.6669020684,8.4033864762,8.0616150693,7.6441909848,7.3136321671,7.0952004694,6.8544475094,6.7188205494,6.7105991279,6.7081447008,6.6242126669,6.5242332443,6.5212765041,6.7278330541,6.5638420482,6.7175043411,6.8486727648,7.137167783,7.3135422852,7.4604860638,7.8053861242,8.2843506872,8.6185773238,8.8655006281,9.2207296858,9.7865613807,10.628590461,11.05097297,11.272581017,11.387215475,11.440454294,11.362514213,10.945309633,10.998767004,11.055907118,10.868882444,10.680259054,11.247692959,11.160880805,11.083819614,11.04843995,11.443863434,11.52842197,11.143907479,11.588420227,11.390718945,11.169434994,11.314521976,10.524428458,11.415144679,11.262594449,11.588356177,11.481292184,11.294606384,10.233261221,10.18358959,11.106232686,11.271787589,11.400159622,11.455477201,11.755851403,12.110700448,11.997264188,12.198211942,12.551366453,12.589134936,12.771729003,12.673585787,12.679396334,12.648023478,12.567256622,12.504023287,12.409657747,12.209768563,12.095999677,11.875436919,11.669312971,11.691315114,11.290720381,11.282717012,11.065212698,10.992151194,10.855414933,10.758322567,10.535464421,10.832488402,10.355632918,10.298252015,10.013990132,9.7048031776,9.5544851647,9.991776123,9.5471888245,5,10.154948305184536
2022,9.6588449421,9.3293095347,8.912784909,8.476323678,8.4470763017,8.0172004924,7.6093143975,7.3057530904,7.0517326071,6.9538027162,6.7590775328,6.67801,6.7523243152,6.6539757303,6.4804174075,6.5200713735,6.425312446,6.4540084825,6.5243333552,6.7615475315,6.8478975825,6.8958039182,6.9768838947,7.4184660296,7.9201996392,8.3892745797,8.6126629984,8.8565066264,9.1307403843,9.2522019522,9.6901769062,10.081784977,10.445666057,10.558697326,10.471996004,10.281786403,10.176336492,10.875522109,10.218527937,10.175437126,10.475586946,10.733291335,10.218476749,10.641138361,10.78235293,11.170145063,10.924977951,10.797005864,11.336148413,10.701926929,10.984676459,10.965732176,10.234948667,10.83088865,10.536272511,10.807763821,10.261993624,10.400621546,10.997210863,10.714604701,10.796508219,10.466728542,10.611923414,10.900063059,11.439935227,11.754149317,11.98016948,12.141010784,12.324359862,12.47368383,12.436624027,12.404831266,12.208796196,11.915905749,11.923361367,11.792175122,11.479639337,11.354142168,11.014747007,10.950744739,10.86924021,10.664916147,10.563348964,10.343761986,10.364763045,10.30787293,10.215628036,10.013821453,10.265333131,10.036187043,9.848990422,9.565646033,9.478064475,9.2095033315,9.7654701877,9.3457056937,6,9.740116547885568
2022,9.5819083273,9.2254432884,8.7306716448,8.4086838574,8.1397922035,7.7293958879,7.4084927661,7.0163598649,6.8697647999,6.8522136184,6.689271118,6.5052811542,6.6680080127,6.4892433533,6.398575925,6.4221956862,6.3706732474,6.3285190614,6.4047886646,6.3972565916,6.4397365522,6.6707541851,6.7456428872,6.8066493805,7.0627577366,7.2181824936,7.2149572309,7.3040754113,7.4573165115,7.6037315262,7.7598677664,7.91486954,8.0859550128,8.1710945968,8.3522734147,8.1771961695,8.2067207387,8.1724710144,8.2459964588,8.1779814123,8.0740157203,8.1142481749,8.2374942617,9.0063665191,8.1117827903,8.80448207,9.1714978422,8.3135043326,7.7302881775,7.8989685518,8.8501895631,8.3355677406,8.3596509387,8.552093111,7.881983269,8.3083563512,7.9540447135,8.9982986251,9.0315940181,8.6414418266,9.1016918373,8.5508201329,8.7922265332,8.757473168,8.9262381955,9.4716864931,9.7545704433,9.9632811472,10.060099038,10.241076161,10.528975185,10.85520967,10.720705131,10.737442416,10.539067635,10.277975146,10.070155123,9.9613340339,9.8032813514,9.8076575194,9.7995944445,9.6648358697,9.5912965546,9.4258099633,9.3484495737,9.4785515912,9.4386945682,9.3017755406,9.6571182702,9.5227762438,9.5448067584,9.2624765207,9.0903096815,8.8654575365,9.4057760985,9.165732087,7,8.446237787344336
2022,9.270183849,9.0120805494,8.6103757345,8.2251411093,7.9818132021,7.5961413701,7.3879935981,7.0914521049,6.8956878968,6.6298579277,6.4570172936,6.297704556,6.30200273,6.2620948019,6.293208814,6.1908026825,6.1146187808,6.1716702481,6.1535222004,6.1150031115,6.1464598624,6.1551644149,6.1465284018,6.1897302397,6.4213256752,6.5265679207,6.6438605258,6.7375278692,7.0202301517,7.1650096046,7.1746549984,7.3186753442,7.5308249634,7.8131315168,7.9945412368,8.1639399331,8.636694721,8.6720400858,8.8108941351,8.7503044998,8.726063689,8.6564713247,8.5951379159,8.6668324338,8.4054129272,8.6389789554,8.6799685222,8.5998079162,8.5959788865,8.5790255464,8.2348791945,8.1502541277,8.303413329,8.0297781222,8.1654756233,8.1183584677,8.0733581198,8.0597859879,8.0580332401,8.3255349754,8.5269490387,8.6503661198,8.8530032946,9.1176684338,9.2018532523,9.4151143211,9.4372910415,9.8409759871,9.8439406972,10.235177138,10.444718847,10.540057236,10.718387137,10.73692072,10.62597655,10.484801298,10.528869952,10.441018069,10.335237448,10.209119806,10.27592316,10.260874606,10.016117705,9.9356483154,9.8758315085,9.8576024567,9.8104317826,9.5760975966,9.8395626705,9.6600364583,9.6574816357,9.3129739816,9.2278347319,9.0145598161,9.4174576642,9.0154875841,8,8.409076247693818
2022,9.0391395384,8.8141159892,8.5209887184,8.1760930854,7.9486882809,7.5155305433,7.1707731695,6.9685771141,6.7077272202,6.5496788681,6.3979485633,6.3931118414,6.3576003549,6.1733946107,6.1493577828,6.1038281663,6.2534856153,6.3005119036,6.2642831952,6.402361126,6.6119956829,6.8143606478,6.9258707546,7.1212359568,7.7743035183,8.2351716434,8.706815695,9.2246214767,9.6098370161,9.8660116617,10.094043576,10.323778042,10.127195048,9.8824784784,9.9263521077,9.621983168,9.4725187417,9.5686705555,9.4874477387,9.5316871345,9.5200162307,9.456068276,9.3795608448,9.4468322029,9.3768339522,9.2800557508,9.3385120932,9.3247240639,9.4326358478,9.3757511004,9.5404329493,9.4474464873,9.5881374746,10.238524609,9.7666578102,10.236915256,10.782152026,10.339933419,9.779591818,9.7725297255,10.087607145,10.289975282,10.61398153,10.867665462,11.077441548,11.297384848,11.809523405,12.047768407,11.938857312,12.27963278,12.476221356,12.372597226,12.099186897,12.089166827,11.89384699,11.7982657,11.676531635,11.447155457,11.236408557,11.188844222,11.0467114,10.835888721,10.819720492,10.854088839,10.634911382,10.427467229,10.431768058,10.147047458,10.4268717,10.220694413,10.100082324,9.7564936443,9.4661569076,9.3298146117,9.6715047645,9.4987389397,9,9.441370203486597
