Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
61055,2015,1,1,31.0,0
61055,2015,1,2,22.0,1
61055,2015,1,3,31.2,2
61055,2015,1,4,27.1,3
61055,2015,1,5,18.3,4
61055,2015,1,6,30.4,5
61055,2015,1,7,31.0,6
61055,2015,1,8,31.7,7
61055,2015,1,9,28.7,8
61055,2015,1,10,14.8,9
61055,2015,1,11,3.3,10
61055,2015,1,12,20.3,11
61055,2015,1,13,28.4,12
61055,2015,1,14,29.2,13
61055,2015,1,15,30.8,14
61055,2015,1,16,29.2,15
61055,2015,1,17,31.9,16
61055,2015,1,18,29.4,17
61055,2015,1,19,2.7,18
61055,2015,1,20,22.3,19
61055,2015,1,21,24.8,20
61055,2015,1,22,21.7,21
61055,2015,1,23,23.3,22
61055,2015,1,24,29.1,23
61055,2015,1,25,28.8,24
61055,2015,1,26,3.6,25
61055,2015,1,27,2.9,26
61055,2015,1,28,8.2,27
61055,2015,1,29,29.4,28
61055,2015,1,30,28.2,29
61055,2015,1,31,28.9,30
61055,2015,2,1,22.5,31
61055,2015,2,2,24.0,32
61055,2015,2,3,19.7,33
61055,2015,2,4,15.4,34
61055,2015,2,5,22.1,35
61055,2015,2,6,27.3,36
61055,2015,2,7,19.5,37
61055,2015,2,8,28.8,38
61055,2015,2,9,23.5,39
61055,2015,2,10,25.2,40
61055,2015,2,11,26.9,41
61055,2015,2,12,27.0,42
61055,2015,2,13,23.9,43
61055,2015,2,14,21.0,44
61055,2015,2,15,24.5,45
61055,2015,2,16,25.8,46
61055,2015,2,17,27.2,47
61055,2015,2,18,18.8,48
61055,2015,2,19,13.2,49
61055,2015,2,20,8.3,50
61055,2015,2,21,10.9,51
61055,2015,2,22,18.6,52
61055,2015,2,23,25.1,53
61055,2015,2,24,18.7,54
61055,2015,2,25,19.8,55
61055,2015,2,26,18.4,56
61055,2015,2,27,22.2,57
61055,2015,2,28,21.6,58
61055,2015,3,1,20.2,59
61055,2015,3,2,11.4,60
61055,2015,3,3,24.8,61
61055,2015,3,4,19.6,62
61055,2015,3,5,23.8,63
