year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,16.11512,15.41415,14.79676,15.55546,14.76217,13.53959,13.25171,12.81878,12.67602,12.58337,12.1121,11.91407,11.94931,11.65128,11.75119,11.59093,11.60821,11.63971,11.67266,11.4782,11.79208,11.85356,11.78704,11.78637,12.35784,12.51488,12.77089,12.63007,12.88936,13.23289,13.16505,13.70112,14.59155,15.18012,14.30367,13.45028,13.15783,12.69795,12.56315,12.5167,11.37429,11.50129,11.97404,11.15966,10.34167,11.22814,11.0223,10.20049,10.41776,10.9011,10.89189,12.65775,13.47752,14.05819,15.06924,14.13551,13.79183,12.18711,12.38457,12.46863,12.93145,13.28904,14.15549,15.20707,16.09929,16.53292,17.35775,17.84664,17.92622,18.62334,19.60154,20.01535,20.18847,20.18762,19.92982,19.33632,18.96349,18.88875,18.63138,18.00678,17.798,17.31901,17.16579,16.85139,16.65803,16.5537,17.68386,18.11482,17.58803,16.78991,16.89238,16.88723,17.69634,17.13072,16.05976,15.48384,14.43185114583334
2023,15.83361,15.43908,14.91468,15.5101,14.83664,13.87408,13.19672,13.12736,12.74688,12.42459,12.18158,11.99141,11.88934,11.79491,11.58576,11.54763,11.48999,11.51736,11.59541,11.68878,12.31278,12.70655,13.24525,13.68631,14.52961,15.08969,15.35383,15.53282,15.45881,15.82121,16.02462,15.45636,14.89069,14.03259,13.76844,14.59681,13.93237,13.58119,13.58642,11.89683,12.50612,12.93135,13.0014,11.96671,11.61003,13.21209,13.32091,11.70239,12.29682,13.32628,13.52539,11.60289,12.38233,12.48428,10.99094,11.61744,13.34119,13.0283,12.00314,12.43977,13.1251,13.80948,14.54928,15.16392,15.68552,16.52832,17.2131,17.65025,18.07007,19.05786,20.22472,20.46491,20.49959,20.29143,19.93127,19.75044,19.60645,19.61682,18.9683,18.26008,17.86213,17.3575,16.9917,16.67538,16.50164,16.32319,16.48394,16.37793,17.64557,18.67249,17.87498,17.46519,17.90363,17.15475,16.89579,17.08486,14.872046250000002
2023,17.36152,16.53046,15.8627,15.66585,15.12619,14.51677,13.72383,14.03393,13.60081,12.65701,12.23589,11.99427,11.77697,11.68927,11.45972,11.12601,11.41489,11.36104,11.48312,11.41024,12.15274,12.3052,12.90674,13.16686,14.21053,14.81453,15.63255,15.97779,15.96482,15.9053,15.63047,15.01905,14.75149,14.23164,13.70019,13.06406,12.5755,11.91465,11.38656,11.18922,10.73859,10.1663,9.94732,9.74781,9.68803,9.48283,9.70196,10.25812,9.98376,10.14648,10.25267,10.6977,10.72129,11.2624,11.55222,11.87706,11.53564,11.8489,12.30932,12.86809,13.43019,14.27381,14.94035,15.47789,16.11794,16.83395,17.30249,17.72431,17.86526,18.749,19.94111,19.95648,19.83161,19.75355,19.6204,19.22466,18.86519,18.93015,18.39799,18.01368,17.29829,17.01356,16.71931,16.59194,16.34838,15.76019,16.23265,15.85965,17.23454,18.46171,17.83147,17.22131,17.64247,16.74063,16.62035,16.74777,14.394698958333327
2023,17.05787,16.26661,15.49185,15.51617,14.93754,14.13715,13.38835,13.44918,13.02842,12.27672,11.92886,11.64929,11.58912,11.13873,10.92441,10.91066,11.10326,10.9284,11.15399,11.19938,11.78573,12.26763,12.542,12.93391,14.01157,14.43557,15.17231,15.58334,15.41325,15.29673,15.09409,14.66218,14.27578,13.79183,13.42633,12.97593,12.6763,11.95586,11.50168,11.10319,10.76855,10.76433,10.38748,10.09426,10.04281,10.07718,10.21451,10.33165,10.42606,10.55427,10.71283,11.03352,11.01919,11.3198,11.84847,12.20171,12.53627,12.92403,13.36807,13.85472,14.39269,15.05599,16.29702,17.37916,17.05886,17.20169,17.54015,18.4204,18.71614,19.55603,20.36677,20.62577,20.35058,20.36557,20.21447,19.82794,19.30798,19.40671,19.18055,18.71389,18.27179,17.7368,17.40664,17.14,17.14008,16.64748,16.94048,16.86573,18.08906,19.12884,18.08727,17.62392,18.18867,17.32226,16.89372,17.11173,14.625351145833333
2023,17.40194,16.76998,16.18119,16.38011,15.9861,15.10355,14.22258,14.20345,13.51362,13.0529,12.76861,12.41489,12.39329,11.98417,11.78957,11.81155,11.74867,11.66938,11.72487,11.80062,12.2536,12.51541,12.8299,13.1368,14.09561,14.85537,15.6784,16.04682,16.43387,16.75483,17.07823,17.34886,17.3161,17.43718,17.35088,17.2575,17.39343,17.33223,16.79388,16.74316,16.77589,16.7658,17.04285,15.95067,14.79837,14.75414,14.11431,13.58849,13.77513,13.6232,15.37032,12.88554,12.5212,12.31173,11.89101,12.31464,13.00662,13.10133,13.98522,13.88248,14.25188,15.05624,15.47131,16.15714,17.02407,18.11184,17.95681,18.49162,18.83215,19.60369,20.53932,20.77745,20.46871,20.23807,19.87796,19.78539,19.32844,19.54888,19.27111,18.58128,18.1639,17.60129,17.18462,16.9912,16.91918,16.65861,16.87051,16.51133,18.1621,19.27344,18.4322,17.97497,18.32123,17.71422,17.34611,17.43227,15.864193541666674
2023,17.67996,16.95521,16.47556,16.51653,16.03867,15.06765,14.13354,14.12966,13.43354,12.8762,12.5307,12.22838,12.0874,11.84746,11.72983,11.50486,11.6608,11.65643,11.87906,11.87492,12.0813,12.45932,13.06456,13.27292,14.12021,14.95518,15.58209,15.90371,15.32935,15.43789,15.37439,15.22791,14.96952,14.55779,13.99741,13.83637,12.92014,12.68815,12.08963,11.41473,10.7818,10.61869,10.31941,10.04733,9.722,9.79006,9.6674,9.87546,9.93239,10.23994,10.5204,10.38989,10.39332,10.68809,10.93401,11.24205,11.54221,11.78037,12.07578,12.82722,13.30369,13.74969,14.58524,15.25796,15.82018,16.56861,17.19156,17.84452,18.08785,19.02609,19.97166,20.08076,20.0415,19.7955,19.7122,19.4772,19.25839,19.57726,19.40414,19.01274,18.59321,18.08299,17.81709,17.74841,17.59914,17.50645,17.50169,17.27498,18.64636,19.6788,18.92905,18.60128,19.20016,18.7289,17.94261,18.00036,14.735364270833331
2023,18.19742,17.84454,17.27164,16.99613,16.49253,15.69401,15.08079,14.27899,14.36388,14.3186,13.84539,13.34294,12.96794,12.66377,12.5285,12.50235,12.39974,12.29517,12.34228,12.2357,12.22905,12.42908,12.51171,12.60889,13.44842,14.04127,14.5515,15.01799,15.6353,16.27294,16.43323,16.17454,16.38843,16.14235,15.64925,14.72055,14.35552,13.74467,13.30385,12.7646,12.32843,12.09159,12.88001,12.28515,13.66049,14.51934,12.11512,11.05423,11.25342,9.85663,9.64207,11.99672,13.12402,12.9816,13.23037,14.45764,15.18649,15.07309,14.77959,12.84815,14.1718,13.77579,14.24857,15.02973,15.46751,16.8238,18.00253,18.80036,19.22403,20.17843,21.0826,21.053,21.06562,21.29905,21.08092,20.87606,20.45405,20.8415,20.59829,19.79727,19.40012,19.35106,19.49465,19.44991,19.40409,19.26433,20.70488,20.78816,19.97397,19.38279,19.27748,19.09262,19.76367,19.1543,18.27984,17.71187,15.789731770833336
2023,17.97217,16.93689,16.34453,16.9939,16.34325,15.41176,14.78107,14.30152,14.07463,13.85879,13.41776,13.2197,13.12028,12.76392,12.71292,12.59866,12.56625,12.53138,12.30377,12.39222,12.67675,12.64064,12.82598,13.21265,13.78145,14.35197,14.76299,15.39822,15.8655,16.23351,16.52078,16.65088,16.81056,16.78701,16.53166,16.01388,15.43614,14.99652,14.47403,13.75898,13.07484,12.58792,12.05907,11.58396,11.16207,10.76796,10.41334,10.17978,10.16295,10.02904,9.88595,9.81058,9.61914,9.65438,10.01382,10.07038,10.30852,10.7013,11.1626,11.88419,12.7217,13.2599,13.90154,14.87238,15.84521,16.50336,17.37959,18.22162,18.74041,19.80571,20.61566,21.25031,21.60789,21.69943,21.47695,21.34801,21.19125,21.445,21.0007,20.50202,20.23825,20.01786,19.86194,19.85563,19.75898,19.35869,20.24491,20.42461,19.34673,18.76061,18.40705,18.28502,18.82933,18.4615,17.50033,16.90615,15.407848854166668
2023,17.15317,16.38778,15.92312,16.47323,15.78348,14.71672,14.07796,13.93895,13.528,13.20556,13.26009,13.02901,12.91712,12.65808,12.63945,12.56649,12.71494,12.76596,12.76175,12.84919,13.38308,13.87473,14.50046,14.87734,16.47719,17.26105,18.06021,18.74382,19.20553,19.86156,20.2862,19.96655,20.23895,20.05821,18.18228,17.82775,17.7633,15.29025,13.9739,13.27571,13.22391,13.4298,13.72203,12.28528,14.38555,16.33621,14.7286,13.95284,12.28433,12.69993,11.79364,14.47177,13.77366,12.87365,15.01574,15.4078,15.7753,16.43178,15.94204,15.43224,15.21234,15.38734,15.27484,15.83892,16.6937,17.98578,19.08852,19.75561,20.25242,21.67539,22.77442,22.89346,22.54747,22.42922,22.22795,21.64894,21.43534,21.29805,20.94367,20.48998,19.84408,19.39788,19.13534,18.74886,18.3441,17.72804,17.97342,17.66586,18.97405,19.6499,18.90596,18.45912,18.63452,17.96672,17.70797,17.75748,16.658030000000004
2023,18.0516,17.37086,16.8299,16.739,16.05363,15.29796,14.57619,14.60956,14.08967,13.4755,13.08271,12.76742,12.47658,12.19524,12.1545,11.89111,11.82416,11.86458,12.13047,12.19206,12.78767,13.25727,13.51729,13.6938,15.06236,15.64683,16.28806,16.45429,16.46158,16.7106,16.92322,16.51872,16.18666,15.46881,15.14632,14.87611,14.00849,13.25884,12.85546,12.61614,12.55534,14.81634,13.63968,12.5559,11.74862,10.91471,10.82663,11.32665,11.8643,11.90376,13.05815,13.6676,12.37081,11.36026,14.85753,18.06266,16.2526,15.39754,16.78244,16.46478,15.99478,16.46015,17.55136,18.44185,18.85167,18.6215,19.51066,20.72864,21.42019,22.67273,23.31211,23.07211,22.75526,22.8063,22.45242,22.03986,21.16305,21.06956,20.68211,19.93058,19.48369,19.07679,18.76869,18.56656,17.90259,17.47863,17.6888,17.64067,18.92576,19.79627,18.90353,18.4376,18.7612,18.034,18.02486,17.88883,16.174509166666674
