year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2017,24.15894,23.66513,22.90541,22.56354,22.29764,21.6139,20.58828,20.37936,19.60065,19.10684,18.80295,18.27115,17.81532,17.81532,17.26453,17.22654,17.22654,16.59978,16.58078,16.58078,16.94165,17.18856,17.18856,17.18856,17.56841,18.15719,18.65101,18.84094,19.60065,20.64526,21.95577,22.86743,23.79808,24.84269,25.50744,26.11521,26.9319,27.38773,27.88155,27.9955,28.75522,29.55292,29.76184,29.49594,29.40098,29.49594,29.49594,29.49594,29.30601,29.38198,29.21105,28.12845,28.2614,27.90054,27.90054,27.84356,27.84356,27.82457,28.05248,27.59665,27.61565,27.69162,27.29277,27.27378,27.71061,28.12845,28.37536,29.24903,29.95177,31.66113,33.54143,34.35812,35.23179,35.72561,35.38373,35.13683,34.60503,34.11121,33.16157,32.47782,31.83207,31.09134,30.55954,29.93278,29.43896,28.71723,27.91953,27.33075,27.15982,26.77996,26.28615,24.95664,23.83606,23.55117,23.4752,22.96239,25.703498750000005
2017,22.77246,22.1457,21.29102,20.94915,20.66425,20.32238,19.52468,18.80295,18.32813,17.92928,17.64439,17.01762,17.01762,17.01762,17.01762,17.01762,16.96064,16.61877,16.77071,17.30251,17.73935,17.91029,18.46108,19.03087,20.47432,22.03174,23.32326,24.48182,26.22917,27.59665,28.56529,28.71723,28.92616,28.60328,27.71061,27.78658,28.09047,28.16644,27.90054,28.07148,28.07148,27.91953,28.29939,27.7486,27.95752,28.29939,28.29939,28.31838,28.48932,28.67925,29.32501,29.45796,29.40098,28.92616,28.92616,28.5463,28.52731,28.41335,28.05248,28.03349,28.09047,28.2804,28.67925,28.67925,29.66688,30.12271,31.18631,31.98401,33.00962,34.1492,35.68762,36.75122,36.86518,37.47295,37.22604,37.22604,36.96014,36.29539,35.51668,34.79496,34.1302,33.37049,32.70574,31.90804,31.24329,30.46458,29.97076,29.15407,28.48932,27.95752,27.10284,25.88729,24.86168,24.02599,24.007,23.28527,26.769079166666657
2017,23.00038,22.35462,21.42397,20.89217,20.87317,20.03749,19.39173,18.84094,18.32813,17.64439,17.18856,17.18856,17.18856,17.18856,17.18856,17.18856,17.18856,17.18856,17.18856,17.35949,17.6064,17.98626,18.80295,19.79058,21.17706,22.50656,24.36786,25.26053,26.79895,28.31838,28.96414,29.15407,29.05911,28.47033,28.58428,28.20443,28.07148,28.18543,28.33738,28.03349,28.24241,27.9955,27.9955,27.9955,27.9955,28.12845,27.90054,27.90054,28.2804,28.64126,28.41335,28.41335,28.41335,28.33738,28.35637,28.60328,28.16644,28.16644,28.16644,28.39436,28.8122,28.41335,28.37536,28.75522,29.40098,29.64789,30.10371,30.46458,31.41422,33.16157,35.04186,36.10546,36.33338,36.5423,36.77021,36.90317,36.65626,36.23841,35.49769,34.71898,33.95927,33.44646,32.99063,32.23092,31.31926,30.9394,30.02774,29.38198,28.67925,27.78658,27.44471,25.96327,25.03262,24.38686,24.19693,23.53218,26.74692093750002
2017,23.09534,22.43059,21.8608,21.17706,20.98713,20.24641,19.44871,19.08784,18.49906,18.15719,17.53043,17.53043,17.53043,17.18856,16.88467,16.88467,17.16956,17.18856,17.37848,17.47345,17.85331,18.23316,19.12583,19.79058,21.12008,22.75347,24.06398,25.3365,27.08385,28.29939,28.62227,28.88817,29.19206,29.17306,29.24903,28.73623,28.14745,28.35637,28.18543,28.24241,28.29939,28.29939,28.43234,28.5463,28.58428,29.02112,28.98313,28.58428,28.66026,28.92616,28.75522,28.75522,28.75522,29.11608,29.11608,28.83119,28.35637,28.16644,28.16644,28.16644,28.16644,28.16644,28.16644,28.2614,29.59091,29.8758,30.23666,30.95839,32.17394,33.82632,35.13683,35.80158,36.37136,36.33338,36.2764,36.65626,36.10546,36.0105,35.13683,34.49107,33.90229,33.23754,33.0666,32.51581,31.62314,30.63551,29.98976,29.55292,28.96414,27.93853,27.59665,26.47607,25.43147,24.72873,24.69074,23.66513,26.900841562500002
2017,23.13333,22.37361,21.82282,21.348,21.29102,20.36037,19.7336,19.18281,18.55604,17.8723,17.8723,17.53043,17.22654,17.22654,17.22654,17.22654,17.18856,17.18856,17.18856,17.20755,17.81532,18.34712,18.84094,19.67662,21.10109,22.56354,24.13995,25.14657,26.72298,27.90054,28.92616,28.92616,29.05911,28.98313,28.64126,28.37536,28.24241,28.24241,27.91953,28.16644,27.88155,28.24241,27.91953,27.69162,28.0145,28.20443,28.29939,28.31838,28.33738,28.75522,28.5463,28.71723,28.75522,28.41335,28.16644,28.37536,28.33738,28.60328,28.20443,28.20443,28.20443,28.45133,28.64126,29.11608,29.09709,29.6099,30.08472,30.25566,31.4712,32.93365,34.81395,35.63064,35.59266,35.72561,35.36474,35.66863,35.57366,35.02287,34.56704,34.11121,33.52243,32.70574,32.42085,32.003,31.24329,30.61652,29.95177,29.21105,28.73623,28.12845,27.23579,26.17219,25.45046,24.84269,24.76672,23.68412,26.699042916666667
2017,23.32326,22.79146,22.1267,21.53793,21.19605,20.70224,20.05648,19.42972,18.85993,18.38511,18.04324,17.35949,17.35949,17.35949,17.35949,17.35949,17.41647,17.73935,17.73935,17.73935,18.25216,18.46108,19.2018,19.63864,21.23404,22.77246,24.007,25.50744,27.02687,28.18543,29.0781,29.15407,29.24903,28.66026,28.47033,28.66026,28.66026,28.66026,28.10946,28.33738,28.20443,27.95752,27.82457,27.9955,27.9955,28.0145,28.16644,28.39436,28.66026,28.71723,28.71723,28.71723,28.71723,28.94515,28.75522,28.75522,28.50831,28.43234,28.67925,28.35637,28.16644,28.2804,28.67925,28.77421,29.05911,29.11608,29.72386,30.29364,31.30027,32.45883,33.80733,34.62402,34.37711,34.22517,34.22517,34.07323,33.92128,33.18056,32.51581,32.32588,31.4712,30.84444,30.55954,30.08472,29.51493,28.8122,28.29939,27.7486,27.4827,27.1978,26.62802,25.79233,25.12758,24.86168,25.08959,24.12096,26.463412604166663
2017,23.57016,23.00038,22.33563,21.74685,21.38598,20.43634,19.98051,19.41072,18.76497,18.42309,17.79633,17.49244,17.43546,17.43546,16.86568,16.75172,16.75172,16.75172,16.75172,16.75172,16.75172,16.75172,17.0746,17.39748,17.94827,18.63201,18.85993,19.71461,20.22742,21.65188,22.37361,23.07635,24.06398,24.86168,25.22254,25.56442,25.81132,26.19118,26.79895,27.04586,27.08385,27.57766,27.38773,27.42572,27.04586,26.87492,26.91291,27.00787,26.57104,26.666,26.91291,26.96989,26.85593,26.62802,26.32413,26.32413,26.32413,26.32413,26.28615,26.47607,26.87492,26.32413,26.96989,26.96989,26.9509,27.7296,28.52731,29.28702,30.27465,31.92703,33.48445,33.8833,34.05423,33.97826,33.50344,33.10459,32.47782,31.85106,31.05336,30.50256,29.8758,29.43896,29.0781,28.67925,28.07148,27.55867,27.15982,26.49507,26.53305,26.36212,26.36212,25.90629,25.08959,24.97564,24.86168,24.15894,24.918460104166655
2017,24.08297,23.60815,22.63951,22.24066,21.78483,21.15807,20.45533,19.96152,19.35374,18.67,18.55604,18.04324,17.73935,17.39748,16.96064,16.96064,16.96064,16.96064,16.96064,16.96064,16.96064,16.96064,16.96064,16.96064,17.30251,17.64439,17.96726,18.68899,19.12583,19.88554,20.77821,21.57591,22.75347,23.79808,24.5388,25.48844,26.1532,26.666,27.31176,27.84356,28.18543,28.47033,28.47033,28.60328,28.64126,28.41335,28.39436,28.18543,28.07148,28.07148,28.07148,27.80558,27.4637,27.04586,27.08385,27.25478,27.00787,26.70399,27.00787,26.72298,26.62802,26.62802,26.62802,27.02687,27.67263,28.10946,28.96414,29.72386,31.07235,32.13595,33.19955,34.01625,33.76934,33.63639,33.80733,34.05423,33.50344,33.29452,32.57279,31.92703,31.22429,30.69249,30.42659,29.8758,28.71723,28.2804,27.88155,27.34975,26.98888,26.59003,26.07722,24.82369,24.06398,23.58916,23.72211,23.07635,25.21087125
2017,22.65851,22.31663,21.42397,20.96814,20.91116,19.96152,19.42972,18.67,18.29014,17.70136,17.64439,17.0746,16.96064,16.96064,16.96064,16.96064,16.96064,16.96064,17.39748,17.18856,17.54942,17.94827,18.55604,19.48669,20.7972,22.48757,23.81707,25.18456,27.27378,28.66026,29.32501,29.47695,29.98976,30.21767,30.21767,30.21767,29.89479,30.00875,29.83781,29.89479,30.06573,30.4076,30.33163,30.73048,30.73048,30.73048,30.73048,30.73048,31.03437,31.2053,31.07235,31.07235,31.09134,30.69249,30.69249,30.59753,30.35062,30.19868,30.29364,30.29364,30.29364,30.55954,30.69249,30.90142,31.11034,31.64214,32.40185,32.8197,33.97826,35.13683,36.42834,37.18806,37.58691,37.94777,37.94777,38.28965,37.56792,37.35899,36.35237,35.40273,34.79496,33.8643,33.50344,33.00962,31.79408,30.74947,30.44559,29.74285,28.73623,28.18543,27.63464,26.36212,25.24154,24.69074,24.36786,23.38023,27.7646221875
2017,23.15232,22.62052,21.51893,21.15807,21.10109,20.2844,19.65763,19.08784,18.42309,17.81532,17.81532,17.58741,17.18856,17.18856,17.18856,17.18856,17.18856,17.18856,17.18856,17.18856,17.77734,18.25216,18.91691,19.60065,20.94915,22.77246,24.13995,25.58341,27.42572,28.8122,29.09709,29.344,29.64789,29.70486,28.92616,28.66026,28.50831,28.90716,28.50831,28.22342,28.33738,28.33738,28.83119,28.77421,28.20443,28.5463,28.71723,29.15407,29.19206,29.19206,29.19206,29.19206,28.85018,28.67925,28.71723,29.05911,27.57766,28.5463,28.5463,28.5463,28.5463,29.09709,29.09709,29.24903,29.70486,29.98976,30.46458,30.92041,32.2879,33.97826,35.64964,36.59928,36.48532,36.59928,36.84619,37.01712,36.52331,35.63064,35.40273,34.87093,34.58603,33.76934,32.97164,32.2689,31.71811,30.73048,29.98976,28.88817,27.95752,27.78658,27.17881,25.92528,25.14657,24.74772,24.74772,24.74772,27.01875687499999
