Year,Month,Day,averagemwh,rainfall_mm,solar_exposure,min_temp,max_temp
2019,1,1,14.979211250000006,5.8,31.7,21.8,34.2
2019,1,1,15.020085833333338,5.8,31.7,21.8,34.2
2019,1,1,15.01026927083334,5.8,31.7,21.8,34.2
2019,1,1,14.688805624999995,5.8,31.7,21.8,34.2
2019,1,1,13.449893750000008,5.8,31.7,21.8,34.2
2019,1,1,13.574837291666668,5.8,31.7,21.8,34.2
2019,1,1,15.221781874999996,5.8,31.7,21.8,34.2
2019,1,1,15.38367447916666,5.8,31.7,21.8,34.2
2019,1,1,15.364575,5.8,31.7,21.8,34.2
2019,1,1,15.414552812499998,5.8,31.7,21.8,34.2
2019,1,1,16.702549687499992,5.8,31.7,21.8,34.2
2019,1,1,16.305226875000006,5.8,31.7,21.8,34.2
2019,1,1,16.097998020833337,5.8,31.7,21.8,34.2
2019,1,1,16.893714791666667,5.8,31.7,21.8,34.2
2019,1,1,16.609734166666666,5.8,31.7,21.8,34.2
2019,1,1,16.982603854166666,5.8,31.7,21.8,34.2
2019,1,1,16.888716979166663,5.8,31.7,21.8,34.2
2019,1,1,16.9065659375,5.8,31.7,21.8,34.2
2019,1,1,15.82544072916666,5.8,31.7,21.8,34.2
2019,1,1,15.61285718749999,5.8,31.7,21.8,34.2
2019,1,1,16.893893125000005,5.8,31.7,21.8,34.2
2019,1,1,16.420353749999993,5.8,31.7,21.8,34.2
2019,1,1,16.301657187499995,5.8,31.7,21.8,34.2
2019,1,1,16.9379803125,5.8,31.7,21.8,34.2
2019,1,1,16.380015000000004,5.8,31.7,21.8,34.2
2019,1,1,15.242665520833334,5.8,31.7,21.8,34.2
2019,1,1,15.129858437500005,5.8,31.7,21.8,34.2
2019,1,1,17.164308437499994,5.8,31.7,21.8,34.2
2019,1,1,16.385191458333328,5.8,31.7,21.8,34.2
2019,1,1,17.858105624999997,5.8,31.7,21.8,34.2
2019,1,1,18.713795416666667,5.8,31.7,21.8,34.2
2019,1,1,19.25766010416667,5.8,31.7,21.8,34.2
2019,1,1,17.663549895833338,5.8,31.7,21.8,34.2
2019,1,1,16.370734166666665,5.8,31.7,21.8,34.2
2019,1,1,18.33110864583334,5.8,31.7,21.8,34.2
2019,1,1,19.78760208333333,5.8,31.7,21.8,34.2
2019,1,1,19.63356427083333,5.8,31.7,21.8,34.2
2019,1,1,18.5404796875,5.8,31.7,21.8,34.2
2019,1,1,19.18644145833333,5.8,31.7,21.8,34.2
2019,1,1,17.850787500000003,5.8,31.7,21.8,34.2
2019,1,1,17.088805625000003,5.8,31.7,21.8,34.2
2019,1,1,17.078275,5.8,31.7,21.8,34.2
2019,1,1,20.482113958333336,5.8,31.7,21.8,34.2
2019,1,1,19.231065625000003,5.8,31.7,21.8,34.2
2019,1,1,19.319418541666668,5.8,31.7,21.8,34.2
2019,1,1,19.123255624999995,5.8,31.7,21.8,34.2
2019,1,1,18.291841875,5.8,31.7,21.8,34.2
2019,1,1,19.57109114583333,5.8,31.7,21.8,34.2
2019,1,1,21.80384604166667,5.8,31.7,21.8,34.2
2019,1,1,22.94190968749999,5.8,31.7,21.8,34.2
2019,1,1,20.377874999999992,5.8,31.7,21.8,34.2
2019,1,1,20.302194479166666,5.8,31.7,21.8,34.2
2019,1,1,19.45721416666666,5.8,31.7,21.8,34.2
2019,1,1,18.53316177083334,5.8,31.7,21.8,34.2
2019,1,1,19.43204666666666,5.8,31.7,21.8,34.2
2019,1,1,21.309245416666663,5.8,31.7,21.8,34.2
2019,1,1,21.61428739583333,5.8,31.7,21.8,34.2
2019,1,1,20.708620625,5.8,31.7,21.8,34.2
2019,1,1,20.659178229166667,5.8,31.7,21.8,34.2
2019,1,1,21.5054078125,5.8,31.7,21.8,34.2
2019,1,1,19.45560791666667,5.8,31.7,21.8,34.2
2019,1,1,19.058641562500004,5.8,31.7,21.8,34.2
2019,1,1,21.23731302083333,5.8,31.7,21.8,34.2
2019,1,1,19.968056979166654,5.8,31.7,21.8,34.2
2019,1,1,19.425264166666665,5.8,31.7,21.8,34.2
2019,1,1,17.977516979166662,5.8,31.7,21.8,34.2
2019,1,1,16.90531666666666,5.8,31.7,21.8,34.2
2019,1,1,18.096928020833328,5.8,31.7,21.8,34.2
2019,1,1,18.185638645833336,5.8,31.7,21.8,34.2
2019,1,1,20.10371083333333,5.8,31.7,21.8,34.2
2019,1,1,19.6962146875,5.8,31.7,21.8,34.2
2019,1,1,19.95824052083333,5.8,31.7,21.8,34.2
2019,1,1,19.832582291666665,5.8,31.7,21.8,34.2
2019,1,1,20.06372958333333,5.8,31.7,21.8,34.2
2019,1,1,18.82463875,5.8,31.7,21.8,34.2
2019,1,1,19.48809343750001,5.8,31.7,21.8,34.2
2019,1,1,21.91397552083333,5.8,31.7,21.8,34.2
2019,1,1,19.8880934375,5.8,31.7,21.8,34.2
2019,1,1,18.65400083333333,5.8,31.7,21.8,34.2
2019,1,1,20.50049916666666,5.8,31.7,21.8,34.2
2019,1,1,20.00571885416666,5.8,31.7,21.8,34.2
2019,1,1,18.706120624999997,5.8,31.7,21.8,34.2
2019,1,1,19.1693065625,5.8,31.7,21.8,34.2
2019,1,1,21.40741489583333,5.8,31.7,21.8,34.2
2019,1,1,19.47684875,5.8,31.7,21.8,34.2
2019,1,1,19.0425778125,5.8,31.7,21.8,34.2
2019,1,1,19.27408114583333,5.8,31.7,21.8,34.2
2019,1,1,17.977873437499998,5.8,31.7,21.8,34.2
2019,1,1,15.715489791666668,5.8,31.7,21.8,34.2
2019,1,1,18.822853958333337,5.8,31.7,21.8,34.2
2019,1,1,19.01116270833333,5.8,31.7,21.8,34.2
2019,1,1,18.92513,5.8,31.7,21.8,34.2
2019,1,1,17.731912291666667,5.8,31.7,21.8,34.2
2019,1,1,16.725575208333325,5.8,31.7,21.8,34.2
2019,1,1,17.04543239583333,5.8,31.7,21.8,34.2
2019,1,1,20.067477291666663,5.8,31.7,21.8,34.2
2019,1,1,19.77368010416666,5.8,31.7,21.8,34.2
2019,1,1,20.211163229166655,5.8,31.7,21.8,34.2
2019,1,1,19.079882604166663,5.8,31.7,21.8,34.2
2019,1,1,18.30451375,5.8,31.7,21.8,34.2
2019,1,1,15.466851354166664,5.8,31.7,21.8,34.2
2019,1,1,17.339586979166665,5.8,31.7,21.8,34.2
2019,1,1,18.91495645833334,5.8,31.7,21.8,34.2
2019,1,1,17.9673425,5.8,31.7,21.8,34.2
2019,1,1,17.210894687499994,5.8,31.7,21.8,34.2
2019,1,1,17.007413645833328,5.8,31.7,21.8,34.2
2019,1,1,17.78242562499999,5.8,31.7,21.8,34.2
2019,1,1,17.42365677083333,5.8,31.7,21.8,34.2
2019,1,1,18.058373750000005,5.8,31.7,21.8,34.2
2019,1,1,20.70076677083333,5.8,31.7,21.8,34.2
2019,1,1,19.998222604166667,5.8,31.7,21.8,34.2
2019,1,1,19.58804854166667,5.8,31.7,21.8,34.2
2019,1,1,19.43222520833333,5.8,31.7,21.8,34.2
2019,1,1,18.685058541666667,5.8,31.7,21.8,34.2
2019,1,1,17.19304489583334,5.8,31.7,21.8,34.2
2019,1,1,17.635526354166668,5.8,31.7,21.8,34.2
2019,1,1,20.87818729166667,5.8,31.7,21.8,34.2
2019,1,1,20.47997197916667,5.8,31.7,21.8,34.2
2019,1,1,20.67417145833333,5.8,31.7,21.8,34.2
2019,1,1,19.824728125000004,5.8,31.7,21.8,34.2
2019,1,1,20.30094447916667,5.8,31.7,21.8,34.2
2019,1,1,16.529066041666663,5.8,31.7,21.8,34.2
2019,1,1,17.883000625000005,5.8,31.7,21.8,34.2
2019,1,1,21.12619583333333,5.8,31.7,21.8,34.2
2019,1,1,19.22069114583333,5.8,31.7,21.8,34.2
2019,1,1,18.801569166666667,5.8,31.7,21.8,34.2
2019,1,1,17.844622187499997,5.8,31.7,21.8,34.2
2019,1,1,16.46302052083333,5.8,31.7,21.8,34.2
2019,1,1,17.017446041666673,5.8,31.7,21.8,34.2
2019,1,1,15.191910729166674,5.8,31.7,21.8,34.2
2019,1,1,16.421786562499992,5.8,31.7,21.8,34.2
2019,1,1,15.86432583333334,5.8,31.7,21.8,34.2
2019,1,1,15.420928437499994,5.8,31.7,21.8,34.2
2019,1,1,15.172275833333332,5.8,31.7,21.8,34.2
2019,1,1,14.783857187499995,5.8,31.7,21.8,34.2
2019,1,1,13.590216250000005,5.8,31.7,21.8,34.2
2019,1,1,14.366519375,5.8,31.7,21.8,34.2
2019,1,1,16.60939145833334,5.8,31.7,21.8,34.2
2019,1,1,15.676185729166669,5.8,31.7,21.8,34.2
2019,1,1,15.370055833333335,5.8,31.7,21.8,34.2
2019,1,1,16.545131458333326,5.8,31.7,21.8,34.2
2019,1,1,15.9114503125,5.8,31.7,21.8,34.2
2019,1,1,14.338138437499998,5.8,31.7,21.8,34.2
2019,1,1,13.873855312499998,5.8,31.7,21.8,34.2
2019,1,1,17.565625,5.8,31.7,21.8,34.2
2019,1,1,17.591864687499996,5.8,31.7,21.8,34.2
2019,1,1,18.340678854166654,5.8,31.7,21.8,34.2
2019,1,1,16.540490520833334,5.8,31.7,21.8,34.2
2019,1,1,15.18352135416667,5.8,31.7,21.8,34.2
2019,1,1,13.749261250000002,5.8,31.7,21.8,34.2
2019,1,1,13.565404791666666,5.8,31.7,21.8,34.2
2019,1,1,13.619669270833336,5.8,31.7,21.8,34.2
2019,1,1,14.752261979166674,5.8,31.7,21.8,34.2
2019,1,1,14.935582604166669,5.8,31.7,21.8,34.2
2019,1,1,16.349672291666675,5.8,31.7,21.8,34.2
2019,1,1,17.468162708333335,5.8,31.7,21.8,34.2
2019,1,1,15.0335803125,5.8,31.7,21.8,34.2
2019,1,1,15.871288541666663,5.8,31.7,21.8,34.2
2019,1,1,15.16745625,5.8,31.7,21.8,34.2
2019,1,1,17.215047500000008,5.8,31.7,21.8,34.2
2019,1,1,16.81127697916667,5.8,31.7,21.8,34.2
2019,1,1,16.463377708333333,5.8,31.7,21.8,34.2
2019,1,1,14.559658333333337,5.8,31.7,21.8,34.2
2019,1,1,14.060032916666666,5.8,31.7,21.8,34.2
2019,1,1,16.295586145833333,5.8,31.7,21.8,34.2
2019,1,1,15.28758802083334,5.8,31.7,21.8,34.2
2019,1,1,15.601214895833332,5.8,31.7,21.8,34.2
2019,1,1,15.275627916666666,5.8,31.7,21.8,34.2
2019,1,1,15.049645000000003,5.8,31.7,21.8,34.2
2019,1,1,13.961321041666674,5.8,31.7,21.8,34.2
2019,1,1,13.50025166666667,5.8,31.7,21.8,34.2
2019,1,1,14.908985625,5.8,31.7,21.8,34.2
2019,1,1,15.198693749999997,5.8,31.7,21.8,34.2
2019,1,1,14.92415864583333,5.8,31.7,21.8,34.2
2019,1,1,14.9075584375,5.8,31.7,21.8,34.2
2019,1,1,14.394723020833329,5.8,31.7,21.8,34.2
2019,1,1,13.206795104166664,5.8,31.7,21.8,34.2
2019,1,1,13.16288364583333,5.8,31.7,21.8,34.2
2019,1,1,15.040720729166669,5.8,31.7,21.8,34.2
2019,1,1,14.90291677083333,5.8,31.7,21.8,34.2
2019,1,1,14.97253302083332,5.8,31.7,21.8,34.2
2019,1,1,15.63798635416667,5.8,31.7,21.8,34.2
2019,1,1,18.801569479166663,5.8,31.7,21.8,34.2
2019,1,1,15.420750000000004,5.8,31.7,21.8,34.2
2019,1,1,13.42867270833333,5.8,31.7,21.8,34.2
2019,1,1,15.795424479166668,5.8,31.7,21.8,34.2
2019,1,1,17.182739062499998,5.8,31.7,21.8,34.2
2019,1,1,15.942688854166668,5.8,31.7,21.8,34.2
2019,1,1,14.430601562499994,5.8,31.7,21.8,34.2
2019,1,1,14.25049333333333,5.8,31.7,21.8,34.2
2019,1,1,12.954215416666663,5.8,31.7,21.8,34.2
2019,1,1,12.761611770833332,5.8,31.7,21.8,34.2
2019,1,1,14.670686770833337,5.8,31.7,21.8,34.2
2019,1,1,14.94022364583334,5.8,31.7,21.8,34.2
2019,1,1,15.414502395833331,5.8,31.7,21.8,34.2
2019,1,1,15.267595624999998,5.8,31.7,21.8,34.2
2019,1,1,14.705494166666668,5.8,31.7,21.8,34.2
2019,1,1,13.439203958333335,5.8,31.7,21.8,34.2
2019,1,1,13.111474583333331,5.8,31.7,21.8,34.2
2019,1,1,14.913091458333334,5.8,31.7,21.8,34.2
2019,1,1,15.214759062500002,5.8,31.7,21.8,34.2
2019,1,1,16.171884166666665,5.8,31.7,21.8,34.2
2019,1,1,14.965749895833332,5.8,31.7,21.8,34.2
2019,1,1,14.018798333333327,5.8,31.7,21.8,34.2
2019,1,1,13.283015208333325,5.8,31.7,21.8,34.2
2019,1,1,13.017940208333338,5.8,31.7,21.8,34.2
2019,1,1,14.795102083333342,5.8,31.7,21.8,34.2
2019,1,1,15.040006458333329,5.8,31.7,21.8,34.2
2019,1,1,15.944652291666666,5.8,31.7,21.8,34.2
2019,1,1,15.025726145833325,5.8,31.7,21.8,34.2
2019,1,1,14.684252500000008,5.8,31.7,21.8,34.2
2019,1,1,13.682859062500002,5.8,31.7,21.8,34.2
2019,1,1,14.553946562500004,5.8,31.7,21.8,34.2
2019,1,1,16.037294270833332,5.8,31.7,21.8,34.2
2019,1,1,15.356131770833333,5.8,31.7,21.8,34.2
2019,1,1,14.767255416666664,5.8,31.7,21.8,34.2
2019,1,1,14.8984540625,5.8,31.7,21.8,34.2
2019,1,1,14.989490104166665,5.8,31.7,21.8,34.2
2019,1,1,14.077882812500002,5.8,31.7,21.8,34.2
2019,1,1,14.49272041666667,5.8,31.7,21.8,34.2
2019,1,1,16.526923749999995,5.8,31.7,21.8,34.2
2019,1,1,15.50161145833333,5.8,31.7,21.8,34.2
2019,1,1,15.742945520833333,5.8,31.7,21.8,34.2
2019,1,1,16.350564375,5.8,31.7,21.8,34.2
2019,1,1,15.920019062500003,5.8,31.7,21.8,34.2
2019,1,1,15.752941041666665,5.8,31.7,21.8,34.2
2019,1,1,15.90823791666666,5.8,31.7,21.8,34.2
2019,1,1,18.12433520833333,5.8,31.7,21.8,34.2
