Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
66058,2015,1,1,0.0,1.0,0
66058,2015,1,2,0.0,1.0,1
66058,2015,1,3,0.0,1.0,2
66058,2015,1,4,0.0,1.0,3
66058,2015,1,5,0.0,1.0,4
66058,2015,1,6,0.0,1.0,5
66058,2015,1,7,0.0,1.0,6
66058,2015,1,8,0.0,1.0,7
66058,2015,1,9,0.0,1.0,8
66058,2015,1,10,0.0,1.0,9
66058,2015,1,11,37.0,1.0,10
66058,2015,1,12,4.0,1.0,11
66058,2015,1,13,0.0,1.0,12
66058,2015,1,14,1.0,1.0,13
66058,2015,1,15,3.0,1.0,14
66058,2015,1,16,0.0,1.0,15
66058,2015,1,17,0.0,1.0,16
66058,2015,1,18,0.0,1.0,17
66058,2015,1,19,0.0,1.0,18
66058,2015,1,20,3.0,1.0,19
66058,2015,1,21,15.0,1.0,20
66058,2015,1,22,0.0,1.0,21
66058,2015,1,23,0.0,1.0,22
66058,2015,1,24,0.0,1.0,23
66058,2015,1,25,1.0,1.0,24
66058,2015,1,26,0.0,1.0,25
66058,2015,1,27,25.0,1.0,26
66058,2015,1,28,60.0,1.0,27
66058,2015,1,29,5.0,1.0,28
66058,2015,1,30,0.0,1.0,29
66058,2015,1,31,0.0,1.0,30
66058,2015,2,1,0.0,1.0,31
66058,2015,2,2,0.0,1.0,32
66058,2015,2,3,0.0,1.0,33
66058,2015,2,4,0.0,1.0,34
66058,2015,2,5,10.0,1.0,35
66058,2015,2,6,1.0,1.0,36
66058,2015,2,7,0.0,1.0,37
66058,2015,2,8,0.0,1.0,38
66058,2015,2,9,0.0,1.0,39
66058,2015,2,10,0.0,1.0,40
66058,2015,2,11,0.0,1.0,41
66058,2015,2,12,0.0,1.0,42
66058,2015,2,13,13.0,1.0,43
66058,2015,2,14,5.0,1.0,44
66058,2015,2,15,2.0,1.0,45
66058,2015,2,16,0.0,1.0,46
66058,2015,2,17,0.0,1.0,47
66058,2015,2,18,0.0,1.0,48
66058,2015,2,19,0.0,1.0,49
66058,2015,2,20,0.0,1.0,50
66058,2015,2,21,4.0,1.0,51
66058,2015,2,22,6.0,1.0,52
66058,2015,2,23,0.0,1.0,53
66058,2015,2,24,0.0,1.0,54
66058,2015,2,25,0.0,1.0,55
66058,2015,2,26,6.0,1.0,56
66058,2015,2,27,20.0,1.0,57
66058,2015,2,28,0.0,1.0,58
66058,2015,3,1,0.0,1.0,59
66058,2015,3,2,5.0,1.0,60
66058,2015,3,3,0.0,1.0,61
66058,2015,3,4,0.0,1.0,62
66058,2015,3,5,0.0,1.0,63
66058,2015,3,6,0.0,1.0,64
66058,2015,3,7,6.0,1.0,65
66058,2015,3,8,0.0,1.0,66
66058,2015,3,9,0.0,1.0,67
66058,2015,3,10,0.0,1.0,68
66058,2015,3,11,0.0,1.0,69
66058,2015,3,12,0.0,1.0,70
66058,2015,3,13,1.0,1.0,71
66058,2015,3,14,3.0,1.0,72
66058,2015,3,15,0.0,1.0,73
66058,2015,3,16,0.0,1.0,74
66058,2015,3,17,0.0,1.0,75
66058,2015,3,18,0.0,1.0,76
66058,2015,3,19,0.0,1.0,77
66058,2015,3,20,0.0,1.0,78
66058,2015,3,21,1.0,1.0,79
66058,2015,3,22,3.0,1.0,80
66058,2015,3,23,0.0,1.0,81
66058,2015,3,24,0.0,1.0,82
66058,2015,3,25,12.0,1.0,83
66058,2015,3,26,0.0,1.0,84
66058,2015,3,27,0.0,1.0,85
66058,2015,3,28,0.0,1.0,86
66058,2015,3,29,0.0,1.0,87
66058,2015,3,30,0.0,1.0,88
66058,2015,3,31,14.0,1.0,89
66058,2015,4,1,18.0,1.0,90
66058,2015,4,2,0.0,1.0,91
66058,2015,4,3,0.0,1.0,92
66058,2015,4,4,17.0,1.0,93
66058,2015,4,5,9.0,1.0,94
66058,2015,4,6,0.0,1.0,95
66058,2015,4,7,12.0,1.0,96
66058,2015,4,8,1.0,1.0,97
66058,2015,4,9,0.0,1.0,98
66058,2015,4,10,0.0,1.0,99
66058,2015,4,11,20.0,1.0,100
66058,2015,4,12,1.0,1.0,101
66058,2015,4,13,0.0,1.0,102
66058,2015,4,14,0.0,1.0,103
66058,2015,4,15,0.0,1.0,104
66058,2015,4,16,0.0,1.0,105
66058,2015,4,17,1.0,1.0,106
66058,2015,4,18,2.0,1.0,107
66058,2015,4,19,2.0,1.0,108
66058,2015,4,20,4.0,1.0,109
66058,2015,4,21,90.0,1.0,110
66058,2015,4,22,85.0,1.0,111
66058,2015,4,23,78.0,1.0,112
66058,2015,4,24,0.0,1.0,113
66058,2015,4,25,0.0,1.0,114
66058,2015,4,26,10.0,1.0,115
66058,2015,4,27,3.0,1.0,116
66058,2015,4,28,0.0,1.0,117
66058,2015,4,29,1.0,1.0,118
66058,2015,4,30,13.0,1.0,119
66058,2015,5,1,22.0,1.0,120
66058,2015,5,2,18.0,1.0,121
66058,2015,5,3,23.0,1.0,122
66058,2015,5,4,0.0,1.0,123
66058,2015,5,5,0.0,1.0,124
66058,2015,5,6,0.0,1.0,125
66058,2015,5,7,0.0,1.0,126
66058,2015,5,8,0.0,1.0,127
66058,2015,5,9,0.0,1.0,128
66058,2015,5,10,0.0,1.0,129
66058,2015,5,11,0.0,1.0,130
66058,2015,5,12,0.0,1.0,131
66058,2015,5,13,0.0,1.0,132
66058,2015,5,14,2.0,1.0,133
66058,2015,5,15,0.0,1.0,134
66058,2015,5,16,0.0,1.0,135
66058,2015,5,17,0.0,1.0,136
66058,2015,5,18,0.0,1.0,137
66058,2015,5,19,1.0,1.0,138
66058,2015,5,20,2.0,1.0,139
66058,2015,5,21,0.0,1.0,140
66058,2015,5,22,18.0,1.0,141
66058,2015,5,23,29.0,1.0,142
66058,2015,5,24,0.0,1.0,143
66058,2015,5,25,0.0,1.0,144
66058,2015,5,26,0.0,1.0,145
66058,2015,5,27,0.0,1.0,146
66058,2015,5,28,0.0,1.0,147
66058,2015,5,29,0.0,1.0,148
66058,2015,5,30,0.0,1.0,149
66058,2015,5,31,0.0,1.0,150
66058,2015,6,1,0.0,1.0,151
66058,2015,6,2,0.0,1.0,152
66058,2015,6,3,0.0,1.0,153
66058,2015,6,4,0.0,1.0,154
66058,2015,6,5,0.0,1.0,155
66058,2015,6,6,0.0,1.0,156
66058,2015,6,7,0.0,1.0,157
66058,2015,6,8,0.0,1.0,158
66058,2015,6,9,0.0,1.0,159
66058,2015,6,10,1.0,1.0,160
66058,2015,6,11,2.0,1.0,161
66058,2015,6,12,0.0,1.0,162
66058,2015,6,13,0.0,1.0,163
66058,2015,6,14,0.0,1.0,164
66058,2015,6,15,0.0,1.0,165
66058,2015,6,16,4.0,1.0,166
66058,2015,6,17,10.0,1.0,167
66058,2015,6,18,2.0,1.0,168
66058,2015,6,19,77.0,1.0,169
66058,2015,6,20,2.0,1.0,170
66058,2015,6,21,0.0,1.0,171
66058,2015,6,22,4.0,1.0,172
66058,2015,6,23,0.0,1.0,173
66058,2015,6,24,0.0,1.0,174
66058,2015,6,25,0.0,1.0,175
66058,2015,6,26,2.0,1.0,176
66058,2015,6,27,0.0,1.0,177
