Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
61268,2015,1,1,31.3,0
61268,2015,1,2,25.8,1
61268,2015,1,3,31.2,2
61268,2015,1,4,27.6,3
61268,2015,1,5,17.1,4
61268,2015,1,6,29.0,5
61268,2015,1,7,31.0,6
61268,2015,1,8,31.7,7
61268,2015,1,9,24.4,8
61268,2015,1,10,15.1,9
61268,2015,1,11,3.0,10
61268,2015,1,12,12.8,11
61268,2015,1,13,26.7,12
61268,2015,1,14,30.0,13
61268,2015,1,15,27.4,14
61268,2015,1,16,30.2,15
61268,2015,1,17,32.1,16
61268,2015,1,18,28.1,17
61268,2015,1,19,3.8,18
61268,2015,1,20,19.2,19
61268,2015,1,21,23.5,20
61268,2015,1,22,26.0,21
61268,2015,1,23,23.6,22
61268,2015,1,24,29.3,23
61268,2015,1,25,29.9,24
61268,2015,1,26,3.4,25
61268,2015,1,27,2.2,26
61268,2015,1,28,10.9,27
61268,2015,1,29,30.1,28
61268,2015,1,30,28.0,29
61268,2015,1,31,27.7,30
61268,2015,2,1,20.0,31
61268,2015,2,2,26.5,32
61268,2015,2,3,17.2,33
61268,2015,2,4,18.7,34
61268,2015,2,5,16.2,35
61268,2015,2,6,23.5,36
61268,2015,2,7,21.4,37
61268,2015,2,8,28.8,38
61268,2015,2,9,19.9,39
61268,2015,2,10,23.1,40
61268,2015,2,11,22.3,41
61268,2015,2,12,27.1,42
61268,2015,2,13,21.3,43
61268,2015,2,14,22.1,44
61268,2015,2,15,21.2,45
61268,2015,2,16,25.4,46
61268,2015,2,17,26.3,47
61268,2015,2,18,19.9,48
61268,2015,2,19,14.9,49
61268,2015,2,20,9.0,50
61268,2015,2,21,13.2,51
61268,2015,2,22,19.5,52
61268,2015,2,23,19.5,53
61268,2015,2,24,19.6,54
61268,2015,2,25,12.4,55
61268,2015,2,26,16.2,56
61268,2015,2,27,16.4,57
61268,2015,2,28,18.9,58
61268,2015,3,1,23.2,59
61268,2015,3,2,9.5,60
61268,2015,3,3,24.9,61
61268,2015,3,4,21.1,62
61268,2015,3,5,25.0,63
61268,2015,3,6,25.0,64
61268,2015,3,7,21.7,65
61268,2015,3,8,16.0,66
61268,2015,3,9,23.6,67
61268,2015,3,10,17.0,68
61268,2015,3,11,21.4,69
61268,2015,3,12,16.0,70
61268,2015,3,13,3.8,71
61268,2015,3,14,19.9,72
61268,2015,3,15,13.4,73
61268,2015,3,16,19.2,74
61268,2015,3,17,16.5,75
61268,2015,3,18,17.1,76
61268,2015,3,19,22.3,77
61268,2015,3,20,20.4,78
61268,2015,3,21,5.9,79
61268,2015,3,22,12.3,80
61268,2015,3,23,20.3,81
61268,2015,3,24,13.6,82
61268,2015,3,25,17.7,83
61268,2015,3,26,21.1,84
61268,2015,3,27,21.9,85
61268,2015,3,28,19.1,86
61268,2015,3,29,19.1,87
61268,2015,3,30,6.7,88
61268,2015,3,31,8.2,89
61268,2015,4,1,17.9,90
61268,2015,4,2,14.3,91
61268,2015,4,3,4.3,92
61268,2015,4,4,3.1,93
61268,2015,4,5,14.1,94
61268,2015,4,6,15.9,95
61268,2015,4,7,15.9,96
61268,2015,4,8,13.6,97
61268,2015,4,9,11.7,98
61268,2015,4,10,13.0,99
61268,2015,4,11,13.5,100
61268,2015,4,12,14.3,101
61268,2015,4,13,13.8,102
61268,2015,4,14,17.4,103
61268,2015,4,15,16.8,104
61268,2015,4,16,16.6,105
61268,2015,4,17,11.9,106
61268,2015,4,18,10.1,107
61268,2015,4,19,8.6,108
61268,2015,4,20,4.1,109
61268,2015,4,21,2.3,110
61268,2015,4,22,7.6,111
61268,2015,4,23,11.2,112
61268,2015,4,24,14.4,113
61268,2015,4,25,15.4,114
61268,2015,4,26,7.9,115
61268,2015,4,27,14.3,116
61268,2015,4,28,15.3,117
61268,2015,4,29,10.8,118
61268,2015,4,30,12.0,119
61268,2015,5,1,6.3,120
61268,2015,5,2,7.8,121
61268,2015,5,3,6.8,122
61268,2015,5,4,6.0,123
