Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,31.3,16.2,34.7,10.285492604166668
2015.0,0.0,25.8,20.0,31.7,9.912749895833336
2015.0,0.0,31.2,18.6,33.9,8.516402916666662
2015.0,0.0,27.6,18.4,34.4,8.674428541666666
2015.0,0.0,17.1,21.8,26.9,9.590800208333333
2015.0,0.0,29.0,18.6,30.4,8.503236041666664
2015.0,0.0,31.0,19.1,31.6,8.464414999999997
2015.0,0.0,31.7,15.4,33.1,8.869661145833334
2015.0,0.0,24.4,18.1,35.2,10.36398395833334
2015.0,0.0,15.1,19.8,32.3,10.83376354166667
2015.0,21.6,3.0,19.9,22.8,11.346057083333337
2015.0,21.6,12.8,20.1,25.9,10.310255833333333
2015.0,0.0,26.7,19.3,30.0,8.642126979166667
2015.0,8.4,30.0,21.6,33.9,11.027941041666672
2015.0,0.0,27.4,19.6,30.4,10.423521979166669
2015.0,0.0,30.2,20.8,33.0,8.099380312500001
2015.0,0.0,32.1,15.4,35.6,7.63491625
2015.0,0.0,28.1,14.2,31.7,7.571102604166669
2015.0,3.0,3.8,19.2,20.4,8.357648749999997
2015.0,45.0,19.2,17.5,25.9,10.055157291666664
2015.0,0.0,23.5,18.6,30.2,11.869935208333338
2015.0,2.0,26.0,19.3,29.5,7.755731458333334
2015.0,0.0,23.6,19.2,32.5,8.301583541666664
2015.0,0.0,29.3,20.0,32.6,7.833375104166666
2015.0,13.0,29.9,19.8,34.5,9.578706145833332
2015.0,0.0,3.4,22.1,22.6,10.172506875000003
2015.0,4.2,2.2,19.0,19.6,10.086207395833334
2015.0,59.0,10.9,17.1,21.6,10.000476979166669
2015.0,0.0,30.1,15.1,24.5,9.711461562499997
2015.0,0.0,28.0,10.8,26.6,7.439767708333332
2015.0,0.0,27.7,12.5,28.6,7.686646874999998
2015.0,0.0,20.0,17.6,27.0,10.148089374999998
2015.0,3.0,26.5,17.4,26.7,11.473868645833331
2015.0,8.0,17.2,15.9,25.6,12.667689895833336
2015.0,0.0,18.7,12.1,25.3,11.571393229166668
2015.0,2.0,16.2,16.1,25.1,9.721254687500004
2015.0,0.0,23.5,14.8,25.5,9.763026354166664
2015.0,0.0,21.4,14.7,28.0,9.694441770833334
2015.0,0.0,28.8,14.3,35.1,9.640262083333331
2015.0,0.0,19.9,16.4,28.3,11.607048854166663
2015.0,0.0,23.1,18.6,29.4,12.46721854166666
2015.0,0.0,22.3,16.4,29.6,10.834631041666668
2015.0,0.0,27.1,16.0,30.9,9.765170104166666
2015.0,7.0,21.3,19.5,29.0,10.9201215625
2015.0,1.8,22.1,16.8,29.8,8.3922171875
2015.0,0.2,21.2,15.7,31.3,9.558819895833334
2015.0,19.6,25.4,17.1,30.2,10.385112395833334
2015.0,0.0,26.3,17.7,30.4,11.8612790625
2015.0,0.0,19.9,17.1,29.0,11.567718020833334
2015.0,0.0,14.9,16.8,27.3,11.329839062499998
2015.0,0.0,9.0,18.5,26.4,8.50645229166667
2015.0,2.6,13.2,20.0,26.7,10.180574270833333
2015.0,2.6,19.5,19.1,27.2,9.802659062499997
2015.0,2.4,19.5,19.7,29.1,9.945571770833329
2015.0,0.0,19.6,19.0,28.5,11.089136979166666
2015.0,0.0,12.4,19.2,28.3,12.096973333333336
2015.0,0.0,16.2,19.0,28.0,11.336533124999995
2015.0,3.0,16.4,17.4,30.1,8.976557812500005
2015.0,3.2,18.9,15.0,36.1,8.923506666666666
2015.0,0.0,23.2,16.6,24.5,11.167057708333331
2015.0,1.4,9.5,19.4,31.0,9.298194270833331
2015.0,0.0,24.9,11.7,32.5,7.426583854166665
2015.0,0.0,21.1,18.5,30.9,7.748503437499998
2015.0,0.0,25.0,17.2,30.2,9.868130312499996
2015.0,0.0,25.0,11.5,28.1,10.149813125000003
2015.0,0.0,21.7,12.8,32.2,8.219532395833335
2015.0,0.0,16.0,16.0,33.3,9.310673958333334
2015.0,0.0,23.6,16.8,28.3,11.771666458333335
2015.0,0.0,17.0,16.3,31.9,11.401935833333331
2015.0,0.0,21.4,17.4,29.8,11.008484062500004
2015.0,0.4,16.0,18.1,22.1,10.530621770833337
2015.0,10.2,3.8,18.3,25.7,7.95515822916667
