year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2018,10.23621,11.7555,11.22375,10.08429,9.40061,9.40061,10.08429,9.13473,8.41307,7.86232,7.44452,6.77983,6.24808,6.24808,5.73532,5.64036,5.64036,5.64036,5.64036,5.64036,6.00119,6.24808,6.24808,6.43799,7.04571,7.44452,7.74838,8.01425,7.29259,7.52048,7.52048,7.52048,7.38755,6.93176,6.8558,6.32404,6.32404,6.32404,5.84927,5.96321,5.73532,5.26054,5.24155,5.5644,5.1276,5.1276,4.82375,4.80475,5.1276,5.1276,5.1276,5.1276,5.1276,5.1276,5.60238,5.73532,5.73532,5.43146,5.1276,5.1276,5.45045,5.73532,5.73532,6.00119,6.419,7.00772,7.52048,7.90031,8.29912,8.9828,9.6285,9.91337,10.14126,10.52108,10.4831,9.91337,9.68547,9.32464,9.32464,8.71693,9.30565,8.86885,9.05877,8.47004,8.79289,8.50802,8.20416,7.82434,7.61544,8.16618,8.41307,7.86232,8.7739,8.48903,10.31218,10.08429,0,7.277514845360824
2018,9.74245,11.31871,10.55906,9.47657,8.73592,8.86885,9.47657,8.92583,7.93829,7.38755,6.91277,6.32404,6.32404,6.32404,5.88725,5.73532,5.73532,5.73532,5.73532,5.73532,5.73532,5.73532,6.09615,6.32404,6.38102,7.29259,7.67241,7.97627,7.52048,7.52048,7.52048,7.0647,6.93176,6.93176,6.6279,6.32404,6.32404,6.11514,5.73532,5.24155,5.1276,5.1276,5.1276,4.99467,4.53888,4.53888,4.53888,4.53888,4.53888,5.07063,5.1276,5.1276,4.84274,4.65282,5.29852,5.73532,5.43146,5.1276,5.39348,5.73532,5.73532,5.73532,5.73532,6.26707,6.51395,6.93176,7.14066,7.7104,8.26114,8.84986,9.60951,9.91337,9.91337,9.91337,9.91337,9.91337,9.70446,9.32464,9.32464,9.07776,9.38161,9.07776,8.81188,8.60298,8.62197,8.20416,8.20416,7.6914,7.61544,8.43206,8.65995,8.01425,8.94482,8.47004,10.0463,10.06529,1,7.1329587628866
2018,9.49556,11.28073,10.59705,9.60951,8.96381,8.73592,9.53354,8.79289,8.14719,7.34956,6.8558,6.38102,6.07716,6.07716,6.07716,5.52642,5.46944,5.46944,5.46944,5.46944,5.96321,6.07716,6.07716,6.11514,6.66588,7.15965,7.84333,8.22316,7.2736,7.80535,7.86232,7.74838,7.2736,7.2736,7.2736,7.2736,7.2736,7.2736,7.2736,7.2736,6.8368,5.81128,5.26054,5.22256,5.22256,5.81128,5.31751,5.45045,5.81128,5.81128,5.81128,5.81128,5.81128,5.81128,5.81128,6.13413,6.419,6.419,6.419,6.419,6.47597,7.00772,7.00772,7.23562,7.61544,7.61544,7.95728,8.65995,9.07776,9.93236,10.61604,11.20476,11.20476,11.20476,11.10981,10.59705,10.59705,10.06529,9.85639,9.79942,10.00832,9.89437,9.40061,9.40061,9.40061,8.9828,8.67894,8.20416,8.20416,8.64096,8.79289,8.09022,9.02078,8.90684,10.59705,10.40713,2,7.683242164948453
2018,10.25521,11.67954,11.01485,10.0463,9.00179,8.94482,9.78043,9.17271,8.45105,7.67241,7.29259,6.64689,6.419,6.02019,5.81128,5.81128,5.81128,5.81128,5.81128,5.81128,5.81128,5.81128,6.11514,6.58992,7.00772,7.50149,7.84333,8.29912,7.61544,7.61544,7.61544,7.61544,7.61544,7.61544,7.53948,7.00772,6.79882,6.419,6.58992,6.81781,6.15312,5.81128,6.05817,6.419,6.419,6.419,6.419,6.419,6.419,6.419,6.419,6.419,6.419,6.22909,5.81128,5.81128,5.81128,6.00119,6.49496,6.49496,6.49496,6.49496,6.49496,6.95075,7.34956,7.82434,8.29912,8.7739,8.88785,9.74245,10.17924,10.17924,10.40713,10.76797,10.76797,10.76797,10.44512,10.17924,9.66648,9.57153,9.89437,9.57153,9.49556,8.9828,9.47657,8.9828,8.84986,8.37508,8.37508,9.09675,9.24868,8.41307,9.11574,8.94482,10.38814,10.42613,3,7.782045979381447
2018,10.42613,12.07835,11.37568,10.31218,9.43859,9.21069,9.95135,9.24868,8.28013,7.7104,7.12167,6.66588,6.26707,6.07716,6.07716,5.88725,5.46944,5.46944,5.46944,5.71633,6.07716,6.07716,6.07716,6.49496,7.10268,7.59645,8.05224,8.41307,7.86232,7.86232,7.86232,7.42553,7.2736,7.2736,7.14066,6.66588,6.2101,6.07716,6.07716,5.94422,5.46944,5.46944,5.46944,5.46944,4.89971,4.88072,4.88072,4.89971,5.27953,4.88072,4.88072,4.88072,4.88072,4.88072,4.88072,4.88072,4.88072,4.88072,4.88072,5.14659,5.46944,5.46944,5.83027,6.07716,6.13413,6.66588,6.93176,7.2736,7.53948,8.37508,9.05877,9.57153,9.89437,9.74245,9.66648,9.66648,9.66648,9.09675,9.05877,9.05877,9.6285,9.05877,9.05877,9.05877,9.28666,8.73592,8.47004,8.09022,7.86232,8.73592,9.07776,8.28013,9.11574,9.00179,10.65402,10.54007,4,7.292713402061857
2018,10.17924,11.83147,11.39467,10.2742,9.4196,9.36262,9.97034,9.53354,8.7739,8.14719,7.4825,6.8368,6.60891,6.24808,6.24808,5.92523,5.64036,5.64036,5.64036,5.69734,6.24808,6.24808,6.26707,6.8368,7.14066,7.61544,8.35609,8.69793,8.22316,9.28666,9.02078,8.64096,8.22316,8.03324,7.7104,7.12167,7.31158,6.8368,6.74185,6.34303,6.24808,6.24808,6.24808,6.24808,6.24808,6.13413,5.64036,5.64036,5.50743,5.05164,5.05164,5.05164,5.05164,5.05164,5.10861,5.64036,5.64036,6.09615,6.03918,6.24808,6.24808,6.24808,7.42553,7.50149,7.17864,7.63443,8.05224,8.79289,9.47657,10.2742,11.09082,11.37568,11.81248,11.94542,11.37568,11.37568,10.93889,10.50209,10.17924,10.17924,10.23621,10.36915,10.17924,9.79942,10.16025,9.55253,9.15372,8.75491,8.54601,8.90684,9.1917,8.64096,9.45758,9.13473,10.72998,10.76797,7,8.00144762886598
2018,10.76797,12.09734,11.64156,10.59705,9.76144,9.60951,10.50209,9.59052,8.60298,7.88132,7.21663,6.93176,6.49496,6.49496,6.02019,5.90624,5.90624,5.90624,5.90624,5.90624,5.90624,5.9822,6.49496,6.81781,7.31158,7.95728,8.48903,8.92583,8.29912,8.3371,8.88785,8.31811,8.29912,8.29912,8.29912,7.97627,7.6914,7.6914,7.25461,7.10268,6.6279,6.00119,5.90624,5.90624,5.90624,5.7733,5.29852,5.29852,4.9187,4.7098,4.7098,4.7098,4.7098,5.29852,5.29852,5.29852,5.29852,5.29852,5.29852,5.29852,5.29852,5.62137,5.90624,5.90624,6.57093,7.25461,7.74838,8.29912,8.86885,9.74245,10.61604,11.1288,11.28073,11.28073,11.28073,11.28073,10.95788,10.692,10.33117,10.08429,10.67301,10.02731,9.49556,9.49556,10.06529,9.49556,9.26767,8.88785,8.88785,9.34363,9.30565,8.565,9.38161,8.86885,10.72998,10.74898,8,7.9075996907216455
2018,10.59705,11.92642,11.28073,10.33117,9.49556,9.47657,10.17924,9.59052,8.81188,8.1282,7.46351,6.95075,6.419,6.419,6.419,6.32404,5.81128,5.81128,5.81128,5.81128,5.94422,6.419,6.45698,7.00772,7.42553,8.39408,8.94482,9.72345,8.81188,8.81188,8.81188,8.41307,8.14719,7.61544,7.40654,7.00772,7.00772,6.43799,6.419,6.00119,5.81128,5.67835,5.22256,5.22256,5.22256,4.67182,5.16559,5.22256,5.22256,5.22256,5.05164,4.61484,4.61484,4.61484,4.61484,4.61484,4.76677,5.22256,5.22256,5.48843,5.81128,5.81128,5.81128,6.05817,6.419,7.02672,7.61544,8.03324,8.64096,9.72345,10.29319,11.01485,11.20476,11.18577,10.59705,10.59705,10.59705,10.59705,10.10328,10.00832,10.57806,10.14126,10.00832,9.85639,9.89437,9.28666,8.81188,8.69793,8.62197,9.40061,9.13473,8.54601,9.21069,8.9828,10.4831,10.52108,9,7.774006907216498
2018,10.50209,11.7555,11.22375,10.06529,9.1917,9.09675,9.89437,9.21069,8.39408,7.82434,7.17864,7.17864,6.58992,6.58992,6.05817,5.9822,5.9822,5.9822,5.9822,5.9822,6.07716,6.58992,6.58992,6.72286,7.17864,7.65342,8.65995,9.26767,8.37508,8.96381,8.62197,8.35609,7.78636,7.78636,7.21663,7.17864,6.87479,6.58992,6.03918,5.9822,5.88725,5.39348,5.39348,5.39348,5.03265,4.78576,4.78576,4.78576,4.78576,4.78576,4.78576,4.78576,5.31751,5.39348,4.97567,4.78576,4.78576,4.86173,5.39348,5.39348,5.39348,5.60238,5.9822,6.00119,6.58992,6.89378,7.33057,7.97627,8.47004,9.4196,10.17924,10.17924,10.692,10.76797,10.76797,10.59705,10.17924,10.17924,9.59052,9.57153,10.00832,10.16025,10.23621,9.79942,9.66648,9.21069,9.05877,8.565,8.47004,9.11574,9.11574,8.41307,9.28666,8.9828,10.63503,10.42613,10,7.672131237113403
2018,10.08429,11.67954,10.97687,10.16025,9.49556,9.36262,10.17924,9.45758,8.48903,7.80535,7.23562,6.81781,6.419,6.17211,5.81128,5.81128,5.81128,5.81128,5.81128,5.81128,5.81128,5.81128,5.9822,6.55194,7.08369,7.80535,8.20416,8.565,8.20416,8.20416,8.20416,8.20416,8.20416,8.20416,8.20416,8.20416,8.10921,7.61544,7.67241,8.20416,8.20416,7.80535,7.36856,6.72286,6.53295,7.00772,7.00772,7.00772,7.00772,7.00772,7.00772,6.72286,6.419,6.53295,7.00772,6.55194,6.419,6.419,6.419,6.419,6.419,6.47597,7.00772,7.00772,7.14066,7.61544,8.24215,8.81188,8.90684,9.47657,10.02731,10.59705,10.59705,10.59705,10.59705,10.59705,10.57806,10.00832,9.72345,9.40061,9.40061,9.40061,9.60951,9.24868,9.55253,9.00179,8.9828,8.64096,8.37508,9.13473,9.45758,8.86885,9.70446,9.30565,10.97687,10.9199,11,8.157218350515464
2018,10.54007,11.96441,11.28073,10.08429,9.30565,9.17271,9.89437,9.15372,8.31811,7.67241,7.17864,6.68488,6.58992,6.00119,5.9822,5.9822,5.52642,5.39348,5.39348,5.39348,5.39348,5.39348,5.39348,5.39348,5.92523,5.9822,5.9822,6.05817,6.07716,6.09615,6.66588,6.81781,7.44452,7.86232,7.86232,7.86232,7.86232,7.86232,7.95728,8.47004,8.47004,8.47004,7.76737,6.76084,6.66588,6.72286,7.2736,7.2736,7.19764,6.66588,6.66588,6.66588,6.66588,6.66588,6.66588,6.66588,6.66588,6.66588,6.66588,6.77983,7.2736,7.2736,7.46351,7.86232,7.86232,8.09022,8.47004,8.75491,9.05877,9.85639,10.25521,10.25521,10.25521,10.25521,10.25521,10.25521,10.25521,9.8374,9.66648,9.66648,10.23621,9.66648,9.66648,9.30565,9.68547,8.86885,8.64096,8.09022,8.03324,8.67894,8.86885,8.22316,9.15372,8.96381,10.50209,10.46411,13,7.988513092783507
