year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,index,averagemwh
2022,22.361444042,21.926828379,22.107238805,21.57053286,21.04921761,20.506457377,19.432766708,19.010090353,18.994602493,18.836593917,18.899046045,19.289097691,19.467588411,19.446347637,18.502340181,18.285514089,18.498013971,19.263016142,19.529223828,19.138091752,19.201219425,18.899596393,18.661021384,17.769667737,17.247391696,16.899805849,16.815150456,17.684187279,18.474374653,18.644731946,18.572279165,19.140637158,19.391733584,19.562324148,19.370617351,19.624383336,19.553963744,19.401128037,19.619486808,19.505972655,19.257515535,19.280645163,19.475242441,19.876195181,19.837054498,19.357814709,20.591136504,20.537377612,19.821327229,19.427048407,18.001140856,17.677456485,17.396704454,18.390309863,18.242374859,16.98949244,17.259346886,17.180242908,17.64526192,17.460788486,17.459270601,17.907107536,18.276820137,18.116541132,18.432024688,18.921813591,18.74730288,19.404669548,19.653241587,20.370065313,21.353045813,21.883149028,21.754554553,21.801181384,21.637039476,21.496374306,21.125766704,20.620189957,20.380975925,20.111964162,19.53537055,19.245981727,19.111006494,18.949720931,18.452892463,18.237205561,17.915950361,17.685715014,17.437346047,17.129558113,16.694470933,16.27620879,15.974038967,15.683623857,15.547741473,15.029003506,0,18.78574365607217
2022,14.674765655,14.417573256,14.068143782,13.846462416,13.62419207,13.309211711,12.899244229,12.711426284,12.560508757,12.490411932,12.283931859,12.237393955,12.164241034,12.215587968,12.196835157,12.083830187,12.241492915,12.249931088,12.300160154,12.317099272,12.286665954,12.291838171,12.483557967,12.688866333,12.953060821,13.067766903,13.55997015,13.907010436,14.394566752,14.784607658,15.259802221,15.380361502,15.423341067,15.976840614,16.132989783,15.893769923,16.076554377,16.220650643,16.011666206,16.127404674,17.054756417,16.449770789,16.669448356,16.733484615,16.521683032,16.732537297,16.516271252,16.211684113,15.827505332,15.731488,16.331366256,16.602457512,16.040115356,15.955194218,16.871684148,16.78996023,15.963207961,16.755038776,17.139982198,16.210321248,16.539803184,16.586041345,16.769664412,17.095943494,17.513402551,17.996687001,18.336517278,19.008942293,19.582123447,20.420316605,21.330174413,22.142576228,22.266199724,22.419277449,22.383081886,22.193683648,21.982590107,21.498607727,21.048046962,20.556618345,20.200493832,19.903731329,19.470393776,19.259565725,18.511072802,18.204899758,17.893183345,17.142667653,16.709783158,16.275435297,15.910293793,15.418353632,14.953551924,14.577027685,14.297758751,13.967869757,1,15.961732713999995
2022,13.607895661,13.428349124,13.194016475,12.921935362,12.834066202,12.583543035,12.425466297,12.127544191,12.047341452,11.901603087,11.792541043,11.752166001,11.798259025,11.912543995,11.90859854,11.955164832,12.14125368,12.193603206,12.330967763,12.420414603,12.797821399,13.460246173,13.883294871,14.399110021,15.082348751,16.527795081,18.121180933,20.551367924,22.443282621,23.484113141,24.340757808,25.43840775,25.983004805,25.266557605,24.584253373,24.543886923,24.253123341,23.908076915,24.225904361,25.401997987,25.626859959,25.237848086,26.016601052,25.716416607,25.374519887,24.766765784,23.776671947,23.982673733,23.907686316,23.932113225,23.802029591,23.390878897,23.251783854,22.908465807,23.268393175,24.230571776,23.946987114,24.027520232,24.238970421,25.14651161,24.383071076,24.399875743,24.388565325,24.40252756,25.581331813,25.494026357,25.019518769,25.696553328,26.118299464,26.868982556,28.062575058,28.150071024,29.308567636,28.413535523,27.867720692,29.091189074,28.809556641,27.211752806,25.541746484,26.795214299,27.170398738,27.188380417,27.266007479,28.110143419,27.658333027,27.337204043,26.415782666,26.244060195,26.038892337,24.759004993,23.862144862,22.933474784,21.868767927,21.661000338,22.499978048,21.378375294,2,21.531141280670088
2022,21.200073694,20.41051094,20.015498174,20.527002473,20.258241494,19.852456281,19.692729448,19.774758614,19.336954287,19.508650592,18.807387654,18.513334778,19.603241173,19.4932427,19.669201232,18.968871852,18.953820429,18.704883044,19.475497463,19.323051204,19.060957552,19.324198576,19.649864314,19.814822556,20.149960331,20.340719792,22.00980151,23.184204656,24.674390738,24.945285956,26.113345317,26.526379076,26.770657399,26.764414064,26.710638153,26.534923587,26.039187789,26.879079846,26.564958575,26.212288737,25.877914151,26.854321383,26.905465133,26.707507951,26.655266729,26.904743734,27.173284892,28.130228496,28.170750823,28.534880998,29.343665446,28.943956189,28.8314059,28.762612496,28.290098905,28.668145518,28.368795335,28.764325058,28.487270596,27.812042549,28.004258969,28.143234557,28.378548358,25.090532905,25.537724016,27.64748672,27.92254798,28.582306326,29.138575314,30.498817042,31.855959514,32.027146205,30.838448803,31.12354819,31.424274558,32.685560103,32.955768275,32.662268189,32.774739839,31.758597303,31.126101175,30.525538024,30.455233845,29.298803808,28.6967505,28.601735824,27.998842444,27.520267522,27.187849449,26.598794098,26.290260123,25.486971217,24.919796638,23.842126927,22.599593172,22.939447236,3,25.40911982989689
2022,22.124326746,19.402825777,19.828252643,21.46168777,21.756101377,20.915112714,20.051216229,19.512369672,19.004041592,19.58101269,19.906970183,19.328170764,19.613991119,19.966308742,19.854201235,19.456978688,19.979242329,19.526043164,19.930115087,19.936248369,19.951238325,21.024212911,21.166669726,20.684398422,21.584779161,21.728346411,22.919368509,25.031244874,26.094644749,27.244348919,27.691102857,27.519587378,27.516459906,28.036570111,28.292273801,28.140265433,27.479854459,27.507040056,27.717228515,28.081366221,27.602156244,27.098136249,26.948811739,26.867112074,26.942431064,26.744233613,27.619325856,27.829677183,27.528662599,26.81416905,27.165040339,27.47335955,27.184513022,28.146717294,27.776699107,27.613412113,26.680775746,27.608160595,24.354995183,25.203188986,24.684211646,26.404602951,27.772040639,27.969716248,27.489324685,27.697751374,28.419855958,29.21741159,29.620392083,30.265103032,31.414473315,31.135224881,31.395781397,31.596275459,32.658351483,33.929272696,33.917105362,33.341184703,33.907200875,33.242592425,32.391630891,31.855430733,31.720230195,31.348829028,30.451137066,30.110813232,29.200161271,27.86837337,27.15690393,26.317830857,26.399905478,26.032582012,25.594817755,24.28045825,23.702814492,22.831753664,4,25.825663301711344
2022,22.602125399,22.415190937,22.006952587,21.707673347,21.063925678,20.774342606,20.201435088,19.934241029,21.121529801,20.405701326,20.403766108,20.683248471,20.778259498,20.298523681,20.009796517,19.92200061,21.119961356,21.110510879,20.033704971,20.909981117,21.099627466,21.069897757,21.941766398,22.66845389,21.87167894,21.656184649,22.967221032,24.632837317,25.183913662,27.442736686,28.332698969,29.56705648,29.661942791,29.718697571,29.241328858,28.565848006,28.38750435,28.844244255,28.529441644,27.505457806,28.184493356,28.639579986,27.354142444,27.05721118,27.259822976,28.042071247,27.279460118,27.482463701,27.205467737,27.421403381,26.752982779,26.636164147,26.127148901,26.300208395,25.496013321,25.73709524,25.512881498,25.984112356,25.608642044,25.842085002,25.170299153,25.283440846,25.960815714,26.145754577,26.078385019,26.165586507,25.870160051,26.268804186,26.728883541,27.56864401,28.584608783,28.598481928,28.252081971,28.173665904,28.818164673,29.808882825,30.12503666,30.047550866,29.877328679,30.415350792,29.010523205,28.129561769,28.033473209,28.11601684,27.066937978,27.314233724,26.66085741,26.196896631,25.479915037,24.300101354,23.80017382,23.754824807,24.001562687,23.658320058,22.641424985,22.51719925,5,25.174626894752578
2022,22.89616943,21.765048961,21.603716579,21.80328106,21.415405583,20.856780705,20.146661825,19.591835828,19.204613503,19.534708294,19.650411669,19.870494404,19.624580187,19.798010212,19.572166606,19.166570837,19.142629539,18.898431406,19.226427905,19.813845102,20.478296151,20.42112507,19.827421069,19.694184202,20.795253541,20.909407242,21.376719318,22.568516061,23.842867213,24.700685369,26.290861387,27.287555272,26.520900929,26.576595675,27.349846773,27.513474264,28.203818649,28.950621151,28.207708524,28.171846579,26.859226638,26.840631219,26.623661356,26.423389574,26.27256448,26.778357225,26.859817276,25.852895944,25.668661678,25.682887704,24.879694001,24.524871614,24.177092166,24.893721385,25.127093892,25.346991841,25.956594219,25.74722329,25.010152875,25.232942592,25.382365997,25.375738366,25.411492801,25.737925667,26.352263821,26.373455048,26.299137159,26.164920649,26.490752473,27.525110939,27.614637687,27.943730252,27.123857888,27.109073057,28.411724615,29.442332118,29.764466391,29.706692347,29.216710074,28.566782763,27.865506902,26.80469286,26.627062392,26.555200326,26.417323484,25.453874902,25.051927219,25.266641507,24.301530479,23.491625277,22.671131605,22.257241704,22.847858959,22.915957791,22.656741755,22.0139889,6,24.260200424917514
2022,21.925987202,21.421055297,21.475397298,20.836467557,20.599907364,19.227337282,19.443024377,19.224939568,19.040501795,19.010130506,18.167215604,17.809317936,18.062444855,18.330082775,18.444543955,18.335955423,18.383873989,18.132535098,18.653181432,18.261929354,17.608727902,17.145350833,16.113831581,15.288522387,14.768262168,14.61285491,15.145985658,15.602041774,16.209627778,16.719387698,17.137572226,17.493956694,17.80046907,18.155791731,18.360210702,18.612396848,18.695544636,18.932305788,18.914050117,18.653821719,18.389616443,18.176441879,17.650185895,17.820004085,18.125130727,18.363513238,18.588137807,17.964727241,17.935253376,17.88356825,17.499943117,17.981229331,17.515217543,17.889509847,16.617042681,16.934921601,16.927182834,17.99685257,17.965006879,17.726605244,17.498188324,17.891795882,17.973188001,17.834977518,18.012589311,18.550929161,18.916814494,19.164445219,19.581383177,20.606508353,21.028535362,21.429389275,21.484473382,21.335335169,21.349061914,21.310304072,20.832488642,20.365690985,20.294490972,19.833046901,19.422326792,19.165343556,18.929734472,18.696002489,18.253974068,17.937268589,17.791071727,17.44016617,17.18918493,16.950668954,16.705422659,16.245014089,15.982435816,15.499779426,15.001821519,14.678722559,7,18.153496962927836
2022,14.413755255,14.014291619,14.02262747,13.531852568,13.172662842,12.867920393,12.610713222,12.451780063,12.327754772,12.326193711,12.147843712,12.036553749,12.097994707,12.067971459,12.006764858,11.936976301,12.071390917,12.015543327,11.94571195,12.083240574,12.272582608,12.263366246,12.423583545,12.722160735,13.048664354,13.432397016,13.952364266,14.078002057,14.48460952,14.840002674,15.142931594,15.470873728,15.901333577,16.078957683,16.300166095,16.869241132,17.603863292,17.957794186,18.475538797,18.590389349,18.501592836,18.575057068,18.414599824,18.350239499,18.501213229,18.559604069,18.253970779,18.075699972,17.956580297,17.917994803,17.751162312,17.726787434,17.679414397,17.49616571,17.631109869,17.454579553,17.384839507,17.576588236,17.838927009,17.742017869,17.803839007,17.779569035,17.849083607,18.112882364,18.341153621,18.865568789,19.298443408,19.764301697,20.287252673,21.075794586,21.997424352,22.531978488,22.927500297,22.680640165,22.702873242,22.591763548,22.270427791,21.847434567,21.451302518,21.357228388,20.863512682,20.548910271,20.336777119,20.081047736,19.386522914,19.094561618,18.646289531,17.965363802,17.528677083,17.005958681,16.614111326,15.979149098,15.511473978,15.218869841,14.729133938,14.271413075,8,16.667677783824747
2022,13.989607738,13.794031646,13.483256732,13.238656582,13.067347082,12.761023813,12.498517591,12.314166935,12.222848672,12.259657681,12.201681234,12.048498161,12.064002896,12.093751081,12.152029288,12.19992088,12.333162612,12.488677226,12.550241655,12.714731009,12.923134258,13.249284321,13.810669547,14.310193795,15.135274706,16.023240087,16.80864531,18.453246722,20.298528775,21.701422767,22.445057766,23.086762144,23.283040844,23.842660908,23.546991589,23.494761749,23.34540795,23.628232502,24.068849678,24.509486454,24.142813777,23.858600878,23.413516166,23.645784982,24.612702565,24.778297492,25.436630332,24.972920074,25.568586009,24.960552649,25.400422948,25.00285089,25.299652937,26.075727354,27.16889715,25.36737657,24.791770234,25.361685168,25.660275927,25.288880242,24.640360997,25.105811948,25.111335626,25.047634949,26.017691481,25.873665204,26.976482995,27.30784194,27.140962666,27.864841899,29.172733227,30.09249771,29.739723804,28.820473675,30.027802371,30.941004713,30.238883629,29.321328988,28.600326437,28.613623331,27.97647245,27.83676619,26.897593899,26.125920983,25.660889548,24.439409032,24.243041053,24.896390883,24.610141408,23.780494342,22.748633653,22.476303023,22.13484003,22.418247632,21.895442203,22.281065361,9,21.72500336092783
