year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2018,37.10212,37.10212,37.10212,37.29141,37.48071,36.5153,36.11777,35.64453,35.32273,35.19022,35.19022,35.19022,35.47417,35.26594,34.7927,34.7927,35.17129,35.3038,35.3038,35.3038,36.02313,37.06426,37.72679,38.86257,41.3045,43.00817,44.92006,45.88547,48.47884,50.61789,51.33721,51.92403,53.23018,53.41947,54.15773,54.6499,55.6721,56.42929,56.65644,56.94039,57.33791,57.81115,57.75436,58.49262,58.15189,58.24654,57.83008,58.36011,58.89014,58.96586,60.06378,60.1395,60.06378,59.70412,59.04158,59.04158,59.06051,59.38231,59.23088,59.19302,58.98479,59.00372,58.6062,58.6062,58.13296,56.92146,56.48608,55.99391,55.17993,54.99064,54.70669,53.89272,50.93969,49.31174,48.47884,47.83523,46.66159,45.62046,45.05257,44.73076,44.35217,43.57606,43.48141,43.12174,42.44028,42.04275,42.04275,41.02055,40.85019,40.05514,39.84691,39.35474,39.2601,38.61649,38.76792,38.18111,47.69660729166668
2018,38.3704,38.02967,37.48071,37.48071,37.48071,37.06426,36.96961,36.76138,36.45851,36.45851,35.56881,35.43631,35.77704,35.53095,35.43631,35.43631,35.43631,35.43631,35.43631,35.43631,36.5153,36.87496,37.97288,39.12759,41.02055,42.21312,44.3711,45.52581,47.70272,49.40639,50.52324,51.29935,52.4162,53.07874,54.19559,54.27131,54.66883,55.36923,56.44822,57.0729,57.73543,58.18975,58.51155,58.01938,58.70085,59.32553,59.17409,58.58727,58.85228,58.98479,59.59054,58.7955,58.43583,58.32225,58.17082,58.18975,57.56507,57.79222,57.64079,57.35684,57.584,57.47042,56.48608,56.29678,56.14534,55.44495,55.12314,54.63097,53.83593,53.53305,53.09767,52.49192,50.23929,48.89529,47.89202,47.87309,46.33979,45.63939,45.05257,44.69291,43.91679,43.70856,43.25425,42.57278,42.38349,41.85346,41.24771,40.94483,40.67982,40.67982,40.37695,39.7712,39.31688,39.33581,39.01401,38.84364,47.41838125000001
2018,38.50291,38.33254,38.02967,37.65108,37.95395,37.46178,36.79924,36.74245,36.07991,36.07991,35.66346,35.77704,35.8149,35.70132,35.22808,35.19022,35.19022,35.19022,35.58774,35.70132,36.07991,36.76138,38.08646,38.99508,41.28557,42.44028,44.54147,45.63939,48.00559,49.21709,50.3718,51.05327,51.46972,51.79152,52.22691,52.47299,53.32483,53.96843,54.85813,54.93385,55.25565,54.95278,55.72889,55.72889,55.42602,55.74782,55.52067,55.97498,56.1832,55.63424,55.88033,55.6721,56.08856,55.82354,55.29351,55.19886,54.87706,54.38489,54.93385,54.78241,54.89599,54.3281,54.19559,53.98736,53.55198,53.15446,52.64336,52.56764,52.24584,52.05654,52.30263,52.30263,50.46645,48.91422,48.17596,47.53235,46.75624,46.22621,45.79083,45.14722,44.46575,44.23859,43.57606,43.08389,42.76208,42.53493,42.19419,41.64523,41.05841,40.9259,40.86912,39.73334,39.60083,39.2601,39.12759,38.71114,46.52415239583333
2018,38.71114,38.71114,38.20004,37.8593,37.8593,37.48071,37.12105,36.15563,36.11777,36.11777,35.92848,35.56881,35.56881,35.56881,35.56881,35.56881,35.22808,35.22808,35.98527,36.04206,36.04206,36.87496,37.95395,39.3926,41.68309,42.79994,44.57933,45.52581,48.53562,50.31501,51.01541,51.48865,52.52978,53.15446,53.17339,53.66556,54.38489,55.04742,55.31244,55.74782,56.0507,55.84247,56.23999,56.0507,55.50174,55.50174,55.50174,55.50174,55.50174,55.50174,55.50174,55.33137,55.46388,55.89926,55.74782,55.84247,55.23672,55.02849,54.99064,54.68776,54.38489,54.17666,54.47953,54.57418,54.15773,53.58984,53.58984,53.09767,53.13553,53.13553,52.34048,52.43513,50.54217,48.34633,48.02452,47.66486,46.43443,46.54801,46.54801,45.71511,45.48795,45.18508,44.71184,43.97358,43.44355,42.30777,41.45594,41.56951,40.62303,39.80906,39.22224,39.46832,39.9037,39.05187,38.63542,38.54077,46.740068645833325
2018,38.54077,38.54077,38.38933,37.82144,37.97288,37.51857,37.29141,36.76138,36.76138,36.28814,36.25028,36.25028,35.8149,35.22808,35.22808,35.22808,35.22808,35.72025,36.04206,36.04206,36.40172,36.66673,37.63215,38.69221,41.32343,42.516,44.33324,45.56367,48.38419,50.16357,51.11006,51.75367,52.4162,53.19232,53.6277,53.817,54.47953,54.6499,54.91492,55.59638,55.84247,56.1832,56.90253,57.11076,57.12969,56.90253,57.60293,57.69758,58.18975,57.60293,57.62186,57.84901,57.83008,57.60293,57.584,57.73543,58.24654,57.43256,57.37577,56.90253,56.20213,56.01284,55.93712,55.17993,54.87706,54.08201,53.85486,53.34376,52.68122,52.26477,52.01868,51.31828,49.44425,47.8163,46.94553,46.283,45.46902,44.76862,44.08716,43.82214,43.65177,42.89459,42.6485,42.0049,42.0049,41.68309,40.96376,40.47159,40.47159,40.47159,40.47159,39.54404,39.22224,39.12759,39.27903,38.67328,46.953027291666665
2018,38.48398,38.5597,37.8593,37.61322,37.78358,37.46178,37.23462,36.79924,36.76138,36.6478,36.42065,36.42065,36.04206,35.34166,34.96306,35.41738,35.47417,35.41738,35.05771,34.94414,34.56554,35.05771,35.41738,35.56881,35.66346,35.58774,36.07991,36.5153,36.59101,36.59101,37.10212,37.23462,37.23462,37.68893,38.02967,38.67328,39.43046,39.48725,39.48725,39.86584,39.56297,39.84691,39.46832,40.22551,39.92263,40.4148,40.4148,40.4148,40.4148,40.4148,40.4148,40.4148,40.4148,40.4148,40.4148,40.50945,40.50945,40.64196,40.20658,40.20658,40.20658,40.20658,40.20658,40.20658,40.50945,41.02055,41.02055,41.02055,41.20985,41.43701,42.17526,42.45921,42.45921,41.98597,41.38022,40.90698,40.26337,39.96049,39.96049,39.96049,39.54404,39.44939,39.44939,38.95722,38.71114,38.38933,38.50291,38.20004,38.20004,38.20004,38.20004,38.20004,37.76465,37.42392,37.51857,37.25355,38.64941677083336
2018,37.00747,37.00747,37.00747,37.00747,37.00747,36.49637,36.25028,36.17456,35.73918,35.73918,35.3038,35.22808,35.22808,35.22808,35.22808,35.22808,35.22808,35.22808,35.22808,35.22808,36.28814,36.95068,37.74572,39.20331,41.49379,43.40569,45.22294,47.09697,49.74712,51.14792,52.47299,52.9273,53.32483,54.38489,54.17666,54.61204,54.47953,54.82027,55.23672,55.40709,55.12314,55.52067,55.59638,55.80461,56.01284,56.44822,56.50501,56.61859,57.37577,57.12969,56.67537,56.77002,56.77002,56.58073,55.5396,55.52067,55.55852,55.63424,54.99064,55.14207,55.57745,55.48281,54.72562,54.72562,54.8392,53.96843,53.51412,53.41947,53.04088,53.26804,52.87051,52.49192,50.40966,49.21709,48.44098,47.91095,46.9266,46.37764,45.69618,45.31758,44.61719,43.87893,43.87893,43.59499,42.98924,42.55385,41.87239,41.45594,41.34236,41.32343,40.30123,39.9037,39.14652,39.52511,39.43046,38.23789,46.890914062499995
2018,38.63542,38.71114,38.12432,37.91609,37.99181,37.82144,37.48071,37.44285,36.74245,36.49637,36.49637,35.98527,35.98527,35.98527,35.98527,35.98527,35.98527,35.98527,35.98527,35.98527,36.60994,37.38606,38.86257,39.97942,41.98597,44.29538,45.99905,47.32413,50.48538,51.92403,53.55198,53.58984,54.29024,54.30917,54.72562,54.68776,55.06635,55.42602,55.12314,55.161,55.161,54.80134,55.57745,55.63424,55.65317,55.91819,55.76675,56.31571,56.97825,57.31898,57.0729,57.05397,58.15189,56.77002,55.93712,55.84247,55.55852,55.25565,55.80461,55.46388,55.63424,55.57745,55.36923,54.78241,54.36596,54.21452,53.51412,53.19232,53.19232,53.07874,52.85158,52.45406,50.42859,49.08458,48.44098,48.27061,47.1159,46.18835,45.7719,45.65832,44.52254,43.95465,43.95465,43.29211,43.14067,42.30777,42.45921,41.38022,41.26664,41.19092,40.30123,39.79013,39.08973,39.03294,39.31688,38.90043,47.22533812500001
2018,38.50291,38.31361,38.02967,38.02967,37.93502,37.57536,37.57536,37.23462,36.60994,36.326,36.326,36.326,36.326,36.30707,35.70132,35.70132,35.70132,35.70132,35.70132,36.23135,36.55316,37.51857,38.54077,39.61976,42.30777,44.21966,46.283,47.58914,50.31501,51.98082,53.53305,54.30917,54.61204,54.97171,54.85813,54.93385,54.85813,55.59638,55.50174,55.33137,55.69103,55.69103,55.88033,55.99391,56.41036,56.20213,56.06963,56.52394,56.80788,57.24326,57.33791,57.16755,56.97825,56.50501,56.08856,57.28112,56.95932,56.97825,57.26219,57.33791,56.44822,55.88033,55.50174,55.161,55.38816,54.55525,54.55525,53.79807,53.55198,53.02195,52.98409,52.77587,50.33394,49.46318,48.74385,48.3274,47.09697,46.33979,45.92333,45.48795,44.97685,44.46575,44.46575,43.3489,42.62957,42.25098,41.68309,41.17199,41.02055,41.02055,40.67982,39.79013,39.31688,38.50291,38.67328,38.59756,47.39511312500002
2018,38.48398,38.50291,38.16218,38.12432,37.74572,37.74572,37.27248,36.6478,36.55316,36.34493,35.4931,35.3038,35.3038,35.3038,35.3038,35.3038,35.3038,35.56881,35.98527,36.07991,36.38279,37.31034,38.61649,39.60083,42.34563,43.80321,45.99905,47.4377,50.40966,52.05654,52.2837,52.98409,53.72235,54.02522,54.00629,54.72562,54.89599,54.72562,54.8392,55.17993,55.65317,56.14534,56.08856,56.16427,56.25892,56.25892,56.25892,57.43256,57.69758,57.43256,57.75436,57.45149,57.88687,57.83008,57.14862,57.03504,57.45149,56.84574,56.20213,56.0507,55.72889,55.3503,55.52067,54.36596,54.04415,54.04415,54.00629,53.28697,53.53305,53.87379,53.74128,53.15446,50.90183,50.08786,49.99321,48.95208,47.94881,47.36199,47.21055,46.37764,45.84761,45.86654,45.18508,44.80648,43.93572,42.8378,42.04275,42.04275,41.94811,41.91025,41.39915,41.02055,40.2823,39.43046,39.27903,39.27903,47.49508541666666
