year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2023,37.11034,37.11034,37.11034,37.11034,37.11034,36.56194,36.45729,36.45729,36.45729,36.45729,36.45729,36.13483,35.74745,35.74745,35.74745,35.74745,35.74745,35.74745,35.74745,35.74745,35.74745,35.74745,36.40423,36.45729,36.45729,36.45729,36.45729,36.45729,36.45729,36.49068,37.11034,37.30837,37.87696,37.80078,37.53624,37.53624,37.7281,38.63006,38.61345,38.10005,38.91789,39.11992,38.56854,39.20106,39.29664,39.29664,39.29664,39.29664,39.29664,39.74092,39.94969,39.94969,40.14326,40.03036,40.41165,40.8905,40.97186,40.97186,40.97186,40.97186,40.97186,40.97186,40.97186,41.48438,41.76688,41.76688,41.76688,41.76688,42.38484,42.90588,43.04459,43.04459,42.3995,41.76688,41.76688,41.76688,41.14083,41.08543,41.08543,41.08543,40.52716,40.04748,39.93684,39.52379,39.52379,39.52379,39.52379,39.02421,39.66576,39.03441,38.95592,38.30961,38.30287,38.30287,38.30287,38.30287,0,38.42201494845363
2023,38.30287,37.53277,37.45106,37.45106,37.10011,37.40577,36.8264,36.8264,36.68103,36.33896,36.65604,36.65604,36.65604,36.49411,36.01281,36.71283,36.71283,36.71283,36.71283,36.71283,36.95585,36.76962,37.61129,37.85616,39.47802,40.47826,41.78093,42.549,44.77211,45.9976,46.69229,47.07647,47.94048,47.84309,48.17215,48.63347,48.78008,49.34405,49.68867,49.68867,50.29972,50.35947,51.10835,51.35505,51.78979,52.02282,52.41445,51.8227,52.44887,53.20947,53.13744,51.64745,51.83736,51.85745,52.46896,52.10478,52.3329,51.73301,51.68092,50.84069,51.1523,51.16513,51.16513,51.53254,51.49737,51.27871,50.99758,50.25111,50.001,50.001,50.001,49.77857,47.64597,46.70917,46.10935,46.33824,45.89087,45.00374,44.12624,43.61246,43.61246,43.61246,43.61246,43.02124,42.72835,41.8833,41.89954,41.79527,41.79527,41.25072,40.38487,40.3472,40.32466,39.58058,39.58058,39.25141,1,44.3553956701031
2023,38.81395,38.81395,38.81395,38.5081,37.96214,37.96214,37.96214,37.96214,37.87264,37.22391,37.22391,37.22391,37.22391,37.22391,37.22391,37.22391,37.22391,37.22391,37.22391,37.22391,37.68919,37.93375,37.93375,38.36025,39.77321,40.49465,41.60346,42.48375,44.52559,46.08837,46.89902,47.20826,48.2477,48.46984,49.28659,49.75597,50.80305,51.00467,50.94324,51.89592,52.22232,52.05717,52.1873,52.74687,52.47611,52.49067,53.03911,52.62288,53.05548,53.0675,52.97459,52.44284,53.39643,53.40822,53.40822,53.40822,53.40822,53.40822,52.96097,53.25639,53.44035,53.42798,53.46904,53.03911,53.03911,52.97816,52.01351,51.81475,49.82476,44.60973,37.23011,36.57086,34.68964,33.50436,33.50436,33.50436,33.35624,33.94758,42.55984,44.94449,44.80232,43.86589,43.78282,43.78282,43.18865,42.48583,42.41993,42.24885,42.26179,41.17711,40.65953,40.60213,39.94969,39.68318,39.18307,39.18307,2,43.98265092783503
2023,39.18307,38.8741,38.41644,38.41644,38.41644,38.41644,37.77116,37.67821,37.67821,37.67821,37.44019,37.02516,37.49678,37.05355,37.05355,37.05355,37.05355,37.05355,37.05355,37.05355,37.51545,37.76339,37.76339,38.33977,39.58502,40.98656,41.63596,42.49744,44.25581,45.78635,46.79252,47.04807,47.22889,47.96484,48.43936,48.95756,49.30915,49.88743,50.51103,50.70379,51.88443,51.90337,52.16736,52.05124,52.01694,52.01694,52.01694,52.68688,53.10683,53.09485,53.23433,53.72681,54.14646,53.98561,53.77488,54.402,54.402,54.402,53.87102,53.69216,53.69216,53.69216,53.58974,52.81196,53.07404,52.73538,52.30088,52.27973,43.60595,39.29664,38.05652,37.50785,35.07708,33.7599,33.50262,33.10685,40.32028,45.41261,44.70988,44.32229,44.13545,43.4421,43.86519,43.47049,43.27598,42.76065,42.74468,41.72205,41.64893,41.58654,41.11383,41.05119,40.31683,40.13029,39.76691,39.60897,3,44.08159927835053
2023,39.60897,38.99263,38.92752,38.92752,38.44857,38.21769,38.21769,38.21769,38.21769,38.21698,37.81205,37.62142,37.62142,37.62142,37.62142,37.62142,37.62142,37.62142,37.62142,37.62142,38.43003,38.44483,38.44483,39.1423,40.41741,40.65672,41.86541,42.38004,44.66287,45.83456,46.99851,47.16165,47.30935,48.26381,49.24251,50.06484,50.11457,50.03005,50.08779,50.94339,52.51923,52.55576,51.16513,51.58391,52.47031,52.79248,52.13051,51.72556,51.82587,52.63254,52.81961,52.31735,52.54926,53.67219,52.55622,52.73391,52.60087,52.27668,52.95393,52.47264,51.5959,51.47746,51.47746,51.89202,52.13482,51.78701,50.56382,49.76874,49.55719,49.34795,49.16446,49.30622,47.66911,47.50065,46.80303,46.4802,46.13881,45.3258,45.29787,45.68518,45.49836,44.58275,44.40748,44.16551,43.42102,42.30635,42.30635,42.22129,41.62491,41.19182,40.81109,39.9213,39.9213,39.25171,39.09789,38.84303,4,44.9875574226804
2023,38.18929,38.18929,38.18929,38.03542,37.45106,37.45106,37.45106,36.95836,36.76962,36.76962,36.76962,36.76962,36.76962,36.76962,36.76962,36.76962,36.76962,36.76962,37.20008,37.50785,37.50785,37.50785,37.80113,38.1609,39.51267,40.43238,41.18631,41.85206,43.97885,45.23972,46.01677,46.11109,46.65331,46.79253,47.191,47.57948,48.11401,48.52454,48.52454,48.52454,48.71117,49.00839,48.6949,48.64736,48.58251,48.80847,48.80847,48.80847,49.25443,48.86614,48.6949,48.93014,49.43313,49.43313,49.43313,49.43313,49.46582,49.5366,49.63188,49.63188,49.63188,49.63188,49.07208,49.34399,49.66028,48.9063,48.78008,48.78008,48.17882,47.88254,42.5039,34.4628,33.73119,32.85121,39.08233,44.39249,44.20953,43.36271,43.21058,42.48911,42.55774,42.44832,42.20009,41.76688,41.76688,41.22803,40.96721,40.29041,40.29041,40.09816,40.22068,39.38182,39.14795,38.75716,38.66541,38.13251,5,42.74668020618556
2023,38.13251,38.13251,38.13251,38.13251,37.56751,37.39427,37.39427,37.39427,36.84711,36.59926,36.59926,36.59926,36.59926,36.59926,36.59926,36.59926,36.59926,36.42244,36.58126,36.00192,36.83945,36.8548,36.8548,36.8548,36.8548,37.35922,37.62142,37.62142,38.17543,38.97735,39.15467,39.15467,39.49155,39.80772,39.80772,39.80772,40.08951,40.01534,39.95163,40.05786,40.7284,39.45357,39.45718,40.31881,40.31881,40.58049,40.02855,39.47538,39.35343,39.35343,39.86298,39.7436,39.52379,39.51606,39.39951,39.77933,39.80068,39.66576,39.83267,40.29041,40.29041,40.29041,40.29041,40.29041,41.13581,41.17061,41.17061,41.1861,41.79527,41.79527,42.19065,42.31354,42.36314,42.06496,41.73848,41.73848,41.29199,40.8015,40.8015,40.10109,40.56752,40.65953,40.50949,40.10145,39.75094,39.75094,39.75094,39.75094,39.75094,39.75094,39.57826,38.98431,38.69826,38.35965,38.35965,38.35965,6,38.88933958762886
2023,38.35965,37.9982,37.62142,37.62142,37.62142,37.62142,37.36048,36.91158,36.91158,36.56619,36.28693,36.28693,36.28693,36.28693,36.28693,36.28693,36.28693,36.28693,36.28693,36.28693,36.28693,36.28693,36.28693,36.28693,36.49283,36.93998,36.93998,36.93998,36.93998,37.03153,37.735,37.735,37.99352,38.00484,38.70768,38.76638,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,38.92752,39.55284,39.66576,39.66576,39.66576,39.66576,40.28429,40.29041,40.29041,40.51086,40.97186,40.53123,40.79042,40.8015,41.36005,41.68629,42.1076,42.1076,42.1076,41.54228,41.42616,41.42616,41.42616,40.95532,40.71632,40.71632,40.71632,40.71632,40.71632,40.71632,40.23087,39.77933,39.77933,39.8836,39.74931,39.0411,39.0411,38.36228,38.18929,38.18929,38.18929,37.81365,7,38.46225154639172
2023,37.73674,37.59303,37.05863,36.88319,36.88319,36.88319,36.88319,36.88319,36.57811,36.11657,36.11657,36.11657,36.11657,36.11657,36.11657,36.11657,36.11657,36.11657,36.11657,36.11657,37.18746,37.47945,37.88866,38.57585,40.94009,41.93724,42.99554,43.37918,45.64955,47.33046,48.34332,48.95044,49.7579,50.32417,51.04047,50.65405,51.33339,51.00595,50.98076,51.50001,51.81144,51.6393,51.19353,51.19353,51.27852,52.07373,52.81891,52.04533,51.75513,52.10212,52.10212,52.10212,52.10212,52.11278,51.64242,51.87497,52.21988,51.67622,51.93542,51.2276,50.76763,50.30346,50.50027,50.79747,50.74515,50.65405,51.27232,51.02609,49.91582,40.96757,37.42267,37.28057,35.35191,34.39885,33.7783,35.64983,44.60623,44.60623,45.72357,45.03213,44.75078,44.26551,44.07101,43.56992,43.49888,43.23013,42.747,42.07921,42.21517,41.39776,41.30272,40.74471,40.07063,40.03487,39.85687,39.38182,8,43.88497907216494
2023,39.38182,39.38182,39.1081,38.72877,38.72877,38.6849,38.01893,38.01893,38.01893,38.01893,38.01893,38.01893,38.01893,37.91564,37.33749,37.33749,37.33749,37.33749,37.33749,37.33749,38.15232,38.1609,38.80445,38.98431,40.7726,41.53268,42.77913,43.80645,46.03655,47.41766,48.77322,49.46109,49.2227,49.88743,50.09826,50.68545,51.07995,51.28188,51.39072,51.08838,51.45821,51.98782,52.07373,52.07373,52.07373,52.07373,51.61168,51.81819,52.3218,52.23984,51.84511,51.484,51.47189,51.67147,52.31755,51.85783,52.46166,52.51516,52.10212,52.31287,51.80035,51.15465,51.44907,51.44907,51.12754,50.65405,50.65405,50.65405,50.65405,50.65405,50.41771,49.85903,48.21979,47.41719,46.8588,46.43855,45.72125,45.65557,45.1741,44.92547,43.91006,43.87783,44.05314,43.53777,43.32852,42.73542,42.5335,42.47597,42.07269,42.15452,41.29476,40.74471,40.74471,40.35091,39.9213,39.65972,9,45.202159175257755
