Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.3,18.2,32.8,31.48503135416668
2015.0,0.0,19.4,21.2,28.7,32.45503635416665
2015.0,0.0,30.8,20.5,32.0,39.45207312499999
2015.0,0.0,25.5,20.6,35.0,41.06721552083332
2015.0,0.0,14.4,20.0,26.5,40.58077489583332
2015.0,0.0,24.9,19.2,28.7,42.55221885416667
2015.0,0.0,30.1,19.5,30.3,42.62543499999998
2015.0,0.0,31.8,17.0,31.5,31.95479781250002
2015.0,0.0,22.8,20.0,34.4,32.27410729166666
2015.0,0.0,13.9,21.9,30.0,38.89107583333334
2015.0,47.8,3.0,20.0,22.4,38.089541458333336
2015.0,3.6,8.2,20.2,23.3,31.52163906249999
2015.0,1.0,20.8,18.3,28.8,33.36677739583333
2015.0,0.0,30.7,20.6,32.2,41.14848072916667
2015.0,0.0,27.9,18.7,28.3,42.54627770833336
2015.0,0.0,29.3,18.5,31.5,40.58460864583334
2015.0,1.0,32.2,19.7,34.7,38.24902583333334
2015.0,5.6,31.0,18.5,29.7,38.68305885416667
2015.0,2.0,3.6,19.3,21.6,38.38677687499999
2015.0,0.0,22.2,16.8,26.0,38.40101354166667
2015.0,0.0,27.3,19.2,28.8,30.083189166666667
2015.0,0.0,28.2,19.2,29.4,30.67152072916668
2015.0,10.0,28.7,20.2,31.8,36.93287958333334
2015.0,1.2,25.6,20.8,31.8,38.129550208333306
2015.0,35.2,25.8,19.7,36.5,37.41789697916667
2015.0,71.4,3.0,20.0,21.0,38.336563124999984
2015.0,9.8,3.2,17.6,19.8,37.61932989583333
2015.0,0.2,6.0,16.2,20.5,29.85943895833336
2015.0,0.0,27.8,13.0,24.4,30.284814687499992
2015.0,0.0,29.3,12.3,27.9,37.592779791666665
2015.0,2.2,27.9,14.5,27.0,37.72148947916667
2015.0,0.6,15.5,17.0,26.2,41.15633802083333
2015.0,0.0,17.1,17.2,25.0,38.939515625000006
2015.0,11.6,23.7,14.8,25.3,31.547090833333343
2015.0,0.2,16.0,13.6,25.0,30.7123071875
2015.0,0.0,15.3,15.5,23.8,30.509335312500003
2015.0,0.0,16.1,13.4,24.8,37.81845458333335
2015.0,0.0,20.7,15.6,27.3,38.28846552083333
2015.0,0.2,27.6,15.9,35.2,38.47623854166668
2015.0,4.0,8.8,21.2,26.2,38.131858645833326
2015.0,0.0,19.5,19.2,28.4,32.485766354166664
2015.0,16.0,22.1,19.3,29.0,30.049328854166664
2015.0,0.4,24.7,17.8,29.0,30.09319354166668
2015.0,0.6,11.6,18.0,26.5,37.78613291666667
2015.0,0.0,16.7,17.7,27.7,38.37523322916668
2015.0,0.0,22.4,17.7,29.8,38.69133229166666
2015.0,0.0,23.4,17.8,29.3,37.54699104166666
2015.0,0.0,26.6,16.8,29.0,38.10819520833334
2015.0,1.4,25.0,17.5,28.9,39.29505447916668
2015.0,3.4,17.4,17.2,28.0,40.18274500000001
2015.0,2.6,14.2,18.3,27.2,39.01955041666667
2015.0,0.0,8.9,19.7,25.2,38.758283229166665
2015.0,0.0,17.7,18.9,27.3,30.779644375
2015.0,0.0,16.5,18.7,28.0,31.2402278125
2015.0,3.0,14.5,19.5,26.4,38.53818854166668
2015.0,5.2,8.9,19.5,23.0,38.51741041666665
2015.0,0.8,12.3,18.0,27.2,38.65901010416666
2015.0,0.0,18.3,17.7,27.2,38.728847708333326
2015.0,10.4,21.8,17.2,30.6,38.88583864583333
2015.0,0.0,17.6,18.0,36.2,30.30443843750001
2015.0,0.0,11.2,15.8,23.7,31.02032468750001
2015.0,0.0,19.5,15.2,30.0,38.08876343749999
2015.0,0.0,17.3,20.7,29.5,37.99410749999999
2015.0,0.0,23.3,17.5,28.0,38.75462802083333
2015.0,0.0,24.5,13.4,30.2,39.279470625
2015.0,0.0,15.1,15.5,26.1,39.13575479166668
2015.0,0.0,19.9,17.7,26.5,31.956306458333344
2015.0,0.0,24.0,17.3,32.8,38.82369583333333
2015.0,17.4,13.0,19.8,26.6,39.129021041666654
2015.0,0.2,16.0,18.7,30.5,39.731395729166685
2015.0,1.0,17.6,17.6,27.3,31.119983750000014
2015.0,0.0,3.7,17.8,21.0,31.365859791666665
2015.0,6.6,20.1,15.0,25.8,38.65092937500001
2015.0,0.0,10.4,11.6,24.0,38.88930145833333
2015.0,0.0,13.0,11.8,22.8,38.58070666666666
2015.0,3.0,11.9,16.2,23.0,39.06630104166668
2015.0,0.2,17.2,16.3,30.0,38.90507812500001
2015.0,8.0,22.1,16.8,31.6,30.880649270833363
2015.0,4.0,17.4,17.0,31.5,31.329881874999995
2015.0,0.4,6.7,16.0,22.3,39.1093975
2015.0,0.0,5.8,15.5,23.6,39.41741458333333
2015.0,19.4,18.5,18.0,29.0,30.946650312500022
2015.0,0.0,4.7,12.0,28.0,39.80392770833335
2015.0,0.0,16.2,14.2,23.3,39.60287927083333
2015.0,0.0,20.6,10.5,27.5,31.156538333333344
2015.0,0.0,21.4,9.8,26.7,31.533624166666645
2015.0,0.0,19.4,11.9,24.2,37.875209791666656
2015.0,7.0,16.7,15.0,27.2,39.39952239583332
2015.0,6.8,10.4,16.7,25.2,38.30654958333335
2015.0,0.6,6.7,15.2,22.0,38.53992000000001
2015.0,3.8,12.0,15.5,23.5,30.762329062500005
2015.0,35.0,14.0,16.0,29.0,31.10440020833333
2015.0,18.0,3.0,16.4,18.0,39.089195833333314
2015.0,0.0,3.1,14.5,19.8,38.742700000000006
2015.0,1.0,17.7,14.6,25.8,39.4022159375
2015.0,1.8,14.4,12.0,25.9,39.57151927083334
2015.0,0.0,14.9,13.0,23.0,32.321079166666664
2015.0,0.0,11.7,13.3,22.7,38.246705
2015.0,5.2,13.5,12.2,21.3,39.22906416666667
2015.0,0.2,11.9,13.0,22.2,39.55170374999999
2015.0,0.0,11.5,12.5,22.0,38.83735614583333
2015.0,0.0,11.6,12.5,23.0,40.067503229166654
2015.0,0.0,14.3,10.7,21.8,30.79368822916668
2015.0,2.2,15.9,11.8,23.7,31.67541614583333
2015.0,3.8,15.6,15.5,28.0,39.0816925
2015.0,0.2,14.7,17.7,31.2,40.12252708333333
2015.0,3.0,3.7,18.4,23.8,39.303518958333335
2015.0,7.0,12.8,15.6,27.4,40.11867854166668
2015.0,127.4,14.0,11.6,23.0,39.08246229166665
2015.0,98.8,3.7,13.4,16.3,30.970110937499992
2015.0,33.4,2.9,12.2,17.0,31.86857635416668
2015.0,0.2,2.9,12.2,18.2,39.21097895833333
2015.0,0.0,11.0,12.5,21.0,39.285900625
2015.0,7.2,13.7,11.3,25.3,40.08666822916668
2015.0,1.0,13.5,11.2,25.1,31.698351770833337
2015.0,0.0,4.2,9.3,18.5,38.34656114583333
2015.0,0.0,14.0,7.8,20.5,38.843351562500025
2015.0,5.2,14.9,8.2,20.6,38.610480625
2015.0,12.6,9.1,12.6,18.5,38.52576635416666
2015.0,24.6,8.9,12.2,19.8,38.6942378125
2015.0,46.6,9.2,14.0,20.7,30.77714322916665
2015.0,0.4,7.6,16.5,22.0,31.55440187500002
2015.0,0.0,3.9,12.5,22.0,37.95543697916664
2015.0,0.0,6.6,9.7,22.0,38.48162614583334
2015.0,0.0,13.8,7.7,26.8,38.38812322916665
2015.0,0.0,13.4,8.2,20.7,39.36893229166666
2015.0,0.0,13.9,7.3,20.2,38.340602708333336
2015.0,0.0,13.7,9.6,20.5,31.395871145833343
2015.0,0.0,13.5,13.7,20.8,38.52710739583333
2015.0,0.0,11.7,10.6,21.0,35.03117729166668
2015.0,0.0,12.2,10.6,21.5,38.743302916666686
2015.0,1.2,13.2,4.7,22.2,30.08781020833335
2015.0,0.0,12.3,7.0,16.8,31.27075177083334
2015.0,1.0,13.0,11.4,18.0,38.24459739583333
2015.0,0.0,11.5,8.4,20.2,39.06261354166667
2015.0,0.0,10.4,9.6,20.3,38.70861229166667
2015.0,0.4,9.5,11.6,19.2,38.89318333333335
2015.0,0.8,7.5,13.8,20.2,39.22035197916666
2015.0,0.0,5.8,11.2,21.7,31.17108729166667
2015.0,8.0,10.0,12.0,24.3,31.475448229166687
2015.0,21.6,10.0,7.5,22.3,43.951739375
2015.0,0.0,4.8,6.0,17.0,39.93947125
2015.0,0.0,10.7,7.2,18.7,39.70257614583333
2015.0,0.0,11.9,5.2,19.2,39.980487291666655
2015.0,0.0,9.0,8.0,18.8,32.52384385416667
2015.0,0.0,10.5,8.6,18.4,40.37895354166668
2015.0,0.4,10.8,13.7,20.2,39.513979479166686
2015.0,0.0,10.2,8.0,22.0,39.29030916666668
2015.0,0.8,4.7,8.5,19.2,42.17119322916667
2015.0,0.4,5.4,8.8,17.0,34.49509645833333
2015.0,0.0,4.5,2.5,14.2,31.588912604166666
2015.0,0.0,10.9,4.0,15.2,37.54502750000002
2015.0,0.0,11.3,4.3,16.0,38.76189489583332
2015.0,0.0,10.8,5.4,16.8,38.23827156250001
2015.0,0.4,11.0,8.6,17.8,41.974739166666666
2015.0,0.0,9.7,6.0,16.3,41.22610416666664
2015.0,0.0,9.9,9.6,20.5,30.595140416666656
2015.0,0.0,10.9,10.7,21.2,31.07065593750001
2015.0,1.0,11.1,7.7,22.3,38.178089166666666
2015.0,1.0,9.7,9.8,22.0,38.9796234375
2015.0,0.0,4.3,11.6,14.0,44.92213083333333
2015.0,0.0,6.0,10.6,16.8,40.67603135416669
2015.0,0.0,7.4,7.2,18.3,34.30918302083334
2015.0,0.0,9.2,8.4,18.8,42.31398229166667
2015.0,5.0,8.7,11.7,19.4,42.37282302083333
2015.0,9.6,5.4,13.3,16.8,38.95164145833333
2015.0,2.0,3.1,7.7,15.4,37.031945937500005
2015.0,42.8,3.7,9.2,17.8,38.38451052083333
2015.0,0.8,5.6,7.0,17.2,31.69681885416668
2015.0,0.0,7.8,6.5,14.5,31.664811250000003
2015.0,0.2,10.4,4.4,16.0,38.66069614583333
2015.0,0.0,7.1,4.4,14.5,39.918388020833326
2015.0,0.0,10.5,8.7,18.2,38.57828166666665
2015.0,0.0,10.4,10.3,20.0,38.35518614583333
2015.0,5.6,9.4,7.8,20.5,41.36314354166665
2015.0,0.0,6.1,4.0,19.2,32.29289072916668
2015.0,0.0,9.9,5.3,18.8,40.414794375
2015.0,0.0,10.7,7.0,18.5,32.361313437499994
2015.0,0.0,10.6,5.7,18.2,41.46319031250001
2015.0,2.2,9.7,8.2,19.0,32.46691999999998
2015.0,0.0,8.3,3.0,19.0,32.48934333333332
2015.0,0.0,9.8,3.6,16.7,40.656673541666656
2015.0,0.0,10.3,1.8,16.2,40.54838447916668
2015.0,0.0,10.6,5.0,16.2,41.00703291666666
2015.0,0.0,10.8,3.2,15.8,40.81594625
2015.0,0.0,10.9,4.3,17.5,40.16007541666668
2015.0,0.2,11.0,5.3,16.5,31.270561770833314
2015.0,0.0,6.2,4.2,14.3,35.37195395833333
2015.0,0.0,8.4,4.0,16.2,43.76525364583333
2015.0,1.6,10.7,3.8,17.3,42.24115052083333
2015.0,4.6,6.9,5.8,14.3,41.50995677083333
2015.0,5.4,10.9,6.2,18.8,42.18231010416668
2015.0,0.2,10.5,7.8,13.8,41.18259677083332
2015.0,0.0,9.1,3.5,17.2,37.61651708333334
2015.0,0.0,11.3,6.2,17.3,42.41268875
2015.0,10.4,11.3,5.2,16.2,44.08015572916665
2015.0,4.2,6.7,4.3,12.8,45.67191552083333
2015.0,0.2,5.4,5.8,14.0,36.16735520833333
2015.0,0.0,9.7,5.3,14.3,34.826098125
2015.0,0.0,10.0,4.4,16.5,47.4766128125
2015.0,0.0,8.2,7.0,16.9,44.93458802083336
2015.0,4.0,11.6,9.7,19.0,41.96113114583335
2015.0,0.2,6.4,9.3,16.5,41.63568739583332
2015.0,0.0,7.9,9.3,17.3,41.443641354166665
2015.0,0.0,8.3,9.7,19.5,32.33275677083332
