Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66051,2015,1,1,30.9,0
66051,2015,1,2,18.4,1
66051,2015,1,3,31.2,2
66051,2015,1,4,24.2,3
66051,2015,1,5,16.1,4
66051,2015,1,6,30.5,5
66051,2015,1,7,31.1,6
66051,2015,1,8,31.6,7
66051,2015,1,9,25.4,8
66051,2015,1,10,14.7,9
66051,2015,1,11,3.2,10
66051,2015,1,12,17.1,11
66051,2015,1,13,25.0,12
66051,2015,1,14,27.6,13
66051,2015,1,15,30.0,14
66051,2015,1,16,26.5,15
66051,2015,1,17,31.8,16
66051,2015,1,18,31.0,17
66051,2015,1,19,6.9,18
66051,2015,1,20,24.9,19
66051,2015,1,21,29.0,20
66051,2015,1,22,29.2,21
66051,2015,1,23,28.4,22
66051,2015,1,24,28.2,23
66051,2015,1,25,26.8,24
66051,2015,1,26,3.3,25
66051,2015,1,27,3.2,26
66051,2015,1,28,5.6,27
66051,2015,1,29,30.2,28
66051,2015,1,30,28.3,29
66051,2015,1,31,29.1,30
66051,2015,2,1,20.6,31
66051,2015,2,2,27.0,32
66051,2015,2,3,24.7,33
66051,2015,2,4,22.6,34
66051,2015,2,5,8.5,35
66051,2015,2,6,19.3,36
66051,2015,2,7,18.6,37
66051,2015,2,8,27.9,38
66051,2015,2,9,11.7,39
66051,2015,2,10,21.6,40
66051,2015,2,11,26.8,41
66051,2015,2,12,26.4,42
66051,2015,2,13,18.2,43
66051,2015,2,14,18.8,44
66051,2015,2,15,25.6,45
66051,2015,2,16,26.1,46
66051,2015,2,17,26.9,47
66051,2015,2,18,26.7,48
66051,2015,2,19,19.4,49
66051,2015,2,20,14.3,50
66051,2015,2,21,12.0,51
66051,2015,2,22,23.2,52
66051,2015,2,23,18.8,53
66051,2015,2,24,18.6,54
66051,2015,2,25,7.3,55
66051,2015,2,26,15.4,56
66051,2015,2,27,22.8,57
66051,2015,2,28,20.4,58
66051,2015,3,1,16.9,59
66051,2015,3,2,15.5,60
66051,2015,3,3,20.8,61
66051,2015,3,4,18.2,62
66051,2015,3,5,23.2,63
66051,2015,3,6,23.6,64
66051,2015,3,7,18.2,65
66051,2015,3,8,19.9,66
66051,2015,3,9,23.3,67
66051,2015,3,10,7.2,68
66051,2015,3,11,20.3,69
66051,2015,3,12,21.1,70
66051,2015,3,13,3.6,71
66051,2015,3,14,20.3,72
66051,2015,3,15,12.7,73
66051,2015,3,16,16.7,74
66051,2015,3,17,12.2,75
66051,2015,3,18,17.7,76
66051,2015,3,19,21.7,77
66051,2015,3,20,14.7,78
66051,2015,3,21,8.2,79
66051,2015,3,22,10.6,80
66051,2015,3,23,18.5,81
66051,2015,3,24,5.6,82
66051,2015,3,25,20.2,83
66051,2015,3,26,20.3,84
66051,2015,3,27,21.1,85
66051,2015,3,28,20.2,86
66051,2015,3,29,17.0,87
66051,2015,3,30,8.2,88
66051,2015,3,31,9.8,89
66051,2015,4,1,17.8,90
66051,2015,4,2,14.4,91
66051,2015,4,3,3.8,92
66051,2015,4,4,3.3,93
66051,2015,4,5,17.0,94
66051,2015,4,6,13.7,95
66051,2015,4,7,14.4,96
66051,2015,4,8,12.0,97
66051,2015,4,9,13.2,98
66051,2015,4,10,15.7,99
66051,2015,4,11,13.8,100
66051,2015,4,12,11.8,101
66051,2015,4,13,15.9,102
66051,2015,4,14,16.5,103
66051,2015,4,15,15.9,104
66051,2015,4,16,14.3,105
66051,2015,4,17,3.7,106
66051,2015,4,18,12.6,107
66051,2015,4,19,10.8,108
66051,2015,4,20,3.0,109
66051,2015,4,21,3.6,110
66051,2015,4,22,3.2,111
66051,2015,4,23,13.0,112
66051,2015,4,24,13.5,113
66051,2015,4,25,14.1,114
66051,2015,4,26,3.8,115
66051,2015,4,27,15.1,116
66051,2015,4,28,14.6,117
66051,2015,4,29,7.9,118
66051,2015,4,30,7.3,119
66051,2015,5,1,7.0,120
66051,2015,5,2,8.6,121
66051,2015,5,3,4.7,122
66051,2015,5,4,5.7,123
66051,2015,5,5,13.6,124
66051,2015,5,6,13.1,125
66051,2015,5,7,13.8,126
66051,2015,5,8,13.4,127
66051,2015,5,9,13.3,128
66051,2015,5,10,10.8,129
66051,2015,5,11,12.7,130
66051,2015,5,12,13.1,131
66051,2015,5,13,10.4,132
66051,2015,5,14,12.6,133
66051,2015,5,15,11.4,134
66051,2015,5,16,11.7,135
66051,2015,5,17,7.9,136
66051,2015,5,18,6.0,137
66051,2015,5,19,5.6,138
66051,2015,5,20,10.1,139
66051,2015,5,21,10.4,140
66051,2015,5,22,5.3,141
66051,2015,5,23,10.3,142
66051,2015,5,24,11.6,143
66051,2015,5,25,9.9,144
66051,2015,5,26,10.7,145
66051,2015,5,27,10.3,146
66051,2015,5,28,10.1,147
66051,2015,5,29,3.7,148
66051,2015,5,30,6.3,149
66051,2015,5,31,5.3,150
66051,2015,6,1,10.8,151
66051,2015,6,2,11.0,152
66051,2015,6,3,10.8,153
66051,2015,6,4,10.9,154
66051,2015,6,5,9.7,155
66051,2015,6,6,8.4,156
66051,2015,6,7,10.7,157
66051,2015,6,8,10.9,158
66051,2015,6,9,9.6,159
66051,2015,6,10,3.5,160
66051,2015,6,11,5.6,161
66051,2015,6,12,7.5,162
66051,2015,6,13,9.7,163
66051,2015,6,14,9.8,164
66051,2015,6,15,6.1,165
66051,2015,6,16,3.2,166
66051,2015,6,17,3.0,167
66051,2015,6,18,5.7,168
66051,2015,6,19,6.1,169
66051,2015,6,20,9.6,170
