year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2014,27.53746,27.24314,26.58092,26.06585,26.21301,25.82672,25.27486,24.53906,24.29992,23.87684,23.38017,23.38017,23.30659,23.2698,23.39856,23.17782,23.47214,23.43535,23.69288,24.024,24.53906,25.05412,25.47721,26.12104,27.57425,28.25487,29.02746,29.98401,31.30846,32.61451,33.44229,33.88377,34.30686,34.30686,33.90216,33.97574,34.98747,35.35538,35.11624,35.50254,35.57612,36.0176,36.07279,35.6497,35.74167,36.05439,36.21995,36.07279,36.05439,36.036,35.66809,35.85204,36.036,35.81525,35.35538,35.48414,35.48414,35.30019,34.98747,35.07945,35.48414,35.2818,35.41056,36.036,35.87044,35.9992,35.76007,36.09118,35.87044,35.98081,36.80859,36.90056,36.91896,36.64303,36.45908,36.31192,36.07279,36.07279,35.2634,34.58278,34.1413,33.66303,33.62624,33.20315,32.57772,31.97068,31.34525,30.7566,30.62784,30.81179,30.31512,29.59771,28.97228,28.73314,28.60438,28.05252,0,31.42375670103094
2014,27.7766,27.05919,26.45215,26.34178,26.15783,25.8819,25.42202,24.79659,23.91363,23.34338,23.19622,23.04906,23.30659,23.17782,23.23301,23.23301,23.23301,23.23301,23.23301,23.78486,24.18955,24.53906,25.05412,25.9003,27.11437,27.90536,28.65956,29.78166,31.10611,32.44895,33.22155,33.33192,33.49747,33.71821,33.66303,33.755,33.99414,34.45402,34.47241,34.82192,34.91389,34.80352,34.49081,34.60118,34.34365,34.10451,34.1413,34.32525,34.10451,34.04932,34.04932,33.81019,33.7734,33.84698,34.06772,34.21488,34.1597,33.93895,34.10451,34.10451,33.53426,33.27673,33.47908,33.66303,33.84698,33.88377,34.21488,34.36204,35.11624,35.9992,37.19489,37.58118,37.59958,37.98588,38.13304,38.04106,37.93069,37.10291,36.69822,36.79019,36.10958,35.70488,35.15303,34.36204,33.58945,32.43056,31.8971,31.23487,31.1429,30.48068,30.29672,29.87364,29.37697,29.13783,28.82512,28.29166,1,31.079818144329902
2014,27.7766,27.70302,26.91203,26.58092,26.21301,25.47721,25.18289,24.66783,24.24474,23.84005,23.69288,23.32498,23.17782,23.17782,22.99387,22.97548,23.15943,22.9019,23.19622,23.10424,24.24474,24.79659,25.09091,26.85684,27.96055,28.93549,29.85524,30.55426,31.41883,32.39377,33.14796,33.53426,33.57105,33.82858,34.1597,33.81019,33.88377,33.71821,33.71821,33.53426,33.73661,34.1413,33.71821,33.82858,33.92056,34.43562,34.74834,34.47241,34.25167,34.21488,33.88377,33.64463,33.92056,33.84698,34.21488,33.82858,33.84698,33.92056,33.99414,34.19649,33.7734,33.62624,33.53426,33.27673,33.22155,33.03759,33.03759,33.23994,33.58945,34.1597,34.84031,35.00587,34.84031,34.60118,34.49081,34.1229,33.81019,33.16636,32.81685,32.15463,31.60278,30.97734,30.53586,30.70142,30.22314,29.94722,29.59771,28.8987,29.15623,29.00907,28.64117,28.29166,27.83178,27.81339,27.83178,27.3719,2,30.25627948453609
2014,27.3719,26.67289,26.48894,25.60598,25.05412,24.66783,24.20795,23.85844,23.72968,22.99387,22.58918,22.40523,22.66276,22.77313,22.42362,22.31325,22.25807,22.01893,22.1477,22.16609,22.46041,22.66276,22.86511,23.6193,24.64943,25.36684,25.4956,25.82672,27.0224,27.88697,28.60438,29.98401,30.3887,30.88537,31.5292,31.80512,32.79846,33.36871,33.4055,33.58945,33.66303,33.36871,32.57772,32.96401,32.96401,32.81685,33.23994,33.0008,33.16636,33.12957,33.27673,33.11117,33.11117,32.94562,32.66969,32.78006,33.31352,32.94562,32.44895,31.91549,31.95228,31.8787,31.95228,32.48574,32.22821,32.08105,32.39377,33.14796,33.3871,34.1413,34.5276,34.32525,33.7734,33.46068,33.11117,32.74327,32.06265,31.67636,31.32685,30.59105,30.18635,29.94722,29.68969,29.34018,29.08265,28.31005,25.05412,24.79659,24.87017,25.07252,24.92536,24.31832,23.84005,23.67449,23.49054,23.28819,3,28.599651340206172
2014,23.19622,22.53399,22.23967,21.85338,22.18449,21.52226,20.97041,20.45535,19.84831,19.16769,18.83658,18.56065,18.56065,18.56065,18.54226,18.52386,18.68942,19.00214,18.91016,18.67102,18.85497,18.61584,18.94695,19.48041,19.90349,20.17942,20.32658,20.71288,21.19115,22.05572,22.71794,23.17782,24.13437,24.83338,25.01733,25.4956,26.30499,26.76487,27.27993,27.40869,27.62944,27.79499,27.85018,27.99734,27.99734,27.66623,27.55586,27.09598,27.50067,27.73981,27.42709,27.29832,27.15116,26.93042,27.04079,27.0224,26.76487,26.78326,26.32338,26.08425,26.08425,26.21301,26.6545,26.78326,26.61771,27.09598,27.53746,28.07092,28.54919,29.80006,30.31512,30.07598,29.92882,30.24154,30.13117,29.98401,29.50574,29.39537,29.19302,29.08265,28.60438,28.54919,28.10771,27.79499,27.55586,27.11437,26.58092,25.9003,25.53239,25.45881,25.05412,24.68622,24.3735,23.89523,24.15276,24.04239,4,24.66544505154639
2014,24.85178,24.48387,23.87684,23.60091,23.47214,22.75473,22.44202,21.89017,21.55905,21.20955,20.74967,21.20955,21.28313,21.15436,20.89683,20.95202,20.93362,20.56572,20.82325,21.17276,21.33831,21.70621,22.03733,22.53399,24.66783,25.99227,26.56252,27.57425,28.95388,29.81845,30.57265,30.90376,31.05092,30.64623,30.4071,30.95895,31.65796,32.19142,33.07438,35.30019,35.37377,35.07945,34.69315,35.04266,35.33698,34.8955,34.5092,34.32525,34.06772,34.45402,34.98747,34.54599,34.95068,34.63797,34.71155,34.91389,35.04266,34.95068,34.72994,34.38044,34.39883,34.60118,34.98747,35.22661,35.30019,35.31859,35.6497,35.70488,36.4039,36.53266,37.1397,37.36044,37.1397,37.04773,37.1397,37.28686,36.86377,36.55106,36.12797,35.39217,35.20822,34.82192,34.58278,34.06772,33.60784,33.20315,32.6329,32.06265,31.74994,31.47401,31.36364,30.49907,29.78166,29.22981,28.93549,28.5124,6,30.343977835051547
2014,28.03413,27.68462,27.35351,27.16956,27.16956,26.80166,26.17622,25.78993,25.33005,24.64943,24.52066,24.26313,24.024,23.78486,24.11597,24.17116,24.07918,24.09758,24.29992,24.55745,25.34844,25.67956,26.2498,26.89363,27.79499,28.86191,30.09438,31.19808,32.41216,33.66303,34.39883,34.84031,34.8771,34.65636,34.67476,34.1229,34.72994,35.00587,35.31859,35.11624,35.11624,35.04266,34.95068,34.82192,35.07945,35.04266,34.8771,34.38044,34.65636,35.06105,34.78513,34.72994,35.15303,35.07945,35.07945,35.30019,35.15303,35.00587,34.74834,34.84031,34.34365,34.58278,35.06105,35.04266,34.58278,34.69315,35.00587,35.53933,35.85204,37.08452,37.65476,37.47081,36.93735,37.10291,37.30526,37.02933,36.53266,36.34871,36.09118,35.92562,35.57612,35.04266,34.56439,34.06772,33.44229,32.92722,32.33858,31.78673,31.34525,31.43722,31.03253,30.71981,30.25993,29.52413,29.50574,28.91709,7,31.779243195876283
2014,28.67796,27.92376,27.51907,27.04079,27.09598,26.80166,26.15783,25.60598,25.38523,25.1461,24.3919,24.04239,24.3919,23.56412,23.21461,23.2698,23.87684,23.74807,23.80326,24.22634,24.85178,25.53239,25.93709,26.89363,28.21808,29.35857,30.59105,31.60278,32.6329,33.47908,34.56439,34.65636,34.98747,34.85871,34.91389,34.58278,34.65636,35.35538,35.22661,35.22661,35.2818,34.82192,34.95068,34.82192,34.85871,34.54599,35.04266,34.8955,34.74834,34.72994,34.76673,34.63797,34.61957,34.65636,34.43562,34.76673,34.60118,34.61957,35.09785,35.44735,35.31859,35.13464,34.8955,34.85871,35.11624,34.80352,35.02426,35.52093,36.20155,37.21328,38.33538,39.47588,39.51267,39.64143,39.88057,39.58625,38.94242,39.12637,38.55612,37.91229,37.67316,36.93735,36.86377,35.90723,35.2818,34.04932,33.03759,32.59611,32.13623,31.71315,31.47401,31.01413,30.25993,30.13117,29.52413,29.22981,8,32.17774618556701
2014,29.08265,28.84351,28.29166,28.07092,27.70302,27.09598,26.39696,25.97388,25.58758,25.36684,25.07252,24.66783,24.66783,24.66783,24.66783,24.66783,24.53906,24.48387,24.48387,24.7782,25.42202,25.86351,26.2498,27.05919,28.73314,29.76327,30.73821,31.62117,32.72488,33.71821,34.38044,34.54599,34.84031,34.5092,34.36204,33.84698,34.43562,35.61291,35.37377,35.30019,35.13464,35.11624,34.95068,35.07945,34.98747,34.80352,34.96908,35.11624,34.60118,34.56439,34.71155,34.84031,35.20822,35.20822,35.44735,34.78513,35.11624,34.78513,34.69315,34.54599,34.36204,34.38044,34.38044,34.47241,34.47241,34.80352,34.8771,34.95068,35.09785,35.37377,35.57612,35.2818,35.00587,34.8771,34.54599,34.25167,34.32525,33.95735,33.31352,32.81685,32.43056,32.17302,31.8787,31.30846,30.73821,30.18635,30.05759,29.74487,29.67129,29.67129,29.52413,29.10104,28.62277,28.25487,28.07092,27.31672,9,31.296367731958778
2014,27.24314,26.85684,26.32338,26.02906,26.17622,25.84511,25.4956,24.85178,24.35511,23.87684,23.36177,23.04906,23.04906,23.12264,23.10424,22.77313,23.01227,23.23301,23.43535,23.71128,23.80326,24.20795,24.28153,24.42869,25.1461,25.9003,26.13943,26.85684,27.72141,28.95388,29.96561,30.59105,31.16129,31.80512,32.39377,32.54093,33.14796,33.66303,33.82858,34.10451,33.99414,34.06772,34.08611,34.04932,34.03093,34.19649,34.25167,34.36204,34.25167,34.28846,34.1597,33.90216,34.03093,34.01253,33.93895,34.39883,34.39883,33.68142,33.42389,33.49747,33.47908,32.90883,32.87204,33.49747,33.62624,33.57105,33.60784,34.06772,34.41723,34.76673,34.8955,34.78513,33.99414,33.36871,33.0008,32.74327,32.32019,31.8787,31.16129,31.01413,30.94055,30.3887,30.18635,29.81845,29.67129,29.35857,28.75154,28.65956,28.76993,28.78833,28.71475,27.97894,27.90536,27.68462,27.70302,27.31672,10,29.78538309278351
