Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,30.9,21.2,30.7,35.91546402061856
2015,1,0.0,18.4,21.1,27.5,36.2407762886598
2015,2,0.0,31.2,22.3,31.4,37.49973989690721
2015,3,0.0,24.2,22.9,33.8,36.8603749484536
2015,4,0.0,16.1,20.6,25.8,33.90098041237113
2015,5,0.0,30.5,21.3,28.8,33.37910237113403
2015,6,0.0,31.1,22.2,31.5,34.36998422680413
2015,7,0.0,31.6,21.4,30.8,34.824324329896896
2015,8,0.0,25.4,22.4,33.3,32.10028072164948
2015,9,0.0,14.7,21.7,28.4,30.963536907216493
2015,10,19.8,3.2,20.3,23.1,32.53882536082475
2015,11,6.6,17.1,20.3,23.2,33.556004020618566
2015,12,4.0,25.0,19.0,29.9,34.14277659793815
2015,13,0.6,27.6,21.1,35.0,35.13725278350516
2015,14,0.0,30.0,22.0,27.1,33.26929525773195
2015,15,0.0,26.5,21.1,29.1,33.14698587628865
2015,16,0.0,31.8,21.2,35.8,37.13361453608247
2015,17,0.0,31.0,21.5,27.2,33.663218556701025
2015,18,0.4,6.9,20.5,23.0,31.26609494845361
2015,19,21.8,24.9,18.4,27.1,35.25865670103093
2015,20,3.2,29.0,19.5,29.1,33.87199371134021
2015,21,0.0,29.2,22.3,29.3,33.86471237113401
2015,22,0.0,28.4,23.4,31.7,35.26972907216495
2015,23,0.0,28.2,23.2,31.6,37.36490907216495
2015,24,1.4,26.8,21.6,36.6,38.06046639175258
2015,25,2.6,3.3,19.8,21.1,38.2497513402062
2015,26,49.6,3.2,18.6,20.6,38.40290278350516
2015,27,66.6,5.6,16.9,21.5,34.922290309278345
2015,28,15.2,30.2,15.2,21.7,34.71129432989692
2015,29,0.0,28.3,14.3,25.2,32.7262255670103
2015,30,0.0,29.1,17.0,25.6,36.64440072164948
2015,31,0.0,20.6,19.6,25.2,35.18793381443298
2015,32,10.2,27.0,19.4,22.7,35.25416288659794
2015,33,4.0,24.7,20.0,24.0,37.08504587628867
2015,34,0.2,22.6,17.6,23.5,38.68190072164947
2015,35,13.6,8.5,18.7,24.0,38.12975257731958
2015,36,0.0,19.3,18.1,25.8,37.415469175257726
2015,37,0.0,18.6,19.2,27.7,36.44218536082475
2015,38,0.0,27.9,19.6,33.1,34.55965690721649
2015,39,0.1,11.7,21.8,27.1,33.9108330927835
2015,40,0.4,21.6,22.0,28.8,34.9193093814433
