Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66036,2015,1,1,30.7,0
66036,2015,1,2,20.1,1
66036,2015,1,3,31.2,2
66036,2015,1,4,22.4,3
66036,2015,1,5,16.2,4
66036,2015,1,6,28.7,5
66036,2015,1,7,30.7,6
66036,2015,1,8,31.8,7
66036,2015,1,9,24.7,8
66036,2015,1,10,15.4,9
66036,2015,1,11,3.1,10
66036,2015,1,12,16.5,11
66036,2015,1,13,21.0,12
66036,2015,1,14,29.3,13
66036,2015,1,15,29.7,14
66036,2015,1,16,28.2,15
66036,2015,1,17,32.1,16
66036,2015,1,18,30.3,17
66036,2015,1,19,6.0,18
66036,2015,1,20,18.9,19
66036,2015,1,21,28.5,20
66036,2015,1,22,28.6,21
66036,2015,1,23,28.6,22
66036,2015,1,24,27.4,23
66036,2015,1,25,26.0,24
66036,2015,1,26,3.8,25
66036,2015,1,27,3.4,26
66036,2015,1,28,4.0,27
66036,2015,1,29,28.2,28
66036,2015,1,30,27.3,29
66036,2015,1,31,28.9,30
66036,2015,2,1,20.6,31
66036,2015,2,2,24.8,32
66036,2015,2,3,25.9,33
66036,2015,2,4,22.5,34
66036,2015,2,5,10.3,35
66036,2015,2,6,19.3,36
66036,2015,2,7,22.9,37
66036,2015,2,8,28.2,38
66036,2015,2,9,13.6,39
66036,2015,2,10,21.7,40
66036,2015,2,11,25.2,41
66036,2015,2,12,23.5,42
66036,2015,2,13,17.0,43
66036,2015,2,14,17.1,44
66036,2015,2,15,21.9,45
66036,2015,2,16,24.6,46
66036,2015,2,17,26.7,47
66036,2015,2,18,26.0,48
66036,2015,2,19,19.4,49
66036,2015,2,20,15.2,50
66036,2015,2,21,11.9,51
66036,2015,2,22,17.9,52
66036,2015,2,23,16.5,53
66036,2015,2,24,18.8,54
66036,2015,2,25,10.7,55
66036,2015,2,26,15.4,56
66036,2015,2,27,20.6,57
66036,2015,2,28,20.9,58
66036,2015,3,1,17.7,59
66036,2015,3,2,15.0,60
66036,2015,3,3,20.8,61
66036,2015,3,4,18.9,62
66036,2015,3,5,23.3,63
66036,2015,3,6,24.2,64
66036,2015,3,7,14.2,65
66036,2015,3,8,20.5,66
66036,2015,3,9,23.8,67
66036,2015,3,10,8.7,68
66036,2015,3,11,19.7,69
66036,2015,3,12,18.8,70
66036,2015,3,13,3.9,71
66036,2015,3,14,18.4,72
66036,2015,3,15,13.7,73
66036,2015,3,16,13.9,74
66036,2015,3,17,12.7,75
66036,2015,3,18,16.4,76
66036,2015,3,19,21.6,77
66036,2015,3,20,15.5,78
66036,2015,3,21,8.7,79
66036,2015,3,22,8.6,80
66036,2015,3,23,18.3,81
66036,2015,3,24,6.3,82
66036,2015,3,25,16.6,83
66036,2015,3,26,20.0,84
66036,2015,3,27,21.1,85
66036,2015,3,28,19.3,86
66036,2015,3,29,17.0,87
66036,2015,3,30,9.4,88
66036,2015,3,31,7.3,89
66036,2015,4,1,13.0,90
66036,2015,4,2,14.0,91
66036,2015,4,3,3.3,92
66036,2015,4,4,3.2,93
66036,2015,4,5,16.5,94
66036,2015,4,6,14.3,95
66036,2015,4,7,14.5,96
66036,2015,4,8,13.0,97
66036,2015,4,9,13.1,98
66036,2015,4,10,13.0,99
66036,2015,4,11,10.6,100
66036,2015,4,12,13.0,101
66036,2015,4,13,15.0,102
66036,2015,4,14,16.2,103
66036,2015,4,15,16.1,104
66036,2015,4,16,14.3,105
66036,2015,4,17,4.2,106
66036,2015,4,18,11.5,107
66036,2015,4,19,12.5,108
66036,2015,4,20,3.2,109
66036,2015,4,21,5.7,110
66036,2015,4,22,3.6,111
66036,2015,4,23,13.4,112
66036,2015,4,24,14.4,113
66036,2015,4,25,13.5,114
66036,2015,4,26,4.1,115
66036,2015,4,27,15.1,116
66036,2015,4,28,14.9,117
66036,2015,4,29,8.9,118
66036,2015,4,30,7.6,119
66036,2015,5,1,8.2,120
66036,2015,5,2,8.0,121
66036,2015,5,3,5.4,122
66036,2015,5,4,6.3,123
66036,2015,5,5,13.5,124
66036,2015,5,6,14.0,125
