year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2018,20.43448,19.83125,19.03951,18.49283,18.60594,17.83305,17.58798,17.21096,16.58888,16.0799,15.92909,15.92909,15.74058,15.53322,15.53322,15.66518,16.30611,16.17416,16.15531,16.73969,17.41832,18.34202,19.19032,20.17057,21.6598,23.46949,24.90217,27.10774,29.53952,30.74598,31.53772,32.06555,32.95155,32.70648,32.48027,32.17866,32.46142,32.21636,32.51797,32.14095,32.48027,32.06555,32.0844,31.34921,33.21546,33.15891,32.64993,32.02785,32.19751,32.23521,31.82049,31.91474,31.51887,32.49912,32.23521,32.25406,31.87704,32.17866,31.93359,32.21636,31.76393,31.42462,30.97219,31.29266,31.55657,31.02875,31.0853,31.10415,31.48117,32.31061,33.68674,34.49733,34.9686,35.17597,35.45873,35.55299,35.11941,34.87435,34.04491,33.21546,32.76304,32.25406,30.95334,30.1993,30.06734,29.08709,28.14454,27.33395,27.05118,26.24059,25.24149,24.56285,23.56375,22.47039,21.71635,21.24508,0,27.161180515463915
2018,20.84921,20.35908,19.45423,18.62479,18.7756,18.15351,17.71994,17.26752,16.62658,16.17416,16.45692,16.1176,15.74058,15.92909,15.83484,15.92909,15.92909,16.02335,16.09875,16.49462,17.43717,18.07811,18.94525,20.03861,22.01797,23.5072,25.07183,26.84382,28.84203,30.61402,31.72623,32.32946,32.85729,32.40487,31.89589,32.23521,31.99015,32.17866,31.51887,31.83934,31.95244,32.29176,32.83844,32.55568,32.53683,32.27291,32.14095,32.17866,31.74508,31.76393,32.0467,32.02785,31.51887,31.85819,32.95155,32.70648,32.9327,32.63108,32.10325,31.25496,31.76393,31.44347,30.85909,30.95334,30.84024,31.02875,30.95334,30.91564,31.78279,32.64993,33.61133,34.17686,34.45963,34.9309,34.98746,35.34562,34.8178,34.70469,34.10146,33.61133,32.80074,32.38602,31.85819,31.00989,30.25585,29.55837,28.86088,28.05029,27.65442,26.82497,26.08978,24.61941,23.95962,23.16788,22.5835,21.54669,1,27.2309581443299
2018,21.18852,20.56644,19.62389,19.15262,19.09606,18.51168,18.11581,17.51258,17.24866,16.9659,16.73969,16.51348,16.51348,16.45692,16.15531,16.53233,16.32497,16.60773,17.02245,17.53143,18.02156,18.70019,19.39768,20.90576,22.80971,24.05388,25.78817,28.14454,30.06734,31.65083,32.87614,33.29087,33.91295,33.78099,34.17686,34.23342,34.08261,33.10236,32.70648,33.55478,33.34742,33.30972,33.63018,33.21546,33.29087,32.83844,32.14095,32.74419,32.06555,31.50002,31.9713,32.76304,33.63018,34.21456,34.32767,34.30882,33.91295,34.21456,33.78099,33.70559,33.32857,33.27201,33.10236,32.9327,32.57453,32.46142,32.15981,32.55568,33.23431,34.04491,34.94975,35.60954,36.45783,36.91026,37.04221,37.21187,37.24958,36.7406,36.08081,35.51528,35.49643,34.70469,33.61133,32.98925,32.34832,31.27381,30.1616,29.59607,29.03054,28.2765,26.91923,25.67506,25.14723,23.95962,23.05477,22.45154,2,28.3987582474227
2018,21.96141,21.09427,20.50989,19.58619,19.39768,18.64364,17.83305,17.71994,17.58798,17.28637,17.07901,16.9282,16.60773,16.58888,16.40037,16.62658,16.49462,16.90935,16.73969,17.15441,18.13466,19.09606,19.90666,20.6607,22.6589,24.90217,26.3914,28.12569,30.70828,32.14095,32.91385,33.74329,34.17686,33.87525,33.30972,32.76304,32.70648,32.31061,31.91474,31.85819,32.06555,32.81959,32.59338,33.19661,33.46052,33.68674,33.98835,33.83754,33.74329,33.68674,33.76214,33.64903,32.9327,32.81959,32.46142,32.29176,32.74419,32.76304,32.48027,32.14095,31.89589,31.65083,30.74598,31.21726,31.53772,31.55657,31.50002,32.06555,32.72534,33.70559,34.34652,34.59158,35.19482,35.47758,35.36448,35.55299,35.53413,35.49643,34.47848,33.9318,33.8564,33.12121,32.48027,31.74508,31.1984,30.48207,29.93539,28.87973,28.2388,27.52246,26.76842,25.67506,24.5063,23.95962,23.14903,22.33843,3,28.020581340206206
2018,21.6221,20.6607,20.20827,19.32227,19.03951,18.39858,18.13466,17.94615,17.19211,16.83394,16.45692,16.45692,16.41922,16.13646,16.13646,16.13646,16.32497,16.58888,16.77739,17.15441,17.49373,18.26662,19.49193,20.56644,22.03682,23.63915,25.29804,27.22084,29.52067,31.51887,32.44257,33.25316,33.8941,33.57363,33.30972,32.61223,32.19751,32.06555,32.02785,31.70738,31.99015,32.02785,31.66968,31.87704,31.83934,31.72623,31.27381,31.14185,31.33036,30.99104,30.99104,31.36806,31.66968,31.1984,30.63287,31.14185,30.87794,30.70828,30.237,30.46322,30.14275,29.63377,29.70918,29.95424,29.80343,29.55837,30.14275,30.1993,30.38781,31.46232,32.81959,33.27201,33.19661,33.44167,33.19661,33.32857,32.59338,32.23521,32.21636,31.50002,30.91564,30.35011,30.02964,29.35101,28.78548,28.06914,27.50361,27.01348,26.74957,26.14634,25.5431,24.5817,24.28009,23.69571,22.96052,22.03682,4,26.82520402061855
2018,21.41474,21.22623,20.28368,19.83125,19.30342,19.02066,18.36087,17.8519,17.39947,16.68313,16.23071,16.0045,15.62748,15.55207,15.60863,15.38242,15.62748,15.70288,15.38242,15.38242,15.38242,15.85369,15.68403,15.9668,16.38152,16.77739,16.9659,17.02245,17.66339,18.43628,19.13376,19.98206,20.96231,21.82946,22.6589,22.96052,23.20558,23.69571,23.94077,23.97847,24.41204,24.22353,24.20468,24.12928,24.44975,23.95962,23.88422,23.82766,23.67686,23.46949,23.16788,23.24328,22.92282,22.60235,22.39499,22.30073,22.5835,22.24418,22.48924,22.84741,22.94167,23.11133,23.69571,24.26124,24.78906,25.16608,25.71276,26.78727,28.16339,29.63377,31.51887,32.72534,33.30972,33.38512,33.55478,33.8564,33.34742,32.74419,32.02785,31.46232,30.74598,29.93539,29.35101,29.06824,28.52156,27.82408,27.10774,27.01348,26.54221,25.33574,24.35549,23.6203,22.80971,22.01797,21.35818,20.94346,6,22.764289793814438
2018,20.7738,19.94436,19.26572,18.68134,18.62479,18.09696,17.58798,17.17326,16.81509,16.58888,16.40037,16.30611,16.09875,15.98565,15.98565,15.98565,15.98565,15.98565,16.40037,16.90935,17.53143,18.39858,19.41653,20.26482,22.14992,24.07273,25.58081,27.54131,30.18045,32.06555,32.95155,33.53593,34.47848,34.38422,33.68674,33.27201,32.78189,32.34832,32.59338,32.53683,32.19751,32.1221,32.31061,32.31061,32.91385,32.59338,32.42372,32.34832,32.0844,31.9713,32.14095,32.64993,31.65083,31.44347,31.50002,31.59428,31.70738,31.85819,31.48117,31.53772,31.80164,31.25496,31.33036,32.23521,31.95244,31.66968,32.19751,32.59338,33.27201,34.49733,35.98656,37.34383,37.23072,37.58889,38.21098,38.34293,38.11672,37.6643,37.13647,36.57094,36.06196,35.28907,34.27112,33.36627,32.85729,31.76393,31.00989,29.89769,29.2756,28.14454,27.08889,25.95783,24.92102,23.95962,23.46949,22.60235,7,28.145773402061835
2018,21.92371,21.03772,20.03861,19.52964,19.24687,18.86985,18.19121,17.9273,17.45603,17.30522,16.87164,16.79624,16.87164,16.60773,16.53233,16.77739,16.83394,17.0036,17.0413,17.90845,18.28547,19.22802,20.28368,21.16967,23.03592,25.3923,26.91923,28.84203,31.85819,33.68674,34.25227,34.98746,35.64724,35.47758,34.68584,35.47758,35.13826,35.00631,35.10056,34.91205,33.87525,33.23431,33.64903,33.25316,33.14006,32.68763,32.48027,32.57453,32.31061,32.02785,32.10325,31.82049,31.59428,31.61313,31.87704,31.91474,31.68853,31.65083,31.33036,31.70738,31.68853,31.93359,31.78279,31.78279,32.14095,31.61313,31.55657,32.0467,33.27201,34.8178,36.06196,36.98566,37.53234,38.04132,37.94706,38.17327,38.51259,38.51259,37.75855,37.64545,36.83485,35.70379,34.78009,34.27112,34.02605,32.74419,31.36806,30.82138,30.33126,29.10594,27.57901,26.80612,25.73161,24.52515,23.39409,22.80971,8,28.8178105154639
2018,22.13107,21.11312,20.32138,19.92551,19.60504,19.05836,18.37972,17.965,17.71994,17.75764,17.36177,17.26752,16.85279,17.19211,16.57003,16.53233,16.85279,16.98475,17.34292,17.73879,18.36087,19.35998,20.32138,21.03772,23.11133,25.14723,26.91923,29.55837,31.87704,33.9695,34.47848,35.02516,35.7415,35.47758,35.19482,34.59158,34.30882,33.95065,33.91295,33.83754,33.36627,32.64993,33.02695,32.83844,32.98925,32.66878,32.87614,32.63108,32.9327,33.0081,33.0081,32.78189,32.36717,32.46142,32.009,31.76393,32.0467,32.14095,32.34832,32.31061,32.29176,32.14095,31.42462,31.76393,31.78279,32.0844,31.59428,32.32946,33.29087,34.23342,35.91115,37.24958,37.6266,37.92821,37.96591,38.7011,38.22983,38.28638,37.68315,37.13647,36.75945,36.40128,35.36448,34.79895,34.34652,33.25316,31.65083,30.97219,30.61402,29.33216,28.12569,26.99463,26.14634,24.97757,24.07273,23.28098,9,28.95696783505155
2018,22.75316,21.98027,20.6984,19.92551,20.01976,19.28457,18.66249,18.41743,18.11581,17.66339,17.66339,17.43717,17.17326,16.98475,17.19211,17.0036,17.0036,17.13556,17.39947,18.17236,18.8133,19.7747,20.90576,21.94256,23.56375,25.78817,27.33395,29.40756,32.27291,34.15801,35.02516,35.66609,35.83575,35.79805,35.27022,35.15711,34.70469,34.02605,34.06376,33.78099,33.64903,33.49823,33.46052,33.19661,32.70648,32.61223,32.36717,33.0458,32.46142,32.14095,32.0467,32.02785,32.02785,32.009,31.85819,31.63198,32.14095,32.46142,32.06555,32.31061,32.78189,32.23521,31.21726,31.74508,31.9713,32.23521,31.82049,32.98925,33.70559,34.94975,36.19392,36.98566,36.92911,37.36268,37.26843,37.53234,37.30613,37.04221,36.42013,35.76035,35.42103,34.91205,34.13916,33.70559,32.9704,32.10325,31.02875,30.57632,29.97309,29.01169,27.65442,26.4668,25.92012,24.63826,23.6203,22.86626,10,28.898480618556707
