year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,19.37752,18.93688,18.31218,17.92477,17.679,17.41254,16.92385,16.61554,16.34192,16.12481,15.90052,15.68528,15.41895,15.35146,15.24854,15.07826,15.22975,15.22901,15.1667,15.09103,15.34557,15.14899,15.38656,15.68785,16.18099,16.13983,16.47726,16.84787,16.98644,17.5206,17.84998,17.99094,18.36889,19.00585,19.36398,19.29244,19.14813,18.80699,19.48705,20.26365,19.04937,20.14357,20.87784,19.20737,18.79545,18.01981,18.25725,18.22343,18.1892,18.35264,17.87993,18.03086,18.42614,18.45195,18.76996,18.71636,18.81419,20.00849,20.89031,22.10675,22.10857,21.82678,22.80931,22.4763,22.93778,23.55996,24.27419,24.9174,25.60758,26.60644,27.81442,28.21641,28.8166,28.72397,28.42741,28.28497,28.01817,27.74671,27.19651,26.54838,26.21852,25.69622,25.13483,24.53715,24.08351,23.72249,23.02309,22.48148,22.48175,22.05788,21.47913,20.59445,20.07585,19.63519,19.34587,18.68909,20.184725000000004
2023,18.27907,17.92635,17.51787,17.09943,16.88258,16.24864,15.94363,15.71153,15.27922,15.18496,15.0865,14.81655,14.7934,14.91057,14.59395,14.46468,14.66054,14.7446,14.87052,15.22066,15.89678,16.40525,17.01282,17.97412,19.20697,20.14931,21.38689,22.45599,24.11277,25.07279,26.1534,27.06737,27.41215,27.12133,26.96557,26.84843,26.44979,26.14899,25.79299,25.75511,25.74069,25.50268,25.38204,25.00081,25.16248,25.17946,25.179,25.19834,24.94882,26.08206,26.41451,26.06853,26.85554,26.83648,26.41163,28.4784,28.88639,28.8567,29.01182,27.5703,26.46773,27.00464,27.20886,27.28732,27.57458,28.05051,28.05235,28.08318,28.28075,29.37384,30.61857,31.21962,31.6123,31.67676,31.90774,31.49894,30.80902,30.57268,29.97761,29.47887,28.87477,28.06907,27.57875,26.95131,26.06678,25.24405,24.64094,23.75875,23.6006,23.09422,22.35248,21.61128,21.3729,20.6316,20.17394,19.58885,23.73705114583333
2023,19.11598,18.62565,18.02417,17.8711,17.42535,17.21065,16.80283,16.39856,15.92146,15.49645,15.17395,15.1791,15.00865,14.95023,14.89764,14.86764,14.83032,14.98841,15.34885,15.71905,16.45041,16.91019,17.37728,18.30345,19.54203,20.65574,21.77863,22.88271,24.51637,25.44929,26.39472,27.03201,27.03526,26.9744,26.95535,26.67556,26.63946,26.4258,26.04518,25.68071,25.10682,25.18939,25.08102,25.01163,25.04472,25.41088,25.95611,25.41216,25.26119,25.34445,25.66133,25.72111,25.68453,25.85448,26.1591,26.29706,26.51322,26.48522,26.79493,27.06809,27.11378,27.29812,27.60628,27.86427,28.1099,28.3542,28.44857,28.38654,28.50679,29.22441,30.40681,31.00752,31.11778,31.09172,31.49013,31.36856,30.85286,30.16074,29.60015,29.24088,28.25299,27.43787,26.83078,26.40872,25.93854,25.60043,24.66924,23.82755,23.70883,23.48259,22.61535,22.19104,21.39606,20.72867,20.09263,19.31772,23.733198437499993
2023,19.05124,18.67542,18.3279,18.01849,17.88954,17.17306,16.70134,16.0725,15.82647,15.59141,15.53622,15.26947,15.18152,14.91472,15.05523,15.06196,15.12673,15.29775,15.61873,15.94559,16.37532,17.02696,17.69778,18.34486,19.87199,20.86088,21.63311,22.81872,24.41216,25.39392,26.18221,26.61526,26.98645,27.44692,27.06093,26.76749,26.73243,25.88895,25.7122,25.52243,25.55854,25.21303,25.13607,24.80229,24.81314,24.84028,25.23952,25.32968,25.28224,25.27657,25.09038,25.34403,25.26158,25.66907,26.22121,26.35266,26.60115,26.87919,27.47873,27.38192,27.7205,28.36738,28.61579,28.57076,28.24663,28.78546,28.81781,28.72028,28.77575,29.77825,30.45272,30.88597,30.68867,30.77314,30.97344,30.76868,30.27065,29.59854,29.3392,28.84478,28.40029,27.67147,26.88345,26.60418,26.09712,25.13358,24.39178,23.60379,23.64234,23.35869,22.54359,22.18566,21.61582,20.96462,20.51808,19.87326,23.77020479166667
2023,19.55707,19.01342,18.64233,18.29481,17.84443,17.52379,17.10881,16.75684,16.45479,16.38662,16.27342,15.61778,15.53283,15.39425,15.14288,15.184,15.26749,15.48433,15.65206,15.92958,16.47456,16.9449,17.5392,18.2117,19.56714,20.71908,21.79919,23.17423,24.49977,25.92771,27.42867,28.30025,28.89428,28.88042,29.04449,29.38558,29.22888,28.35228,25.6736,27.1804,27.01334,27.13736,26.5496,27.58726,28.38464,28.00186,27.98014,26.31165,25.42801,25.62958,25.80855,26.54574,27.32523,28.38085,28.15791,27.20188,26.97633,26.2077,28.40896,28.7588,27.61466,27.14875,27.52407,27.77955,28.09591,28.52961,28.24123,28.22068,28.28615,29.12275,29.91137,30.3508,30.44273,30.72259,30.68382,30.36292,29.91933,29.5957,29.22707,28.6292,27.89665,27.52457,27.19674,26.64791,26.02415,25.16168,24.61195,24.05378,24.00884,23.43998,22.7583,22.1243,21.37778,20.94924,20.18819,19.75699,24.252220729166666
2023,19.34312,18.79404,18.31608,18.05665,17.81596,17.41636,16.83769,16.60479,16.24188,15.95168,15.67634,15.63496,15.52237,15.27399,15.29881,15.14312,15.13205,15.09723,15.38291,15.81604,16.65148,17.15628,17.6763,18.42359,19.6017,20.63442,21.45616,23.14715,24.74617,25.62386,26.41635,27.06279,27.53798,27.66772,27.44185,27.02672,26.66731,26.15655,26.02308,25.59565,25.46301,25.32918,25.02508,24.83211,24.77494,24.2691,23.94175,23.998,23.96956,24.14007,24.18879,24.21467,24.2663,24.21588,24.5026,24.85299,25.1142,25.02874,25.03004,25.15279,25.64619,25.9624,26.44804,26.73645,26.97286,27.37438,27.32297,27.63961,28.17208,28.76827,29.58268,30.07243,30.33752,30.36933,30.42509,30.02906,29.75297,29.51126,29.22062,28.51916,28.11632,27.68126,27.21171,26.67868,26.07564,25.09198,24.66898,24.13242,23.99624,23.72889,23.3007,22.53993,22.24868,21.44454,21.27536,20.43942,23.457011458333337
2023,19.88591,19.43864,18.86956,18.50439,18.49413,17.91244,17.5464,16.90862,16.73659,16.23919,15.89271,15.62765,15.56109,15.41474,15.39859,15.31557,15.03991,15.28206,15.30187,15.48302,15.91064,16.08512,16.30939,16.63197,17.21939,17.74056,18.63038,19.16936,19.93692,20.66726,21.30193,21.81202,22.11626,22.21157,22.16201,21.81551,22.39034,21.90709,21.83213,21.65915,22.16981,22.90537,21.94607,22.27476,21.22087,21.54036,19.86487,19.64563,19.3806,19.41206,19.83779,19.53779,20.62937,21.28098,20.87496,19.70601,20.24452,20.18958,21.70177,20.89032,21.78317,22.5222,22.53795,23.17978,23.65219,24.2869,25.29316,26.12594,27.09491,28.27647,29.54855,30.35028,30.65301,30.44351,30.37938,29.98177,29.70423,29.49484,29.34052,28.9346,28.41489,27.79664,27.49334,27.1474,26.54572,25.95287,25.38968,24.87101,24.49852,23.79063,23.40866,22.91874,22.52697,21.83561,21.43866,20.82524,21.729724062500008
2023,20.42909,19.67563,19.03129,18.63053,18.41873,17.90642,17.4735,17.11412,16.84883,16.61683,16.41476,16.45603,16.2658,15.8248,15.76987,15.61636,15.52779,15.50534,15.71021,15.75795,15.92101,15.97305,16.309,16.42521,16.81011,17.28878,17.653,18.14691,18.87067,19.38044,19.74221,20.41373,20.71642,21.14723,21.00798,21.0228,21.23295,21.04392,20.94768,20.60411,20.32361,20.14481,20.18373,19.86434,19.54845,18.99443,18.78463,18.42242,18.50786,18.21509,17.88593,17.81919,17.70198,17.80571,18.09394,18.23574,18.22937,18.5243,19.06922,19.47162,19.85392,20.65745,21.50816,21.96985,23.1305,24.15475,25.02993,25.83627,26.75651,28.05871,29.36481,30.25367,30.56085,31.14022,31.36334,31.41669,31.12439,30.85562,30.53007,30.17666,29.57465,29.17433,28.77119,28.34154,27.63079,26.94328,26.24463,25.39574,24.56237,23.96276,23.08138,22.3163,21.86514,21.06549,20.46328,19.86851,21.255012604166666
2023,19.3203,18.46599,18.0716,17.52778,17.46401,17.29152,16.73525,16.33557,16.13299,15.94274,15.87634,15.55125,15.63818,15.27586,15.19533,15.22091,15.24876,15.48048,15.71897,16.2311,16.91477,17.50722,18.02507,18.77383,20.24776,21.55468,22.73478,24.02165,25.97625,27.3884,28.70397,29.30609,29.92615,31.25156,30.69831,30.83046,30.8651,30.03015,30.98278,31.11864,31.07175,31.43217,30.88384,29.80406,31.49097,32.28335,32.38114,32.58467,32.39349,31.77598,31.79358,31.48627,32.16,32.91427,32.29493,31.31483,31.16475,30.89882,29.4035,29.26688,30.06839,30.35066,30.68444,31.22543,31.99574,32.7145,32.49001,32.90094,33.56176,34.67659,35.59906,36.04963,36.0896,36.43055,36.40311,36.0711,35.50761,34.90863,34.64177,33.84988,32.9591,32.10631,31.21031,30.74604,29.70137,28.76937,27.49582,26.68829,26.32498,25.57242,24.4083,23.50271,22.77792,22.15193,21.3706,20.47424,26.842301145833346
2023,19.69846,19.01699,18.69961,18.42553,18.149,17.85765,17.13984,16.77653,16.64606,16.13704,16.22817,16.04802,15.84295,15.76688,15.70952,15.80654,15.91198,15.95009,16.21094,16.59455,17.3333,17.8405,18.51052,19.41591,20.64608,21.92204,23.35351,25.05732,26.41186,27.64451,28.75264,28.89209,29.52391,29.85442,29.10955,29.27056,28.75715,28.89361,27.75349,27.6361,28.03661,27.53813,26.96058,27.01329,28.32657,27.73491,27.71119,29.69307,29.6934,29.32186,28.99572,27.81322,28.74256,29.7592,29.28938,29.18821,27.51901,27.75382,27.54812,28.32943,28.14964,28.27937,28.69892,28.6553,28.58252,28.85332,28.94135,29.59976,30.17587,31.41762,32.29093,33.04033,33.44361,33.66909,33.72422,33.46061,33.28147,32.94987,31.99828,31.34411,30.68386,30.44795,29.78641,29.25368,28.60013,27.58038,27.07463,25.82292,25.04075,24.71796,24.17015,23.23405,22.32847,21.55569,21.04941,20.26187,25.461752083333334
