Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.7,21.2,30.7,22.1448709375
2015.0,2.0,20.1,21.1,27.5,23.6577025
2015.0,0.0,31.2,22.3,31.4,27.628885
2015.0,0.0,22.4,22.9,33.8,28.406572916666665
2015.0,0.0,16.2,20.6,25.8,28.238350208333333
2015.0,0.0,28.7,21.3,28.8,28.16965614583334
2015.0,0.0,30.7,22.2,31.5,28.112280520833327
2015.0,0.0,31.8,21.4,30.8,22.89914052083334
2015.0,0.0,24.7,22.4,33.3,23.75644989583334
2015.0,0.0,15.4,21.7,28.4,26.221436875
2015.0,31.0,3.1,20.3,23.1,26.408003645833347
2015.0,8.0,16.5,20.3,23.2,24.894344166666656
2015.0,4.0,21.0,19.0,29.9,26.4814871875
2015.0,0.0,29.3,21.1,35.0,26.179497812500003
2015.0,1.0,29.7,22.0,27.1,21.467328333333327
2015.0,0.0,28.2,21.1,29.1,25.70179208333333
2015.0,0.0,32.1,21.2,35.8,20.81280375
2015.0,0.0,30.3,21.5,27.2,20.75086177083333
2015.0,0.0,6.0,20.5,23.0,26.830897604166665
2015.0,3.0,18.9,18.4,27.1,27.17644885416668
2015.0,3.0,28.5,19.5,29.1,26.795606770833345
2015.0,0.0,28.6,22.3,29.3,26.43277885416667
2015.0,0.0,28.6,23.4,31.7,20.285103854166657
2015.0,0.0,27.4,23.2,31.6,21.1567
2015.0,1.0,26.0,21.6,36.6,20.18309322916668
2015.0,0.0,3.8,19.8,21.1,21.639551562500014
2015.0,43.0,3.4,18.6,20.6,24.582245729166683
2015.0,54.0,4.0,16.9,21.5,28.10116364583332
2015.0,9.0,28.2,15.2,21.7,28.12560895833334
2015.0,0.0,27.3,14.3,25.2,26.99264520833334
2015.0,0.0,28.9,17.0,25.6,26.770977395833324
2015.0,0.0,20.6,19.6,25.2,27.376161145833336
2015.0,0.0,24.8,19.4,22.7,27.62309072916668
2015.0,0.0,25.9,20.0,24.0,27.07517218749999
2015.0,0.0,22.5,17.6,23.5,24.056751562500008
2015.0,5.0,10.3,18.7,24.0,24.080645624999985
2015.0,0.0,19.3,18.1,25.8,28.51563999999998
2015.0,0.0,22.9,19.2,27.7,28.673528125000008
2015.0,0.0,28.2,19.6,33.1,27.773993229166667
2015.0,0.0,13.6,21.8,27.1,28.97753885416667
2015.0,0.0,21.7,22.0,28.8,29.670477500000004
2015.0,0.0,25.2,22.1,30.7,24.13174333333333
2015.0,0.0,23.5,21.7,30.2,29.437782708333334
2015.0,50.0,17.0,20.2,27.0,28.466197395833344
2015.0,15.0,17.1,21.0,29.5,27.73925458333333
2015.0,1.0,21.9,19.6,29.1,21.48920062500001
2015.0,0.0,24.6,22.5,29.8,22.24187614583333
2015.0,0.0,26.7,22.4,29.8,28.114213958333337
2015.0,0.0,26.0,22.8,30.0,24.16427708333333
2015.0,2.0,19.4,22.0,27.5,29.26776416666665
2015.0,0.0,15.2,21.5,27.4,31.44105677083333
2015.0,3.0,11.9,20.8,24.7,31.34878708333333
2015.0,9.0,17.9,20.5,27.7,30.166746979166664
2015.0,1.0,16.5,21.8,28.0,29.63702552083333
2015.0,0.0,18.8,22.0,24.1,23.51545
2015.0,0.0,10.7,19.7,23.6,22.38266947916667
2015.0,7.0,15.4,19.5,28.4,25.80968520833333
2015.0,8.0,20.6,21.2,27.0,26.5469209375
2015.0,0.0,20.9,20.3,29.4,26.659224999999992
2015.0,0.0,17.7,21.5,37.9,22.63852375000001
2015.0,8.0,15.0,18.6,24.2,23.250590000000003
2015.0,0.0,20.8,17.9,28.7,26.18629864583333
2015.0,0.0,18.9,21.4,28.4,27.5878
2015.0,0.0,23.3,19.6,27.5,29.563687812500003
2015.0,0.0,24.2,16.5,30.5,25.51008583333333
2015.0,0.0,14.2,18.3,27.0,27.19299031249999
2015.0,0.0,20.5,19.7,24.6,28.15336375
2015.0,0.0,23.8,20.0,31.3,23.488798437500005
2015.0,0.0,8.7,21.4,25.5,26.554641041666667
2015.0,1.0,19.7,21.2,30.2,28.028009791666666
2015.0,0.0,18.8,20.5,25.6,32.43653635416667
2015.0,0.0,3.9,20.2,22.6,31.262950416666666
2015.0,1.0,18.4,16.2,24.8,29.98331135416668
2015.0,0.0,13.7,17.4,22.8,27.26301958333333
2015.0,4.0,13.9,17.3,23.8,27.718668541666663
2015.0,0.0,12.7,15.6,25.3,29.95886531250001
2015.0,0.0,16.4,19.1,29.8,30.36488760416667
2015.0,1.0,21.6,19.9,28.1,30.0748453125
2015.0,1.0,15.5,20.3,30.7,29.943610416666672
2015.0,3.0,8.7,18.1,23.4,22.924521875000007
2015.0,2.0,8.6,18.4,25.3,28.029847812499995
2015.0,1.0,18.3,18.6,28.2,26.9711403125
2015.0,0.0,6.3,20.4,26.5,23.136447916666665
2015.0,22.0,16.6,15.2,23.2,26.322680729166667
2015.0,0.0,20.0,17.9,29.2,29.71734729166666
2015.0,0.0,21.1,14.0,27.1,27.54037906249999
2015.0,0.0,19.3,15.1,23.1,28.022863333333333
2015.0,0.0,17.0,15.3,26.4,27.10255916666667
2015.0,0.0,9.4,17.9,24.4,26.199165208333337
2015.0,5.0,7.3,16.5,23.8,23.694107291666665
2015.0,32.0,13.0,17.7,27.0,23.68951239583335
2015.0,0.0,14.0,19.0,31.0,26.285920520833333
2015.0,1.0,3.3,17.7,19.8,26.397856562499985
2015.0,21.0,3.2,17.5,19.7,20.90874916666668
2015.0,13.0,16.5,15.8,23.2,21.309991979166668
2015.0,1.0,14.3,15.5,25.7,24.81972
2015.0,1.0,14.5,15.2,24.3,18.461589791666665
2015.0,1.0,13.0,14.6,23.0,18.635651875
2015.0,0.0,13.1,15.2,20.4,18.18992864583333
2015.0,0.0,13.0,14.7,20.3,18.674066770833345
2015.0,6.0,10.6,15.6,21.1,23.11586145833333
2015.0,0.0,13.0,15.0,21.5,26.22269229166667
2015.0,0.0,15.0,15.0,20.8,26.14475885416668
2015.0,0.0,16.2,14.5,23.3,20.009583020833343
2015.0,0.0,16.1,15.2,26.7,20.596835104166665
2015.0,0.0,14.3,17.0,32.6,24.71458447916667
2015.0,1.0,4.2,19.8,25.2,26.505197500000005
2015.0,1.0,11.5,20.2,29.4,24.79270062500001
2015.0,2.0,12.5,17.8,21.9,26.543980104166675
2015.0,7.0,3.2,13.9,17.2,30.430688958333324
2015.0,123.0,5.7,14.3,18.0,29.846561354166656
2015.0,104.0,3.6,13.6,18.8,31.532223125
2015.0,59.0,13.4,14.0,21.2,24.224012708333323
2015.0,0.0,14.4,15.4,27.9,26.50630083333332
2015.0,0.0,13.5,14.1,24.6,27.51464666666665
2015.0,21.0,4.1,12.5,17.5,27.558024687499994
2015.0,2.0,15.1,12.6,18.2,28.569678333333343
2015.0,0.0,14.9,10.6,18.6,22.35656958333334
2015.0,0.0,8.9,10.7,18.4,23.99866947916666
2015.0,17.0,7.6,14.8,19.4,28.902546875
2015.0,20.0,8.2,14.6,21.7,30.172628854166675
2015.0,12.0,8.0,16.3,23.6,31.38315854166668
2015.0,35.0,5.4,18.6,20.6,29.83737052083333
2015.0,0.0,6.3,17.9,20.9,24.0141090625
2015.0,0.0,13.5,15.0,28.6,21.2057753125
2015.0,0.0,14.0,13.5,21.5,21.752223958333342
2015.0,0.0,13.8,10.9,20.9,23.667639479166656
2015.0,0.0,13.6,10.8,21.4,22.441670416666664
2015.0,0.0,13.4,11.3,22.2,26.79340104166667
2015.0,0.0,11.3,11.4,22.0,27.765722604166672
2015.0,0.0,12.8,15.4,22.2,30.05242114583333
2015.0,0.0,13.1,11.8,23.5,23.57500260416666
2015.0,0.0,11.9,13.2,17.4,23.02157041666666
2015.0,2.0,12.9,7.3,18.2,30.689484479166666
2015.0,0.0,11.0,11.0,17.9,28.54982822916666
2015.0,1.0,12.0,14.1,18.3,26.104322604166665
2015.0,1.0,9.2,10.5,19.2,26.07803875
2015.0,0.0,7.4,11.3,19.0,25.396679479166668
2015.0,0.0,7.1,14.7,22.5,20.338957916666665
2015.0,2.0,10.9,14.8,25.4,25.72219572916668
2015.0,0.0,9.3,14.8,20.7,26.6549975
2015.0,9.0,4.2,12.5,17.4,26.224529583333343
2015.0,19.0,11.6,11.7,16.9,19.49162479166668
2015.0,0.0,11.5,8.2,18.6,20.57680072916666
2015.0,0.0,10.1,9.2,19.7,25.67238427083333
2015.0,0.0,10.7,8.4,18.8,19.65612843750001
2015.0,0.0,10.2,11.3,22.3,20.79332104166667
2015.0,0.0,10.7,11.6,23.1,24.68719791666668
2015.0,1.0,4.0,15.7,21.1,24.654664062500004
2015.0,0.0,6.2,11.0,19.1,25.64904125000001
2015.0,0.0,5.2,10.7,16.5,24.893608645833343
2015.0,0.0,10.8,9.4,14.6,24.733331875000005
2015.0,0.0,11.1,6.9,14.8,19.24808458333333
2015.0,0.0,10.8,6.7,16.5,24.545668437499994
2015.0,0.0,11.0,7.1,19.3,26.49563958333333
2015.0,0.0,10.1,8.6,16.9,28.406460937500004
2015.0,0.0,9.8,10.4,21.0,21.50317020833333
2015.0,0.0,10.8,9.1,22.3,21.827949895833328
2015.0,0.0,11.0,11.1,23.6,24.981467187500005
