year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,5.18983,4.78389,4.83102,4.89177,4.42641,4.14103,3.91876,3.75134,3.76316,3.62201,3.51679,3.5277,3.475,3.45054,3.36094,3.48519,3.43609,3.41265,3.41059,3.44736,3.45943,3.4931,3.51976,3.60697,3.6974,3.75478,3.94837,4.06001,3.9112,3.72565,3.85831,3.86931,4.24386,4.52029,3.71633,3.00433,3.09305,2.70267,2.5936,2.63839,2.8808,2.45205,3.16577,2.92506,2.98838,3.37303,3.39877,3.52811,3.37728,3.23669,3.30709,2.93183,2.8001,3.10975,3.69239,3.41806,2.44122,2.51213,2.54342,2.80474,2.52953,3.0033,4.04977,4.39066,4.25945,4.72647,5.38247,6.18064,6.73929,7.24173,7.53262,7.67072,7.71627,7.64551,7.48602,7.29851,7.06059,6.86168,6.63185,6.46423,6.25984,6.08248,5.97942,5.78776,5.60895,5.49645,6.16866,5.66241,5.40983,5.18504,5.23666,5.12863,5.61257,5.21729,4.91213,5.11062,4.373704166666666
2023,4.93691,4.61401,4.70534,4.71035,4.32654,4.05043,3.96395,3.89261,3.70448,3.58165,3.53658,3.44377,3.45511,3.34691,3.34492,3.36412,3.39922,3.42973,3.44582,3.48489,3.64629,3.82028,3.96188,4.23305,4.6385,4.97964,5.38429,5.56605,5.55106,5.77823,5.64321,4.82371,3.88731,2.85081,2.08821,3.32581,2.39326,2.04902,1.8702,1.86447,1.87176,1.47868,2.34006,2.74631,1.11331,2.40749,3.42333,1.89832,2.13374,2.17591,2.24305,1.44478,2.83189,2.36315,2.23964,1.97162,1.58899,2.34585,1.76441,1.83181,1.91096,2.29181,2.75545,3.42282,4.12417,4.88977,5.55664,6.26195,6.72278,7.25213,7.66423,7.87535,7.9278,7.86095,7.6499,7.41644,7.12694,7.09228,6.81916,6.66705,6.35184,6.17224,5.97214,5.81713,5.66324,5.49741,5.49199,5.40484,6.06182,5.83619,5.54595,5.44397,5.66037,5.52047,5.43044,5.68009,4.251514895833333
2023,5.54131,5.16059,5.08927,5.11743,4.80681,4.49744,4.41594,4.35189,4.00998,3.8276,3.71669,3.56069,3.5126,3.46763,3.42986,3.39145,3.39827,3.44703,3.47434,3.55388,3.69225,3.81371,3.94467,4.17874,4.4901,5.0281,5.54688,5.47488,5.13452,4.84119,4.29611,3.64994,3.20527,2.56617,1.97927,1.84315,2.06589,2.13357,2.18165,2.2015,2.36075,2.6609,2.79055,2.87487,2.98695,3.07835,3.02971,2.94782,3.09109,2.81329,2.76253,2.35747,2.27218,1.59811,1.96945,2.04547,1.6073,1.81544,1.95059,1.91053,2.31771,2.13637,2.761,3.3961,4.00896,4.67744,5.49367,6.0633,6.51145,6.99301,7.42194,7.66437,7.74266,7.64178,7.47625,7.23333,7.00381,6.85801,6.64124,6.4046,6.3967,6.17812,5.96627,5.80728,5.60705,5.45816,5.47857,5.39755,6.11485,5.72333,5.49167,5.3224,5.53899,5.34051,5.3444,5.57381,4.272377812499999
2023,5.40958,5.04765,5.02157,5.07781,4.7548,4.36999,4.29848,4.29188,4.01432,3.79859,3.67879,3.57789,3.53058,3.56843,3.50833,3.476,3.46179,3.52103,3.51376,3.56689,3.63439,3.79934,3.93849,4.23111,4.58993,5.00386,5.27474,5.17811,4.77097,4.54319,4.00168,3.49308,2.95325,2.40951,1.98541,1.84285,1.90537,1.96183,2.0171,2.15808,2.25272,2.46672,2.66755,2.78512,2.86072,2.85059,2.86431,2.83286,2.79844,2.70847,2.51462,2.3141,2.26913,2.19234,2.128,1.94648,1.71115,1.73314,1.75149,1.83041,1.94712,2.37928,4.36653,4.69968,4.5866,5.07329,5.48051,6.13247,6.48997,6.90681,7.21948,7.4336,7.36298,7.22573,7.21711,7.06631,6.8158,6.63241,6.42967,6.34447,6.13985,5.88607,5.67351,5.53789,5.45672,5.3098,5.33726,5.34088,5.97049,5.5701,5.38881,5.18834,5.32773,5.16798,5.20214,5.40248,4.212173750000001
2023,5.31395,5.00671,4.97487,4.95883,4.65569,4.26717,4.20809,4.06436,3.94537,3.75865,3.61055,3.50172,3.47538,3.37994,3.33529,3.30257,3.31073,3.29158,3.36807,3.37959,3.49174,3.72683,3.83361,4.00171,4.31248,4.69008,5.12662,5.30782,5.47689,5.74357,5.85422,5.95226,5.72448,5.50829,5.52569,5.50083,5.51173,4.97872,4.31177,4.1794,4.41731,4.21904,4.16233,2.75035,2.21642,1.89206,1.51484,1.88762,2.22857,1.81676,2.25942,2.32123,2.22692,2.22643,2.17348,2.03284,2.05285,1.86467,1.86714,1.89768,2.03015,2.39235,3.01174,3.63725,4.49893,5.30599,5.5198,6.19009,6.54885,6.88354,7.11738,7.2144,7.25378,7.27017,7.14835,7.01012,6.85266,6.74479,6.52078,6.49248,6.31445,6.18787,5.97694,5.90272,5.64961,5.42998,5.50449,5.50306,6.13562,5.82454,5.52107,5.43513,5.63073,5.34945,5.39155,5.68947,4.510271770833334
2023,5.53561,5.13064,5.10877,5.09675,4.80604,4.43885,4.35054,4.17685,3.85199,3.79628,3.62611,3.56115,3.492,3.49875,3.42094,3.27511,3.37507,3.40851,3.42885,3.53718,3.66223,3.75061,3.89918,4.16214,4.48841,4.76143,5.30405,5.31053,4.83114,4.40094,3.97818,3.44696,2.89392,2.38905,1.99349,2.25529,2.58552,1.99637,2.11349,2.22544,2.3926,2.6243,2.81262,2.99357,3.17123,3.18921,3.2937,3.35547,3.44568,3.26633,3.18227,3.0447,2.95703,2.81544,2.5797,2.44299,2.39474,2.27683,2.2189,2.08883,2.16049,2.2995,2.66993,3.17857,3.79544,4.38924,5.12757,5.85625,6.33477,6.79999,7.1073,7.1693,7.20325,7.18319,7.02777,6.9535,6.85511,6.73521,6.69029,6.55209,6.47215,6.41453,6.23178,6.14285,6.07101,5.94535,5.9933,5.97524,6.59701,6.19091,5.94341,5.73657,5.96577,5.87759,5.85764,6.05687,4.348658750000002
2023,5.89745,5.45703,5.4235,5.43109,5.11709,4.78852,4.57649,4.41486,4.45499,4.20977,4.00475,3.91108,3.83145,3.75611,3.69558,3.66278,3.64902,3.58169,3.59374,3.62181,3.72192,3.73993,3.8356,3.99018,4.23599,4.48061,4.79936,4.8213,4.70625,4.68362,4.42984,3.89642,3.56058,3.24289,2.84273,2.70226,2.6366,2.56021,2.52997,2.68397,2.71952,2.89012,2.98382,2.80005,2.5825,2.71169,3.52621,3.85456,3.76981,4.04167,3.6609,2.66762,2.73981,2.70603,2.78774,3.08637,3.24408,3.09444,2.87733,2.89492,2.79595,2.96685,3.05659,3.27369,3.79309,4.95265,5.89478,6.28745,6.82824,7.42356,7.82384,8.05934,8.08202,7.96109,7.90427,7.76083,7.49653,7.34554,7.3029,7.19529,7.00242,6.86158,6.91056,6.76478,6.66714,6.6127,7.1777,6.68086,6.42338,6.14788,6.23104,6.02076,6.41297,6.04104,5.60602,5.68383,4.690285208333333
2023,5.47125,5.01015,5.25021,5.27258,4.80744,4.44891,4.25623,4.1266,4.20956,3.99155,3.86344,3.79832,3.79531,3.74763,3.65957,3.55907,3.56549,3.61785,3.63471,3.62731,3.74914,3.7254,3.79343,3.93238,4.16767,4.26334,4.55322,4.73978,4.69716,4.66011,4.49919,4.1278,3.92237,3.66241,3.31005,2.99457,2.90225,2.72905,2.80328,2.87455,2.90781,3.05103,3.23263,3.29881,3.40874,3.65376,3.76503,3.84532,4.00966,4.02925,3.84306,3.8112,3.8541,3.74807,3.55866,3.38799,3.17818,3.11769,2.979,2.96067,2.87459,2.87867,3.04996,3.52146,4.13294,4.82614,5.5687,6.20341,6.86069,7.27483,7.77384,8.0782,8.15344,8.10936,8.0456,7.98511,7.84938,7.76778,7.60236,7.44057,7.35618,7.08951,7.05151,6.86813,6.69785,6.52604,7.05571,6.47853,6.15325,5.91939,5.98688,5.7187,6.06206,5.68022,5.30073,5.41728,4.7585415625
2023,5.05694,4.65033,4.74903,4.71677,4.36711,4.07242,4.11186,4.12258,3.95301,3.77729,3.68139,3.61178,3.67363,3.67985,3.54933,3.48699,3.52619,3.51994,3.65209,3.75595,3.9818,4.2527,4.48873,4.77246,5.29206,5.916,6.47621,6.92481,7.23013,7.3792,7.43361,7.05144,6.44411,6.31075,3.90847,2.68021,2.19378,1.88404,1.80941,1.90529,2.00717,2.10408,1.92316,1.69908,1.50916,1.63499,1.5013,1.42736,2.34902,1.53514,1.41769,1.59714,1.64931,1.72327,2.40224,4.19251,4.21109,4.22094,3.88901,3.08884,2.057,2.15592,3.12852,4.05723,4.74093,5.33644,5.72268,6.65127,7.28462,7.94058,8.32228,9.40544,9.61029,9.56307,9.3367,9.03088,8.84515,8.587,8.45534,8.12852,7.90147,7.71595,7.48662,7.22396,7.03768,6.86963,6.8116,6.63192,7.3824,7.01518,6.77214,6.56772,6.808,6.58037,6.57467,6.81746,4.944675208333334
2023,6.67057,6.33669,6.22043,6.2376,5.93607,5.58351,5.5467,5.49102,5.06969,4.80739,4.59245,4.45132,4.43009,4.29684,4.28951,4.18289,4.22584,4.2644,4.34173,4.43061,4.60988,4.79152,4.97829,5.25994,5.65384,6.22243,6.69922,6.58858,6.00011,5.7195,5.68159,5.23988,4.54987,3.93851,3.3115,3.03998,1.98827,1.53141,1.37345,1.32582,1.26292,1.30917,2.71953,3.93488,1.26797,2.94603,2.97314,2.70384,1.91457,2.30653,2.16094,2.05991,1.9427,2.31852,1.893,5.47106,4.35832,2.09533,3.5055,4.56059,4.99877,4.6562,4.62607,4.96823,5.56243,5.53196,5.81416,7.10826,7.67095,8.20232,8.40753,8.35138,8.23839,8.14673,8.01543,7.91582,7.61606,7.37009,7.17337,6.94269,6.73738,6.53914,6.35318,6.08356,6.00472,5.73983,5.72899,5.57815,6.3143,5.99885,5.84414,5.68216,5.77889,5.58783,5.63104,5.84699,4.962285208333333
