Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,31.2,21.1,25.4,6.939413402061856
2015,1,0.0,22.9,22.0,24.5,7.053318969072166
2015,2,0.0,31.1,21.2,25.9,7.15733824742268
2015,3,0.0,27.5,21.8,27.8,7.0592923711340205
2015,4,0.0,18.6,21.6,24.0,6.983969896907217
2015,5,0.0,29.6,21.8,25.4,6.9867131958762885
2015,6,0.0,30.9,21.8,26.0,9.063205567010312
2015,7,0.0,31.8,20.8,27.8,7.821961546391754
2015,8,0.0,27.6,21.4,26.3,7.364059896907216
2015,9,0.0,17.0,19.9,25.7,9.801026185567007
2015,10,15.8,3.1,20.1,21.7,7.929971030927834
2015,11,15.0,15.2,19.9,23.3,8.14148907216495
2015,12,0.4,28.5,20.0,26.5,7.896739072164946
2015,13,4.8,30.0,22.4,34.0,7.786995154639175
2015,14,0.0,26.9,21.3,27.0,8.067756907216495
2015,15,0.0,30.7,21.5,26.9,8.492454536082477
2015,16,0.0,32.0,20.1,33.5,8.631465360824743
2015,17,0.0,26.5,21.6,25.2,9.269097938144329
2015,18,16.8,3.5,20.8,22.4,6.892728144329897
2015,19,22.8,19.8,18.5,24.1,6.835715979381443
2015,20,0.0,25.2,19.2,25.7,6.9084239175257744
2015,21,0.0,22.9,21.1,26.1,6.921892577319587
2015,22,0.0,24.0,22.1,26.3,6.91723443298969
2015,23,0.0,29.5,21.8,27.0,7.112947216494847
2015,24,5.6,29.7,21.0,32.8,6.751417010309278
2015,25,3.0,3.4,20.6,22.8,6.770301546391754
2015,26,2.6,3.0,19.7,21.1,7.391370412371133
2015,27,47.6,8.7,18.0,22.0,7.02661649484536
2015,28,3.8,28.0,16.4,21.0,7.933641958762886
2015,29,0.0,29.9,15.3,24.7,7.649016185567008
2015,30,0.0,28.4,19.1,24.5,7.636712164948453
2015,31,0.0,21.2,21.0,24.5,6.837417113402062
2015,32,31.8,21.7,19.3,23.7,8.651531030927837
2015,33,0.0,26.9,20.1,24.3,11.04686237113402
2015,34,0.0,19.3,19.3,25.6,10.682717216494847
2015,35,0.0,28.8,18.8,30.6,10.091259896907216
2015,36,0.0,22.5,21.8,26.4,9.96483587628866
2015,37,2.2,24.5,22.7,27.3,7.235563298969071
2015,38,0.0,24.8,22.3,27.2,6.683558041237112
2015,39,0.0,26.1,22.1,27.2,6.5001523711340194
2015,40,0.0,22.0,21.6,26.5,6.515862680412371
2015,41,0.0,21.4,21.2,26.5,7.091323402061855
2015,42,0.0,25.7,20.8,28.4,7.200327319587626
2015,43,0.0,25.9,20.4,27.3,7.064818041237115
2015,44,0.0,26.8,20.2,24.3,10.930645979381444
2015,45,0.0,20.1,20.4,24.6,7.320581237113402
2015,46,0.0,12.2,20.2,25.7,7.777209587628866
2015,47,0.0,8.1,20.5,23.1,6.409217216494845
2015,48,15.4,12.2,20.3,23.3,5.717835670103092
2015,49,0.0,20.7,20.4,23.5,6.171809278350515
2015,50,1.2,20.4,20.6,25.1,7.335913608247423
2015,51,0.0,17.6,21.3,24.3,6.91192494845361
2015,52,1.4,13.3,20.0,24.8,7.155751134020619
2015,53,7.0,20.0,20.5,24.7,6.36395412371134
2015,54,0.0,21.7,20.9,25.9,8.924472783505156
2015,55,0.0,21.0,20.9,26.3,11.322808144329898
2015,56,0.0,20.5,20.8,33.5,8.026316082474226
2015,57,0.0,25.0,17.7,25.9,6.579236082474226
