year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2013,9.4903,9.54135,9.31913,8.87315,9.24193,9.26582,8.88049,8.74299,9.00274,8.75676,8.62464,8.50104,8.15992,8.21565,8.31195,8.18513,8.23897,8.37592,8.22456,8.45886,8.75513,8.94023,9.28315,9.7697,10.58396,11.13699,11.73968,12.26169,12.78343,13.32627,14.52789,15.25358,15.57946,15.29371,14.31901,14.57145,13.70822,13.60396,13.70453,14.08681,15.39401,15.18193,15.18274,15.51807,15.29012,14.29475,14.21113,14.16099,13.93105,13.75307,13.7653,13.68002,13.75044,14.00916,14.11667,13.87043,14.19936,14.16906,13.80941,13.49832,13.35616,13.25709,13.24699,13.32045,13.37636,13.30376,13.01672,12.99358,12.94308,13.01676,13.18745,13.1988,12.80976,12.76607,12.6118,12.67536,12.49811,12.29523,12.38556,12.17864,12.00188,11.7175,11.45042,11.20729,11.01039,10.72194,10.58575,10.46993,10.25031,11.08603,11.06658,10.53374,10.27557,9.84552,9.47103,9.44277,0,11.783510927835046
2013,9.48984,9.32713,9.10027,8.92236,9.23956,9.12795,9.03793,8.63188,8.68012,8.60414,8.60103,8.27817,8.3094,8.15805,8.13788,8.11282,8.208,8.2208,8.22042,8.29738,8.22721,8.3373,8.73007,9.26562,9.60648,10.0568,10.81486,11.35865,11.8767,12.3096,12.50429,12.77878,13.12147,12.81795,12.95079,12.98375,12.96412,12.96052,13.06083,13.2665,13.23219,13.31311,13.02624,13.20568,13.34622,13.2894,13.7374,13.13305,12.96282,12.99511,13.20726,13.33694,14.02472,13.69587,14.01875,14.62065,13.95797,14.50261,13.7329,13.18087,13.15609,12.92315,12.84525,12.82138,12.64541,12.61725,12.62799,12.57424,12.50883,12.97196,12.98102,12.967,12.75255,12.60549,12.33858,12.15011,12.20355,11.94886,12.20988,12.08054,11.74106,11.33008,11.20267,11.1481,10.95524,10.74959,10.46874,10.48934,10.21705,10.92378,10.92162,10.37758,10.20739,9.77489,9.13325,9.22613,1,11.288791958762884
2013,9.15969,9.33991,9.19509,8.78641,9.27577,9.33117,9.08612,8.80749,9.01771,8.68696,8.43063,8.31508,8.24294,8.10127,8.09092,8.19558,8.10492,8.22165,8.32031,8.27248,8.42077,8.64493,9.18273,9.62777,10.26308,10.69819,11.30242,11.98132,12.62387,13.11789,13.48162,14.24367,14.15546,13.99535,13.79995,13.96577,13.94364,13.82932,13.88637,14.58282,15.25593,15.23571,15.44146,15.73251,15.54737,15.56169,15.25653,14.68025,13.99641,14.00741,14.18896,14.97534,15.5444,15.37976,15.32682,15.31303,15.2082,15.03326,14.91607,14.91841,14.91827,14.35705,14.43987,14.53493,14.37631,14.45133,14.35309,14.27753,12.91213,12.8634,14.18056,14.39281,14.17853,12.97669,14.029,13.79948,13.58122,13.3841,13.54898,13.3714,12.614,11.79188,12.25594,12.63173,12.5541,12.2969,12.22657,10.77708,10.4276,11.13671,11.26104,10.68303,10.08883,9.60253,9.22456,9.15129,2,12.1639075257732
2013,9.19078,9.26881,9.10505,8.76711,9.1972,9.29056,8.96996,8.76744,8.71259,8.56698,8.33417,8.32564,8.1271,8.07989,8.20332,8.07668,8.24408,8.44509,8.444,8.60773,8.91333,9.20477,9.60554,10.01385,10.70996,11.40928,11.75436,12.08296,13.0988,13.70627,14.99903,14.92651,14.95469,14.45356,13.61273,14.53128,13.59966,13.56827,13.60517,14.52406,14.75884,14.93198,14.712,14.92565,14.75221,14.59233,14.57294,14.24388,13.46919,13.50177,14.73349,14.86139,14.81017,14.65822,14.36757,13.79945,13.15714,13.07022,12.74611,12.60723,12.57611,12.41159,12.23322,12.11392,12.08639,12.16377,12.01765,12.04608,11.98036,12.20853,12.41165,12.29555,12.03974,11.98146,11.92719,11.5636,11.20689,11.13415,11.22705,11.15459,11.01035,10.82445,10.6779,10.72231,10.31568,10.16913,10.0137,9.9027,9.80197,10.37597,10.36474,9.82391,9.51457,9.01196,8.72658,8.60631,3,11.45269855670103
2013,8.73584,8.7746,8.62539,8.33583,8.89436,8.95419,8.63328,8.33964,8.24439,8.13494,8.22407,7.97484,7.80563,7.89512,7.67845,7.45343,7.65913,7.5988,7.48237,7.71525,7.67202,7.749,8.0663,8.15384,8.3974,8.66621,8.68603,8.72652,8.9794,9.48354,9.58546,9.76815,10.16553,10.1448,10.21869,10.32409,10.4617,10.4888,10.44173,10.5467,10.76056,10.5744,10.43724,10.59399,10.40065,10.2928,10.09327,9.91079,9.58047,9.54357,9.66037,9.87248,9.66695,9.71344,9.55145,9.41752,9.19932,9.11,9.08472,9.04547,9.24511,9.09192,9.10999,9.05114,9.18147,9.28057,9.51605,9.57324,9.95418,10.36795,10.87324,10.77039,10.57495,10.48936,10.59194,10.43499,10.2912,10.11893,10.16718,9.83101,9.75641,9.62315,9.32076,9.31028,9.23368,9.30669,9.26264,9.95445,9.76576,9.23929,9.04152,8.94591,8.99191,8.72573,8.64193,8.48513,4,9.242422371134019
2013,8.20244,8.29964,8.1938,7.84896,8.42019,8.48802,8.02395,7.6824,7.87988,7.76823,7.66994,7.6746,7.61595,7.42927,7.59087,7.64664,7.43958,7.49017,7.72728,7.71077,7.83851,7.96349,8.06792,8.18658,8.43438,8.20354,8.23518,8.52532,8.5756,8.68542,8.95485,8.94923,9.11617,9.27703,9.40641,9.54596,9.66412,9.64965,9.55034,9.68542,9.56884,9.53944,9.42052,9.49781,9.46542,9.31128,9.3033,9.2233,9.18374,9.14424,9.14266,9.07863,9.02937,8.93023,8.97562,8.94378,8.77792,8.86524,8.86457,8.9382,9.09739,9.05016,9.02827,9.19254,9.30848,9.32373,9.5358,9.89139,10.15366,10.61953,10.96887,11.19952,11.02946,11.22599,11.06612,11.09228,10.90664,10.85434,10.93561,10.80881,10.81154,10.59802,10.19838,10.18565,10.0703,10.02619,9.79617,10.4616,10.33146,9.5948,9.18398,9.19837,9.1508,9.01735,9.0776,8.68576,5,9.105137835051545
2013,8.74139,8.9824,8.65083,8.43509,9.0724,8.80259,8.53363,8.43622,8.36601,8.30003,8.35962,8.0824,8.20944,8.27771,8.12303,8.02909,8.36338,8.37057,8.42098,8.73593,9.02922,9.2096,9.5504,10.07464,10.59715,11.10094,11.65455,12.20173,12.81581,13.43016,13.53398,13.86634,14.44646,14.12483,13.96502,14.15463,14.37945,14.24384,14.30233,14.30103,14.3894,14.27503,14.44285,14.448,14.21883,14.24556,14.17162,14.03285,13.88986,13.87675,13.83121,13.9855,13.68902,13.66547,13.42414,13.65005,13.62451,13.55476,13.74865,13.473,13.16334,13.46355,13.41747,13.42528,13.24227,13.17469,13.33811,13.60997,13.70367,13.9864,14.1841,14.27299,14.06201,13.89115,13.78598,13.73792,13.59224,13.35995,13.61518,13.27752,13.07003,13.00728,12.79207,12.4956,12.36886,11.82385,11.73674,11.68728,11.40975,12.05996,12.06305,11.33244,11.17454,10.55731,10.25724,10.00627,6,12.010906907216496
2013,10.08464,10.20192,9.81328,9.50101,9.83074,9.8079,9.95047,9.58409,9.45432,9.30989,9.14119,8.82431,8.87771,8.94142,8.81414,8.72052,8.86724,8.89929,8.8073,8.98674,9.31634,9.54004,9.90455,10.52263,11.20303,11.60249,12.39669,13.11713,13.43631,13.96839,14.7139,14.63371,14.9429,15.06287,15.07559,14.49905,14.14651,13.95721,14.13403,14.09102,14.25636,14.29688,14.57058,14.3178,13.8528,14.57191,14.72911,14.66276,14.35926,13.83822,13.91043,14.84451,14.75012,14.93281,14.93898,14.56888,14.57029,14.59403,14.52616,13.60056,13.72408,13.57734,13.52689,13.19623,13.10274,12.95402,12.85607,12.89968,12.95974,13.10148,13.45653,13.46204,13.23682,13.17133,13.03577,12.78215,13.07668,12.93007,13.18107,12.90397,12.78833,12.64242,12.08282,11.99655,11.74462,11.51785,11.33698,11.01196,10.79531,11.46058,11.404,10.73095,10.39819,10.16369,9.88514,9.73026,7,12.218549587628868
2013,9.84078,9.96328,9.78284,9.45111,9.96832,10.12664,9.72188,9.60831,9.75421,9.64859,9.37994,9.17353,8.90557,8.93872,8.83101,8.85738,9.04573,8.98841,8.79314,9.02814,9.22855,9.77365,10.30712,10.83453,11.37167,11.83178,13.00722,13.7489,14.52337,15.01531,15.04108,15.25076,15.40695,15.1764,15.01509,14.74913,14.42271,14.57368,15.30567,15.39834,15.1562,15.19909,15.35474,15.35452,15.30649,14.89955,14.37296,15.25553,14.20954,13.96543,14.77347,15.43753,15.72778,15.10135,14.36477,14.2725,14.33563,14.47311,14.31691,14.77614,15.19148,15.10186,15.15072,15.17711,14.83194,13.92245,14.28901,14.36697,13.28563,13.74007,14.84071,14.82426,14.44982,14.1824,14.0859,14.13226,13.85974,13.62824,12.99431,12.79622,12.47686,12.19377,12.66292,12.80996,12.59469,12.34698,12.16248,10.7308,10.47818,11.03639,10.93359,10.40228,10.21066,9.88097,9.61463,9.51145,8,12.652993711340208
2013,9.51754,9.71692,9.51781,9.37478,9.54361,9.77861,9.4878,9.20167,9.38062,9.24936,8.96433,9.00977,8.9077,8.57591,8.53178,8.58323,8.76154,8.64413,8.78435,8.95325,9.10214,9.39918,9.71299,10.30043,11.28868,11.86688,12.09537,12.68558,13.16774,14.25141,14.72064,14.01842,15.41577,15.50311,15.56859,15.14345,14.38017,14.60403,14.727,15.99872,15.90886,15.7594,15.63498,16.16245,15.87538,15.0984,15.14251,15.12407,14.95898,14.98422,15.09606,15.2485,15.49753,15.60771,15.41406,15.23147,15.14847,14.7568,15.07677,14.86078,14.82056,15.07852,14.99736,14.71312,14.45786,14.01821,13.97536,14.07647,13.68196,13.94032,13.92973,13.82264,13.41199,13.29766,13.33447,13.23723,13.18303,13.00624,13.09629,12.75334,12.34937,12.1913,12.01064,11.38264,11.17737,10.95501,11.16826,11.02761,10.8039,11.40364,11.42436,10.85771,10.68076,10.31458,10.12845,10.09944,9,12.544637216494838
