Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66195,2015,1,1,31.2,0
66195,2015,1,2,19.9,1
66195,2015,1,3,31.2,2
66195,2015,1,4,24.9,3
66195,2015,1,5,15.4,4
66195,2015,1,6,25.5,5
66195,2015,1,7,29.5,6
66195,2015,1,8,31.8,7
66195,2015,1,9,22.9,8
66195,2015,1,10,15.0,9
66195,2015,1,11,3.4,10
66195,2015,1,12,14.0,11
66195,2015,1,13,20.9,12
66195,2015,1,14,29.7,13
66195,2015,1,15,27.8,14
66195,2015,1,16,29.1,15
66195,2015,1,17,32.2,16
66195,2015,1,18,30.4,17
66195,2015,1,19,4.8,18
66195,2015,1,20,21.0,19
66195,2015,1,21,27.4,20
66195,2015,1,22,28.1,21
66195,2015,1,23,28.5,22
66195,2015,1,24,25.1,23
66195,2015,1,25,27.3,24
66195,2015,1,26,3.3,25
66195,2015,1,27,3.8,26
66195,2015,1,28,4.0,27
66195,2015,1,29,26.9,28
66195,2015,1,30,28.4,29
66195,2015,1,31,28.8,30
66195,2015,2,1,19.2,31
66195,2015,2,2,22.8,32
66195,2015,2,3,23.6,33
66195,2015,2,4,19.5,34
66195,2015,2,5,12.3,35
66195,2015,2,6,18.5,36
66195,2015,2,7,20.9,37
66195,2015,2,8,26.7,38
66195,2015,2,9,10.7,39
66195,2015,2,10,21.7,40
66195,2015,2,11,22.9,41
66195,2015,2,12,24.2,42
66195,2015,2,13,15.5,43
66195,2015,2,14,16.0,44
66195,2015,2,15,21.4,45
66195,2015,2,16,23.4,46
66195,2015,2,17,26.2,47
66195,2015,2,18,24.8,48
66195,2015,2,19,16.0,49
66195,2015,2,20,15.6,50
66195,2015,2,21,9.1,51
66195,2015,2,22,19.9,52
66195,2015,2,23,16.2,53
66195,2015,2,24,19.0,54
66195,2015,2,25,9.6,55
66195,2015,2,26,12.6,56
66195,2015,2,27,18.5,57
66195,2015,2,28,21.3,58
66195,2015,3,1,16.6,59
66195,2015,3,2,8.2,60
66195,2015,3,3,20.4,61
66195,2015,3,4,18.2,62
66195,2015,3,5,23.8,63
66195,2015,3,6,24.0,64
66195,2015,3,7,18.2,65
66195,2015,3,8,21.6,66
66195,2015,3,9,24.0,67
66195,2015,3,10,11.9,68
66195,2015,3,11,17.8,69
66195,2015,3,12,18.7,70
66195,2015,3,13,3.8,71
66195,2015,3,14,20.4,72
66195,2015,3,15,13.1,73
66195,2015,3,16,14.1,74
66195,2015,3,17,12.8,75
66195,2015,3,18,15.5,76
66195,2015,3,19,21.9,77
66195,2015,3,20,15.1,78
66195,2015,3,21,8.7,79
66195,2015,3,22,6.8,80
66195,2015,3,23,17.9,81
66195,2015,3,24,5.3,82
66195,2015,3,25,15.7,83
66195,2015,3,26,20.5,84
66195,2015,3,27,21.3,85
66195,2015,3,28,19.0,86
66195,2015,3,29,16.7,87
66195,2015,3,30,10.8,88
66195,2015,3,31,6.7,89
66195,2015,4,1,14.2,90
66195,2015,4,2,13.9,91
66195,2015,4,3,3.0,92
66195,2015,4,4,3.5,93
66195,2015,4,5,17.8,94
66195,2015,4,6,15.0,95
66195,2015,4,7,15.4,96
66195,2015,4,8,13.2,97
66195,2015,4,9,13.5,98
66195,2015,4,10,12.1,99
66195,2015,4,11,10.6,100
66195,2015,4,12,12.8,101
66195,2015,4,13,13.9,102
66195,2015,4,14,16.2,103
66195,2015,4,15,15.9,104
66195,2015,4,16,15.0,105
66195,2015,4,17,4.1,106
66195,2015,4,18,11.9,107
66195,2015,4,19,15.0,108
66195,2015,4,20,2.7,109
66195,2015,4,21,3.7,110
66195,2015,4,22,3.2,111
66195,2015,4,23,10.9,112
66195,2015,4,24,12.8,113
66195,2015,4,25,13.5,114
66195,2015,4,26,4.3,115
66195,2015,4,27,14.1,116
66195,2015,4,28,15.0,117
66195,2015,4,29,8.7,118
66195,2015,4,30,8.2,119
66195,2015,5,1,8.2,120
66195,2015,5,2,7.6,121
66195,2015,5,3,6.4,122
66195,2015,5,4,7.6,123
66195,2015,5,5,13.7,124
66195,2015,5,6,14.0,125
66195,2015,5,7,13.7,126
66195,2015,5,8,13.7,127
66195,2015,5,9,13.4,128
66195,2015,5,10,11.4,129
66195,2015,5,11,12.8,130
66195,2015,5,12,13.2,131
66195,2015,5,13,12.4,132
66195,2015,5,14,12.9,133
66195,2015,5,15,12.0,134
66195,2015,5,16,11.8,135
66195,2015,5,17,10.0,136
66195,2015,5,18,8.2,137
66195,2015,5,19,6.3,138
66195,2015,5,20,10.8,139
66195,2015,5,21,10.3,140
66195,2015,5,22,5.3,141
66195,2015,5,23,11.4,142
66195,2015,5,24,11.9,143
66195,2015,5,25,9.7,144
66195,2015,5,26,10.7,145
66195,2015,5,27,10.3,146
66195,2015,5,28,10.4,147
66195,2015,5,29,3.8,148
66195,2015,5,30,6.4,149
66195,2015,5,31,5.0,150
