year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2009,20.34756,17.27972,15.94909,20.38452,28.33135,27.62907,25.61464,23.54477,21.45642,24.33945,21.06832,21.12376,17.83415,15.87516,14.26732,13.5096,12.71492,11.71694,11.80935,11.7539,12.53011,13.36175,14.72934,16.87314,19.99642,22.87946,25.44831,19.94098,20.71718,21.78908,21.3825,20.6987,20.34756,19.27566,18.33313,17.46453,16.66985,16.41111,15.96757,15.69035,15.19137,15.02504,14.87719,14.9696,14.85871,14.59998,14.23036,14.43365,14.26732,14.26732,14.21188,14.24884,14.39669,14.45213,14.26732,14.10099,14.2858,14.19339,14.11947,14.45213,15.08048,15.7458,16.46656,17.50149,18.49946,19.25718,20.71718,22.12174,23.35996,25.57768,27.27793,28.23894,28.44223,29.08907,28.53464,28.16502,27.59211,27.22249,26.40932,25.57768,24.61667,24.17312,24.19161,23.58173,22.49136,21.54883,20.80959,20.42149,20.92047,19.18326,20.82807,18.88756,27.18552,24.94933,24.17312,22.08477,19.452389375000006
2009,20.53237,17.70478,16.18934,20.66174,28.62704,27.94324,25.61464,23.13819,21.14224,23.67414,20.43997,20.64326,17.18731,15.59795,13.9901,13.43567,12.3453,11.47669,11.16251,10.70049,11.10707,11.40277,11.19948,12.0496,12.93669,14.2858,15.80124,13.86074,14.85871,15.96757,16.85466,17.66782,18.49946,18.90604,19.34959,19.36807,19.22022,18.83212,18.51794,18.20377,18.11136,17.44605,17.22428,17.03947,16.31871,15.93061,15.80124,16.05997,15.87516,15.48706,15.57947,15.3577,15.02504,15.062,14.78479,14.91415,15.062,14.85871,15.04352,15.17289,15.54251,16.02301,16.35567,17.05795,17.50149,18.35162,18.92453,20.19971,20.9944,23.50781,25.54072,26.26148,26.05818,26.27996,26.07667,25.52224,24.17312,23.54477,23.28604,22.73161,22.01085,22.08477,21.7706,21.16072,20.38452,19.75617,20.07035,18.81364,19.90402,19.01693,21.04984,19.47896,27.64755,26.05818,25.44831,23.76654,18.641728645833336
2009,22.2511,19.27566,17.7787,21.3825,29.51413,28.92274,26.94527,24.783,22.82401,26.39084,23.19363,23.30452,20.34756,18.01896,16.26326,14.78479,13.45415,12.71492,11.88327,11.32884,11.25492,11.43973,11.2734,11.67998,12.53011,12.77036,13.95314,12.65947,13.91618,15.28377,16.18934,16.96554,17.83415,18.38858,18.83212,19.25718,19.31263,19.27566,19.1463,18.77668,18.38858,18.16681,17.79719,17.51997,16.68833,16.30023,16.15238,16.09694,16.04149,15.65339,15.87516,15.67187,15.3577,15.43162,15.48706,15.61643,15.30225,15.30225,15.69035,15.52402,15.85668,15.80124,16.54048,17.24276,17.6863,18.33313,19.70073,20.92047,22.87946,25.83641,28.22046,28.73793,29.6435,29.16299,29.12603,28.51616,27.99869,27.18552,26.79742,26.3354,25.28198,25.00477,24.11768,23.17515,22.21414,21.45642,20.53237,19.27566,19.97794,18.48098,20.34756,18.66579,26.87135,25.20806,24.37642,22.49136,19.480880208333335
2009,21.14224,17.92655,16.81769,20.32908,28.49767,28.22046,26.53869,24.70907,22.9349,26.48325,22.89794,23.11971,20.05187,18.01896,16.15238,14.69238,13.47264,12.89973,12.38226,12.25289,13.17694,13.62048,14.47061,17.0025,20.92047,23.91439,27.00071,21.0868,22.21414,22.97186,23.17515,22.82401,21.95541,21.14224,20.0149,19.1463,18.35162,17.74174,17.16883,16.6144,16.18934,15.65339,15.48706,14.72934,14.19339,14.2858,13.8977,14.13795,14.11947,13.82377,13.602,13.69441,13.43567,13.43567,13.32479,13.52808,13.49112,13.38023,13.54656,13.73137,13.58352,14.19339,14.91415,15.69035,16.46656,17.2982,18.48098,20.16275,21.4749,24.13616,26.50173,28.09109,29.4402,29.3478,29.10755,28.73793,28.31286,27.20401,27.25945,26.24299,25.83641,25.18958,24.93084,23.93287,22.45439,21.64123,20.64326,19.97794,19.70073,18.25921,20.10731,18.42554,26.77894,24.93084,23.87743,21.88148,19.697453541666665
2009,20.56933,17.40909,16.2263,20.25516,28.73793,28.29438,26.11363,23.98831,22.02933,24.93084,21.17921,21.14224,18.22225,16.26326,14.50757,13.32479,12.45618,11.9572,11.23644,11.43973,12.32682,13.26935,14.21188,16.66985,20.10731,22.73161,25.39287,20.43997,21.49338,22.5468,22.71313,22.17718,21.62275,20.93895,20.64326,19.55288,18.68427,18.18529,17.74174,17.7787,17.55693,16.44807,16.31871,15.54251,14.89567,14.69238,14.52605,14.13795,13.91618,13.69441,13.80529,13.58352,13.28783,13.45415,13.45415,13.69441,13.86074,14.00858,14.15643,14.17491,14.69238,15.37618,15.91213,16.6144,17.64934,18.44402,19.84857,21.12376,22.9349,25.09717,26.55717,27.62907,28.5716,28.38679,28.36831,28.31286,27.05616,26.16907,26.13211,25.31895,24.85692,24.30249,23.7111,23.00882,22.36199,21.04984,20.58781,19.34959,20.08883,18.44402,20.32908,18.3701,26.61261,24.61667,23.82199,21.65971,19.500901458333328
2009,20.16275,16.83617,15.7458,20.16275,28.33135,27.68451,25.59616,23.37844,21.54883,24.21009,20.7911,20.7911,18.01896,15.72732,14.08251,13.26935,12.32682,11.79087,11.51365,11.69846,12.45618,13.34327,14.72934,16.59592,19.81161,22.80553,25.11565,19.68225,20.64326,21.23465,21.29009,20.90199,19.95946,19.01693,18.14832,17.50149,16.89162,16.48504,16.1339,15.56099,15.57947,14.59998,14.58149,14.08251,13.76833,13.63896,13.58352,13.47264,13.30631,13.30631,13.10302,13.28783,13.1215,13.1215,13.01061,13.08454,13.49112,13.36175,13.43567,13.62048,13.62048,14.13795,14.84023,15.04352,15.7458,16.74377,17.61238,18.57339,20.05187,22.17718,24.0992,25.31895,26.18755,26.15059,26.18755,26.02122,25.46679,24.67211,24.69059,24.59819,23.98831,23.8035,23.15667,22.67617,21.71515,20.97591,20.88351,19.68225,20.05187,18.48098,20.27364,18.73972,26.90831,24.67211,24.02528,21.84452,18.628637812500006
2009,20.3106,17.50149,15.87516,19.97794,28.03565,27.33337,25.70705,23.87743,22.01085,25.20806,21.58579,21.40098,18.11136,16.15238,14.47061,13.30631,12.32682,11.71694,11.40277,11.07011,11.7539,12.58555,13.54656,15.96757,18.70275,21.29009,23.39692,18.18529,19.25718,19.46047,19.97794,19.12782,18.96149,18.16681,17.92655,17.05795,16.59592,16.17086,15.80124,15.26529,14.78479,14.82175,14.52605,14.69238,14.35972,14.10099,14.26732,14.04555,13.91618,13.56504,13.52808,13.63896,13.54656,13.76833,13.97162,14.00858,13.84226,13.78681,13.74985,13.84226,14.06403,14.45213,15.54251,16.07845,16.79921,17.50149,18.96149,20.58781,22.17718,24.11768,26.00274,27.05616,27.53666,27.64755,27.05616,26.76046,26.31692,25.5592,25.44831,24.83844,24.52426,23.56325,22.97186,21.71515,20.9944,19.77465,19.27566,18.29617,19.03541,17.02098,19.12782,17.44605,25.70705,24.04376,23.19363,20.93895,18.640380520833332
2009,19.64528,16.81769,15.3577,19.68225,28.09109,27.35185,25.48527,23.06427,20.92047,23.58173,20.10731,19.90402,16.98402,15.02504,13.23238,12.12352,11.69846,11.31036,11.10707,11.18099,11.92023,13.02909,14.06403,16.11542,19.01693,22.1587,24.35793,18.44402,18.96149,19.36807,19.40503,18.92453,18.94301,17.982,17.48301,17.2982,16.66985,16.15238,15.7458,15.15441,14.63694,14.78479,14.24884,13.87922,13.63896,13.63896,13.602,13.45415,13.36175,13.23238,13.17694,13.32479,13.23238,13.23238,13.58352,14.02707,14.32276,14.41517,14.13795,14.45213,14.71086,15.15441,15.94909,16.42959,17.35364,18.27769,19.86706,21.40098,22.97186,25.06021,26.94527,27.7954,28.40527,28.38679,27.8878,27.96173,26.79742,25.87337,25.74401,25.31895,24.46882,24.21009,23.89591,22.87946,21.56731,20.97591,20.25516,18.92453,19.22022,17.74174,19.79313,17.94503,26.31692,24.32097,23.24908,21.17921,18.7029465625
2009,19.88554,16.68833,15.46858,19.84857,28.03565,27.16704,25.5592,23.17515,21.06832,23.76654,20.51389,20.36604,17.42757,15.57947,13.73137,12.7334,11.88327,11.40277,11.32884,11.56909,12.19745,13.28783,14.30428,16.54048,19.79313,22.10325,24.8754,19.77465,20.49541,21.03136,20.77262,20.38452,20.03338,18.72123,17.74174,17.20579,16.89162,16.46656,15.80124,15.19137,15.04352,14.48909,14.24884,14.06403,14.15643,13.602,13.38023,13.47264,13.43567,13.1215,13.08454,13.23238,13.1215,13.2139,13.28783,13.13998,13.17694,13.1215,13.47264,13.39871,13.52808,13.84226,14.41517,15.24681,16.02301,16.79921,18.00048,19.34959,21.30857,23.48933,25.11565,26.20603,26.22451,26.61261,26.4278,26.18755,25.89186,25.04173,24.81996,23.96983,23.45237,22.97186,22.56528,22.1587,20.77262,19.95946,19.40503,18.38858,18.8506,17.79719,19.51592,17.76022,25.96578,24.15464,23.19363,21.03136,18.42207385416666
2009,19.90402,16.76225,15.56099,19.97794,28.05413,27.38882,25.15262,23.323,21.01288,23.93287,20.27364,20.29212,17.26124,15.37618,13.71289,12.45618,11.93871,11.43973,11.01467,11.18099,12.19745,12.80732,14.24884,16.28175,19.60832,22.49136,25.00477,19.47896,19.97794,20.95743,20.9944,20.64326,20.34756,18.90604,18.27769,17.57541,16.94706,16.522,15.87516,15.69035,15.46858,14.78479,14.47061,14.08251,13.86074,13.95314,13.69441,13.67593,13.49112,13.25086,13.1215,13.25086,13.10302,13.28783,13.25086,13.1215,13.38023,13.43567,13.45415,13.49112,13.74985,14.13795,14.80327,15.13592,15.56099,16.2263,17.20579,18.70275,20.62478,22.36199,24.15464,24.57971,25.42983,25.46679,24.89388,25.24502,24.54274,23.76654,23.56325,23.30452,22.73161,22.08477,21.62275,20.71718,19.95946,19.07237,18.97997,17.90807,18.90604,17.18731,19.18326,17.50149,25.79945,24.0068,23.24908,21.10528,18.207810104166676
2009,19.90402,16.74377,15.50554,19.79313,27.81388,27.03768,24.96781,22.58376,20.51389,22.99034,19.97794,20.3106,17.50149,14.82175,13.26935,12.54859,11.71694,10.70049,10.33087,10.57112,11.56909,12.51162,13.62048,15.54251,18.48098,21.17921,22.65768,18.03744,18.94301,19.55288,19.51592,19.1463,19.40503,18.83212,18.11136,17.16883,17.16883,16.70681,16.6144,16.24478,15.89364,15.69035,14.98808,14.56301,14.34124,13.95314,14.08251,13.87922,13.54656,13.602,13.34327,13.2139,13.602,13.25086,13.30631,13.49112,13.45415,13.47264,13.76833,13.78681,14.04555,14.35972,14.80327,15.33922,15.78276,16.39263,17.18731,18.7582,19.97794,21.97389,23.4154,23.85895,24.4873,24.54274,24.70907,23.98831,23.15667,22.58376,22.12174,21.56731,21.49338,21.0868,20.403,19.77465,19.09085,18.53643,18.20377,17.2982,18.59187,17.26124,19.49744,18.18529,26.55717,24.50578,23.43389,21.23465,17.896328437500006
2009,19.90402,16.98402,15.48706,20.07035,28.20198,27.20401,24.80148,22.65768,20.29212,23.13819,19.34959,19.51592,16.2263,14.82175,13.13998,12.17897,11.3658,10.55264,10.42327,10.5896,10.27543,10.95922,11.34732,11.64302,12.41922,13.54656,14.98808,13.04757,14.30428,15.22833,15.96757,16.66985,17.42757,17.6863,18.00048,18.25921,18.16681,17.6863,17.63086,17.74174,17.13187,16.55896,16.79921,16.42959,16.17086,15.80124,15.72732,15.78276,15.48706,15.17289,15.11744,14.93263,15.19137,15.062,15.00656,15.08048,15.04352,15.04352,15.37618,15.3577,15.94909,15.89364,16.39263,17.35364,18.12984,19.40503,21.16072,24.15464,24.98629,26.53869,27.38882,27.07464,27.18552,27.07464,26.85287,25.89186,25.37439,24.80148,24.30249,23.82199,22.9349,22.86097,22.26958,21.62275,21.03136,20.55085,20.10731,19.47896,20.6063,19.34959,21.71515,20.25516,28.5716,26.92679,26.48325,24.15464,18.654434166666665
2009,22.97186,19.57136,18.38858,22.21414,29.75438,29.12603,27.24097,25.20806,23.23059,26.48325,23.21211,23.47085,20.07035,18.20377,16.1339,14.65542,13.78681,12.65947,12.10504,11.51365,11.32884,11.58758,11.73542,12.0496,12.93669,13.17694,14.41517,13.10302,14.50757,15.81972,16.87314,18.18529,19.36807,20.49541,20.90199,21.36402,21.65971,21.54883,21.23465,21.23465,20.64326,20.18123,19.29415,18.94301,18.57339,17.7787,17.85263,17.81567,17.24276,17.07643,16.78073,16.70681,16.24478,16.35567,15.94909,15.85668,15.94909,15.89364,15.67187,16.35567,16.57744,16.98402,17.50149,18.40706,19.40503,20.97591,22.62072,24.59819,26.90831,29.7359,31.80577,32.10147,32.24931,32.26779,31.78729,31.32526,30.53058,29.29236,29.14451,28.81185,28.36831,27.33337,26.39084,25.5592,24.08072,23.10123,21.71515,20.6063,20.9944,19.22022,20.51389,18.59187,26.83439,25.04173,24.24705,22.58376,20.717758854166657
