year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2023,21.06994,20.12374,18.87018,19.13552,21.73013,23.08848,21.47845,19.72122,17.90486,17.71535,17.41376,15.82382,14.77742,13.37374,12.58611,11.92922,11.64412,10.84903,10.73138,10.47273,10.47273,10.47273,10.47273,10.5855,10.8855,11.24729,11.78404,11.91059,11.59879,11.65257,11.30131,11.49693,11.00299,11.00299,11.00299,10.59562,9.89583,11.30911,11.40055,9.90943,9.29638,9.27024,8.25452,7.16326,7.61897,6.29231,5.87079,5.78014,5.87079,5.70844,5.59876,5.88972,5.75771,5.88634,5.89752,6.24955,6.98698,8.86271,10.27603,10.30529,9.8588,9.82244,11.04037,11.72741,12.74433,13.63186,14.84171,15.79502,16.39199,16.95717,17.80614,18.41618,18.7297,18.63021,18.61259,17.88026,17.54129,17.373,16.77921,16.6654,15.90309,15.47881,15.28298,15.28298,14.98903,14.79681,14.60121,14.34422,14.88858,15.83122,16.33092,16.87378,18.9774,21.2674,21.2674,20.99436,0,13.109599381443301
2023,20.53206,19.55735,18.6199,19.04147,21.40728,22.53437,20.99993,19.33228,17.91918,17.83643,17.28735,15.79155,14.71621,13.45764,12.60146,11.88841,11.19612,11.06499,10.81361,10.57721,10.60176,11.01287,11.52031,12.1105,12.9518,14.27758,15.1179,15.29253,14.16393,14.43077,14.41713,13.48577,12.79701,11.87263,10.95881,10.23253,9.42365,8.60776,7.92079,7.26419,6.83212,6.34431,6.0791,5.81006,5.62824,5.16686,5.18731,5.40796,6.15743,6.32365,7.13323,8.73305,9.28565,9.54458,8.41953,7.14184,6.59785,6.84302,8.13681,8.2751,9.43705,10.68966,11.94409,12.57983,12.39681,13.29708,14.12091,15.0604,15.93407,16.68838,17.90505,18.99484,19.3233,19.63468,19.35466,19.145,18.31783,17.87346,17.7112,17.11575,16.54075,16.05944,15.88668,15.4637,15.21099,14.84671,14.73378,14.48777,14.89575,15.6309,16.41305,17.21466,19.33271,21.52152,21.0212,20.60434,1,13.330625979381445
2023,20.15161,19.30855,18.09144,18.43977,20.98554,22.11352,20.59587,18.84569,17.1898,17.04713,16.26615,14.53202,14.05029,12.6784,11.70029,11.13814,11.04087,10.47265,10.3591,10.3591,10.73268,11.27932,11.41868,12.03294,13.11097,13.78931,15.01459,15.25243,13.83287,13.52175,13.39351,13.04844,12.50197,11.50497,10.40559,9.85171,9.38393,8.61133,7.88228,7.15938,6.37643,6.20145,5.73899,5.47309,5.47309,5.23557,5.52862,5.92531,5.52025,5.43168,5.8937,5.55695,5.30432,5.40809,5.79551,5.81397,5.89583,6.28989,6.70712,7.43969,8.34698,9.04383,9.83627,10.96644,12.10682,13.01373,13.94331,14.87377,15.59065,16.5438,17.81106,18.75359,19.13898,18.99484,18.69189,18.49459,17.93576,17.12773,16.93059,16.63068,16.12867,15.84541,15.54812,15.32499,15.03927,14.56646,14.5444,14.5444,14.77875,15.56353,16.29805,17.0821,19.09242,21.23954,20.79534,20.19601,2,12.778009278350519
2023,19.79984,18.83642,17.73004,18.16477,20.72422,21.99724,20.48588,18.76239,17.03476,16.96905,16.27816,14.89814,13.95562,12.66496,11.93313,11.31363,11.00299,10.74291,10.54033,10.66211,10.95716,11.30026,11.63862,12.20021,13.0311,14.03553,15.04064,15.45302,13.94951,14.21253,13.92226,13.36618,12.93098,11.88979,11.10277,10.23617,9.5305,8.43267,7.8659,7.30423,6.70027,6.45842,5.8922,5.84751,5.49203,5.48903,5.15114,5.17782,5.17008,5.3589,5.45766,5.18902,5.25712,5.74959,5.90866,5.93207,6.5261,7.04899,8.50994,10.72336,10.44146,11.77412,12.43257,13.02494,13.29647,13.64368,14.76894,15.36922,15.90084,16.72642,17.62098,18.36775,18.60201,18.76865,18.82294,18.44144,17.78444,17.30632,16.96158,16.74328,16.20696,15.71327,15.51024,15.24494,14.88699,14.37021,14.1467,14.1467,14.76772,15.20723,15.86815,16.57077,18.75043,20.99609,20.62351,20.11306,3,12.977912886597942
2023,19.60085,18.91302,17.72195,18.21891,20.60721,21.59915,20.13515,18.42075,16.90542,16.61072,16.0154,14.19049,13.48332,12.25354,11.70089,11.06169,10.48092,10.24547,10.24547,10.24547,10.37603,11.18062,11.50574,11.47454,12.2061,13.38637,14.70276,15.14373,13.87528,14.52623,14.57743,14.31314,14.67697,14.67697,14.52341,14.04478,13.47992,10.0738,12.10141,9.87892,9.11583,10.84022,9.72495,8.9905,9.18677,8.92331,7.03432,8.20916,7.27062,7.00439,6.22869,8.25098,9.13328,7.41501,5.99872,6.02557,6.3662,7.95231,11.42448,11.39386,9.71954,12.25433,10.14472,11.94833,12.4044,13.20691,14.28707,14.72909,15.3153,16.1688,17.22916,18.21973,18.35094,18.547,18.37923,18.5045,17.88007,17.43642,17.35189,16.83109,16.48705,16.34351,16.34351,15.96079,15.51002,15.14773,14.91553,14.7101,14.88479,15.61068,16.64543,17.44192,19.36205,21.50352,21.24846,20.55813,4,13.623204639175258
2023,20.05375,19.34217,18.20462,18.76632,21.17446,22.29607,20.88551,18.96094,17.30711,17.19443,16.59219,14.92704,14.01441,13.13727,12.17738,11.60264,11.10052,10.92935,10.71892,10.71892,11.05141,11.5411,11.77945,12.42355,13.13855,14.14067,15.26977,15.72326,14.28278,14.85455,15.03158,14.58013,13.93405,12.90775,11.96067,10.85034,10.1598,9.16131,8.456,7.77889,6.99551,6.60639,6.12733,5.88972,5.66312,5.54884,5.3472,5.17008,5.12464,5.20796,5.20796,5.29086,5.41419,5.31262,5.5299,5.62923,6.23429,6.34403,6.71928,7.35903,7.82212,8.89111,10.11176,11.20933,12.24304,13.39436,14.47699,15.42122,16.26094,17.16504,18.28904,18.90496,19.64739,19.71448,19.92063,19.55641,19.45079,19.01973,18.80546,18.41741,18.08581,18.03632,17.5879,17.3851,17.23965,16.85236,16.70333,16.2254,16.79613,17.50492,18.33237,19.03706,20.89938,23.25589,23.0028,22.15104,5,13.491437938144333
2023,21.76218,20.86697,19.61627,19.97907,22.30599,23.48118,22.12182,20.20486,18.55598,18.56532,18.06784,16.55169,15.61319,14.37314,13.31977,12.53661,11.89308,11.62206,11.31781,11.21131,11.21131,11.21131,11.24195,11.58686,12.24994,13.0033,13.65414,14.36888,14.16785,14.60121,14.74204,14.62015,14.51034,14.49576,13.57556,13.05775,12.36318,11.83652,10.8799,10.52472,10.43264,8.829,8.14998,7.14424,6.67876,6.42607,6.24807,6.33857,5.98841,6.61679,6.85432,6.38526,5.94162,8.44563,8.96802,7.6244,7.72284,8.71455,9.008,9.20729,9.86339,10.45455,11.38946,12.59057,13.86883,15.18825,16.43421,17.56007,18.05595,19.05988,20.48366,21.23864,21.21524,21.39866,21.4913,21.12702,20.61759,20.35261,20.13112,19.87166,19.49417,19.43041,19.11809,18.90806,18.54542,18.18568,18.06687,17.66444,17.88662,18.55887,19.16493,19.84906,21.77881,24.32918,24.05848,23.43264,6,14.74698618556701
2023,22.85819,21.99907,20.78335,21.23449,23.46989,24.76478,23.61666,21.70159,20.10704,19.9226,19.56832,17.76199,16.85326,15.36428,14.38329,13.48748,12.96459,12.33133,12.04458,11.94205,11.7037,11.57756,11.59534,11.8588,12.12499,12.77139,13.37368,13.78426,13.66177,14.61749,15.08286,15.26405,15.34505,15.50461,15.27778,14.57018,14.15016,13.31251,12.32023,11.53747,10.82133,10.04649,9.4165,8.46924,7.80556,7.31884,6.90496,6.3519,6.02837,6.15444,6.35423,6.47058,6.13544,6.38211,6.38211,6.38211,6.59808,7.06017,7.6005,8.14092,8.99351,10.62615,11.70414,13.02054,13.69511,14.43058,15.25592,16.24209,17.18068,18.03827,18.77113,19.73021,20.31755,20.25517,20.14689,20.11218,19.76022,19.47685,19.41147,19.18392,18.7784,18.35094,18.35094,17.89707,17.61624,17.05574,17.01083,16.65661,16.66237,17.36617,17.97086,18.49845,20.21236,22.43608,22.31516,21.63143,7,14.69668886597938
2023,21.28859,20.53034,19.69132,19.99338,22.3079,23.8278,22.33761,20.62575,19.20793,19.30462,19.10619,17.40939,16.31399,15.00687,13.95769,13.29914,12.6715,12.04619,11.73938,11.32852,11.59007,11.7453,12.05265,12.55547,13.51273,14.54121,15.97025,16.61151,15.67029,16.55312,16.71164,16.94071,16.5101,15.21719,13.32482,13.33223,14.05265,13.68985,12.15253,12.71432,14.09637,14.26228,14.37628,14.35348,13.94348,12.30792,12.21788,13.28126,13.03358,12.18773,11.91824,12.60883,12.99148,13.29334,13.10241,12.91573,12.95472,11.81256,11.19186,10.1992,12.44477,13.31682,14.80213,16.04415,16.87129,17.72231,18.36213,19.54125,20.38748,21.57059,22.77979,23.66793,23.76384,23.74828,23.49881,23.15048,22.12536,21.41265,20.96324,20.51349,20.00171,19.5707,19.22821,18.54622,17.87693,17.46373,17.11916,16.81577,16.96983,17.44192,18.1625,18.93802,20.83341,22.84986,22.5999,21.91478,8,16.551657835051543
2023,21.59875,20.43322,19.21332,19.70936,22.1025,23.3966,22.29273,20.53038,18.86467,18.67823,18.15511,16.60663,15.65625,14.3413,13.59306,12.84656,12.12632,11.71187,11.4834,11.306,11.72618,12.05763,12.36653,12.70462,13.76536,14.93403,16.31309,16.93745,15.79087,15.98288,15.44918,15.26968,15.74031,14.2364,12.47214,12.48123,10.76244,9.45795,8.67985,8.94341,9.43273,8.3681,6.92996,5.93383,6.22338,5.92109,7.71118,5.98593,6.1107,6.14473,8.27023,10.27565,10.77114,7.42653,7.19857,8.35807,8.45238,7.71808,8.87291,9.2077,10.75081,10.70645,11.8504,11.93978,12.91429,14.0807,15.00795,15.83929,17.03921,18.33587,19.79065,20.53554,20.75082,21.0306,20.85501,20.44892,19.7121,19.29286,18.95696,18.3905,17.92141,17.49457,17.13505,16.89271,16.58256,16.16182,15.87006,15.5917,15.9063,16.39422,17.05802,17.89643,19.96705,22.0203,21.81601,21.24493,9,14.424868350515467
