Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,31.2,18.6,32.9,12.792245104166676
2015.0,10.0,19.1,21.4,30.1,13.489032916666668
2015.0,0.0,30.8,20.9,32.4,13.23361010416667
2015.0,0.0,18.0,21.1,35.8,13.283444583333337
2015.0,0.6,14.9,20.2,27.2,13.379540729166663
2015.0,0.0,25.4,18.8,29.4,12.774383750000004
2015.0,0.0,28.5,20.2,31.9,14.969595520833336
2015.0,0.0,31.6,18.0,31.6,14.825986874999998
2015.0,0.0,15.8,21.2,35.7,13.6506821875
2015.0,0.2,13.9,22.0,29.7,13.947723125000008
2015.0,20.6,3.2,20.3,23.3,13.364000833333336
2015.0,7.6,17.3,19.9,25.5,13.0444534375
2015.0,0.2,20.1,18.8,29.9,15.818744479166662
2015.0,1.6,30.2,21.8,33.2,14.481969166666676
2015.0,0.0,29.6,21.0,28.3,14.002559375000002
2015.0,0.0,28.9,18.8,32.2,13.677296354166666
2015.0,0.0,32.1,16.1,35.1,14.958164062500003
2015.0,0.0,30.1,17.7,29.0,13.669079166666664
2015.0,0.0,8.0,19.9,22.2,15.5265253125
2015.0,4.6,18.6,18.2,26.5,13.78482375
2015.0,7.8,26.8,19.1,29.8,13.06088666666667
2015.0,0.0,27.2,19.9,30.1,12.9154915625
2015.0,0.0,29.0,21.1,32.2,12.795638854166668
2015.0,0.0,24.3,22.7,32.5,14.956556354166665
2015.0,0.5,29.0,20.5,37.0,13.429732083333334
2015.0,0.0,3.8,20.4,21.3,13.12108083333333
2015.0,16.6,4.0,17.6,20.3,13.175559583333335
2015.0,74.6,9.9,16.9,22.2,13.537438749999998
2015.0,3.0,28.3,14.5,24.8,13.353283125
2015.0,0.0,26.8,11.5,27.9,13.000513645833331
2015.0,0.0,26.7,13.9,27.5,13.020340208333332
2015.0,0.0,21.4,16.9,26.3,13.365072083333333
2015.0,0.0,26.3,16.9,26.0,12.651137187499996
2015.0,0.0,29.1,15.4,25.9,12.708652500000008
2015.0,0.0,19.6,14.3,25.1,12.63488270833333
2015.0,6.2,12.3,18.3,24.6,12.5527190625
2015.0,1.2,15.0,16.0,25.5,12.64738572916667
2015.0,0.0,20.2,16.7,28.6,12.873695208333332
2015.0,0.0,26.9,16.4,35.4,12.593621979166665
2015.0,0.0,13.7,21.4,27.5,12.40375197916667
2015.0,0.0,19.2,19.7,28.5,12.55164729166666
2015.0,3.4,22.5,20.1,30.2,13.313630729166665
2015.0,0.0,20.0,18.7,30.4,13.461704583333338
2015.0,33.0,17.6,19.1,28.1,12.775276979166664
2015.0,2.0,16.3,18.7,29.0,18.9125821875
2015.0,2.4,20.8,19.5,29.9,18.458893020833337
2015.0,0.2,22.8,18.4,30.0,18.30170916666668
2015.0,0.0,26.0,17.7,29.9,13.395080624999997
2015.0,0.0,22.9,18.1,29.2,14.67184010416666
2015.0,0.0,15.2,18.9,28.9,12.616128125000005
2015.0,1.4,14.8,18.5,28.0,12.539858541666662
2015.0,3.5,9.2,20.5,25.4,14.944053437499996
2015.0,1.8,18.5,18.8,28.5,17.089251979166665
2015.0,0.0,13.5,19.0,28.3,15.853217083333332
2015.0,0.0,17.9,20.3,26.4,14.450889166666675
2015.0,1.8,11.1,19.3,24.2,17.422016979166667
2015.0,6.0,14.7,18.9,27.8,13.990055416666664
2015.0,3.2,21.9,18.1,28.3,12.674357083333335
2015.0,0.0,20.5,17.7,29.4,12.94014114583334
2015.0,0.0,15.1,17.8,36.9,15.658881145833334
2015.0,13.2,13.1,16.6,24.0,17.325384895833327
2015.0,0.0,20.5,14.5,30.1,15.687817395833337
2015.0,0.0,19.0,20.0,29.8,15.642269895833335
2015.0,0.0,22.7,16.4,28.0,13.210568125
2015.0,0.0,23.8,11.7,30.4,13.61799458333334
2015.0,0.0,17.8,16.8,26.8,17.95536947916666
2015.0,0.0,22.5,18.0,27.8,17.474173541666662
2015.0,0.0,24.0,18.2,33.5,15.259492812499994
2015.0,0.0,12.2,18.2,26.8,16.669321875000005
2015.0,0.0,19.7,19.0,30.6,12.911025937499998
2015.0,1.2,17.9,18.0,28.1,14.958699479166668
2015.0,2.2,5.7,18.6,21.4,14.256911041666662
2015.0,0.0,18.2,14.5,26.7,12.19762708333333
2015.0,0.0,14.0,15.3,24.7,12.11403354166667
2015.0,0.0,17.0,13.4,24.3,12.5900496875
2015.0,0.0,10.3,11.4,24.6,14.66665979166667
2015.0,0.0,17.3,16.1,29.3,15.036398854166668
2015.0,0.0,21.8,16.5,31.4,14.417845208333333
2015.0,0.0,13.9,16.7,30.7,14.944589374999998
2015.0,0.8,9.9,17.7,23.9,15.890370416666668
2015.0,0.1,7.0,17.3,24.9,12.685431875000006
2015.0,0.9,16.5,16.6,29.5,12.5330703125
2015.0,0.2,2.9,18.2,26.9,13.559586875000004
2015.0,9.2,17.8,13.2,24.3,12.695434375
2015.0,0.0,20.5,14.9,27.8,13.60174104166667
2015.0,0.0,21.3,13.4,26.6,13.661221041666662
2015.0,0.0,18.7,10.0,23.7,12.792245416666669
2015.0,0.0,18.1,11.8,26.6,12.608090104166662
2015.0,0.0,10.1,15.7,25.7,12.57343822916667
2015.0,1.2,11.4,17.2,23.4,13.17323666666666
2015.0,5.2,14.2,15.7,26.2,13.376503854166664
2015.0,0.0,13.5,15.6,29.8,13.268797916666662
2015.0,0.4,3.5,17.0,18.7,14.471788333333327
2015.0,11.8,3.3,16.4,19.2,13.911821145833336
2015.0,3.2,17.5,14.9,26.2,14.205111770833332
2015.0,0.0,15.0,14.0,26.2,15.0701575
2015.0,1.8,14.5,12.8,23.2,15.6404840625
2015.0,0.6,13.6,12.7,22.7,16.50499322916666
2015.0,0.0,14.3,13.6,22.6,16.35977697916668
2015.0,0.0,12.9,12.5,22.6,14.71202875
2015.0,2.6,11.9,14.8,22.5,14.025421979166673
2015.0,0.0,11.5,12.5,23.9,12.932103125
2015.0,3.2,13.3,13.8,22.1,12.391605416666664
2015.0,0.0,15.3,11.0,24.1,12.829219479166666
2015.0,0.0,16.1,11.6,28.0,12.826539270833337
2015.0,0.0,15.3,15.0,31.7,12.882804479166667
2015.0,5.6,3.1,19.2,24.1,15.026038958333338
2015.0,3.3,11.1,17.4,28.0,17.54329875
2015.0,4.2,15.2,15.6,23.5,13.821619062500003
2015.0,3.2,3.3,12.0,17.0,18.10576562499999
2015.0,95.0,3.9,14.0,17.8,15.868578541666665
2015.0,102.6,4.0,13.1,18.8,13.675688333333328
2015.0,28.8,13.0,11.9,22.6,12.6768584375
2015.0,0.0,13.4,13.7,26.0,12.777599270833328
2015.0,0.0,12.4,10.7,24.9,12.873159375000002
2015.0,4.6,6.1,11.6,18.7,12.672928437499996
2015.0,0.6,14.3,10.3,20.1,17.758533020833337
2015.0,0.0,14.8,7.8,20.6,13.04231052083333
2015.0,0.0,11.2,9.3,19.4,12.907453750000002
2015.0,5.6,8.0,13.9,19.6,13.023733541666664
2015.0,4.2,8.5,13.0,21.0,13.072496249999991
2015.0,17.2,8.6,13.6,22.5,12.645421562499996
2015.0,15.8,7.4,16.6,22.8,12.57397416666666
2015.0,0.0,6.4,16.7,22.2,12.580761666666662
2015.0,0.2,13.0,13.5,27.0,12.631132291666669
2015.0,0.0,13.9,10.6,20.5,13.15144552083333
2015.0,0.0,13.8,8.1,20.0,12.797246041666666
2015.0,0.0,13.6,7.8,20.5,14.539305729166664
2015.0,0.0,13.3,6.2,21.1,12.151364583333327
2015.0,0.0,11.6,4.7,21.4,16.043087812500005
2015.0,0.0,12.5,12.8,21.7,13.72587989583333
2015.0,0.0,13.1,7.7,22.5,12.733122708333342
2015.0,0.0,11.1,11.5,16.6,12.824217604166662
2015.0,0.0,12.8,3.1,17.8,14.09276125
2015.0,0.0,11.7,8.2,20.3,13.57869916666666
2015.0,0.2,12.1,11.8,20.4,13.519040937499996
2015.0,0.0,9.3,8.7,20.3,13.3218465625
2015.0,0.0,7.0,9.2,19.5,13.406154479166668
2015.0,0.0,5.6,12.0,20.8,13.2434340625
2015.0,2.0,10.4,10.9,24.2,13.88074166666667
2015.0,0.0,7.6,11.0,21.4,13.501892916666664
2015.0,12.6,5.7,11.6,17.1,13.080534479166667
2015.0,13.2,11.6,9.5,18.8,13.242183229166669
2015.0,0.0,11.3,6.3,19.3,12.763844999999996
2015.0,0.0,9.7,6.9,18.3,13.700873541666672
2015.0,0.0,10.6,6.2,18.1,15.644055729166672
2015.0,0.0,10.3,7.7,20.7,13.817153749999996
2015.0,0.0,10.2,7.2,21.8,13.364000624999994
2015.0,0.0,3.8,12.8,19.9,13.251828854166662
2015.0,0.0,6.2,7.8,17.7,13.040702291666667
2015.0,0.0,4.2,8.6,15.2,12.896021875000004
2015.0,0.0,11.3,6.0,15.1,12.827432604166669
2015.0,0.0,11.0,2.2,16.0,12.754020937499996
2015.0,0.0,9.7,3.6,17.3,13.131797500000005
2015.0,0.0,10.8,4.0,17.5,12.825111041666666
2015.0,0.0,8.6,4.2,16.1,12.812250729166664
2015.0,0.0,10.5,7.5,20.3,12.939604583333336
2015.0,0.0,10.5,3.9,21.2,12.812071770833334
2015.0,0.0,10.8,6.5,22.3,12.536463958333336
2015.0,0.0,9.5,10.7,22.1,12.945141874999996
2015.0,0.2,6.4,6.0,15.6,13.265582083333332
2015.0,0.2,7.0,10.3,17.9,12.939961770833332
2015.0,0.0,7.3,11.9,19.4,13.124831770833334
2015.0,0.0,8.7,10.9,18.9,13.338458333333335
2015.0,0.0,9.3,6.3,19.7,13.807508020833334
2015.0,0.0,4.8,8.2,16.6,13.253436666666657
2015.0,3.2,3.0,11.2,15.6,13.552085
2015.0,8.6,3.0,13.0,16.7,14.071862708333336
2015.0,5.0,5.6,7.2,17.5,14.24154958333333
2015.0,43.5,8.6,9.8,15.3,14.503581875000004
2015.0,0.0,10.1,8.0,15.8,14.549665312499997
2015.0,0.0,6.4,7.4,14.8,14.10472854166666
2015.0,0.8,10.4,5.3,18.1,13.689620624999998
2015.0,0.0,10.1,4.3,20.6,14.05757322916666
2015.0,0.0,9.6,7.7,21.4,13.8500196875
2015.0,0.0,8.4,9.2,19.7,13.24379041666666
2015.0,0.3,9.9,8.0,18.5,14.577172604166664
2015.0,0.0,10.6,3.8,19.4,12.55432802083333
2015.0,0.0,9.4,4.4,18.4,13.788039270833329
2015.0,0.0,9.0,5.8,19.1,14.139916458333332
2015.0,0.0,8.5,4.3,18.5,14.482683541666663
2015.0,0.6,9.9,8.6,16.2,15.80677677083333
2015.0,0.0,10.2,2.4,16.0,16.5164253125
2015.0,0.0,9.9,4.0,15.8,17.39968947916666
2015.0,0.0,10.8,0.6,16.5,17.11354416666666
2015.0,0.0,10.7,2.3,17.5,17.245542812499995
2015.0,0.0,10.8,1.0,16.8,18.433350625000006
2015.0,0.0,7.6,3.2,15.0,17.469707916666664
2015.0,0.4,9.0,4.9,15.8,15.353445208333335
2015.0,0.0,10.7,3.1,17.5,16.993070937500004
2015.0,0.0,5.0,2.3,14.1,19.0952828125
2015.0,0.7,10.8,2.4,19.1,13.447593541666665
2015.0,11.6,9.6,6.1,14.3,18.4111009375
2015.0,5.6,8.7,6.8,16.8,18.876013125
2015.0,0.0,11.3,4.4,16.8,20.00778083333334
2015.0,0.0,11.2,1.4,16.3,17.414474895833326
2015.0,0.0,3.8,6.5,12.3,17.56059072916667
2015.0,20.8,8.1,6.0,14.3,19.21656385416667
2015.0,2.0,9.1,2.4,14.7,18.018957500000003
2015.0,0.0,11.0,5.6,16.6,19.093356875
2015.0,0.0,10.3,5.9,17.1,20.376630625
2015.0,0.0,11.4,4.3,18.9,21.066779791666665
2015.0,0.0,7.5,5.1,17.7,22.427827187500004
2015.0,4.4,7.6,8.8,18.3,21.00787145833333
2015.0,0.2,7.7,8.2,19.9,20.377785729166664
2015.0,0.0,12.1,6.6,20.3,19.24813479166665
2015.0,0.0,11.6,4.3,20.5,19.94945020833333
2015.0,0.0,12.5,3.7,14.9,13.836979687499998
2015.0,0.0,11.8,1.8,17.6,22.301540000000003
2015.0,0.0,11.9,5.1,17.9,22.08265583333333
2015.0,0.0,11.8,3.6,20.3,19.958498333333328
2015.0,0.0,12.5,7.1,20.0,16.966311666666652
2015.0,0.0,9.6,2.6,22.4,19.804682604166675
2015.0,0.0,9.8,6.6,24.8,19.42967239583333
2015.0,0.0,13.2,5.9,18.8,19.40811114583333
2015.0,0.0,11.8,3.4,14.8,19.52072958333333
2015.0,0.0,7.2,3.1,16.1,19.819890625
2015.0,0.0,12.2,3.0,17.0,20.91739177083334
2015.0,0.0,12.9,2.4,17.9,20.18411979166667
2015.0,0.0,13.0,3.9,16.7,17.783709895833336
2015.0,0.0,13.6,3.1,18.0,16.629803749999997
2015.0,0.0,13.8,3.5,20.3,18.211275520833336
2015.0,0.0,13.3,2.6,20.0,19.43718072916668
2015.0,0.0,10.4,0.7,17.5,18.9815084375
2015.0,1.0,14.5,7.8,19.2,19.810265625000003
2015.0,0.0,14.4,2.3,19.6,20.04743802083332
2015.0,0.0,10.3,4.6,18.5,20.16005645833334
2015.0,0.0,13.3,6.9,20.9,19.462206770833337
2015.0,0.0,14.1,4.9,20.5,19.7773459375
2015.0,0.0,13.4,8.4,16.4,20.80592791666666
2015.0,0.0,10.1,6.5,17.9,21.59887739583333
2015.0,0.0,15.2,4.2,21.2,22.579332604166662
2015.0,0.0,15.3,6.2,23.3,21.96272208333332
2015.0,0.0,14.0,9.2,28.1,21.86300177083333
2015.0,2.0,4.1,14.4,18.0,20.656732708333333
2015.0,5.2,4.1,13.8,17.1,21.37325572916667
2015.0,49.2,10.4,12.1,19.7,20.072656979166663
2015.0,12.4,11.6,12.5,20.2,19.481072916666665
2015.0,0.6,12.3,9.1,21.1,20.500414375
2015.0,0.0,13.9,6.6,20.0,20.435923541666668
2015.0,0.0,16.4,5.4,19.9,19.6123646875
2015.0,0.0,15.8,5.9,18.3,19.82027520833334
2015.0,0.0,16.8,5.8,19.7,20.00893583333333
2015.0,0.0,17.6,4.1,19.5,19.846264166666668
2015.0,0.0,15.7,4.4,20.3,19.27893708333332
2015.0,2.6,15.9,8.8,20.6,19.433908020833325
2015.0,2.2,15.9,12.0,19.4,19.2629590625
2015.0,0.0,15.5,7.8,20.9,19.62526291666667
2015.0,0.3,9.0,11.2,16.9,20.22300708333333
2015.0,0.4,16.0,9.3,23.7,19.89439250000001
2015.0,0.0,18.5,6.3,19.3,18.937423541666664
2015.0,0.0,18.3,5.7,20.2,18.696208229166665
2015.0,0.0,14.8,7.6,19.2,18.415336354166666
2015.0,0.0,19.1,11.1,23.3,19.404260520833333
2015.0,0.0,19.3,7.1,25.8,20.377785729166664
2015.0,0.0,19.0,10.1,24.9,18.752999166666665
2015.0,0.0,19.4,9.4,25.6,18.91586260416666
2015.0,0.0,19.3,9.6,29.6,17.8046934375
2015.0,0.0,18.6,6.6,21.4,17.73558229166667
2015.0,0.0,18.2,10.0,19.9,17.9400284375
2015.0,4.0,19.6,11.6,20.4,17.983920208333334
2015.0,5.8,14.8,11.8,19.6,18.587247708333333
2015.0,0.0,14.3,9.0,18.7,19.429864375
2015.0,1.2,20.4,9.1,25.0,21.09892875
2015.0,0.0,17.1,11.5,19.4,18.364898125
2015.0,0.0,19.2,8.2,17.2,19.18807177083333
2015.0,0.0,17.6,6.3,17.1,18.218590729166667
2015.0,3.4,11.2,10.4,17.0,18.96302802083333
2015.0,6.6,13.8,9.6,19.0,18.54412604166666
2015.0,2.4,16.7,12.0,20.0,19.39425020833334
2015.0,0.0,22.5,8.8,22.2,17.390411770833335
2015.0,0.0,22.0,7.5,26.3,19.771570729166665
2015.0,0.0,16.1,12.7,21.7,17.427181041666667
2015.0,0.0,20.5,12.7,27.2,17.05313374999999
2015.0,0.0,19.1,12.1,26.5,16.597076770833326
2015.0,0.0,23.8,10.7,33.0,17.160361979166662
2015.0,0.0,15.4,10.7,33.2,18.301562708333336
2015.0,0.0,23.8,9.7,37.3,16.7766890625
2015.0,0.0,24.3,13.8,37.4,15.399085729166666
2015.0,0.0,10.7,13.9,20.3,15.204073541666665
2015.0,0.0,8.0,14.3,20.4,15.28839229166666
2015.0,0.0,22.8,16.5,24.9,14.926280833333331
2015.0,0.0,19.4,12.9,28.1,15.034471354166662
2015.0,0.0,13.1,11.1,27.4,15.025423333333334
2015.0,1.6,23.2,14.6,31.5,14.794602812500008
2015.0,8.0,8.4,16.6,21.0,14.671589583333336
2015.0,0.4,17.6,13.8,25.2,14.182613645833342
2015.0,0.0,25.6,16.2,28.6,20.87542416666665
2015.0,0.0,25.4,14.4,35.3,14.809553958333334
2015.0,0.0,18.5,16.5,26.4,14.122232708333335
2015.0,0.0,13.0,18.8,22.4,12.977471666666668
2015.0,0.4,21.3,19.1,27.3,12.899415104166664
2015.0,0.0,18.1,16.3,32.4,12.714367500000002
2015.0,2.0,8.4,16.1,27.4,12.592014687500004
2015.0,2.4,9.8,18.8,21.7,12.891199687499997
2015.0,5.8,14.0,14.5,20.2,13.28576604166666
2015.0,0.0,25.8,10.5,24.2,13.250757499999995
2015.0,0.0,25.5,12.8,27.7,13.128761354166668
2015.0,0.0,12.4,13.9,26.2,13.046597187500003
2015.0,9.8,10.7,15.2,19.8,14.90636416666667
2015.0,0.8,20.9,11.2,21.8,15.596365416666677
2015.0,0.0,26.6,12.0,23.9,13.702302500000004
2015.0,0.0,24.4,10.2,24.6,16.68312885416667
2015.0,0.0,16.0,13.0,26.3,17.16036239583333
2015.0,0.6,23.9,13.3,31.6,15.563682395833334
2015.0,8.6,25.6,18.0,31.7,15.702097291666666
2015.0,0.0,5.8,18.4,20.1,14.941296354166669
2015.0,4.2,3.9,16.7,19.4,15.203302812500008
2015.0,28.6,4.7,16.3,22.0,15.27395395833333
2015.0,8.8,17.4,17.9,29.0,15.21023302083333
2015.0,11.0,14.5,15.4,25.7,15.296477499999996
2015.0,0.0,21.8,15.6,22.0,15.43624010416667
2015.0,0.0,28.4,11.6,25.0,15.158063125000004
2015.0,0.0,29.1,12.8,29.1,15.5334584375
2015.0,0.0,9.6,19.0,27.1,15.844554166666668
2015.0,3.0,13.4,16.6,29.9,16.301189062499994
2015.0,3.0,15.6,15.6,20.1,16.102325937499998
2015.0,12.0,6.2,17.7,21.1,16.26595916666667
2015.0,17.4,15.2,15.0,22.8,12.625952187499992
2015.0,0.0,26.7,11.6,28.0,13.35131833333333
2015.0,0.0,30.6,11.4,36.4,13.154124270833323
2015.0,0.0,29.9,14.2,38.6,12.270860416666665
2015.0,0.0,28.6,16.2,40.7,12.406967083333337
2015.0,0.0,30.7,20.7,22.7,13.00622916666667
2015.0,0.0,17.0,18.4,21.8,12.826896979166664
2015.0,0.0,7.2,16.6,26.5,13.189312916666667
2015.0,0.0,30.1,14.7,27.4,13.00730125000001
2015.0,0.0,29.0,15.8,33.9,14.279238229166664
2015.0,0.0,32.3,14.0,37.7,16.51838979166667
2015.0,0.0,27.3,16.6,23.5,17.11908166666667
2015.0,0.0,24.0,13.7,23.6,15.65012895833334
2015.0,0.0,9.9,17.8,28.3,16.785544270833327
2015.0,1.4,19.6,19.4,29.1,17.241794062500002
2015.0,0.0,31.2,16.9,39.2,14.736658437499996
2015.0,0.0,25.5,15.9,23.2,14.55781625
2015.0,0.0,23.4,19.0,22.5,14.362803437500006
2015.0,0.0,23.2,16.1,24.6,14.555202500000002
2015.0,0.0,21.9,11.8,28.5,13.58512885416667
2015.0,0.0,32.1,11.8,30.0,14.37283395833333
2015.0,0.0,31.2,14.5,27.8,14.251551770833336
2015.0,0.0,22.6,17.3,27.8,14.897076562500004
2015.0,0.0,10.3,20.8,35.2,14.815626770833337
2015.0,2.8,22.1,21.6,28.0,15.188580937500005
2015.0,0.4,20.6,19.6,35.5,14.407664270833337
2015.0,0.0,28.9,19.9,23.9,14.027744479166666
2015.0,0.0,24.4,15.8,25.8,13.707304270833331
2015.0,0.0,17.4,18.3,33.6,15.35648125
2015.0,0.0,32.7,15.5,30.0,15.84303625000001
2015.0,0.0,19.3,16.3,24.2,15.184293645833336
2015.0,3.4,10.4,20.5,28.9,14.107050208333334
2015.0,0.2,25.4,15.0,33.1,17.442557604166666
2015.0,0.0,32.2,16.4,36.6,13.679260208333334
2015.0,0.0,32.0,17.3,38.3,11.956314062499992
2015.0,0.0,32.2,17.1,30.7,12.82636177083333
2015.0,0.0,8.6,22.8,21.2,12.9540728125
2015.0,13.8,3.2,16.8,23.8,13.122688541666664
2015.0,15.2,18.4,16.1,25.9,15.04282864583333
2015.0,0.2,27.5,14.7,25.7,16.386910937499998
2015.0,0.0,20.1,14.5,31.0,16.827759375000003
2015.0,0.5,18.2,17.3,23.3,16.371131458333334
2015.0,11.8,26.2,16.2,23.2,16.17368697916667
2015.0,0.2,17.3,14.5,25.0,18.46353062500001
2015.0,0.2,31.0,14.6,26.4,19.04758
2015.0,0.0,33.2,12.2,29.3,16.324383333333323
2015.0,0.0,29.8,15.3,28.6,17.171363437500002
2016.0,0.0,32.4,15.3,26.1,18.700818854166663
2016.0,0.0,19.4,15.9,25.6,19.07854791666667
2016.0,0.0,12.1,17.5,23.6,18.52171864583333
2016.0,4.4,4.1,18.2,20.5,19.240488125
2016.0,53.6,6.2,17.6,20.0,19.296704062499987
2016.0,28.8,2.5,16.7,25.0,18.18817333333333
2016.0,20.2,27.1,16.2,27.1,17.343758125
2016.0,0.0,26.8,13.9,28.4,17.800977187499996
2016.0,0.0,26.3,17.3,30.0,17.976133124999997
2016.0,0.0,30.6,16.1,38.6,20.33974708333334
2016.0,0.0,28.0,18.2,34.4,18.71403500000001
2016.0,0.0,17.2,20.7,31.1,17.93254114583333
2016.0,0.0,30.5,19.6,40.4,18.688590833333333
2016.0,0.0,14.4,21.2,22.0,19.1361440625
2016.0,28.0,19.7,13.1,23.6,19.34147802083333
2016.0,3.2,17.6,14.1,25.4,19.5967165625
2016.0,1.0,27.0,14.8,28.5,20.31903604166667
2016.0,0.0,31.3,14.6,35.0,21.356951666666674
2016.0,0.0,31.0,16.3,38.6,20.645086145833336
2016.0,0.0,27.9,18.7,38.6,22.409462812500006
2016.0,0.0,20.4,22.6,28.9,21.07981916666667
2016.0,27.2,7.2,22.9,27.1,20.190628333333333
2016.0,17.4,21.1,22.1,25.3,18.010059270833334
2016.0,0.4,10.8,20.0,24.8,16.31235166666666
