Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66168,2015,1,1,30.2,0
66168,2015,1,2,18.1,1
66168,2015,1,3,31.2,2
66168,2015,1,4,22.7,3
66168,2015,1,5,15.4,4
66168,2015,1,6,27.1,5
66168,2015,1,7,28.8,6
66168,2015,1,8,31.7,7
66168,2015,1,9,18.6,8
66168,2015,1,10,14.2,9
66168,2015,1,11,3.3,10
66168,2015,1,12,18.3,11
66168,2015,1,13,21.3,12
66168,2015,1,14,28.9,13
66168,2015,1,15,27.6,14
66168,2015,1,16,28.9,15
66168,2015,1,17,32.1,16
66168,2015,1,18,30.9,17
66168,2015,1,19,3.5,18
66168,2015,1,20,20.3,19
66168,2015,1,21,24.7,20
66168,2015,1,22,26.6,21
66168,2015,1,23,28.2,22
66168,2015,1,24,23.9,23
66168,2015,1,25,29.7,24
66168,2015,1,26,3.3,25
66168,2015,1,27,3.5,26
66168,2015,1,28,6.8,27
66168,2015,1,29,27.6,28
66168,2015,1,30,27.3,29
66168,2015,1,31,27.8,30
66168,2015,2,1,19.4,31
66168,2015,2,2,23.5,32
66168,2015,2,3,28.5,33
66168,2015,2,4,18.3,34
66168,2015,2,5,11.0,35
66168,2015,2,6,17.4,36
66168,2015,2,7,21.4,37
66168,2015,2,8,27.1,38
66168,2015,2,9,13.0,39
66168,2015,2,10,16.7,40
66168,2015,2,11,24.1,41
66168,2015,2,12,25.1,42
66168,2015,2,13,15.3,43
66168,2015,2,14,14.4,44
66168,2015,2,15,20.0,45
66168,2015,2,16,24.2,46
66168,2015,2,17,26.6,47
66168,2015,2,18,25.1,48
66168,2015,2,19,12.7,49
66168,2015,2,20,15.1,50
66168,2015,2,21,8.7,51
66168,2015,2,22,15.3,52
66168,2015,2,23,13.4,53
66168,2015,2,24,18.9,54
66168,2015,2,25,9.3,55
66168,2015,2,26,14.1,56
66168,2015,2,27,20.6,57
66168,2015,2,28,19.0,58
66168,2015,3,1,16.1,59
66168,2015,3,2,10.3,60
66168,2015,3,3,19.2,61
66168,2015,3,4,20.1,62
66168,2015,3,5,22.6,63
66168,2015,3,6,23.6,64
66168,2015,3,7,16.9,65
66168,2015,3,8,21.9,66
66168,2015,3,9,24.0,67
