Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
61282,2015,1,1,30.5,0
61282,2015,1,2,24.3,1
61282,2015,1,3,31.3,2
61282,2015,1,4,26.9,3
61282,2015,1,5,13.3,4
61282,2015,1,6,28.0,5
61282,2015,1,7,31.3,6
61282,2015,1,8,31.7,7
61282,2015,1,9,25.7,8
61282,2015,1,10,12.5,9
61282,2015,1,11,3.0,10
61282,2015,1,12,12.3,11
61282,2015,1,13,25.1,12
61282,2015,1,14,30.2,13
61282,2015,1,15,28.6,14
61282,2015,1,16,27.5,15
61282,2015,1,17,32.0,16
61282,2015,1,18,29.0,17
61282,2015,1,19,3.7,18
61282,2015,1,20,21.8,19
61282,2015,1,21,27.0,20
61282,2015,1,22,24.6,21
61282,2015,1,23,26.6,22
61282,2015,1,24,29.6,23
61282,2015,1,25,26.4,24
61282,2015,1,26,3.4,25
61282,2015,1,27,2.8,26
61282,2015,1,28,10.5,27
61282,2015,1,29,27.3,28
61282,2015,1,30,29.9,29
61282,2015,1,31,26.4,30
61282,2015,2,1,15.4,31
61282,2015,2,2,24.3,32
61282,2015,2,3,15.0,33
61282,2015,2,4,13.3,34
61282,2015,2,5,13.5,35
61282,2015,2,6,24.1,36
61282,2015,2,7,18.6,37
61282,2015,2,8,28.5,38
61282,2015,2,9,10.4,39
61282,2015,2,10,22.5,40
61282,2015,2,11,26.2,41
61282,2015,2,12,25.7,42
61282,2015,2,13,20.4,43
61282,2015,2,14,21.8,44
61282,2015,2,15,22.8,45
61282,2015,2,16,25.6,46
61282,2015,2,17,26.5,47
61282,2015,2,18,22.9,48
61282,2015,2,19,11.7,49
61282,2015,2,20,8.9,50
61282,2015,2,21,14.0,51
61282,2015,2,22,11.2,52
61282,2015,2,23,20.5,53
61282,2015,2,24,13.0,54
61282,2015,2,25,10.2,55
61282,2015,2,26,15.4,56
61282,2015,2,27,16.7,57
61282,2015,2,28,19.8,58
61282,2015,3,1,19.0,59
61282,2015,3,2,8.6,60
61282,2015,3,3,24.6,61
61282,2015,3,4,18.8,62
61282,2015,3,5,21.9,63
61282,2015,3,6,24.5,64
61282,2015,3,7,22.0,65
61282,2015,3,8,17.7,66
61282,2015,3,9,23.8,67
61282,2015,3,10,15.7,68
61282,2015,3,11,19.7,69
61282,2015,3,12,16.6,70
61282,2015,3,13,3.5,71
61282,2015,3,14,18.0,72
61282,2015,3,15,8.8,73
61282,2015,3,16,18.6,74
61282,2015,3,17,13.8,75
61282,2015,3,18,15.1,76
61282,2015,3,19,22.0,77
61282,2015,3,20,19.9,78
61282,2015,3,21,7.5,79
61282,2015,3,22,6.9,80
61282,2015,3,23,18.0,81
61282,2015,3,24,10.3,82
61282,2015,3,25,17.1,83
61282,2015,3,26,20.7,84
61282,2015,3,27,21.7,85
61282,2015,3,28,17.9,86
61282,2015,3,29,17.7,87
61282,2015,3,30,8.3,88
61282,2015,3,31,6.4,89
61282,2015,4,1,15.4,90
61282,2015,4,2,13.2,91
61282,2015,4,3,3.5,92
61282,2015,4,4,2.8,93
61282,2015,4,5,14.4,94
61282,2015,4,6,15.7,95
61282,2015,4,7,14.6,96
61282,2015,4,8,15.4,97
61282,2015,4,9,13.4,98
61282,2015,4,10,14.8,99
61282,2015,4,11,12.3,100
61282,2015,4,12,13.7,101
61282,2015,4,13,12.3,102
61282,2015,4,14,16.8,103
61282,2015,4,15,16.7,104
61282,2015,4,16,16.1,105
61282,2015,4,17,7.7,106
61282,2015,4,18,9.6,107
61282,2015,4,19,9.6,108
61282,2015,4,20,3.8,109
61282,2015,4,21,2.8,110
61282,2015,4,22,8.4,111
61282,2015,4,23,9.8,112
61282,2015,4,24,12.1,113
61282,2015,4,25,15.0,114
61282,2015,4,26,7.6,115
61282,2015,4,27,15.3,116
61282,2015,4,28,14.6,117
61282,2015,4,29,10.9,118
61282,2015,4,30,9.4,119
61282,2015,5,1,6.8,120
61282,2015,5,2,5.5,121
61282,2015,5,3,4.3,122
61282,2015,5,4,7.1,123
61282,2015,5,5,14.0,124
61282,2015,5,6,14.7,125
61282,2015,5,7,14.2,126
61282,2015,5,8,14.1,127
61282,2015,5,9,13.8,128
61282,2015,5,10,13.2,129
61282,2015,5,11,13.2,130
61282,2015,5,12,13.5,131
61282,2015,5,13,11.5,132
61282,2015,5,14,13.4,133
61282,2015,5,15,11.7,134
61282,2015,5,16,9.4,135
61282,2015,5,17,7.9,136
61282,2015,5,18,6.4,137
61282,2015,5,19,7.0,138
61282,2015,5,20,9.1,139
61282,2015,5,21,11.5,140
61282,2015,5,22,3.3,141
61282,2015,5,23,9.7,142
61282,2015,5,24,10.2,143
61282,2015,5,25,11.3,144
61282,2015,5,26,10.6,145
61282,2015,5,27,10.2,146
61282,2015,5,28,10.9,147
61282,2015,5,29,5.0,148
61282,2015,5,30,8.7,149
61282,2015,5,31,3.3,150
61282,2015,6,1,11.5,151
61282,2015,6,2,11.5,152
61282,2015,6,3,11.3,153
61282,2015,6,4,11.4,154
61282,2015,6,5,7.7,155
61282,2015,6,6,10.4,156
61282,2015,6,7,11.2,157
61282,2015,6,8,10.4,158
61282,2015,6,9,11.2,159
61282,2015,6,10,4.7,160
61282,2015,6,11,6.1,161
61282,2015,6,12,7.9,162
61282,2015,6,13,10.0,163
61282,2015,6,14,10.0,164
61282,2015,6,15,5.0,165
61282,2015,6,16,3.5,166
61282,2015,6,17,3.0,167
61282,2015,6,18,9.5,168
61282,2015,6,19,4.6,169
61282,2015,6,20,10.4,170
61282,2015,6,21,8.1,171
61282,2015,6,22,10.9,172
61282,2015,6,23,10.7,173
61282,2015,6,24,8.3,174
61282,2015,6,25,7.1,175
61282,2015,6,26,9.2,176
61282,2015,6,27,10.9,177
61282,2015,6,28,10.1,178
61282,2015,6,29,9.3,179
61282,2015,6,30,6.6,180
61282,2015,7,1,9.4,181
61282,2015,7,2,11.0,182
61282,2015,7,3,11.0,183
61282,2015,7,4,11.1,184
61282,2015,7,5,11.3,185
61282,2015,7,6,11.4,186
61282,2015,7,7,9.1,187
61282,2015,7,8,10.1,188
61282,2015,7,9,10.0,189
61282,2015,7,10,10.9,190
61282,2015,7,11,11.1,191
61282,2015,7,12,10.6,192
61282,2015,7,13,8.1,193
61282,2015,7,14,11.8,194
61282,2015,7,15,11.3,195
61282,2015,7,16,7.2,196
61282,2015,7,17,6.3,197
61282,2015,7,18,9.0,198
61282,2015,7,19,8.5,199
61282,2015,7,20,9.4,200
61282,2015,7,21,11.8,201
61282,2015,7,22,6.6,202
61282,2015,7,23,9.4,203
61282,2015,7,24,7.4,204
61282,2015,7,25,12.6,205
