year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,10.21354,9.8472,9.40408,9.68314,9.12697,8.44184,7.92589,7.57459,7.31384,7.21043,7.02854,6.71478,6.62165,6.74578,6.71636,6.57243,6.63895,6.60687,6.56877,6.67739,6.82193,6.84111,6.85666,6.94786,7.22815,7.48692,7.60568,7.90349,7.77168,7.7461,7.84453,7.76187,7.26158,7.00863,6.79768,6.08949,5.86126,5.47441,5.09373,4.79415,4.45512,3.81691,3.30353,3.75437,4.79839,4.18643,3.16908,2.79421,3.01032,3.45974,4.11336,3.18298,2.48246,3.65775,4.56978,4.26194,3.8681,4.04219,4.54951,5.05158,5.87764,6.42463,7.05023,7.51378,8.41778,9.20004,10.15956,10.516,10.85454,11.48876,12.06625,12.25736,12.21594,12.14126,11.83342,11.71701,11.39201,11.25573,10.90394,10.69629,10.52002,10.32028,10.12218,9.77003,9.65175,9.36103,9.91796,9.7316,9.45238,9.17939,9.04528,9.05742,10.11658,9.85461,9.44922,9.44366,7.565971458333333
2023,9.96508,9.54731,9.01748,9.34591,8.80795,8.12933,7.59839,7.4598,7.14322,6.88935,6.71207,6.54446,6.56867,6.55368,6.4642,6.41368,6.36146,6.39485,6.44742,6.63584,6.94705,7.21714,7.466,7.75593,8.19907,8.76133,9.1739,9.56131,9.29531,9.50739,9.30128,9.36917,9.26352,8.87103,8.78748,8.74662,8.55502,8.49772,7.62347,6.17612,4.76959,5.04675,5.34065,5.79984,7.58163,7.47767,6.65356,6.61649,6.40612,6.66826,6.3156,5.44965,4.82387,4.47731,4.53163,6.27785,6.16186,5.71734,6.18734,6.76062,6.62699,6.81086,7.33436,8.04626,8.9557,9.83054,10.41247,11.20407,11.76156,12.79381,12.26217,12.67799,12.7822,12.73286,12.67682,12.40088,11.8755,11.70215,11.4155,11.12318,10.75525,10.57266,10.36458,10.1726,10.0161,9.71679,9.67011,9.23324,9.83488,10.1724,9.8837,9.56105,10.35458,9.88872,10.02229,10.34823,8.4701321875
2023,10.9684,10.6163,10.23448,10.20877,9.91541,9.03664,8.54427,8.55071,8.30324,7.761,7.40843,7.08044,6.9062,6.74768,6.74108,6.7417,6.72765,6.67078,6.76861,6.69442,6.94908,7.24538,7.54528,7.89297,8.55998,9.07717,9.38444,9.69948,9.16708,9.01325,8.62508,8.16766,7.74157,7.09903,6.3874,5.68885,5.00638,4.42422,4.02651,3.5887,3.29857,2.99997,2.82201,2.74734,2.71855,2.71159,2.63518,2.45461,2.51036,2.51203,2.39318,2.70185,2.9402,3.14689,3.23707,3.32741,3.5946,3.69087,4.16272,4.65721,5.24408,5.74469,6.39668,7.13876,7.83137,8.62351,9.08985,9.68422,10.19584,10.81007,11.57309,12.00147,12.17585,12.14561,11.95856,11.74788,11.35989,11.18251,10.7391,10.59098,10.31811,10.26198,9.99876,9.72154,9.4756,9.2767,9.57884,9.20079,9.75535,10.0852,9.80167,9.42214,10.2571,9.86432,10.03936,10.29619,7.528808229166664
2023,11.04772,10.64735,10.17772,10.29761,9.83681,9.16942,8.54853,8.48673,8.03697,7.52114,7.21761,6.91199,6.73858,6.70967,6.63039,6.53591,6.55879,6.65337,6.66098,6.77797,7.02805,7.27081,7.55777,7.83377,8.37264,8.83586,9.31369,9.42382,9.0747,9.04308,8.66447,8.19119,7.63683,7.17807,6.52022,5.93121,5.43392,4.79981,4.16428,3.53283,3.19084,2.9764,2.76033,2.67532,2.55863,2.45417,2.43415,2.43646,2.30634,2.34856,2.36232,2.48736,2.59995,2.79191,3.00715,3.28687,3.55813,4.12795,4.52971,5.06972,5.64564,6.30248,6.93606,8.23235,8.51586,8.65307,9.15151,9.92995,10.41718,10.90744,11.52193,11.68216,12.1277,12.14575,12.05875,11.91543,11.59921,11.31806,10.94425,10.6187,10.39777,10.23781,10.0805,9.75343,9.49584,9.25009,9.33263,9.08103,9.61918,9.86738,9.44506,9.19655,9.9151,9.57621,9.65721,10.04394,7.5261225000000005
2023,10.58075,10.22451,9.73607,9.82354,9.40956,8.61996,8.07299,8.11675,7.65475,7.25501,6.95977,6.65322,6.65237,6.49733,6.39495,6.4212,6.406,6.39502,6.52893,6.5494,6.71572,6.9761,7.13886,7.4418,7.74193,8.50856,9.06171,9.5643,9.61129,10.22464,10.32718,10.25484,10.56941,10.60609,10.35691,10.39729,10.2296,10.06596,9.80403,9.03507,7.97899,7.83447,6.52153,5.75026,4.04787,3.45778,3.31733,3.20871,3.30753,4.79476,5.11485,4.67298,4.47424,4.9194,5.82768,7.50212,7.27037,7.53387,8.00569,8.46512,8.59011,8.96253,9.8345,10.43374,10.20977,9.69721,10.62471,11.18869,11.29471,11.83427,12.5091,12.71858,12.84389,12.74864,12.5823,12.24969,11.92087,11.85132,11.54597,11.23019,11.22198,11.00383,10.96766,10.59077,10.29784,9.7247,9.85286,9.49908,10.156,10.40511,10.01783,9.76633,10.51449,10.12429,10.0273,10.52158,8.782826666666667
2023,11.05928,10.63697,10.24553,10.31118,9.92249,9.0679,8.45501,8.47941,7.97893,7.50703,7.26464,6.94733,6.8526,6.75863,6.66829,6.6295,6.72699,6.85195,6.76388,6.88219,7.02088,7.31362,7.54536,8.05616,8.53951,9.12074,9.5443,9.70078,9.33841,9.25726,8.86783,8.59629,7.85296,7.29693,6.63878,6.12625,5.50363,4.74967,4.241,3.74205,3.19561,3.05354,2.97747,2.85948,2.66324,2.76066,2.75093,2.67151,2.5487,2.40655,2.50029,2.60714,2.75478,2.78254,2.91922,3.08189,3.30007,3.71119,3.99594,4.53627,5.03529,5.67121,6.3743,7.17073,7.88944,8.55165,9.26129,10.04628,10.63269,11.27844,11.9821,12.32361,12.37574,12.40719,12.43553,12.32901,12.03263,11.95189,11.71766,11.5889,11.52106,11.32084,11.33256,11.14626,10.85208,10.55946,10.73769,10.52332,11.09859,11.39397,10.87737,10.53264,11.40872,10.96292,10.95185,11.22861,7.819194583333332
2023,11.83308,11.44706,11.29328,11.15798,10.74761,10.03793,9.45985,8.99979,8.69435,8.66835,8.24907,7.88518,7.64189,7.52694,7.48624,7.3645,7.24508,7.22302,7.26282,7.28363,7.3493,7.58966,7.79582,7.93185,8.40863,9.11067,9.52536,9.93419,9.98189,10.05285,9.86578,9.8194,9.35377,9.12862,8.55846,7.89847,7.17416,6.78691,5.99684,5.33463,6.00341,6.46414,6.52651,5.73749,5.09364,3.29494,3.53786,3.33607,3.85939,2.89968,3.81362,5.00058,5.37094,5.59659,6.04836,6.02523,6.37595,4.33154,4.62686,4.56877,5.45958,6.2944,6.84284,7.92526,8.83458,9.5639,10.31252,10.71584,11.32332,12.38267,13.27274,13.49287,13.57649,13.45348,13.3711,13.1655,13.01598,12.83878,12.80654,12.60345,12.51954,12.43927,12.1061,11.90216,11.67552,11.42024,12.11789,11.95186,11.84825,11.38066,11.18944,10.96463,11.89285,11.63659,11.16321,10.88586,8.874608229166665
2023,11.48721,11.10188,10.62352,10.84304,10.37721,9.62164,9.13446,8.71052,8.39588,8.34561,8.10471,7.7559,7.63918,7.58295,7.58249,7.43971,7.49776,7.5578,7.59647,7.53238,7.69539,7.75217,7.84682,8.15417,8.42042,8.99935,9.56714,9.84138,9.93834,10.05224,10.01001,9.91021,9.52045,9.37871,8.93291,8.33087,7.65881,7.0214,6.23856,5.57206,4.97527,4.34959,3.8664,3.34078,3.08702,2.6434,2.34947,2.11764,2.01102,1.98716,1.92732,1.98891,2.04221,2.13749,2.24052,2.57597,2.89287,3.26427,3.74323,4.41379,5.11989,5.91477,6.64277,7.5295,8.29024,9.13626,9.88237,10.70883,11.35109,12.28432,12.98753,13.14692,13.5965,13.6342,13.38795,13.47826,13.31024,13.18098,12.98126,12.77099,12.55963,12.11485,11.88972,11.66033,11.31886,11.07708,11.63751,11.52814,11.13405,10.61059,10.32629,10.07978,10.9546,10.68126,10.20975,10.15593,8.343742708333332
2023,10.55703,10.1185,9.79908,10.04802,9.60596,8.96529,8.51959,8.46866,8.04976,7.80293,7.57385,7.34014,7.15018,6.96544,6.94398,6.94537,7.01587,7.05826,7.08669,7.33314,7.50357,7.84348,8.13962,8.47121,9.24694,9.78052,10.51402,10.72558,10.64387,10.89913,10.66514,10.34282,9.62773,9.18544,8.98477,8.4276,8.0186,6.81726,7.28419,7.83745,6.74828,6.33213,6.71289,6.05805,5.60477,6.87025,7.33445,6.52605,6.62266,6.20995,7.40084,6.60202,6.37479,7.08993,7.37311,6.8182,6.08368,5.83714,6.5248,7.82044,8.5005,9.06037,9.43523,9.95585,10.23575,10.87054,11.42223,12.11734,12.85166,13.63936,14.36255,14.87121,14.63195,14.64576,14.32826,14.03138,13.45898,13.28743,12.93391,12.58164,12.19205,11.94075,11.60433,11.22168,10.59818,10.23053,10.21966,9.92023,10.41209,10.72021,10.33218,9.96418,10.77811,10.52411,10.56362,10.93957,9.339942604166666
2023,11.56381,11.29442,10.86272,10.75263,10.36904,9.62174,9.10171,9.03054,8.53312,8.13275,7.71594,7.36514,7.15897,6.96547,6.87267,6.98923,7.00581,6.93658,7.05615,7.25142,7.55777,7.77006,7.97706,8.38603,8.69406,9.38985,9.94531,10.3651,9.97228,9.80454,10.20719,9.95246,9.64309,8.9801,9.38017,9.00943,8.85089,7.11789,5.73026,5.47144,5.90006,5.04683,6.67136,9.20424,8.81855,7.7133,8.42789,7.89305,5.25464,3.72809,4.32068,5.08845,6.34853,6.98458,7.5218,6.88507,6.16981,7.52096,8.24585,9.0451,8.79464,8.80189,8.66962,9.19736,9.64125,9.9337,10.94292,11.75023,12.2436,13.06654,13.54119,13.61065,13.53061,13.60687,13.38302,13.12832,12.81775,12.671,12.36726,12.2654,11.89863,11.6394,11.52685,10.99581,10.7792,10.35374,10.17814,9.84049,10.58562,11.0181,10.44186,10.16955,10.78283,10.54917,10.69979,11.05263,9.250513645833333
