Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.5,14.9,30.1,8.754389270833332
2015.0,0.0,24.3,22.4,29.5,9.4070384375
2015.0,0.4,31.3,20.4,30.3,8.978515729166668
2015.0,0.0,26.9,17.9,33.7,9.321305
2015.0,0.0,13.3,21.9,26.1,7.9007409375
2015.0,2.6,28.0,18.5,28.6,7.533250000000002
2015.0,0.0,31.3,16.9,29.2,7.639335208333331
2015.0,0.0,31.7,14.4,29.8,7.782896250000001
2015.0,0.0,25.7,17.8,32.5,8.289274583333338
2015.0,0.0,12.5,20.2,29.1,7.378503020833335
2015.0,6.2,3.0,21.0,23.0,7.428638958333333
2015.0,19.8,12.3,20.5,24.5,8.877440000000002
2015.0,6.0,25.1,19.7,27.9,7.4709709375
2015.0,4.0,30.2,23.0,35.0,8.537853854166668
2015.0,0.0,28.6,18.7,29.2,8.357445937500001
2015.0,0.0,27.5,19.9,30.6,8.381327812499999
2015.0,0.0,32.0,13.6,35.7,9.313354479166664
2015.0,0.0,29.0,15.1,29.2,8.954966041666669
2015.0,39.8,3.7,19.3,20.8,9.371838020833332
2015.0,46.4,21.8,17.9,26.2,9.124572604166664
2015.0,0.0,27.0,17.9,28.8,8.485697291666662
2015.0,0.0,24.6,18.5,28.1,8.567362395833332
2015.0,0.0,26.6,18.6,30.1,8.245801770833333
2015.0,0.0,29.6,19.6,29.7,8.488118541666665
2015.0,0.6,26.4,20.2,35.7,8.617250729166667
2015.0,2.2,3.4,20.8,21.7,8.675385312499998
2015.0,34.8,2.8,18.7,20.5,8.506614895833334
2015.0,45.0,10.5,17.1,21.8,8.240617604166664
2015.0,11.4,27.3,15.2,24.2,8.809512604166668
2015.0,0.0,29.9,10.1,27.1,8.855737916666664
2015.0,0.0,26.4,12.5,26.2,8.626370729166664
2015.0,11.0,15.4,18.0,25.4,7.973480624999998
2015.0,1.8,24.3,16.9,25.7,9.046692291666668
2015.0,14.4,15.0,15.6,24.8,9.138541354166668
2015.0,0.0,13.3,12.9,24.3,9.234541979166664
2015.0,2.4,13.5,16.6,24.7,9.8574184375
