year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2008,22.59157,21.35125,20.35899,21.24494,20.51846,19.40217,19.18955,18.5871,17.86063,17.47082,17.16959,17.01012,16.85065,16.72662,16.88609,16.7975,16.85065,16.67347,16.95697,17.06328,17.86063,18.48079,19.17183,20.60706,23.15858,25.44431,29.00581,30.08666,32.30152,33.86078,34.02025,33.91394,33.27606,32.69133,32.63818,32.67361,32.35467,32.1952,31.71679,31.94714,31.61048,31.78767,31.45101,31.3447,30.88401,30.91945,30.86629,30.88401,31.20295,30.61822,30.61822,30.81313,30.93716,30.61822,30.61822,30.51191,30.77769,30.77769,30.29928,30.54735,30.28157,30.22841,30.65366,30.38788,31.2561,31.41557,31.73451,32.46099,34.37463,37.42227,39.21188,39.69029,40.32817,40.98377,40.43448,40.87746,40.02695,39.28276,38.96382,37.93612,37.08562,36.39458,35.88073,35.11882,33.96709,33.15202,32.26608,31.09663,30.01578,30.01578,28.49196,26.63148,25.14309,24.77099,23.58383,22.73332,0,28.529405257731963
2008,22.53842,21.29809,20.14637,20.97915,19.93374,19.45533,19.13639,18.33904,17.57713,17.3645,17.25819,16.95697,16.7975,16.47856,16.83294,16.56715,16.72662,16.69118,16.83294,17.09872,17.54169,18.32132,19.08323,20.73109,23.05226,25.49747,28.59827,30.29928,32.42555,33.84306,34.64041,33.73675,33.20518,32.5673,32.0003,32.26608,32.08889,32.37239,31.66364,31.78767,31.98258,31.92942,31.82311,32.05345,31.68136,31.45101,31.61048,31.18523,31.30926,31.45101,31.46873,31.23839,31.07892,31.2561,31.04348,31.23839,31.23839,31.13207,31.02576,30.67138,31.14979,30.83085,30.88401,31.09663,31.57504,32.14205,32.37239,33.06343,34.17972,36.89071,39.58398,39.54854,39.58398,40.43448,40.39905,39.84976,39.31819,38.69803,38.30822,37.56403,36.83755,36.25283,35.65039,34.85304,33.7899,32.83308,32.14205,30.91945,29.75,28.91721,28.42108,26.41885,24.9659,24.80643,23.42436,22.59157,1,28.553050000000002
2008,22.36123,21.5816,20.46531,20.78425,20.5539,19.72111,18.97692,18.48079,18.05554,17.68344,17.04556,17.01012,16.69118,16.99241,16.514,16.72662,16.46084,16.514,16.85065,17.09872,17.48853,18.07326,19.3313,20.50074,22.37895,24.71784,27.62373,29.23615,31.6282,33.01027,33.68359,33.41781,32.88624,32.88624,32.58502,32.26608,31.87626,32.24836,31.92942,31.76995,31.92942,32.0003,31.71679,31.87626,31.45101,31.50417,31.52189,31.45101,31.89398,31.82311,31.92942,31.92942,31.73451,31.66364,31.50417,31.71679,31.73451,31.61048,31.46873,31.39785,31.20295,31.50417,31.41557,31.89398,31.84083,32.0003,32.37239,32.90396,34.17972,36.4123,38.11331,39.33591,39.70801,40.00923,40.08011,39.6017,38.52084,37.82981,37.77665,36.87299,35.96933,34.76444,34.92391,33.75447,33.04571,31.78767,31.02576,29.69684,28.89949,28.70459,28.1553,26.45429,25.07221,24.61152,23.7433,22.30807,2,28.43768268041237
2008,22.68017,21.45756,20.46531,21.10319,20.51846,19.86286,19.03008,18.42763,17.84291,17.43538,17.3645,16.95697,16.7975,16.69118,16.63803,16.46084,16.53171,16.69118,16.7975,16.90381,17.78976,18.00238,18.92376,20.19952,22.75104,24.66468,26.9327,28.59827,31.02576,32.95712,33.31149,33.47096,32.90396,32.77993,32.77993,32.74449,32.9394,33.15202,33.20518,32.9394,33.01027,33.70131,33.94937,33.64815,34.21516,33.75447,33.48868,33.91394,33.68359,33.70131,33.32921,33.595,33.32921,33.20518,33.54184,33.36465,33.36465,33.43553,33.38237,32.69133,33.04571,32.8508,32.83308,32.72677,32.77993,33.38237,33.52412,34.28603,35.7567,37.7235,39.53082,39.92064,39.74345,40.13326,39.28276,38.75119,37.7235,37.31596,36.34142,35.70354,34.90619,34.28603,33.89622,32.77993,31.87626,31.45101,30.38788,29.80316,29.44878,29.34246,29.23615,27.5883,26.36569,26.24166,25.2494,23.97364,3,28.99197989690724
2008,24.16855,22.85735,21.90054,22.27263,21.67019,20.73109,19.9869,19.49077,18.53395,18.28588,17.89607,17.54169,17.48853,17.01012,17.32906,17.06328,17.04556,17.32906,17.01012,17.31135,17.63029,17.89607,18.23273,18.79973,19.29586,19.88058,20.8374,21.93597,23.60155,24.77099,25.94044,27.46426,28.47424,29.64369,30.24613,30.86629,31.82311,31.82311,32.30152,32.62046,32.77993,32.24836,32.47871,32.53186,31.92942,31.61048,31.55732,31.18523,31.13207,30.77769,30.67138,30.24613,29.85631,30.0335,30.29928,30.0335,29.82087,29.64369,29.76772,29.60825,29.3779,29.34246,29.44878,29.71456,29.96263,30.38788,30.75998,31.46873,33.25834,36.14651,37.95384,38.89294,39.15872,39.01697,38.43225,37.42227,36.30598,35.3846,34.60497,33.73675,32.79765,32.5673,31.23839,30.4056,29.6614,29.50193,28.74002,27.96039,28.20846,28.17302,28.06671,26.95042,25.86956,25.92272,25.03678,23.92049,4,27.268213505154637
2008,23.90277,23.22945,21.79422,22.09544,21.72335,20.76653,19.91602,19.13639,18.60482,17.91379,17.91379,17.43538,17.31135,16.93925,16.72662,16.74434,16.69118,16.72662,16.77978,16.63803,16.85065,17.16959,17.43538,17.70116,18.3922,18.49851,19.08323,19.6148,20.60706,22.25491,22.62701,24.07996,25.23168,26.13535,26.98585,27.73005,28.68687,29.18299,29.76772,30.0335,30.4056,30.06894,30.17525,30.24613,30.0335,29.82087,29.71456,29.53737,29.34246,28.54512,28.38565,27.96039,28.26161,27.90724,27.96039,27.85408,27.42883,27.62373,27.62373,27.64145,27.16304,27.26936,27.64145,27.41111,27.99583,28.49196,29.50193,30.60051,32.83308,35.3846,37.77665,38.8575,39.21188,39.63713,39.44223,38.91066,38.16647,37.40456,37.10333,35.86301,35.11882,34.5341,33.41781,32.67361,31.73451,30.56507,29.69684,27.73005,27.85408,27.48198,26.9327,25.49747,24.29258,24.18627,23.28261,22.27263,5,26.314761958762897
2008,22.04229,20.926,20.19952,20.67793,20.23496,19.54392,19.11867,18.49851,17.78976,17.57713,17.01012,17.01012,16.74434,16.58487,16.4254,16.46084,16.35453,16.56715,16.74434,17.04556,17.59485,18.1087,18.92376,20.02233,22.36123,24.75328,27.51742,29.11212,31.76995,32.99255,33.68359,33.47096,32.88624,32.53186,32.42555,31.82311,32.24836,32.03573,32.15977,32.08889,32.21292,32.05345,31.87626,31.61048,31.46873,31.57504,31.6282,31.39785,31.04348,31.30926,30.86629,31.13207,31.18523,31.13207,30.99032,30.99032,30.70682,30.99032,30.33472,30.35244,30.0335,30.06894,30.33472,30.44104,30.81313,31.94714,32.31924,33.43553,35.54407,38.09559,39.44223,40.5408,41.09008,41.49762,40.96605,41.35587,40.29273,39.58398,38.96382,38.41453,37.31596,36.62492,35.43776,35.24285,33.64815,32.88624,31.6282,30.54735,29.21843,28.70459,27.90724,25.9936,24.71784,24.55837,23.6547,22.21948,6,28.54029659793815
2008,21.98913,21.08547,20.30584,20.94372,20.30584,19.66796,19.17183,18.48079,17.96694,17.3645,17.31135,16.74434,16.74434,16.63803,16.72662,16.83294,16.67347,16.53171,16.69118,16.88609,17.48853,18.05554,18.87061,20.50074,23.01682,25.23168,28.33249,29.76772,32.08889,33.32921,34.00253,33.27606,33.25834,32.63818,32.37239,32.15977,32.42555,32.30152,32.21292,32.62046,32.14205,32.21292,32.24836,32.10661,31.82311,32.0003,32.05345,31.84083,31.84083,31.73451,31.68136,32.10661,31.6282,31.52189,31.57504,31.82311,32.0003,31.45101,31.82311,31.29154,31.2561,31.36242,31.73451,31.71679,31.94714,32.35467,33.15202,34.00253,36.55405,38.46769,39.54854,40.22186,40.22186,40.50536,40.50536,40.71799,39.90292,39.33591,38.48541,38.09559,36.99702,36.46545,35.40232,34.8176,33.595,32.5673,31.87626,30.60051,29.87403,29.27159,28.17302,26.5606,25.2494,24.80643,23.86733,22.41438,7,28.820042680412374
2008,22.37895,21.26266,20.28812,20.81968,20.41215,19.77427,19.27814,18.55167,18.05554,17.43538,17.38222,17.16959,17.25819,16.7975,16.88609,16.85065,16.74434,16.62031,17.06328,17.47082,17.89607,18.37448,19.01236,20.67793,23.33576,25.14309,28.20846,29.87403,32.47871,34.21516,34.79988,34.42778,34.00253,33.11659,33.09887,33.09887,33.7899,33.73675,33.57728,33.16974,33.36465,33.52412,33.25834,32.90396,33.04571,32.74449,32.47871,32.37239,32.35467,32.15977,32.46099,32.24836,31.92942,31.61048,31.55732,31.89398,31.76995,32.0003,31.71679,31.41557,31.30926,31.82311,32.30152,32.30152,32.9394,33.91394,34.85304,35.93389,37.95384,38.9461,40.08011,40.75342,41.14324,41.30271,40.98377,40.96605,40.06239,39.17644,38.89294,37.61718,36.92615,36.14651,35.96933,35.17198,33.73675,32.79765,31.98258,30.91945,29.6614,29.43106,28.70459,26.72007,25.338,25.28484,24.0268,22.59157,8,29.257797525773196
2008,22.91051,21.56388,20.39443,21.15634,20.57162,19.72111,19.06551,18.64026,18.0201,17.75432,17.63029,17.32906,17.06328,16.77978,16.88609,16.74434,16.77978,16.7975,16.99241,16.95697,17.3645,18.21501,19.38445,20.44759,22.85735,25.40887,28.49196,30.61822,33.43553,35.1897,35.93389,35.70354,35.49092,34.92391,34.10884,34.12656,33.96709,34.02025,33.41781,33.75447,33.41781,33.04571,33.01027,32.90396,32.69133,32.24836,32.42555,32.0003,32.10661,31.76995,31.89398,31.68136,31.23839,31.3447,31.41557,31.20295,31.09663,31.2561,30.83085,30.24613,30.49419,30.38788,31.18523,31.09663,31.41557,31.46873,32.63818,33.89622,35.91617,37.98928,39.38907,40.22186,40.91289,41.23183,40.87746,40.77114,40.18642,39.26504,38.37909,38.06015,37.29824,36.67808,35.98704,35.33145,34.10884,33.16974,32.26608,30.93716,30.08666,29.71456,28.75774,26.9327,25.60378,25.44431,24.32802,23.10542,9,29.164715463917524
