Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.6,21.0,24.4,44.04521875
2015.0,0.0,18.6,21.4,24.4,47.65917864583332
2015.0,0.0,31.5,21.3,25.1,46.148345312500005
2015.0,0.0,25.8,22.4,24.9,43.3014109375
2015.0,0.0,15.5,20.7,23.4,42.716990625000015
2015.0,0.0,28.7,21.1,25.1,43.39546885416667
2015.0,0.0,31.2,22.4,25.4,42.75004854166668
2015.0,0.0,31.9,21.0,24.3,42.74139062499999
2015.0,0.0,26.3,21.9,25.8,43.05032645833333
2015.0,0.0,14.8,21.7,25.2,41.786838020833336
2015.0,22.0,3.0,20.9,22.3,41.00131364583334
2015.0,8.0,9.7,20.3,22.7,41.76105989583333
2015.0,4.8,22.2,19.1,27.6,41.62725354166667
2015.0,0.2,30.6,20.7,31.8,42.4781065625
2015.0,0.0,30.4,23.3,25.5,43.30711708333333
2015.0,0.0,27.2,21.5,26.4,43.33486250000001
2015.0,0.0,32.0,22.7,31.7,43.521208541666674
2015.0,0.0,30.1,21.6,24.7,43.60168906250001
2015.0,0.2,4.8,20.9,22.1,45.49682437499999
2015.0,8.6,20.1,18.2,23.6,33.259418125
2015.0,24.8,29.2,19.0,25.3,34.05399354166668
2015.0,0.4,29.2,21.9,25.3,32.695659166666665
2015.0,0.0,28.7,22.3,24.9,33.91900583333332
2015.0,0.0,27.9,22.4,25.5,35.37986
2015.0,1.2,27.2,22.1,29.2,35.85998927083334
2015.0,0.0,3.3,20.2,22.2,35.31630135416666
2015.0,38.0,3.0,18.7,20.8,36.91902958333333
2015.0,75.0,4.8,17.6,21.0,37.49420135416666
2015.0,17.4,28.8,16.0,21.0,36.127799375000016
2015.0,0.0,29.0,16.5,23.7,35.98769625
2015.0,0.0,28.8,17.8,23.8,32.8095909375
2015.0,0.0,17.5,20.2,23.4,47.662524375
2015.0,3.8,25.1,18.3,21.9,39.362576354166656
2015.0,1.4,22.1,18.1,23.2,40.149476875000005
2015.0,1.6,16.7,18.5,22.3,42.60463302083332
2015.0,8.8,10.2,18.6,22.3,38.82951354166666
2015.0,0.4,16.5,18.8,23.5,38.72404229166666
2015.0,0.0,19.8,19.7,23.7,41.59675322916666
2015.0,0.0,28.1,19.6,27.3,41.22839125
2015.0,0.0,7.6,22.2,24.5,43.6715440625
2015.0,0.8,22.4,22.2,25.7,45.73669229166666
2015.0,0.0,25.8,23.2,25.4,46.30871583333335
2015.0,0.0,25.9,21.8,26.1,44.00133802083332
2015.0,4.8,16.4,21.1,25.4,45.08241708333333
2015.0,4.8,18.5,21.4,24.9,43.14989479166667
2015.0,0.8,23.7,21.3,25.8,45.64066666666668
2015.0,0.0,25.5,22.3,24.9,45.755976041666656
2015.0,0.0,26.5,22.2,24.7,40.506819375
2015.0,0.0,26.3,22.1,24.3,35.28450989583333
2015.0,0.4,19.0,21.9,25.1,35.97736010416667
2015.0,0.0,12.4,21.8,25.8,33.201285416666664
2015.0,2.5,11.9,20.5,24.5,34.16332802083334
2015.0,2.0,20.0,21.1,24.7,35.36495572916666
2015.0,0.6,18.8,21.7,24.2,37.736658125000005
