Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.6,21.0,24.4,25.40145729166668
2015.0,0.0,18.6,21.4,24.4,23.184584999999995
2015.0,0.0,31.5,21.3,25.1,22.97184562500001
2015.0,0.0,25.8,22.4,24.9,22.793518750000004
2015.0,0.0,15.5,20.7,23.4,23.201622291666663
2015.0,0.0,28.7,21.1,25.1,17.23384833333333
2015.0,0.0,31.2,22.4,25.4,16.52662916666667
2015.0,0.0,31.9,21.0,24.3,22.877051458333327
2015.0,0.0,26.3,21.9,25.8,23.419535729166668
2015.0,0.0,14.8,21.7,25.2,23.689483020833336
2015.0,20.0,3.0,20.9,22.3,23.85763239583333
2015.0,15.0,9.7,20.3,22.7,23.00384447916667
2015.0,4.0,22.2,19.1,27.6,16.643179166666663
2015.0,0.0,30.6,20.7,31.8,15.691067395833334
2015.0,0.0,30.4,23.3,25.5,17.337295625000024
2015.0,0.0,27.2,21.5,26.4,25.65542489583331
2015.0,0.0,32.0,22.7,31.7,30.11535406250001
2015.0,0.0,30.1,21.6,24.7,22.900039583333346
2015.0,0.0,4.8,20.9,22.1,17.837047083333335
2015.0,5.0,20.1,18.2,23.6,24.361299375
2015.0,11.0,29.2,19.0,25.3,24.14127145833334
2015.0,0.0,29.2,21.9,25.3,23.25901604166667
2015.0,0.0,28.7,22.3,24.9,23.944443645833346
2015.0,0.0,27.9,22.4,25.5,17.617565312499995
2015.0,0.0,27.2,22.1,29.2,17.386512187500003
2015.0,0.0,3.3,20.2,22.2,25.089924374999985
2015.0,42.0,3.0,18.7,20.8,25.19246812499999
2015.0,103.0,4.8,17.6,21.0,26.229724583333347
2015.0,10.0,28.8,16.0,21.0,23.553178854166664
2015.0,0.0,29.0,16.5,23.7,22.84378260416668
2015.0,0.0,28.8,17.8,23.8,17.252819374999998
2015.0,0.0,17.5,20.2,23.4,16.784441770833336
2015.0,5.0,25.1,18.3,21.9,23.27898656250001
2015.0,0.0,22.1,18.1,23.2,22.937511770833343
2015.0,0.0,16.7,18.5,22.3,20.308994583333337
2015.0,11.0,10.2,18.6,22.3,19.06886
2015.0,0.0,16.5,18.8,23.5,28.56347614583333
2015.0,0.0,19.8,19.7,23.7,26.183225104166667
2015.0,0.0,28.1,19.6,27.3,25.898968749999995
2015.0,0.0,7.6,22.2,24.5,25.659651250000007
2015.0,0.0,22.4,22.2,25.7,25.289325520833334
2015.0,2.0,25.8,23.2,25.4,17.06901875
2015.0,0.0,25.9,21.8,26.1,16.294257500000008
2015.0,6.0,16.4,21.1,25.4,22.69186979166665
2015.0,2.0,18.5,21.4,24.9,22.706344375
2015.0,1.0,23.7,21.3,25.8,22.98351333333333
2015.0,0.0,25.5,22.3,24.9,23.156068854166666
2015.0,0.0,26.5,22.2,24.7,17.15636822916667
2015.0,0.0,26.3,22.1,24.3,16.327207604166674
2015.0,0.0,19.0,21.9,25.1,15.838744687500002
2015.0,0.0,12.4,21.8,25.8,30.895975416666666
2015.0,5.0,11.9,20.5,24.5,29.07508427083333
2015.0,5.0,20.0,21.1,24.7,19.273473229166665
2015.0,0.0,18.8,21.7,24.2,18.178687291666662
2015.0,0.0,14.3,21.9,23.5,28.26557604166668
2015.0,0.0,9.2,20.8,22.5,27.615840520833327
2015.0,6.0,14.9,19.7,23.4,27.866972395833344
2015.0,5.0,20.2,20.4,25.2,28.670795625
2015.0,3.0,20.4,20.5,24.1,27.87563208333333
2015.0,0.0,18.1,21.7,29.8,19.250775104166674
2015.0,9.0,12.0,19.1,22.9,18.438902708333337
2015.0,1.0,20.1,18.2,23.3,28.93860333333332
2015.0,0.0,17.6,21.0,26.1,28.779841979166672
2015.0,0.0,20.7,21.2,25.3,29.64144729166668
2015.0,0.0,24.0,17.0,28.6,29.611896979166666
2015.0,0.0,14.9,18.7,23.2,27.950159479166658
2015.0,0.0,17.4,18.7,24.1,26.22419239583333
2015.0,0.0,23.7,20.8,28.8,26.86245979166668
2015.0,0.0,8.9,21.6,24.7,26.9666590625
2015.0,0.0,16.9,21.7,27.0,27.638205625
2015.0,1.0,19.0,20.4,25.2,19.446944270833324
2015.0,0.0,3.0,20.5,21.7,19.57740458333333
2015.0,2.0,19.7,16.8,23.2,29.62459166666665
2015.0,0.0,11.2,18.5,22.6,27.1213290625
2015.0,2.0,12.3,16.4,22.2,24.80992614583333
2015.0,0.0,11.9,17.0,22.5,25.464689583333325
2015.0,0.0,14.5,19.9,25.4,28.0808353125
2015.0,0.0,21.4,20.7,26.0,19.8721475
2015.0,0.0,16.8,20.4,27.2,18.908566458333333
2015.0,3.0,4.7,18.9,22.6,29.204501041666663
2015.0,2.0,8.0,18.8,23.5,28.80877666666666
2015.0,1.0,17.9,19.5,23.6,29.34712718749999
