year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2019,32.94735,34.22596,32.33584,32.68792,33.02147,31.81698,30.40866,28.96328,27.68467,26.22075,25.27569,24.44182,24.40476,23.42264,22.27374,22.14403,22.9779,22.03284,22.44052,22.68141,22.86672,22.90378,23.44117,24.46035,27.23993,29.85274,32.07641,32.76204,32.59527,33.76269,34.33714,34.65216,34.02212,33.07706,31.48343,30.5569,30.14923,30.11217,29.55625,28.62973,27.7032,27.42524,26.88785,26.62842,26.22075,25.51659,25.42394,25.27569,25.36835,25.29422,25.73896,26.03545,26.81373,26.66549,26.66549,26.72108,26.90638,26.85079,26.96197,27.05463,27.98116,28.53707,29.50066,30.07511,30.18629,30.44572,31.35372,31.53902,32.44702,33.52179,34.89306,36.41256,37.22791,37.56146,37.72823,38.04325,37.91354,37.35762,37.35762,36.72758,36.35697,35.91224,35.7084,34.68922,33.89241,33.65151,33.35502,31.76139,33.91094,35.35632,34.22596,32.20612,30.89045,31.31666,32.94735,31.8911,30.041522812500006
2019,33.52179,34.1333,32.16906,32.26172,33.24384,31.2796,29.77862,28.33324,26.46165,25.36835,24.83096,23.36704,23.16321,22.99643,22.51464,22.27374,22.21815,22.34786,21.71782,22.27374,22.51464,22.64435,23.2188,24.36769,26.62842,29.29683,31.31666,32.6138,32.81763,33.26237,33.05853,33.39208,32.98441,31.57609,31.16841,31.72433,31.14988,29.98246,30.68662,29.29683,29.74156,29.9454,28.70385,28.50001,28.70385,28.25911,26.92491,25.75749,26.9805,25.94279,26.9805,28.7965,28.85209,29.38948,29.31536,28.11087,28.81503,29.35242,29.87127,29.00034,29.11152,28.48148,29.14858,30.07511,30.63103,30.59397,30.98311,31.02017,31.18694,32.72498,34.41126,35.44897,36.00489,36.83877,37.65411,37.9506,37.46881,37.56146,37.63558,37.78383,37.65411,37.41321,36.54228,35.31926,33.948,33.50326,33.41061,32.6138,34.05918,35.15248,34.28155,33.07706,31.90964,32.3729,33.44767,32.78057,30.376038229166667
2019,33.7071,34.07771,32.31731,32.63233,33.07706,31.59462,30.00099,28.24058,26.88785,25.83161,24.86802,23.83031,23.27439,22.73701,23.2188,22.68141,21.82901,21.97725,21.34721,21.60664,22.68141,22.9779,23.34851,23.96002,26.14663,28.61119,30.59397,31.55755,30.96458,32.31731,32.6138,32.96588,32.63233,31.77992,31.65021,30.81633,30.6125,30.16776,29.13005,28.1294,27.18434,27.20287,27.29552,26.94344,26.73961,27.12875,26.7952,27.27699,26.92491,27.14728,27.36965,27.09169,27.62907,26.99904,27.2214,27.38818,27.74026,28.64826,29.14858,29.33389,29.31536,29.37095,29.87127,30.11217,30.29748,30.46425,30.68662,31.02017,31.92817,33.35502,34.68922,35.41191,36.00489,35.87518,36.52375,37.15379,36.72758,35.9493,35.81958,35.89371,35.83812,34.81893,34.00359,33.55886,32.91029,32.20612,32.09494,31.63168,32.7991,33.67004,33.76269,32.39143,30.63103,31.00164,31.66874,31.13135,29.78325322916666
2019,32.55821,33.20678,31.92817,32.44702,32.72498,31.00164,29.51919,28.57413,27.38818,26.20222,25.16451,24.1268,24.1268,22.99643,22.66288,22.0699,21.10632,21.25456,21.42133,19.95742,20.42068,21.31015,21.69929,23.08909,25.23863,27.49936,28.77797,29.53772,29.11152,30.46425,31.07576,31.50196,31.68727,31.33519,31.14988,30.70515,30.3716,30.53837,30.14923,29.79715,30.01952,29.14858,29.11152,28.24058,27.14728,27.55495,27.14728,28.25911,29.72303,28.5556,27.7032,28.22205,28.27764,28.59266,27.62907,27.72173,27.57348,27.11022,27.11022,26.81373,26.62842,27.01757,26.94344,27.77732,27.75879,28.44442,29.0374,30.09364,30.05658,31.18694,32.3729,33.57739,34.02212,34.07771,34.42979,34.20743,33.79975,33.07706,32.94735,32.7991,33.13265,32.70645,32.39143,31.9467,31.52049,30.96458,30.22335,30.57543,32.74351,33.55886,33.16971,31.35372,30.03805,31.26107,32.65086,32.16906,29.043960208333345
2019,34.00359,34.42979,32.07641,32.35437,32.29878,31.26107,29.96393,29.14858,27.62907,26.85079,25.68337,25.10892,24.46035,23.47823,24.10827,23.53382,22.66288,22.62582,22.23668,21.90313,22.23668,22.3108,22.10697,22.05137,22.84819,23.57088,25.09039,26.27634,27.18434,28.50001,29.29683,29.38948,30.59397,31.18694,31.39078,31.39078,31.48343,31.85404,31.18694,30.27895,29.61185,29.24123,28.66679,28.01822,27.38818,26.99904,26.29487,26.5543,26.53577,26.9805,27.09169,26.53577,26.57283,26.9805,27.09169,26.42459,26.48018,26.53577,27.11022,27.14728,27.31405,27.53642,27.72173,28.16646,28.48148,29.13005,29.81568,30.27895,31.39078,33.09559,35.07836,35.80105,36.6164,36.50522,36.87583,37.87648,37.37615,36.44962,35.63428,35.26367,34.856,34.57804,34.20743,33.57739,32.89176,32.22466,32.05788,32.07641,34.02212,34.48538,34.07771,32.74351,32.29878,33.09559,35.07836,33.89241,29.50915531249998
2019,35.31926,36.35697,34.856,35.20808,35.76399,34.20743,32.87322,30.96458,29.05593,27.59201,26.62842,25.92426,24.73831,24.29357,22.73701,22.60729,22.58876,22.08844,21.92166,21.34721,21.49546,21.79195,21.4028,21.4028,22.10697,22.86672,24.29357,25.16451,26.59136,27.92556,28.88915,29.79715,30.89045,31.76139,31.72433,31.48343,31.65021,31.13135,30.6125,30.35307,30.09364,29.59331,28.57413,27.42524,27.14728,26.369,26.88785,27.29552,26.48018,25.94279,25.461,25.47953,25.44247,25.16451,25.92426,26.18369,26.29487,27.23993,26.90638,27.48083,27.96262,28.33324,28.90768,28.70385,29.50066,30.59397,31.55755,32.46555,32.66939,34.54098,36.26432,36.82024,37.82089,39.11803,39.24774,39.72953,38.80301,38.6177,37.7097,36.41256,36.8573,36.39403,35.68987,35.26367,34.89306,34.02212,33.42914,32.70645,34.81893,35.31926,34.76334,33.13265,31.57609,32.20612,33.83681,32.07641,30.005812499999994
2019,33.22531,33.81828,32.09494,32.46555,33.65151,32.42849,31.29813,29.9454,28.46295,27.42524,26.49871,26.05398,25.73896,25.0348,23.77472,23.99708,23.79325,23.34851,23.01496,23.10762,23.94149,24.3121,25.01626,25.60924,28.09234,30.68662,33.31796,34.48538,34.52245,35.02277,35.18955,35.15248,34.59657,33.24384,31.79845,31.40931,30.63103,30.07511,29.2783,29.09299,28.87062,28.40736,28.22205,27.77732,27.59201,27.48083,27.62907,27.48083,27.77732,28.27764,28.31471,28.64826,28.03675,28.01822,28.27764,28.03675,27.33259,27.48083,27.77732,28.77797,28.83356,28.7965,29.07446,29.18564,29.87127,29.90833,30.48278,31.52049,32.52114,33.79975,35.39338,36.70905,37.22791,38.21003,38.58064,38.41386,38.45093,37.78383,37.89501,37.35762,37.11672,36.72758,36.39403,35.89371,35.50457,34.57804,34.41126,33.65151,34.70775,35.44897,34.8004,33.15118,32.02082,32.39143,33.78122,33.2809,30.924426979166668
2019,34.26302,34.81893,34.00359,34.67069,35.30073,33.29943,32.11347,30.22335,29.25976,27.90703,26.16516,25.14598,24.25651,23.16321,22.7926,22.84819,22.99643,22.77407,22.23668,22.32933,22.71847,23.05202,23.77472,24.7939,26.86932,29.72303,31.79845,33.07706,32.57674,32.85469,33.68857,33.59592,33.50326,32.7991,32.09494,31.72433,31.11282,30.3716,30.29748,29.37095,28.44442,28.25911,27.44377,26.57283,26.75814,27.7032,28.18499,27.59201,29.31536,28.88915,28.87062,26.9805,27.40671,27.35112,26.96197,27.68467,27.85144,27.75879,27.33259,27.51789,27.57348,28.33324,28.66679,29.2783,29.4636,29.64891,30.68662,31.81698,32.92882,34.17036,35.33779,35.83812,36.24579,37.26497,38.13591,37.96913,37.19085,37.06113,36.48669,35.63428,35.39338,35.22661,35.2822,34.41126,34.52245,33.74416,33.48473,32.46555,33.91094,35.93077,35.61575,34.09624,32.63233,32.92882,34.89306,33.26237,30.549762395833337
2019,34.26302,35.05983,33.83681,34.72628,35.22661,33.05853,31.09429,29.16711,28.33324,27.2214,26.23928,24.49741,23.8859,23.73766,23.71913,23.27439,23.40411,22.99643,23.29292,23.47823,24.27504,24.84949,25.16451,25.81308,28.25911,30.96458,33.13265,34.00359,34.30008,35.22661,35.15248,34.55951,33.81828,33.33649,32.46555,31.90964,31.68727,31.65021,30.5569,29.83421,29.61185,29.33389,29.31536,28.46295,28.18499,27.83291,28.1294,28.24058,27.90703,27.48083,27.66614,28.64826,28.7965,29.20417,28.27764,27.74026,27.38818,27.48083,27.53642,27.40671,27.48083,28.07381,28.11087,28.88915,29.85274,30.51984,30.40866,31.39078,31.85404,32.91029,34.41126,35.61575,36.30138,36.57934,36.69052,37.00554,36.93142,36.56081,35.4675,35.07836,35.44897,35.05983,35.30073,34.70775,34.44832,34.30008,34.04065,32.59527,34.02212,34.35567,34.50391,32.39143,31.2796,31.63168,33.20678,32.44702,30.687390208333326
2019,33.48473,34.856,32.94735,33.07706,33.15118,31.55755,30.20482,28.92621,27.59201,26.44312,25.25716,24.71978,23.75619,23.68206,23.66353,23.23733,22.66288,22.58876,22.77407,22.9779,23.16321,24.88655,24.88655,25.53512,27.86997,30.39013,32.87322,34.39273,34.28155,34.856,34.70775,34.26302,34.78187,34.31861,33.61445,32.52114,32.6138,32.11347,32.18759,31.16841,28.87062,28.81503,29.31536,28.31471,28.20352,28.03675,27.90703,27.85144,28.22205,28.3703,29.18564,29.00034,28.90768,28.75944,28.31471,28.24058,29.33389,29.38948,28.57413,28.40736,28.83356,29.74156,29.96393,30.40866,30.87192,30.83486,31.74286,32.70645,33.68857,34.70775,35.39338,36.1902,36.76464,37.74676,38.71035,39.45158,39.43305,39.48864,39.7666,40.08162,39.50717,39.5257,39.56276,39.72953,38.67329,37.74676,36.35697,35.20808,36.30138,37.78383,36.48669,34.81893,33.20678,33.72563,35.96783,35.26367,31.577050312499992
