year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,index,averagemwh
2022,28.552074759,29.277741026,28.19780078,27.594290447,28.072915335,26.86226661,25.430491694,23.766137241,22.7232256,21.376599818,20.732460072,19.963038291,19.300291139,19.030898898,18.588265084,18.157573928,18.143990473,18.143990473,18.143990473,18.143990473,18.143990473,18.143990473,18.143990473,18.350133763,19.378734338,20.226751981,21.073671082,21.950432385,22.115322001,22.793013829,23.307983083,23.429931429,23.429931429,23.853271599,23.950104768,23.757872641,23.287407208,21.726269521,20.419661664,21.457559925,22.659966485,23.032253986,21.307281872,23.326405929,22.262143857,20.461817438,18.949124842,19.543696389,22.177352011,20.981247283,21.145246609,19.902466761,18.67620121,17.45509876,19.90929665,21.625146492,22.376617653,21.45957223,19.950838085,20.180478559,22.01787292,22.108911267,20.963864798,22.098034073,22.850262648,23.751436287,24.664867017,25.829819284,27.358369077,28.828284524,30.320846074,31.007575966,31.375967974,31.375967974,30.803203684,30.285159235,30.067103239,29.609795869,29.370735143,28.335424985,28.149424958,28.149424958,27.648766566,26.766293187,26.491724424,26.491724424,26.491724424,26.033512548,26.786404536,27.873110381,28.520872742,27.224846433,26.536844472,26.498090898,27.911553389,27.735887744,0,23.452144514453614
2022,27.939211982,29.072219905,28.121522828,27.848141685,28.659170116,27.189425992,25.277843306,23.980520141,22.546863018,21.237523316,20.230361602,19.399424651,19.226909839,18.83475286,18.12898893,18.064390383,18.064390383,17.836065813,17.620115771,18.020625428,18.119924709,17.665706621,17.638627213,17.876782267,18.783182814,19.082519701,19.429181609,20.071128897,20.087691899,20.552083506,21.175143366,20.528574233,21.404427736,21.775295076,20.4537386,20.538445071,20.565342363,18.766043792,18.142541989,18.488709567,18.028760651,18.766745505,17.938110563,19.640803231,19.782390273,18.510058888,17.893877583,17.860402843,18.246428092,17.511674836,14.592213191,13.707220904,16.647383321,18.144470586,17.103850938,17.202985616,20.368780133,18.921149907,16.317280787,18.262274275,18.360726714,19.200713927,20.171900301,21.487065276,22.580407528,23.733060108,25.333725333,26.765800375,27.943431147,29.233242999,30.886237313,32.221539552,32.759698275,32.560562676,32.20435501,32.20435501,31.630046958,31.183002406,30.502048029,30.120893547,29.233056774,28.642062804,28.623317433,28.163282512,27.579271651,27.039541547,26.635188101,26.129220165,26.894149441,27.879194018,28.239696598,27.316096347,26.373552024,26.516247179,28.013376687,27.90456643,1,22.547990240164953
2022,28.196969005,29.155717542,27.837186224,27.545029241,28.526565066,26.865103748,25.382679508,23.919527456,22.643719122,21.302193132,20.470169782,19.628607245,19.271721116,18.300995417,18.084753636,18.084753636,17.811573138,17.640479024,17.640479024,17.640479024,17.954232974,18.233432911,19.084108224,19.823988353,22.019392691,23.774380627,25.738741304,27.12062557,26.116767425,27.099725541,27.632028798,27.335211559,26.506662566,25.048912467,23.438430735,22.455128141,21.392157297,20.294867424,19.214876957,19.059476251,18.190291995,17.315990659,16.873273803,16.042941788,15.592841589,15.524621408,15.278008032,15.098858238,14.488888152,14.703813326,14.711370104,15.022035309,15.623572267,15.677340806,15.677340806,15.986085782,16.483198936,16.986135641,17.872668469,18.419455874,19.245983844,20.478034775,21.236190604,22.233068583,23.423034899,24.790522427,25.34130836,26.977593432,27.542542265,29.272822554,31.145586116,32.177337227,32.605128196,32.73123597,33.032569076,32.330423929,31.736145419,30.922437641,30.633006615,29.762697604,29.350577182,28.60573247,28.60573247,28.391220323,28.026710386,27.053616371,26.943404057,26.259163455,26.67908197,27.555872318,27.637320627,26.609443775,25.585277598,25.699957741,26.907307652,26.586498214,2,22.917269773505165
2022,26.880136446,28.228106547,27.194170752,26.838589365,27.729067092,25.790844072,24.337562543,22.959032032,21.769242112,20.709374878,19.876447985,19.024025266,18.536715975,17.806156653,17.806156653,17.806156653,17.467487801,17.306347715,17.306347715,17.530041093,17.806156653,18.311880516,18.85202111,19.717255358,21.329712353,23.292860253,24.811671565,25.937324651,25.5931773,26.409973582,27.190466483,27.543175227,27.543175227,27.102943607,26.4593294,26.988860366,27.089703057,26.155966182,25.240179556,25.246070822,25.837850306,26.775874598,26.343068973,26.361079606,26.589754691,26.473901497,27.205384058,27.022077686,27.563687775,28.217964831,28.090067222,26.567719392,26.640340057,27.485456032,27.522712586,27.371028589,27.297898619,27.297898619,27.188674705,26.853624007,26.853624007,27.058281902,27.379349427,27.69588772,27.272122731,28.362079111,29.534092752,31.483816987,32.842792122,34.767217806,36.392789621,37.778001597,38.440459081,38.635656741,38.569471468,38.055919153,37.004480105,36.390718117,35.984643754,35.441755062,34.560513915,33.994561095,33.638151451,32.844768922,31.67527441,30.693465615,29.992237673,29.500639059,30.035978582,30.577321161,30.712741283,29.508429303,28.471663035,28.296249239,29.446150129,28.907222256,3,27.05184023563919
2022,29.228209978,30.145044186,29.208318619,28.398441322,28.817182028,27.410373993,25.701263038,24.661679402,22.850833189,21.62358681,20.742761338,20.046041154,19.828793387,19.048357409,18.759339244,18.502186434,18.502186434,18.502186434,18.502186434,18.502186434,18.502186434,18.869946962,19.915330214,20.542819899,22.642339686,24.738121773,27.292015553,28.665211029,27.954902133,29.201921546,29.666436754,29.666436754,29.666436754,29.374508386,28.798689412,28.393717368,28.292289752,28.380900731,27.763004878,27.621516946,28.586173687,26.649617974,26.140097637,25.521345037,25.286716062,25.981039792,25.538385153,25.801138766,25.899864452,26.332215788,25.229453397,26.683758849,27.154426223,20.74997321,24.723521928,26.144008512,21.44364865,20.309469065,20.454528372,21.077960405,23.081526336,26.089062961,27.252393977,28.415992076,28.676005643,29.070369205,29.978042433,31.805364736,32.945645434,34.373557549,36.288025762,37.014619322,37.153390885,37.228072244,37.076567937,36.304201301,35.824268431,35.258629565,34.813501557,34.692293299,33.673906856,32.997639706,32.561062522,32.130133365,30.945514838,29.965858627,29.614780667,29.140669739,29.222837476,30.020468992,29.933195021,29.536991311,28.171332491,27.878561889,29.1999493,28.887198337,4,27.029472834845365
2022,29.202546196,29.793228674,28.564827773,28.030882606,28.889172101,27.101116861,25.587525702,24.018089538,22.811227533,21.653231792,20.95942581,20.140466836,19.596833336,18.846498814,18.562696192,18.402224202,18.402224202,18.402224202,18.402224202,18.402224202,18.402224202,19.091081392,19.501804311,20.539898127,22.189247686,24.403478364,26.39895672,27.813611051,27.469110447,29.04113675,29.995122681,30.433737382,30.974366142,31.307455609,30.413439679,29.079179689,28.719090507,29.434189165,29.468355863,28.225038886,26.940497668,24.629935444,25.744950412,23.836979679,24.326605269,23.896441263,24.867149598,24.582165872,25.415320438,24.358067945,23.412676414,24.583204382,25.170062952,23.187918295,22.188369707,24.139749568,23.118849031,23.441973862,21.518355074,23.062812045,23.663403328,25.348469215,25.893806194,26.257896624,26.736809847,26.955613927,28.010202512,29.616135464,30.19320583,31.668680727,33.070270886,34.222257257,34.485809176,34.589556146,34.589556146,34.547022905,33.736806534,33.059199618,32.479893551,32.274699398,31.425619512,30.913745631,30.479340098,30.415264055,30.02792031,29.129293013,28.430374633,27.719006919,28.187430689,29.222616191,28.998182948,28.156170509,27.050484864,27.334533781,28.524281661,28.351044996,5,26.307794901443295
2022,28.297952402,29.122940775,28.125002942,27.716973456,28.502165616,26.92048754,25.203140992,23.862626541,22.27125219,21.113391083,19.989033687,19.594752057,18.905830948,18.758569464,18.469081608,17.70850763,16.650116869,16.650116869,16.650116869,17.029929937,17.626138543,17.86816954,17.958495993,18.684612902,19.891948578,21.397819614,23.213163663,24.673343184,25.471427083,25.829844237,26.391755639,27.105235712,26.416998101,25.90675082,24.190257316,23.28600591,24.151424513,24.809516426,26.046374113,26.986276872,26.008800087,23.531731162,18.244540461,17.750822713,18.43215663,21.759733747,19.305930946,21.88593915,22.876808001,23.021589118,22.064080349,24.966499842,24.615095432,20.736661003,18.513096023,23.157032287,22.309853934,21.907008244,21.660062422,21.11387799,22.229142232,22.159526585,22.948573271,23.770781354,23.656696595,24.778602965,26.056182752,27.648918527,28.402249607,29.82497241,31.347714404,32.128520222,32.71804753,32.71804753,32.71804753,32.584922124,32.05244745,31.69714331,31.356504766,30.74565472,30.00568046,29.146265673,29.146265673,28.839264845,28.164433128,27.835732373,27.600560254,27.098438959,26.945254757,26.945254757,26.793317764,26.014528675,25.432118405,24.406501597,24.301822168,24.301822168,6,24.266276549639173
2022,24.290806731,24.220393926,25.638190408,26.817546113,27.962235755,29.397262595,28.057988892,26.599287232,24.60395682,23.070023974,21.695392046,20.519309627,19.807649395,18.882587518,18.505198894,18.095860057,18.095860057,18.095860057,18.095860057,18.095860057,18.095860057,18.095860057,18.095860057,18.095860057,18.821362552,19.407720165,20.511963657,20.923158451,21.82416856,22.632780711,23.505474662,23.76656604,23.523415119,23.650851681,23.800037541,22.726770004,21.93332735,21.976467414,20.233606195,19.648535016,18.98744499,18.669141797,17.853747424,18.726119905,17.087610461,19.82545296,20.821808454,23.220118764,21.359145935,17.585096362,18.4430003,19.598255773,19.239755484,16.587057289,17.591858666,17.802008424,23.233417439,21.527000251,21.53671052,19.782633773,22.331246145,22.895499356,23.779423754,24.285161408,25.750838457,27.081658743,27.534843727,27.729693168,28.7153392,30.116642006,32.094467573,32.813162652,32.862304663,32.573380628,32.022944229,31.387208714,30.622553185,30.459345741,29.87184849,29.464397284,28.946600999,28.504843759,28.504843759,28.012923083,27.663368392,26.720826938,26.331599987,26.331599987,26.331599987,26.331599987,26.193503795,25.898434054,25.786227855,24.638621531,24.484159411,24.484159411,7,23.379907552432993
2022,24.184533134,24.026001218,23.482176587,22.823688862,22.070796781,21.479743019,20.467094198,19.739938002,19.033886922,18.584510353,18.001658012,17.927406377,17.364777194,16.883360596,16.883360596,16.749052493,16.383551657,16.383551657,16.383551657,16.853841306,16.883360596,16.883360596,16.883360596,17.051917254,17.383169534,17.873535008,19.011138544,19.380249166,20.009345515,21.082806997,21.601122953,22.052000948,22.803430773,23.26618221,24.220272287,25.486399581,26.739471533,27.229125779,27.49041808,27.46411332,26.760169472,27.591733979,28.079051341,27.934692691,27.871373026,27.257914385,26.272852722,26.256629997,26.256629997,26.034306004,26.004278445,25.925611462,25.444403857,25.169566253,24.559820081,23.330530482,24.666867475,25.075078132,25.197876616,24.919917186,24.607763772,24.473977229,25.073328264,26.573661676,27.121323192,28.03675488,28.602164074,29.451288609,30.622977708,32.197412035,34.027178978,34.955663769,35.162308182,35.527158877,35.527158877,35.527158877,35.152099584,34.663711947,33.839842739,33.480476225,33.340033801,32.706828726,31.982680916,31.282837205,31.374957879,30.414485964,29.946719925,29.287796478,28.55226415,28.296590034,27.538887348,26.688665084,26.896246417,25.941335636,25.130544373,25.696580458,8,25.101148756515457
2022,25.186029348,24.09364634,23.665028096,23.389729186,22.159328179,21.455509024,20.659193302,20.01086897,19.769172715,18.966823188,18.475485456,18.46701425,17.822468862,17.367435252,17.367435252,17.367435252,17.367435252,17.367435252,17.367435252,17.367435252,17.592802435,18.364039281,18.73715017,19.754447399,21.439762284,23.383078284,25.258982201,26.848169166,27.431105346,28.084580764,28.864508566,28.655385285,27.590013748,26.442238989,25.437020772,23.828097592,22.949465448,21.777518133,20.539563644,19.53012678,18.724630937,17.829487457,17.69231084,16.654288848,16.06211209,15.753165857,15.417254155,15.417254155,15.417254155,15.939951436,15.948532767,16.306098358,20.1174727,17.391098188,16.687381846,17.022480951,18.193582275,19.443493286,18.45086061,18.466816918,19.210628359,20.311145461,21.422051888,22.772094493,24.146034777,25.616187467,26.462480714,27.981629878,29.465892786,31.398639678,32.800935993,34.318412685,34.780777937,35.29484163,35.29484163,35.29484163,34.764127561,34.134172855,33.839753532,33.35423726,32.732626346,32.203963031,31.498145306,31.498145306,30.982446035,30.251357915,29.772774067,28.78585678,28.410435848,27.424757291,27.598318944,26.55066319,25.952115423,25.1455292,24.888717131,24.883349331,9,23.41627687787629
