Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.6,18.2,32.8,28.528238020833328
2015.0,0.0,18.4,21.2,28.7,28.71195354166667
2015.0,0.0,31.1,20.5,32.0,29.76619895833333
2015.0,0.0,26.9,20.6,35.0,29.9936278125
2015.0,0.0,13.3,20.0,26.5,31.02385124999999
2015.0,0.0,25.6,19.2,28.7,28.833052291666665
2015.0,0.0,30.9,19.5,30.3,29.47891031249998
2015.0,0.0,31.8,17.0,31.5,26.521154062500003
2015.0,0.0,23.3,20.0,34.4,34.5603196875
2015.0,1.0,13.9,21.9,30.0,32.64420760416667
2015.0,22.5,3.0,20.0,22.4,27.336550520833324
2015.0,16.0,9.2,20.2,23.3,25.39168927083333
2015.0,2.5,21.5,18.3,28.8,25.391295729166675
2015.0,1.0,30.7,20.6,32.2,26.467397916666663
2015.0,0.0,27.6,18.7,28.3,27.49860572916665
2015.0,0.0,29.9,18.5,31.5,32.51444510416667
2015.0,0.0,32.2,19.7,34.7,36.23344739583335
2015.0,0.0,30.7,18.5,29.7,35.45093510416667
2015.0,0.0,3.5,19.3,21.6,27.1561825
2015.0,2.5,22.8,16.8,26.0,31.851259374999987
2015.0,2.0,26.9,19.2,28.8,34.04993458333333
2015.0,0.0,27.9,19.2,29.4,36.27440510416667
2015.0,0.0,28.6,20.2,31.8,27.487184999999982
2015.0,0.5,26.1,20.8,31.8,26.55128072916668
2015.0,2.5,27.1,19.7,36.5,28.365985416666664
2015.0,0.0,2.9,20.0,21.0,28.85687770833333
2015.0,30.0,3.1,17.6,19.8,29.939281354166656
2015.0,46.5,6.3,16.2,20.5,30.142884583333352
2015.0,11.5,25.7,13.0,24.4,29.950898750000007
2015.0,0.0,30.2,12.3,27.9,31.30798927083333
2015.0,0.0,27.0,14.5,27.0,29.590163125
2015.0,0.0,17.1,17.0,26.2,27.56102541666668
2015.0,0.0,15.4,17.2,25.0,34.460290625000006
2015.0,0.5,23.8,14.8,25.3,36.236795104166674
2015.0,0.0,17.9,13.6,25.0,36.21277208333334
2015.0,4.5,17.2,15.5,23.8,37.174865520833336
2015.0,0.0,15.8,13.4,24.8,36.1741790625
2015.0,0.0,21.0,15.6,27.3,34.85253125
2015.0,0.0,27.8,15.9,35.2,35.28435052083332
2015.0,0.0,9.1,21.2,26.2,36.919475312500005
2015.0,0.0,20.3,19.2,28.4,32.21612916666667
2015.0,1.0,25.3,19.3,29.0,32.52527489583334
2015.0,0.0,24.7,17.8,29.0,30.40871010416666
2015.0,12.5,13.3,18.0,26.5,28.5695890625
2015.0,0.0,17.4,17.7,27.7,27.84339166666668
2015.0,2.0,21.4,17.7,29.8,27.701618020833337
2015.0,3.5,23.8,17.8,29.3,28.241146041666656
2015.0,0.0,26.2,16.8,29.0,28.09858447916667
2015.0,0.0,24.0,17.5,28.9,36.457331666666654
2015.0,0.0,17.6,17.2,28.0,36.4124375
2015.0,0.0,14.1,18.3,27.2,34.10309916666666
2015.0,2.5,10.2,19.7,25.2,35.38654614583333
2015.0,2.5,16.6,18.9,27.3,36.425826875000006
2015.0,1.5,16.5,18.7,28.0,33.56849385416667
2015.0,0.5,14.4,19.5,26.4,30.77102072916667
2015.0,0.0,10.5,19.5,23.0,30.911219375000005
2015.0,6.5,11.9,18.0,27.2,34.877538645833326
2015.0,1.5,18.9,17.7,27.2,36.9165221875
2015.0,0.0,21.3,17.2,30.6,36.202533229166654
2015.0,0.0,17.9,18.0,36.2,36.14227947916668
2015.0,2.0,11.7,15.8,23.7,35.844357395833335
2015.0,0.0,20.0,15.2,30.0,36.6199778125
2015.0,0.0,16.0,20.7,29.5,34.84682072916667
2015.0,0.0,23.1,17.5,28.0,33.67561197916665
2015.0,0.0,24.3,13.4,30.2,31.591537187499995
2015.0,0.0,14.0,15.5,26.1,37.427498229166666
2015.0,0.0,19.6,17.7,26.5,37.85085072916667
2015.0,0.0,24.0,17.3,32.8,35.97136322916666
2015.0,0.0,11.5,19.8,26.6,36.14700520833333
2015.0,0.0,15.7,18.7,30.5,34.522907395833336
2015.0,6.5,17.8,17.6,27.3,34.30945947916666
2015.0,2.5,3.4,17.8,21.0,33.11206135416666
2015.0,0.0,20.3,15.0,25.8,38.70503760416667
2015.0,0.0,13.1,11.6,24.0,36.306106875000005
2015.0,0.5,13.0,11.8,22.8,35.60235729166667
2015.0,0.0,11.8,16.2,23.0,38.70188739583332
2015.0,0.0,17.6,16.3,30.0,37.02048947916668
2015.0,0.5,22.1,16.8,31.6,36.6008784375
2015.0,0.0,17.2,17.0,31.5,35.54860125
2015.0,3.0,7.4,16.0,22.3,35.72050302083334
2015.0,1.0,6.3,15.5,23.6,34.482344270833345
2015.0,0.5,18.3,18.0,29.0,33.455468645833335
2015.0,0.0,4.9,12.0,28.0,33.0711046875
2015.0,14.5,15.6,14.2,23.3,33.88945416666669
2015.0,0.0,20.6,10.5,27.5,33.70829895833334
2015.0,0.0,21.4,9.8,26.7,28.059596666666668
2015.0,0.0,19.1,11.9,24.2,27.48183302083333
2015.0,0.0,17.4,15.0,27.2,29.95028791666667
2015.0,0.0,10.4,16.7,25.2,32.95523135416666
2015.0,4.0,8.1,15.2,22.0,32.83866979166667
2015.0,38.0,12.1,15.5,23.5,31.6529615625
2015.0,0.0,14.0,16.0,29.0,34.9578771875
2015.0,3.5,3.1,16.4,18.0,34.78223500000001
2015.0,25.5,3.2,14.5,19.8,34.95669604166665
2015.0,11.0,17.9,14.6,25.8,35.15458864583333
2015.0,0.0,14.8,12.0,25.9,31.47378541666667
2015.0,2.0,15.3,13.0,23.0,25.315211041666668
2015.0,2.5,12.7,13.3,22.7,26.04156520833334
2015.0,0.0,14.8,12.2,21.3,26.12042104166666
2015.0,0.0,11.3,13.0,22.2,23.92738697916667
2015.0,3.0,11.9,12.5,22.0,25.303344166666665
2015.0,0.0,11.9,12.5,23.0,25.732457604166665
2015.0,0.0,14.8,10.7,21.8,25.111180937499995
2015.0,0.0,15.9,11.8,23.7,26.143579999999982
2015.0,0.0,15.6,15.5,28.0,26.722175208333336
2015.0,4.0,14.5,17.7,31.2,25.76193281250001
2015.0,3.0,3.7,18.4,23.8,25.555032291666667
2015.0,0.5,12.6,15.6,27.4,33.750043229166685
2015.0,4.0,13.7,11.6,23.0,32.50617468749999
2015.0,7.0,4.4,13.4,16.3,32.80901989583335
2015.0,134.0,3.0,12.2,17.0,29.941250624999995
2015.0,110.0,2.6,12.2,18.2,31.59508166666666
2015.0,48.5,10.2,12.5,21.0,23.070499375
2015.0,8.5,13.8,11.3,25.3,22.393525416666662
2015.0,0.0,13.6,11.2,25.1,24.20701854166667
2015.0,7.5,3.7,9.3,18.5,24.89949520833333
2015.0,0.0,13.8,7.8,20.5,23.136914791666666
2015.0,0.0,15.0,8.2,20.6,23.661918125
2015.0,0.0,9.0,12.6,18.5,23.573874791666665
2015.0,3.0,8.0,12.2,19.8,22.440418333333337
2015.0,7.5,9.4,14.0,20.7,23.57215239583333
2015.0,5.0,6.4,16.5,22.0,25.1908021875
2015.0,28.0,4.5,12.5,22.0,23.940401562500004
2015.0,0.0,7.0,9.7,22.0,31.78521718750001
2015.0,0.0,13.9,7.7,26.8,30.30379864583334
2015.0,0.0,13.8,8.2,20.7,29.147374479166675
2015.0,0.0,13.9,7.3,20.2,26.473932604166663
2015.0,0.0,13.8,9.6,20.5,25.59120614583334
2015.0,0.0,13.6,13.7,20.8,24.527226562500008
2015.0,0.0,11.8,10.6,21.0,28.89702604166666
2015.0,0.0,12.6,10.6,21.5,25.775139479166672
2015.0,0.0,13.3,4.7,22.2,25.47330583333334
2015.0,0.0,12.4,7.0,16.8,23.92241052083333
2015.0,0.5,13.1,11.4,18.0,23.124856041666664
2015.0,0.0,11.6,8.4,20.2,25.38947291666668
2015.0,0.0,10.4,9.6,20.3,25.551012916666675
2015.0,0.0,9.4,11.6,19.2,24.18194520833333
2015.0,0.0,7.9,13.8,20.2,25.18525135416667
2015.0,0.0,5.4,11.2,21.7,25.63714125
2015.0,0.5,9.4,12.0,24.3,25.828730729166665
2015.0,0.0,10.5,7.5,22.3,25.02065020833335
2015.0,6.5,4.7,6.0,17.0,24.242235833333325
2015.0,18.0,11.0,7.2,18.7,24.63517572916666
2015.0,0.0,11.9,5.2,19.2,24.042224895833325
2015.0,0.0,8.6,8.0,18.8,25.45742020833333
2015.0,0.0,10.6,8.6,18.4,30.27662114583332
2015.0,0.0,10.9,13.7,20.2,21.828902604166657
2015.0,0.0,10.5,8.0,22.0,23.724887604166657
2015.0,0.0,4.0,8.5,19.2,23.539040520833336
2015.0,0.0,5.3,8.8,17.0,24.526269791666653
2015.0,1.5,4.6,2.5,14.2,23.33558500000001
2015.0,1.0,10.9,4.0,15.2,23.47166854166667
2015.0,0.0,11.3,4.3,16.0,22.96446489583334
2015.0,0.0,10.6,5.4,16.8,22.806943958333324
2015.0,0.0,11.0,8.6,17.8,24.69355166666668
2015.0,0.0,9.7,6.0,16.3,23.87972854166668
2015.0,0.0,10.2,9.6,20.5,23.85771781250001
2015.0,0.0,10.9,10.7,21.2,23.338072916666658
2015.0,0.0,11.1,7.7,22.3,23.521815104166663
2015.0,0.0,9.9,9.8,22.0,24.55095989583333
2015.0,0.5,4.3,11.6,14.0,23.07183875
2015.0,0.5,6.0,10.6,16.8,24.4206178125
2015.0,0.0,7.1,7.2,18.3,24.671731874999995
2015.0,0.0,9.2,8.4,18.8,24.603403020833337
