year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2018,19.43562,18.95975,18.38306,18.51056,18.44359,17.98389,17.50118,17.14546,16.39763,16.02517,15.48845,14.81968,14.67286,14.65092,14.47876,14.48576,14.70889,14.84572,15.70488,15.92773,16.24515,16.87706,17.75212,18.25254,19.35193,20.72353,21.86494,22.43111,22.55962,23.29244,23.61456,23.88339,23.53179,23.08662,22.97093,23.29215,23.27152,23.75525,23.25872,23.34604,23.47995,23.78303,23.15568,22.71374,22.59966,22.17682,22.54431,22.66442,22.88345,22.82631,22.87238,22.91677,23.69254,23.73877,23.65171,22.88438,22.42143,22.67756,23.06489,22.80128,22.72443,23.08647,23.07137,23.30753,23.56863,23.37666,23.28454,23.15694,23.25443,23.72829,24.1183,24.46604,24.43468,24.55045,24.02468,23.56691,23.43912,22.85359,23.02653,22.81848,22.68879,21.8915,21.90794,21.63211,21.32442,21.08003,20.93706,20.88409,20.19811,20.574,20.93951,21.60541,21.34873,21.16691,21.69182,21.34356,21.1724178125
2018,21.01931,20.82817,19.99662,19.41834,19.09195,18.78439,18.6813,18.44716,17.93077,17.49912,16.76249,16.25581,16.01418,15.65952,15.41137,14.97441,14.95815,15.07538,15.37744,15.62346,16.38485,17.19647,18.31889,19.00285,19.64789,20.75604,21.44955,22.11638,22.53343,22.55307,23.08875,23.27121,22.93112,22.44715,22.44881,22.82293,22.61545,22.6272,22.79457,23.35106,23.12549,22.49732,22.63829,22.96737,22.78733,22.84174,22.62835,22.62693,22.34183,22.56302,23.91849,23.56964,23.35073,23.2441,23.47519,23.08362,22.92812,22.28632,22.40551,22.28075,22.59184,23.00855,22.78071,23.22144,23.09346,22.97294,22.55993,22.45096,23.12851,23.80114,24.45058,25.22248,24.4218,24.36201,24.14781,24.11903,23.94575,22.84774,22.6737,22.84579,22.9552,23.06739,22.79064,22.49512,22.3177,22.04603,21.82521,21.6195,20.91895,20.93703,21.37265,21.95484,21.82673,21.73973,22.16248,21.6572,21.39645541666667
2018,21.32644,20.87494,20.33894,20.28361,20.1768,19.68093,19.08262,18.37422,17.77698,17.51081,16.56173,16.40217,16.42071,15.67272,15.62394,15.62106,15.94808,16.0421,15.9394,16.24306,16.80822,17.74639,18.92593,19.64587,20.81201,21.84198,22.77506,22.88035,23.26115,23.70083,24.04398,24.02271,23.43846,22.92929,22.47895,22.88952,23.32056,23.25474,23.52701,23.17074,23.45863,23.58813,23.87343,23.28591,23.1085,23.26923,23.18247,23.09628,22.73791,22.80063,23.11615,23.34826,23.17056,23.29119,23.29445,22.8759,22.55412,22.85457,23.13456,23.28381,23.38023,23.4462,23.37611,23.09896,23.56825,23.69523,23.39658,23.08035,23.79746,25.11057,25.91931,26.02098,25.53729,25.8361,25.62176,25.4017,25.46017,25.00673,24.89554,24.83301,24.24431,23.94584,23.29372,22.96097,23.27717,23.39493,23.21358,22.67198,21.91369,21.81324,22.47932,23.31013,22.95468,22.09347,22.88222,22.65474,22.065481458333334
2018,22.23649,21.84706,21.06363,20.61877,20.36666,20.01625,19.36735,19.21651,18.66792,18.16866,17.54533,16.64621,16.37922,15.99529,16.06218,15.8536,15.76971,16.29953,16.48873,16.78953,17.26082,17.73098,18.44546,19.63641,21.09363,21.94997,23.19792,23.33758,23.49657,23.89427,24.46801,24.38142,24.45542,24.16443,23.43741,23.20442,23.11738,23.10366,23.1824,23.7358,23.74394,23.26468,23.02089,23.60448,23.54443,23.64111,23.51987,23.76702,24.09457,24.39774,23.91372,23.8217,23.96386,24.12094,23.78182,23.11632,22.66571,23.11449,23.09927,22.68903,22.76397,22.68006,23.17012,22.89784,23.00551,22.99702,23.07427,23.38266,23.85323,24.80725,25.74208,25.81126,25.09854,24.99716,24.9765,24.75383,24.21977,23.88007,23.83745,23.76439,23.57031,23.6007,23.30493,22.98309,23.01072,22.58459,22.40927,22.16017,21.43279,21.52447,21.83607,22.77814,22.52004,21.91764,23.03911,22.65749,22.13146552083334
2018,21.7301,21.67755,21.24813,20.52739,20.03543,19.59776,19.20714,18.58196,18.26026,18.33972,17.47275,16.57334,16.4216,16.2598,15.56107,15.68184,15.61161,15.60459,16.0095,16.31906,16.91312,18.15811,18.86916,19.32371,20.51358,21.23569,22.40961,23.36317,23.5751,23.95611,24.36299,24.35149,24.106,23.36693,23.07155,23.10054,22.8164,22.89073,22.98391,22.87292,22.56755,22.50801,22.56855,22.75982,22.33938,21.94635,22.45341,22.87064,22.53446,22.05917,22.26175,21.88268,22.32229,22.82355,22.37781,21.45338,21.20092,21.34984,21.61819,21.77561,21.57467,21.23647,21.32078,21.59353,21.80437,21.8931,21.76343,21.64158,22.18165,22.8548,24.31762,24.43018,23.79766,23.53753,23.2826,23.14484,22.98815,22.39086,22.16736,22.30581,22.29915,21.56398,21.66531,21.12871,21.35182,21.06951,21.05234,20.86628,20.18502,20.30462,21.16554,21.96319,21.72364,21.02723,21.78707,21.55614,21.224701249999995
2018,21.04227,20.85171,19.8673,19.55744,19.22885,18.87498,18.5138,18.09385,17.49383,16.88581,15.90579,15.49874,15.25001,15.01331,14.71665,14.89117,15.02601,14.81457,14.37008,14.8105,14.84523,14.99448,15.4911,15.81277,16.23043,16.56419,16.50629,16.75933,16.70268,17.07222,17.01112,17.78919,18.38243,18.83464,18.966,18.64639,18.77175,18.44746,18.41836,18.58208,18.54739,18.07393,18.03802,18.17487,18.00028,17.71969,17.72573,17.76634,17.71649,17.40061,17.46659,17.2688,17.01785,16.88165,16.94993,17.24324,17.34837,17.27306,17.29376,17.38164,17.38377,17.27641,17.23425,17.16366,17.52598,17.53598,17.53598,17.53598,17.53598,17.53598,18.57232,19.86532,19.36694,19.43224,19.32876,19.32876,19.22248,18.60607,18.49604,18.42396,18.06307,17.64473,17.58477,17.86542,17.96592,17.87135,17.99204,17.7528,17.40784,17.55779,18.16511,18.71997,18.75872,18.54485,19.47789,19.13841,17.62750614583334
2018,19.02491,18.76107,18.29096,18.29686,18.29592,17.7705,17.42722,16.77724,16.31875,15.66464,15.10814,14.74167,14.28106,14.12069,14.43479,14.58199,14.48336,14.34143,14.22779,14.19975,14.39654,14.27099,14.34702,14.59178,15.23958,15.25412,15.2205,15.35141,15.18586,15.86065,16.17221,16.66362,16.68115,16.85748,17.1253,17.13929,17.13142,16.91532,16.96148,17.32832,17.1041,16.94982,17.13231,16.86796,16.831,16.88822,16.66423,16.43279,16.00983,16.24593,16.4861,16.32497,16.32497,16.1734,16.10513,15.86756,15.74334,15.51763,15.51763,15.71751,15.81444,15.90422,16.07564,16.3109,16.58376,16.70072,17.19027,17.67784,18.01641,18.41909,19.55815,19.82782,20.18438,20.54975,20.83876,20.4747,20.26913,20.22574,20.67546,20.42892,19.92929,20.13611,20.05444,19.40203,19.07944,19.03209,19.3554,19.25786,19.09543,19.14917,19.36357,19.96172,19.53373,19.41518,20.34826,20.11892,17.205270312499998
2018,19.69955,19.20887,18.6213,18.68114,18.50478,18.42175,18.13848,17.45826,16.8736,16.30299,15.78606,15.59033,15.26499,15.33407,15.30105,15.42531,14.94626,14.96434,15.35004,15.86387,16.74244,17.44673,18.30434,18.8234,20.0453,21.40181,22.69556,23.62559,24.10442,24.94959,25.08868,24.99443,25.21112,24.34255,24.07167,23.91205,23.92599,24.13858,23.79477,23.65627,23.38283,23.27687,22.73579,22.68717,22.46967,22.82524,22.58165,22.57584,22.64118,22.64646,22.92764,23.23725,23.1391,22.88269,22.75948,22.18071,21.94139,22.61578,22.04675,22.58418,22.28328,22.49245,22.75641,22.68888,23.43433,23.37713,23.45758,23.65387,24.16355,25.22924,26.04492,26.67262,25.77357,25.57852,26.17838,26.15666,25.95926,25.44413,25.41698,25.46762,25.11269,24.97175,24.68694,24.1545,24.3738,24.01147,23.68186,23.16669,22.3426,22.45881,22.95683,23.65864,23.58811,22.54894,23.46403,22.82507,21.993563645833337
2018,22.19965,21.97687,21.58294,21.4141,20.71272,20.16902,19.94678,19.64156,18.87359,18.43541,17.5518,17.24309,16.64372,16.14231,16.06713,15.99903,15.93625,16.04259,16.59216,16.84171,17.69642,18.09202,19.18439,20.04791,20.9862,22.03971,23.82996,24.22282,24.83457,25.44706,25.51966,25.65141,25.02637,24.49471,23.83001,23.8188,23.44612,23.92453,23.93058,23.92803,24.12448,23.45697,23.08844,22.83346,22.42578,22.17186,22.20979,22.7181,22.98885,22.93571,24.14751,24.72865,25.20542,25.71396,23.63375,22.38096,21.86481,22.13236,22.5085,22.28416,22.32496,22.44247,22.97911,23.18485,23.63195,23.70367,23.45595,23.22373,24.01113,25.52282,25.97876,26.39621,25.99885,25.94266,25.92439,26.09902,25.75022,25.54435,25.45798,25.36051,25.26747,24.73932,24.64579,24.43532,23.4853,23.50389,23.62202,23.03983,22.37733,22.92388,23.45638,23.99141,23.19344,22.64472,23.52115,22.71354,22.54178760416666
2018,22.18085,21.97513,21.46619,20.67917,20.27661,20.2291,19.28462,18.95577,18.38509,18.36514,17.60661,17.16208,16.7962,16.1712,16.09812,16.10503,16.20549,16.07935,16.45941,17.20251,17.86407,18.44443,19.31647,20.18768,21.3685,22.48409,23.74442,24.63843,24.77486,25.86968,26.15917,25.98233,25.41741,24.97112,24.53396,24.55181,24.16426,25.13629,25.3775,25.40458,24.91435,24.3961,24.65578,24.59115,24.4608,24.12527,23.92885,24.29391,23.84113,24.06166,23.58587,24.46442,24.37128,24.4245,23.73193,22.25935,22.26501,22.52874,21.731,21.79547,21.99107,22.44983,22.54787,22.55656,22.70139,22.99396,22.89721,22.9813,23.44417,24.68119,25.56443,25.69714,25.31656,25.17548,25.20767,25.34263,24.94372,24.48711,24.40498,24.47815,24.62912,24.44741,24.16656,23.64841,23.238,23.07384,23.15781,22.67436,22.27532,22.27865,22.98739,23.47094,23.37677,22.69719,23.06366,23.00701,22.54746
