Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,29.8,18.6,32.9,13.602983195876291
2015,1,0.0,18.4,21.4,30.1,9.226952474226806
2015,2,0.0,30.7,20.9,32.4,20.66789
2015,3,0.0,21.5,21.1,35.8,20.51672092783505
2015,4,0.2,15.9,20.2,27.2,20.937741030927835
2015,5,0.0,30.1,20.2,31.9,21.69316896907217
2015,6,0.0,31.7,18.0,31.6,21.162220618556702
2015,7,0.2,20.1,21.2,35.7,16.58368896907217
2015,8,1.4,14.4,22.0,29.7,16.98424701030929
2015,9,37.2,3.3,20.3,23.3,21.21873350515464
2015,10,3.4,20.2,19.9,25.5,22.028942474226795
2015,11,1.0,22.2,18.8,29.9,21.062529690721657
2015,12,1.0,29.7,21.8,33.2,20.29437443298969
2015,13,0.0,29.2,21.0,28.3,19.82636536082473
2015,14,0.0,29.5,18.8,32.2,21.284406082474224
2015,15,0.0,32.1,16.1,35.1,17.964061030927837
2015,16,0.0,30.8,17.7,29.0,17.776105773195866
2015,17,0.0,3.8,19.9,22.2,21.344221443298977
2015,18,0.6,20.4,18.2,26.5,20.722418865979385
2015,19,2.8,26.2,19.1,29.8,16.724795154639178
2015,20,0.0,27.0,19.9,30.1,17.104564948453596
2015,21,0.0,28.8,21.1,32.2,19.93729670103092
2015,22,0.0,25.9,22.7,32.5,17.12133639175257
2015,23,1.4,29.4,20.5,37.0,20.339001855670105
2015,24,0.0,3.5,20.4,21.3,21.351400721649483
2015,25,22.6,3.8,17.6,20.3,21.92044350515464
2015,26,39.2,5.4,16.9,22.2,21.90284835051547
2015,27,15.2,27.5,14.5,24.8,21.223286391752584
2015,28,0.0,29.0,11.5,27.9,16.937785979381434
2015,29,0.0,27.5,13.9,27.5,17.81586783505155
2015,30,0.0,19.3,16.9,26.3,11.922892474226808
2015,31,0.0,25.8,16.9,26.0,19.87113288659793
2015,32,0.0,28.5,15.4,25.9,19.902357628865985
2015,33,0.0,19.3,14.3,25.1,20.98833474226804
2015,34,2.4,11.6,18.3,24.6,21.16182216494845
2015,35,0.0,15.1,16.0,25.5,20.3819343298969
2015,36,0.2,21.6,16.7,28.6,21.63769793814433
2015,37,0.0,28.4,16.4,35.4,22.174091340206186
2015,38,0.0,15.0,21.4,27.5,17.560577216494853
2015,39,0.4,19.7,19.7,28.5,17.86220845360825
2015,40,1.2,23.4,20.1,30.2,21.65565762886598
2015,41,0.0,23.9,18.7,30.4,22.54843360824741
2015,42,21.2,15.7,19.1,28.1,22.886776185567008
2015,43,0.0,15.7,18.7,29.0,22.56004309278349
2015,44,0.6,22.6,19.5,29.9,22.403506288659788
2015,45,1.6,22.9,18.4,30.0,17.698094329896914
2015,46,0.0,26.8,17.7,29.9,17.87846979381444
2015,47,0.0,24.8,18.1,29.2,20.81976989690721
2015,48,0.0,15.7,18.9,28.9,17.255206597938155
2015,49,0.0,16.1,18.5,28.0,23.25325319587628
2015,50,1.6,8.6,20.5,25.4,23.70685092783506
2015,51,9.8,15.8,18.8,28.5,18.66960103092785
2015,52,1.2,13.7,19.0,28.3,17.54825237113404
2015,53,0.6,20.2,20.3,26.4,16.82608958762888
2015,54,0.0,9.6,19.3,24.2,19.88651773195876
2015,55,2.0,14.0,18.9,27.8,20.32324288659793
2015,56,0.0,22.1,18.1,28.3,20.31278721649484
2015,57,0.0,17.3,17.7,29.4,20.28257020618557
2015,58,0.0,15.9,17.8,36.9,20.25535103092784
2015,59,2.4,11.5,16.6,24.0,16.44274144329897
2015,60,0.4,19.6,14.5,30.1,17.079935360824724
2015,61,0.0,19.8,20.0,29.8,19.654579175257734
2015,62,0.0,22.2,16.4,28.0,19.87303268041237
2015,63,0.0,24.1,11.7,30.4,15.81359690721649
2015,64,0.0,17.3,16.8,26.8,16.71947422680412
2015,65,0.0,21.9,18.0,27.8,16.85815216494846
2015,66,0.0,23.8,18.2,33.5,20.0255198969072
2015,67,0.0,12.8,18.2,26.8,20.55650309278351
2015,68,0.0,19.7,19.0,30.6,24.46489979381443
2015,69,5.0,18.5,18.0,28.1,23.423326391752592
2015,70,0.2,3.8,18.6,21.4,23.1160850515464
