Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality_Y
66011,1951,7,1,0.0,,True
66011,1951,7,2,0.0,,True
66011,1951,7,3,0.0,,True
66011,1951,7,4,0.0,,True
66011,1951,7,5,0.0,,True
66011,1951,7,6,1.8,1.0,True
66011,1951,7,7,0.0,,True
66011,1951,7,8,0.0,,True
66011,1951,7,9,0.3,1.0,True
66011,1951,7,10,0.8,1.0,True
66011,1951,7,11,0.0,,True
66011,1951,7,12,0.0,,True
66011,1951,7,13,0.8,1.0,True
66011,1951,7,14,0.0,,True
66011,1951,7,15,0.8,1.0,True
66011,1951,7,16,1.3,1.0,True
66011,1951,7,17,0.0,,True
66011,1951,7,18,0.0,,True
66011,1951,7,19,0.0,,True
66011,1951,7,20,4.1,1.0,True
66011,1951,7,21,0.0,,True
66011,1951,7,22,0.0,,True
66011,1951,7,23,0.0,,True
66011,1951,7,24,0.0,,True
66011,1951,7,25,0.0,,True
66011,1951,7,26,0.0,,True
66011,1951,7,27,0.0,,True
66011,1951,7,28,0.0,,True
66011,1951,7,29,0.0,,True
66011,1951,7,30,0.0,,True
66011,1951,7,31,0.0,,True
66011,1951,8,1,68.6,1.0,True
66011,1951,8,2,22.1,1.0,True
66011,1951,8,3,0.0,,True
66011,1951,8,4,1.8,1.0,True
66011,1951,8,5,0.0,,True
66011,1951,8,6,0.0,,True
66011,1951,8,7,0.0,,True
66011,1951,8,8,0.0,,True
66011,1951,8,9,0.0,,True
66011,1951,8,10,0.0,,True
66011,1951,8,11,0.0,,True
66011,1951,8,12,0.0,,True
66011,1951,8,13,0.0,,True
66011,1951,8,14,0.0,,True
66011,1951,8,15,0.0,,True
66011,1951,8,16,0.0,,True
66011,1951,8,17,0.5,1.0,True
66011,1951,8,18,0.0,,True
66011,1951,8,19,0.0,,True
66011,1951,8,20,2.3,1.0,True
66011,1951,8,21,0.0,,True
66011,1951,8,22,0.0,,True
66011,1951,8,23,1.3,1.0,True
66011,1951,8,24,0.0,,True
66011,1951,8,25,0.0,,True
66011,1951,8,26,15.0,1.0,True
66011,1951,8,27,0.0,,True
66011,1951,8,28,0.0,,True
66011,1951,8,29,0.0,,True
66011,1951,8,30,0.0,,True
