year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2014,5.7312,5.7312,5.59533,5.8923,5.62212,4.79564,4.29514,3.9834,3.9834,3.56088,3.2274,3.2274,2.68645,2.5992,2.5992,2.5992,2.5992,2.5992,2.5992,2.5992,2.5992,2.5992,2.5992,2.5992,2.5992,3.1898,3.5604,3.5604,3.5604,3.5604,3.5604,3.5604,3.5604,3.49313,3.2913,3.2913,3.2913,3.2913,3.2913,3.2913,3.2913,3.2913,2.713,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,2.6739,3.11488,3.4956,3.4956,3.4956,3.4956,3.4956,3.4956,3.95298,4.47341,4.8771,5.22571,5.4549,5.4549,5.4549,5.4549,5.4549,5.1073,4.6629,4.6629,4.6629,4.6629,4.6629,4.6629,4.24344,3.8493,3.8493,3.8493,3.8493,4.75241,5.4621,4.68303,4.5954,4.5954,4.5954,4.5954,5.06381,3.7144600000000003
2014,5.95631,5.74432,5.43883,5.8113,5.8113,4.63818,4.17773,3.8781,3.8781,3.58368,3.3417,3.3417,2.62658,2.5155,2.5155,2.5155,2.5155,2.5155,2.23232,2.0187,2.11353,2.8017,2.8017,2.8017,3.06161,3.3939,3.56625,4.2462,4.2462,4.2462,4.2462,4.2462,4.2462,3.4194,3.3102,3.3102,3.3102,3.3102,2.9581,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.5335,2.56223,2.5632,2.5632,2.5632,2.5632,3.13978,3.546,3.546,3.546,3.7639,4.66094,5.34297,5.4774,5.4774,5.4774,5.4774,5.4774,5.4774,5.4774,5.4774,5.4774,5.4774,5.36093,4.5891,4.5891,4.5891,4.4291,4.0131,4.0131,5.13381,5.4108,5.4108,5.24675,4.5423,4.5423,4.5423,5.14831,3.7297683333333325
2014,6.09771,6.2586,5.97084,5.7474,5.7474,5.15985,4.6638,4.6638,4.32055,3.8817,3.53212,2.98317,2.6901,2.6901,2.6901,2.2806,1.953,1.953,1.953,1.953,1.953,1.953,2.26856,2.835,3.14685,3.9827,4.0788,4.0788,4.0788,4.0788,4.0788,4.0788,4.0788,4.0788,3.6484,3.3588,3.3588,3.3588,3.3588,3.3588,3.3588,2.70207,2.6802,2.6802,2.6802,2.6802,2.63475,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,2.5686,3.37613,3.4011,3.4011,3.45265,4.23426,4.7286,4.7286,4.98715,5.4468,5.4468,5.4468,5.4468,5.4468,5.4468,4.73027,4.6467,4.6467,4.6467,4.6467,4.28634,4.023,4.023,4.023,5.2944,5.6016,5.6016,4.93486,4.6476,4.6476,4.6476,5.36917,3.7235437500000033
2014,5.9013,5.9013,5.7107,5.7204,5.7204,5.32835,4.61519,3.852,3.852,3.852,3.33998,3.3021,2.96378,2.673,2.673,2.673,2.673,2.673,2.673,2.673,2.673,2.673,2.673,2.673,2.673,2.673,2.673,3.23328,3.4038,3.4038,3.98242,4.1211,4.58574,4.8123,4.8123,4.8123,4.8123,5.30005,5.5476,5.5476,5.5476,5.5476,4.86139,4.5234,4.25064,3.8907,3.8907,3.8907,3.8907,3.8907,3.8907,3.65108,3.3363,3.3363,3.3363,3.3363,3.3363,3.3363,3.3363,3.3363,3.3363,3.3363,3.3363,3.3363,3.3363,3.94486,4.3074,4.40595,4.7646,4.7646,5.447,5.5323,5.5323,5.5323,5.5323,5.5323,5.5323,5.5323,4.63475,4.5387,4.5387,4.5387,4.5387,4.0133,4.0068,4.0068,4.6691,4.8267,4.8267,4.8267,4.8267,4.8267,5.36463,5.25764,4.34464,4.0032,4.1656621875000015
2014,4.72426,4.207,4.18554,5.0175,4.45059,3.4243,3.16123,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.6928,2.89255,3.4677,3.4677,3.88825,4.1049,4.1049,4.1049,4.1049,4.1049,4.1049,4.1049,4.1049,4.1049,4.1049,4.1049,4.1049,4.1049,4.1049,3.61285,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.2787,3.85329,4.2435,4.2435,4.54786,5.12326,5.67317,6.2406,6.2406,6.2406,6.2406,6.2406,5.42833,5.3577,5.3577,5.3577,5.3577,4.98957,4.6098,4.6098,4.6098,4.07721,5.35136,5.6709,5.54588,4.62675,4.0113,4.0113,4.74653,4.8924,4.8924,4.8924,3.919079999999998
2014,4.8924,4.35887,4.01406,4.1112,4.1112,3.89767,3.2004,3.2004,3.2004,2.57988,2.5785,2.5785,2.5785,2.5785,2.5785,2.5785,2.5785,2.5785,2.5785,2.5785,2.5785,2.5785,2.5785,2.5785,3.23018,3.54488,4.2201,4.2201,4.2201,4.2201,4.2201,4.2201,4.2201,4.20874,3.66794,3.7359,3.7359,3.7359,3.69615,3.1328,3.168,3.168,3.168,3.168,3.168,3.168,2.73795,2.619,2.619,2.619,2.619,2.619,2.619,2.619,2.619,3.16041,2.70158,2.6739,2.6739,2.66037,2.6505,2.6505,2.98114,3.4983,3.4983,3.60387,4.3245,4.3245,5.20337,6.10947,6.3243,6.76643,6.45521,6.0732,6.0732,6.0732,6.0732,6.0732,6.0732,5.49292,5.3397,5.3397,5.3397,4.65351,4.6458,4.6458,4.6458,4.6458,5.31316,5.5125,5.5125,4.93688,5.11044,5.5647,5.5647,5.5647,3.9075060416666667
2014,5.99442,5.93484,5.48948,6.0579,6.0579,5.21539,4.66343,4.554,4.19817,4.0383,3.58453,3.2391,3.2391,2.72886,2.5812,2.5812,2.5812,2.5812,2.5812,2.5812,2.5812,2.5812,2.5812,2.5812,3.0165,3.48035,4.1778,4.1778,4.1778,4.1778,4.1778,4.1778,4.1778,4.11591,3.83294,3.86444,3.2706,3.2706,3.2706,3.2706,3.2706,2.6892,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,2.655,3.14657,3.71271,4.2516,4.41349,5.17622,5.4522,5.4522,5.4522,5.97637,6.1065,6.1065,6.1065,6.1065,5.86817,5.2587,5.2587,4.89151,4.7196,4.7196,4.7196,4.7196,4.7196,4.7196,5.79714,6.05007,5.3208,5.3208,5.3208,5.20382,4.6827,5.30275,3.942942500000001
2014,6.17921,6.2045,5.54576,6.1551,6.04108,5.3208,4.71248,4.6827,4.6827,3.89246,3.71187,3.2436,3.2436,3.20298,2.6343,2.6343,2.6343,2.6343,2.6343,2.6343,2.6343,2.6343,2.6343,2.6343,2.99836,3.4659,3.64519,4.2687,4.2687,4.2687,4.2687,4.2687,4.2687,4.2687,4.2687,3.99913,3.2319,3.2319,3.2319,3.2319,3.2319,3.2319,3.2319,3.2319,3.2319,3.2319,3.2319,3.2319,3.2319,2.73412,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,2.5308,3.3478,3.5073,3.5073,4.19705,4.869,5.47556,5.4972,6.01011,6.1614,6.1614,5.94176,5.3343,5.3343,5.3343,5.3343,5.3343,5.3343,4.96971,4.5936,4.5936,4.06146,4.0248,4.0248,5.25775,5.5557,5.44968,4.7187,4.7187,4.7187,4.7187,5.25173,3.9319807291666655
2014,5.67862,6.1173,6.15346,6.2973,5.91002,5.06484,4.6314,4.6314,4.50214,3.9348,3.39783,3.2589,3.2589,2.96906,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.87149,3.4596,3.83382,4.80036,3.95064,3.9024,3.9024,3.9024,3.9024,3.9024,3.9024,3.9024,3.9024,3.9024,3.9024,3.9024,3.9024,3.9024,3.9024,3.45139,3.2067,3.11688,3.2859,3.19462,3.2859,2.64544,2.6433,2.6433,2.6433,2.6433,2.6433,3.08861,2.92576,2.5461,2.5461,2.5461,2.5461,2.5461,2.5461,2.5461,2.5461,2.6087,3.4128,3.4128,4.05258,4.70461,5.2844,5.5116,5.5116,5.5116,5.5116,5.5116,5.5116,5.5116,5.5116,5.5116,5.16515,4.96954,4.9716,4.9716,4.9716,4.9716,4.9716,4.9716,5.4602,5.6025,5.6025,5.6025,5.6025,5.6025,5.6025,5.6025,4.010044375000001
2014,6.09166,6.1407,5.73197,5.859,5.59635,5.2353,4.66981,4.6116,4.55166,3.9456,3.65035,3.3174,3.3174,2.80484,2.6982,2.6982,2.6982,2.6982,2.6982,2.6982,2.6982,2.6982,2.6982,2.6982,3.09405,3.65701,4.2471,4.2471,4.2471,4.2471,4.2471,4.2471,4.2471,4.2471,4.2471,4.2471,4.2471,3.91091,3.2679,3.2679,3.08821,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.6667,2.89732,3.447,3.447,3.447,3.447,4.00483,4.66487,5.2346,5.481,5.481,5.481,5.481,5.481,5.481,5.481,5.481,5.24931,4.6368,4.6368,4.6368,4.6368,4.6368,4.6368,4.48987,3.9789,5.25028,5.5539,5.21838,4.7151,4.7151,4.7151,5.29555,5.4135,3.90656802083333
