year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2019,5.81075,5.37387,5.03878,5.15064,4.84121,4.32691,3.91741,4.11756,3.49045,3.17603,2.84331,2.68694,2.50632,2.45142,2.37471,2.29664,2.27814,2.28544,2.35019,2.27034,2.36547,2.51552,2.69093,2.97208,3.16238,3.55412,3.93294,3.85602,3.58472,3.67251,3.54409,3.49752,3.20531,2.92547,2.73478,2.5299,2.29329,2.03537,2.03537,1.91047,1.78487,1.63212,1.57339,1.54231,1.5387,1.50869,1.46739,1.4733,1.50573,1.41351,1.45106,1.49587,1.50814,1.49771,1.54795,1.57619,1.62029,1.66062,1.79226,1.88917,2.06337,2.12002,2.31038,2.43088,2.56339,2.72841,3.11048,3.38404,3.72087,4.26519,4.77351,4.84834,5.10325,5.11379,5.01179,4.9028,4.75511,4.81529,4.54795,4.34717,4.31662,4.13061,3.99268,3.88321,3.7255,3.71336,3.90611,3.78376,5.09627,5.00122,4.59104,4.2114,4.93872,4.63597,4.86873,5.13797,0,3.1642658762886597
2019,5.61783,5.15548,4.83334,5.04246,4.63389,4.10664,3.66298,3.81238,3.41593,3.02097,2.69757,2.5471,2.4541,2.40847,2.32072,2.37893,2.2391,2.21541,2.27021,2.33186,2.33939,2.43299,2.57499,2.855,3.19638,3.4497,3.83294,3.85526,3.64206,3.77798,3.79021,3.69843,3.38452,3.07594,2.86761,2.55336,2.42853,2.41266,2.15673,2.40943,2.51728,2.42419,2.22208,2.09561,2.33369,1.92991,2.22192,1.77268,1.52556,2.02521,2.08165,1.71369,1.66041,1.97806,2.0881,2.33487,2.08964,2.20134,2.28653,2.41634,2.56992,2.54909,2.52352,2.62625,2.68287,2.99231,3.26079,3.47505,3.80215,4.254,4.74975,4.96367,5.07937,5.10446,5.0673,4.92923,4.78532,4.7949,4.56014,4.54719,4.44399,4.21258,3.99417,3.80933,3.69507,3.62246,3.83853,3.74499,5.06011,4.9465,4.54559,4.28861,4.98364,4.64425,4.82639,5.21169,1,3.299004329896907
2019,5.74154,5.2613,4.9845,5.05678,4.69155,4.11151,3.80419,3.91581,3.47039,2.95625,2.70966,2.60609,2.46761,2.48259,2.3021,2.24878,2.28934,2.34323,2.37475,2.42869,2.41892,2.47815,2.62114,2.93425,3.23361,3.60973,4.01811,3.95387,3.73164,3.8836,3.75976,3.57292,3.25084,2.92661,2.7036,2.41793,2.30852,2.24014,2.04872,1.91203,1.76583,1.66833,1.58315,1.57229,1.46798,1.43604,1.28764,1.36959,1.34655,1.42651,1.39429,1.38985,1.44619,1.49227,1.52709,1.56757,1.6156,1.73397,1.81697,2.07166,2.25318,2.47921,2.38525,2.70751,2.83421,2.8463,3.13384,3.44959,3.83556,4.28084,4.64196,4.70879,4.80966,4.80856,4.73863,4.6241,4.5225,4.47546,4.31025,4.20369,4.06126,3.93515,3.76174,3.66814,3.55212,3.43524,3.62265,3.54391,4.88829,4.83742,4.39772,4.12049,4.85354,4.45757,4.67575,5.00489,2,3.135207113402062
2019,5.44068,5.01054,4.71086,4.84899,4.59087,4.06377,3.74034,3.74053,3.34343,2.96593,2.67514,2.52111,2.46816,2.41489,2.29143,2.31929,2.35042,2.36819,2.3174,2.34675,2.40306,2.4159,2.51647,2.72749,3.02794,3.23635,3.43502,3.50827,3.5249,3.50993,3.46569,3.52795,3.53687,3.5997,3.33426,2.99398,2.69701,2.52426,2.60228,2.52947,2.36796,2.22564,1.91461,2.04897,1.97825,2.07053,1.93362,2.01455,1.96555,1.76065,1.64997,1.64267,1.73742,1.67988,1.90327,1.70652,2.07296,2.49262,2.28481,2.13913,2.29112,2.28072,2.48109,2.57946,2.68942,2.85522,3.0745,3.29781,3.64021,4.0325,4.38368,4.45514,4.52021,4.48363,4.31253,4.26191,4.16902,4.13786,3.92797,3.91208,3.79677,3.79456,3.69677,3.56217,3.49061,3.43953,3.69702,3.61409,4.97498,4.92499,4.53174,4.37415,5.07489,4.71982,4.7631,5.17894,3,3.192322783505154
2019,5.50864,5.23033,4.97026,5.04178,4.6145,4.0488,3.59464,3.22859,3.41166,3.20691,2.89394,2.64371,2.50998,2.43753,2.26774,2.27832,2.27233,2.20919,2.22463,2.20976,2.1644,2.18527,2.26304,2.40473,2.44206,2.75354,2.89429,3.059,3.28389,3.56336,3.71704,3.89672,3.92867,3.96762,3.91863,3.67555,3.50111,3.3407,3.09515,2.83897,2.74797,2.67292,2.48639,2.31731,2.19693,2.00175,1.89548,1.9003,1.90618,1.92737,1.87767,1.86482,1.82922,1.90669,1.94944,1.98239,2.06413,2.09712,2.17175,2.24811,2.46891,2.61969,2.68189,2.82357,3.02469,3.2195,3.51519,3.56088,3.94093,4.34873,4.88791,4.90758,5.03351,4.97559,4.88785,4.76527,4.6463,4.69609,4.49633,4.22218,4.09215,4.03433,3.92576,4.01113,3.98206,3.87954,5.08763,4.82393,4.59925,4.40785,4.34088,4.13988,5.16632,4.78481,4.38742,4.41955,4,3.3561443298969076
2019,4.79517,4.23759,3.96926,4.35252,3.8132,3.22937,2.84639,2.67684,2.78161,2.609,2.55623,2.42344,2.39157,2.3316,2.35513,2.31394,2.31388,2.28516,2.22485,2.20842,2.29872,2.24728,2.3758,2.34009,2.37905,2.5337,2.8069,2.94498,2.94251,3.2394,3.4631,3.59948,3.70555,3.71692,3.72217,3.60615,3.53673,3.43658,3.23749,3.22585,3.16927,2.84935,2.6223,2.51699,2.30471,2.25227,2.20697,2.10019,2.08643,2.02227,1.97353,1.89615,1.93856,1.83455,1.8488,1.89524,1.99463,2.12141,2.15827,2.26254,2.44057,2.72081,2.74992,3.09871,3.31095,3.58222,3.89672,4.03552,4.38957,4.94485,5.33974,5.29837,5.40887,5.40301,5.30352,5.0616,4.97666,4.96152,4.80213,4.60653,4.45608,4.31594,4.07925,3.98298,3.8732,3.7571,4.91308,4.713,4.47349,4.18546,4.18812,3.86068,4.91261,4.56694,4.08981,4.14883,5,3.3399629896907217
2019,4.41955,3.94684,3.84071,4.26881,3.65338,3.22718,2.86821,2.84652,2.57357,2.4682,2.34338,2.30577,2.34206,2.28387,2.2424,2.22317,2.24677,2.25865,2.28472,2.23969,2.26461,2.44541,2.72377,2.87661,3.27026,3.6034,3.99858,3.99087,3.87039,3.77594,3.80285,3.6532,3.48193,3.11209,2.77567,2.50638,2.3069,2.21565,2.03564,1.98977,1.84688,1.6905,1.62589,1.46898,1.53292,1.43173,1.43204,1.49557,1.48754,1.44358,1.42262,1.41609,1.42743,1.458,1.52683,1.52741,1.58165,1.70068,1.8087,1.81349,2.03628,2.1679,2.27617,2.46041,2.67608,2.87951,3.2402,3.57406,3.88402,4.58567,5.15855,5.15157,5.19068,5.18441,5.02173,4.88068,4.69924,4.74637,4.65018,4.3694,4.25073,4.13129,4.02964,3.83909,3.66617,3.62669,3.73742,3.68548,5.03489,4.94292,4.58987,4.28877,4.87396,4.54712,4.70604,5.11124,6,3.1197559793814436
2019,5.5375,5.16254,4.8468,5.00109,4.71466,4.22506,3.94986,3.98321,3.45863,3.05023,2.79305,2.61384,2.48382,2.37095,2.30426,2.30411,2.21912,2.28912,2.25982,2.32815,2.39998,2.39185,2.51257,2.7314,3.12726,3.39679,3.72439,3.75132,3.67362,3.75391,3.69909,3.76579,3.40796,3.03074,2.59829,2.87593,2.66011,2.84173,2.30604,2.26856,2.69815,2.27668,2.23002,2.59872,2.28828,1.95815,1.71375,2.18718,2.48332,2.23363,2.3743,2.09681,2.1978,2.75643,3.27187,3.24538,3.11848,2.77038,2.84162,2.97173,2.59222,2.50551,2.57804,2.66449,2.67999,2.85849,3.26574,3.73707,3.96169,4.5455,4.97739,5.02111,5.08899,4.98611,4.98098,4.85454,4.77509,4.77928,4.55745,4.37678,4.25195,4.18103,4.03379,3.94042,3.84643,3.68379,3.8898,3.79809,5.24992,5.16603,4.71033,4.29004,4.885,4.60897,4.80066,5.24854,7,3.4690420618556685
2019,5.69872,5.31786,5.11912,5.16572,4.80611,4.26396,3.85128,3.9967,3.57082,3.09543,2.77739,2.56907,2.45374,2.39458,2.2834,2.20976,2.1569,2.18836,2.29949,2.31816,2.35819,2.48034,2.70536,2.98085,3.35709,3.6724,3.918,3.96392,3.88519,3.95782,3.81653,3.62433,3.38793,3.12876,2.82743,2.62833,2.35258,2.26932,2.08965,1.8709,1.83556,1.73779,1.70075,1.61703,1.58911,1.531,1.47028,1.39151,1.38752,1.44579,1.4269,1.45739,1.43881,1.51129,1.49871,1.52273,1.59232,1.68126,1.86251,1.90776,2.05024,2.27984,2.37467,2.5113,2.67455,2.89824,3.12494,3.62808,3.85911,4.47585,4.81638,4.88504,4.90502,4.98834,4.85744,4.75803,4.60371,4.6276,4.46512,4.35113,4.2855,4.10009,4.04821,3.82346,3.66194,3.58092,3.76065,3.7065,5.03717,4.95614,4.51651,4.25968,4.88249,4.55074,4.72651,5.13721,8,3.253462474226805
2019,5.62435,5.15714,4.90773,5.07169,4.69499,4.16797,3.85568,3.99066,3.44543,3.0254,2.75822,2.56101,2.49176,2.39884,2.29647,2.2749,2.31842,2.21587,2.25137,2.28161,2.41203,2.48585,2.63906,2.8522,3.29162,3.64506,3.96914,3.97047,3.87589,3.94717,3.95525,3.86815,3.96716,3.96723,3.44941,3.65901,3.04171,3.47417,3.515,3.14343,2.34589,2.24742,1.88171,1.9948,1.86607,2.20043,1.60672,1.33917,1.34915,1.47645,1.35823,1.47475,1.51024,1.52741,1.63909,1.59756,1.64245,1.66689,1.87697,1.93283,2.2477,2.51469,2.67514,2.77744,2.70144,2.86208,3.08784,3.37492,3.72272,4.27279,4.54392,4.6892,4.86458,4.94449,4.82559,4.72949,4.63416,4.70167,4.44714,4.36934,4.38042,4.11349,3.97927,3.94649,3.79488,3.6138,3.9389,3.81332,5.21783,5.18068,4.78581,4.48716,5.19327,4.72823,4.85061,5.25553,9,3.3888534020618555
2019,5.79261,5.32348,5.08503,5.32242,4.84494,4.2961,3.91567,3.99471,3.56713,3.19268,2.78487,2.61141,2.42116,2.36618,2.38754,2.2171,2.35596,2.31088,2.31694,2.32878,2.41277,2.54555,2.83068,3.22479,3.52138,3.96679,4.31077,4.34189,4.30363,4.33765,4.35919,4.25032,3.99418,3.84298,3.49657,3.27063,3.07672,2.73987,2.54106,2.44166,2.18914,2.14379,2.10296,2.03276,1.93524,1.79065,1.7953,1.9016,2.0748,1.89281,2.03001,1.90076,1.67474,1.69404,1.94541,1.96857,1.97027,1.97146,2.19738,2.216,2.3229,2.52168,2.80676,3.04256,3.36766,3.77404,4.24725,4.74834,5.22464,5.96013,6.72841,6.76264,6.97097,6.9823,6.89299,6.89917,6.81494,6.81361,6.71978,6.62524,6.47497,6.32757,6.1057,5.97524,5.81405,5.54488,5.8181,5.67995,6.9208,6.60751,6.05263,5.63847,6.10574,5.74752,5.93849,6.19883,10,4.039678556701031
2019,7.30638,7.20668,6.82806,6.80854,6.44895,5.86492,5.37204,4.93416,5.14555,4.91055,4.47177,3.67107,2.89146,2.76941,2.58441,2.46805,2.49199,2.36666,2.27342,2.33615,2.32227,2.41517,2.62133,2.86655,2.90072,2.94557,3.30469,3.60733,3.90556,4.39214,4.61587,5.0332,5.28503,5.34664,5.31439,5.56871,5.51458,4.95635,4.66208,4.6764,4.90337,4.34494,4.34602,4.19321,3.56822,3.16946,4.02079,3.6963,3.84275,3.84093,3.90471,3.72114,3.92425,3.70824,3.22076,2.83213,2.79082,3.21379,3.73719,3.75773,4.03537,4.20889,4.17525,3.92584,4.01169,4.13548,4.51147,4.8391,5.25875,5.82866,6.16499,6.08286,6.17447,6.19036,6.0373,5.9986,5.79628,5.84441,5.51227,5.30069,5.23102,5.13381,5.01007,4.8713,4.82522,4.65453,5.82347,5.57805,5.28424,4.90773,4.83704,4.55103,5.60423,5.33894,4.90859,5.0056,11,4.564321134020618
