Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
61260,2015,1,1,31.3,0
61260,2015,1,2,26.9,1
61260,2015,1,3,31.3,2
61260,2015,1,4,27.6,3
61260,2015,1,5,13.9,4
61260,2015,1,6,26.5,5
61260,2015,1,7,31.3,6
61260,2015,1,8,31.6,7
61260,2015,1,9,23.5,8
61260,2015,1,10,14.2,9
61260,2015,1,11,2.9,10
61260,2015,1,12,14.8,11
61260,2015,1,13,23.6,12
61260,2015,1,14,28.8,13
61260,2015,1,15,27.3,14
61260,2015,1,16,30.9,15
61260,2015,1,17,32.2,16
61260,2015,1,18,29.8,17
61260,2015,1,19,3.5,18
61260,2015,1,20,22.5,19
61260,2015,1,21,21.7,20
61260,2015,1,22,22.9,21
61260,2015,1,23,25.6,22
61260,2015,1,24,28.4,23
61260,2015,1,25,30.0,24
61260,2015,1,26,3.1,25
61260,2015,1,27,2.6,26
61260,2015,1,28,10.5,27
61260,2015,1,29,30.9,28
61260,2015,1,30,25.7,29
61260,2015,1,31,27.7,30
61260,2015,2,1,18.1,31
61260,2015,2,2,20.7,32
61260,2015,2,3,21.9,33
61260,2015,2,4,19.9,34
61260,2015,2,5,14.8,35
61260,2015,2,6,21.6,36
61260,2015,2,7,21.9,37
61260,2015,2,8,28.9,38
61260,2015,2,9,16.2,39
61260,2015,2,10,19.5,40
61260,2015,2,11,23.4,41
61260,2015,2,12,24.0,42
61260,2015,2,13,19.0,43
61260,2015,2,14,21.7,44
61260,2015,2,15,19.0,45
61260,2015,2,16,26.6,46
61260,2015,2,17,26.1,47
61260,2015,2,18,21.8,48
61260,2015,2,19,11.8,49
61260,2015,2,20,9.0,50
61260,2015,2,21,12.0,51
61260,2015,2,22,14.1,52
61260,2015,2,23,17.9,53
61260,2015,2,24,14.8,54
61260,2015,2,25,16.0,55
61260,2015,2,26,16.2,56
61260,2015,2,27,20.1,57
61260,2015,2,28,20.9,58
61260,2015,3,1,21.9,59
61260,2015,3,2,9.9,60
61260,2015,3,3,24.8,61
61260,2015,3,4,21.0,62
61260,2015,3,5,25.1,63
61260,2015,3,6,24.8,64
61260,2015,3,7,21.6,65
61260,2015,3,8,17.1,66
61260,2015,3,9,24.1,67
61260,2015,3,10,15.4,68
61260,2015,3,11,20.9,69
61260,2015,3,12,14.1,70
61260,2015,3,13,4.4,71
61260,2015,3,14,18.8,72
