Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,index,Quality_Y
61260,2015,1,1,34.7,1.0,0,True
61260,2015,1,2,31.7,1.0,1,True
61260,2015,1,3,33.9,1.0,2,True
61260,2015,1,4,34.4,1.0,3,True
61260,2015,1,5,26.9,1.0,4,True
61260,2015,1,6,30.4,1.0,5,True
61260,2015,1,7,31.6,1.0,6,True
61260,2015,1,8,33.1,1.0,7,True
61260,2015,1,9,35.2,1.0,8,True
61260,2015,1,10,32.3,1.0,9,True
61260,2015,1,11,22.8,1.0,10,True
61260,2015,1,12,25.9,1.0,11,True
61260,2015,1,13,30.0,1.0,12,True
61260,2015,1,14,33.9,1.0,13,True
61260,2015,1,15,30.4,1.0,14,True
61260,2015,1,16,33.0,1.0,15,True
61260,2015,1,17,35.6,1.0,16,True
61260,2015,1,18,31.7,1.0,17,True
61260,2015,1,19,20.4,1.0,18,True
61260,2015,1,20,25.9,1.0,19,True
61260,2015,1,21,30.2,1.0,20,True
61260,2015,1,22,29.5,1.0,21,True
61260,2015,1,23,32.5,1.0,22,True
61260,2015,1,24,32.6,1.0,23,True
61260,2015,1,25,34.5,1.0,24,True
61260,2015,1,26,22.6,1.0,25,True
61260,2015,1,27,19.6,1.0,26,True
61260,2015,1,28,21.6,1.0,27,True
61260,2015,1,29,24.5,1.0,28,True
61260,2015,1,30,26.6,1.0,29,True
61260,2015,1,31,28.6,1.0,30,True
61260,2015,2,1,27.0,1.0,31,True
61260,2015,2,2,26.7,1.0,32,True
61260,2015,2,3,25.6,1.0,33,True
61260,2015,2,4,25.3,1.0,34,True
61260,2015,2,5,25.1,1.0,35,True
61260,2015,2,6,25.5,1.0,36,True
61260,2015,2,7,28.0,1.0,37,True
61260,2015,2,8,35.1,1.0,38,True
61260,2015,2,9,28.3,1.0,39,True
61260,2015,2,10,29.4,1.0,40,True
61260,2015,2,11,29.6,1.0,41,True
61260,2015,2,12,30.9,1.0,42,True
61260,2015,2,13,29.0,1.0,43,True
61260,2015,2,14,29.8,1.0,44,True
61260,2015,2,15,31.3,1.0,45,True
