Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,1.4,31.3,16.2,34.7,3.422746041666668
2015.0,0.0,26.9,20.0,31.7,3.362169062500001
2015.0,0.0,31.3,18.6,33.9,3.343407499999999
2015.0,0.0,27.6,18.4,34.4,3.5684724999999986
2015.0,0.0,13.9,21.8,26.9,3.55688625
2015.0,0.0,26.5,18.6,30.4,3.440031145833333
2015.0,0.0,31.3,19.1,31.6,3.430622083333334
2015.0,0.0,31.6,15.4,33.1,3.6004878124999986
2015.0,0.0,23.5,18.1,35.2,3.944289583333332
2015.0,19.2,14.2,19.8,32.3,4.036925520833333
2015.0,0.2,2.9,19.9,22.8,3.8426261458333335
2015.0,8.8,14.8,20.1,25.9,4.058383229166666
2015.0,0.0,23.6,19.3,30.0,3.7332409375000015
2015.0,0.0,28.8,21.6,33.9,3.4849525000000003
2015.0,0.0,27.3,19.6,30.4,3.665583437499999
2015.0,0.0,30.9,20.8,33.0,3.8295126041666654
2015.0,3.0,32.2,15.4,35.6,5.299707812499999
2015.0,42.2,29.8,14.2,31.7,4.941360312500001
2015.0,0.0,3.5,19.2,20.4,4.416823645833333
2015.0,0.2,22.5,17.5,25.9,3.652737395833336
2015.0,1.0,21.7,18.6,30.2,3.6452687499999983
2015.0,18.0,22.9,19.3,29.5,3.753607604166666
2015.0,0.0,25.6,19.2,32.5,4.274480520833334
2015.0,2.4,28.4,20.0,32.6,4.309805416666668
2015.0,19.2,30.0,19.8,34.5,4.846046354166666
2015.0,22.2,3.1,22.1,22.6,5.072448229166666
2015.0,3.6,2.6,19.0,19.6,4.5618904166666665
2015.0,0.0,10.5,17.1,21.6,4.814947812499998
2015.0,0.0,30.9,15.1,24.5,3.503217916666665
2015.0,1.2,25.7,10.8,26.6,3.1417954166666675
2015.0,2.4,27.7,12.5,28.6,3.2251141666666663
2015.0,1.6,18.1,17.6,27.0,3.6095217708333336
2015.0,0.2,20.7,17.4,26.7,4.735161770833334
2015.0,0.6,21.9,15.9,25.6,4.927334895833333
2015.0,0.0,19.9,12.1,25.3,5.459880000000001
2015.0,0.0,14.8,16.1,25.1,5.255609791666667
2015.0,0.0,21.6,14.8,25.5,5.081623645833333
2015.0,0.0,21.9,14.7,28.0,4.914000312499999
2015.0,0.0,28.9,14.3,35.1,4.795190729166666
2015.0,0.0,16.2,16.4,28.3,4.662053749999999
2015.0,0.2,19.5,18.6,29.4,4.859922187499998
2015.0,0.2,23.4,16.4,29.6,4.423159479166666
2015.0,0.0,24.0,16.0,30.9,4.093291979166667
2015.0,1.4,19.0,19.5,29.0,3.831930104166666
