Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66137,2015,1,1,30.6,0
66137,2015,1,2,19.3,1
66137,2015,1,3,31.4,2
66137,2015,1,4,23.5,3
66137,2015,1,5,15.5,4
66137,2015,1,6,24.6,5
66137,2015,1,7,29.2,6
66137,2015,1,8,31.7,7
66137,2015,1,9,21.6,8
66137,2015,1,10,14.3,9
66137,2015,1,11,3.4,10
66137,2015,1,12,15.2,11
66137,2015,1,13,21.9,12
66137,2015,1,14,28.3,13
66137,2015,1,15,28.4,14
66137,2015,1,16,29.6,15
66137,2015,1,17,32.2,16
66137,2015,1,18,30.6,17
66137,2015,1,19,3.8,18
66137,2015,1,20,21.1,19
66137,2015,1,21,26.5,20
66137,2015,1,22,27.1,21
66137,2015,1,23,28.1,22
66137,2015,1,24,23.5,23
66137,2015,1,25,29.7,24
66137,2015,1,26,3.2,25
66137,2015,1,27,3.5,26
66137,2015,1,28,5.1,27
66137,2015,1,29,27.0,28
66137,2015,1,30,27.6,29
66137,2015,1,31,28.5,30
66137,2015,2,1,20.5,31
66137,2015,2,2,23.1,32
66137,2015,2,3,26.1,33
66137,2015,2,4,17.1,34
66137,2015,2,5,12.9,35
66137,2015,2,6,19.5,36
66137,2015,2,7,21.0,37
66137,2015,2,8,27.6,38
66137,2015,2,9,11.2,39
66137,2015,2,10,18.1,40
66137,2015,2,11,22.1,41
66137,2015,2,12,23.8,42
66137,2015,2,13,17.1,43
66137,2015,2,14,14.9,44
66137,2015,2,15,20.0,45
66137,2015,2,16,24.5,46
66137,2015,2,17,26.0,47
66137,2015,2,18,24.8,48
66137,2015,2,19,12.8,49
66137,2015,2,20,15.4,50
66137,2015,2,21,8.4,51
66137,2015,2,22,15.4,52
66137,2015,2,23,16.5,53
66137,2015,2,24,18.0,54
66137,2015,2,25,9.4,55
66137,2015,2,26,13.0,56
66137,2015,2,27,20.0,57
66137,2015,2,28,20.0,58
66137,2015,3,1,14.7,59
66137,2015,3,2,9.9,60
66137,2015,3,3,20.5,61
66137,2015,3,4,20.0,62
66137,2015,3,5,22.6,63
66137,2015,3,6,23.7,64
66137,2015,3,7,15.8,65
66137,2015,3,8,21.7,66
66137,2015,3,9,24.0,67
66137,2015,3,10,11.8,68
66137,2015,3,11,19.1,69
66137,2015,3,12,19.9,70
66137,2015,3,13,3.5,71
66137,2015,3,14,21.4,72
66137,2015,3,15,14.0,73
66137,2015,3,16,15.0,74
66137,2015,3,17,11.2,75
66137,2015,3,18,16.6,76
66137,2015,3,19,21.9,77
66137,2015,3,20,11.9,78
66137,2015,3,21,10.9,79
66137,2015,3,22,6.6,80
66137,2015,3,23,17.4,81
66137,2015,3,24,3.7,82
66137,2015,3,25,15.8,83
