year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2013,29.21251,28.81555,27.78707,26.93902,26.37967,25.24293,24.6114,24.01597,23.2401,22.17553,21.70639,21.67031,21.50791,20.93052,21.14704,21.32748,21.09291,21.02074,21.52596,22.13944,22.84314,24.34075,25.65793,27.40816,29.39295,30.56578,32.92948,34.5534,36.30363,37.72907,38.77559,39.29886,39.0282,38.66733,38.21624,37.33211,37.27798,37.63885,38.07189,37.25993,37.29602,37.38624,37.04341,36.97124,36.84493,37.06146,36.71863,36.91711,36.57428,36.48406,36.59232,36.89906,36.71863,36.46602,36.71863,36.15928,36.0871,35.41949,35.6721,36.53819,36.44798,36.19537,35.79841,36.73667,36.68254,36.2495,35.79841,36.3758,36.77276,38.57711,40.86865,41.77082,41.22952,41.01299,40.59799,40.56191,40.21908,38.95603,38.41472,38.34255,37.56668,37.2058,35.97884,35.2571,34.49927,33.95796,33.52492,32.78513,32.58666,32.80318,32.51448,31.26948,30.24099,29.08621,29.89817,29.05012,0,32.82661567010308
2013,28.56294,28.14794,27.17359,26.32554,25.69402,24.41293,24.08814,23.25814,22.41009,21.68835,21.39965,21.20117,20.58769,20.78617,20.93052,20.56965,20.49748,20.98465,21.27335,21.81465,22.82509,24.01597,25.24293,26.54207,28.92381,31.08904,32.8934,34.76992,36.23145,37.24189,38.55907,39.26277,39.15451,38.64929,38.46885,37.67494,37.29602,37.60276,37.33211,36.48406,36.3758,36.61037,36.73667,36.61037,36.44798,36.57428,36.21341,36.26754,36.19537,36.05102,35.88863,36.03297,36.12319,36.6645,36.39384,36.62841,36.21341,36.71863,36.91711,36.7908,36.35776,36.50211,36.95319,36.3758,36.52015,36.53819,36.70058,37.63885,38.10798,39.85821,40.8506,40.97691,40.90473,39.91234,39.22668,38.34255,37.99972,37.67494,37.0795,36.44798,35.65406,34.91427,34.5534,33.70536,33.21818,33.23622,32.78513,32.37013,32.58666,32.09948,30.98078,29.55534,29.21251,28.45468,28.27425,27.5525,1,32.388068350515454
2013,28.07577,27.37207,26.52402,25.58576,25.09858,24.14227,23.47466,22.71683,22.03118,21.38161,20.8403,20.47943,20.1366,20.1366,19.82986,19.75769,20.11856,20.58769,20.49748,20.87639,21.72444,23.16792,23.96184,25.44141,27.37207,28.88773,30.76426,32.6047,34.1384,34.91427,35.79841,36.80885,37.24189,36.6645,36.17732,35.50971,35.36536,36.23145,36.44798,36.35776,36.39384,36.30363,36.32167,36.01493,35.78036,36.26754,36.52015,36.89906,36.52015,36.44798,36.19537,36.10515,36.48406,36.14123,36.33971,35.9608,35.34732,35.38341,35.58188,35.78036,35.36536,35.16688,35.40145,35.50971,35.29319,35.74428,35.87058,36.17732,36.55624,37.71102,39.47929,39.98451,40.0206,39.82212,39.0282,38.63124,38.21624,37.33211,36.86298,36.57428,36.03297,35.6721,35.11275,34.66166,33.70536,33.09187,32.83926,32.40622,32.67687,31.91904,30.96274,30.16882,29.80795,28.77947,28.6712,28.20207,2,31.74732134020618
2013,28.59903,27.82316,26.34359,25.36923,25.20684,24.64749,23.63705,22.71683,22.08531,21.65226,21.39965,21.27335,20.62378,20.08247,20.02834,20.11856,20.82226,20.62378,20.64182,21.20117,22.78901,23.60097,24.44901,25.40532,28.29229,30.0786,31.97317,33.7234,35.40145,37.11559,37.99972,38.77559,38.45081,38.05385,37.27798,36.91711,36.98928,36.80885,36.46602,36.46602,35.99689,35.99689,36.52015,35.74428,35.52775,35.58188,35.47362,35.43754,35.09471,34.5534,34.0121,34.0121,34.31884,34.04818,33.92188,33.36253,33.10992,32.83926,32.8934,32.78513,32.71296,32.49644,33.14601,33.09187,33.25427,33.95796,34.39101,34.80601,35.59993,37.00733,38.95603,39.85821,38.84777,38.39668,37.89146,37.33211,37.02537,36.42993,35.70819,35.09471,34.91427,35.09471,34.69775,34.22862,33.66927,33.10992,32.731,32.1897,32.51448,32.37013,31.72056,30.60186,29.86208,29.59143,30.31317,29.59143,3,31.43675350515461
2013,29.80795,28.61707,27.62468,26.57815,26.37967,25.40532,24.62945,23.29423,22.62661,22.06726,21.27335,21.05683,20.40726,20.0103,19.54117,19.81182,19.46899,19.21638,19.52312,20.11856,20.82226,20.91248,21.07487,21.544,22.33792,23.47466,23.51075,23.87162,24.62945,26.05489,26.90294,27.57055,28.20207,28.86968,29.50121,29.64556,30.16882,30.72817,30.81839,30.42143,30.20491,29.35686,29.23055,28.6712,28.61707,28.45468,28.49077,28.40055,27.91338,27.37207,26.93902,26.77663,26.79467,26.05489,26.03685,25.98271,25.69402,25.53163,25.44141,25.96467,26.07293,26.66837,26.90294,27.0112,27.62468,28.07577,28.32838,29.30273,30.15078,31.79274,33.88579,34.71579,34.66166,34.64362,34.0121,33.27231,32.85731,32.65883,32.29796,32.13557,31.79274,30.98078,30.67404,30.63795,30.31317,29.93425,29.57338,29.35686,30.45752,30.47556,29.82599,28.72533,28.68925,28.23816,29.32077,28.61707,4,27.06322381443297
2013,28.92381,27.75098,26.5962,25.96467,25.62184,24.73771,23.6551,22.82509,22.21161,21.47183,20.75008,20.08247,19.75769,19.90204,19.57725,18.80138,18.65703,18.65703,18.87356,19.16225,18.78334,19.12617,19.50508,20.28095,20.04639,20.04639,20.53356,21.14704,21.85074,22.33792,23.04162,23.47466,24.55727,25.56771,26.3075,26.61424,27.24576,27.33598,27.29989,27.26381,27.22772,27.26381,26.92098,26.63228,26.36163,26.03685,26.03685,25.6038,25.29706,25.08054,24.75575,24.21445,24.03401,24.08814,23.96184,24.0701,23.94379,23.90771,23.52879,23.31227,23.63705,23.74531,24.17836,24.75575,25.27902,25.45945,26.16315,27.28185,28.79751,31.01687,33.68731,34.51732,34.93232,34.98645,35.11275,34.78797,34.40905,34.15644,33.56101,33.54296,33.50688,33.45275,33.0197,32.20774,32.17165,31.86491,31.75665,31.071,31.28752,30.72817,29.73577,28.86968,28.6712,28.16598,28.2562,27.53446,5,25.875589381443284
2013,27.96751,27.57055,26.65033,25.62184,25.17076,24.10619,23.45662,22.89727,22.374,21.8327,21.02074,20.38921,20.35313,20.35313,19.90204,19.23443,19.66747,20.06443,20.44334,20.91248,21.76052,22.9514,24.21445,25.65793,28.09381,29.97034,31.88296,34.31884,36.75472,38.86581,40.05669,40.86865,41.21147,41.59039,40.97691,40.59799,40.54386,40.59799,39.98451,39.37103,39.84016,39.67777,39.93038,40.00255,39.56951,39.42516,39.35299,39.38907,38.55907,37.94559,37.76515,37.65689,37.09754,36.35776,36.15928,36.3758,36.55624,36.62841,36.41189,36.71863,36.39384,36.3758,37.06146,37.83733,37.89146,37.99972,38.52298,38.9019,39.42516,41.2656,44.02627,45.03671,44.76605,44.63975,44.42323,44.27888,43.73757,43.01583,42.23996,41.62647,40.41756,40.03864,39.58755,38.79364,37.87342,37.54863,36.57428,35.81645,36.71863,36.14123,34.71579,33.16405,32.17165,31.08904,31.50404,30.40339,6,34.12064164948452
2013,30.33121,29.30273,28.27425,27.66077,27.37207,26.32554,25.20684,24.46706,24.32271,23.92575,23.05966,22.33792,22.06726,22.10335,22.22966,21.8327,22.06726,22.17553,22.21161,22.84314,23.54684,24.86401,26.63228,29.28468,33.03774,34.10231,36.62841,39.08233,40.32734,42.51061,43.01583,44.87431,44.60366,41.843,40.81451,40.38147,39.76799,40.0206,41.17539,40.52582,40.07473,40.00255,39.3169,40.29125,39.35299,37.2058,37.31407,37.35015,37.13363,38.4869,38.59516,38.4869,39.22668,38.36059,36.64645,36.61037,35.70819,35.87058,36.12319,35.87058,35.74428,35.87058,36.64645,36.44798,35.85254,35.94276,36.19537,36.86298,37.81929,39.78603,42.02343,42.81735,42.51061,42.16778,42.02343,41.48213,40.81451,40.67017,40.54386,40.86865,39.93038,39.4432,38.55907,37.63885,37.0795,35.59993,35.22101,35.02253,35.20297,34.44514,33.21818,31.93709,31.26948,30.52969,30.40339,29.32077,7,34.43397082474226
2013,29.57338,29.14034,27.85924,26.88489,26.66837,25.26097,24.53923,24.0701,23.43857,23.0777,22.22966,21.21922,21.50791,21.52596,21.61618,21.58009,21.48987,21.63422,22.19357,22.80705,23.6551,24.34075,27.0112,30.06056,32.15361,31.81078,33.36253,36.06906,37.76515,39.40712,40.18299,40.88669,40.48973,40.00255,39.22668,38.68538,38.81168,38.52298,38.36059,38.10798,38.05385,37.99972,37.51254,37.45841,36.84493,36.95319,36.82689,37.0795,36.62841,36.68254,36.57428,36.30363,36.59232,36.6645,36.77276,36.32167,36.32167,36.28558,36.28558,36.46602,36.28558,36.68254,37.02537,37.06146,36.41189,35.90667,36.95319,37.45841,37.9095,39.40712,41.39191,41.78887,41.46408,40.86865,40.47169,39.93038,39.84016,38.73951,38.12603,38.70342,37.9095,37.45841,36.23145,35.47362,35.02253,34.10231,33.39861,33.25427,33.18209,32.65883,31.86491,30.25904,29.62751,29.01403,29.2486,28.70729,8,33.31646443298969
2013,28.63512,27.85924,27.0112,26.3075,25.94663,25.29706,23.88966,23.11379,23.05966,22.62661,21.77857,21.20117,21.03878,20.91248,20.8403,20.56965,20.49748,20.98465,21.18313,21.72444,22.62661,23.74531,25.38728,26.46989,29.05012,30.34925,31.901,34.60753,36.2495,37.56668,38.37864,38.95603,39.0282,38.28842,37.58472,37.06146,36.61037,36.88102,36.75472,36.93515,36.48406,36.35776,37.15167,37.2058,36.3758,36.42993,36.95319,36.98928,36.48406,36.01493,36.7908,37.00733,37.02537,37.13363,37.3682,36.98928,36.82689,36.97124,36.91711,36.7908,36.0871,36.03297,35.61797,36.3758,36.30363,36.59232,36.7908,36.77276,36.7908,38.34255,40.36343,40.94082,40.07473,39.82212,39.1906,38.99212,37.96363,37.35015,37.09754,36.73667,35.83449,35.11275,35.23906,35.22101,34.28275,33.47079,33.38057,32.74905,32.64079,32.49644,31.81078,30.69208,29.97034,28.70729,28.99599,28.50881,9,32.55183144329895
