Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,30.6,18.6,32.9,23.743004948453603
2015,1,0.0,19.3,21.4,30.1,23.734184742268056
2015,2,0.0,31.4,20.9,32.4,23.89317298969073
2015,3,0.0,23.5,21.1,35.8,18.51443670103093
2015,4,0.2,15.5,20.2,27.2,18.644216701030924
2015,5,0.0,29.2,20.2,31.9,22.22723123711342
2015,6,0.0,31.7,18.0,31.6,22.263433402061867
2015,7,0.2,21.6,21.2,35.7,22.910596082474235
2015,8,1.4,14.3,22.0,29.7,23.119630103092785
2015,9,37.2,3.4,20.3,23.3,19.511641340206182
2015,10,3.4,15.2,19.9,25.5,18.74916329896908
2015,11,1.0,21.9,18.8,29.9,22.549739072164947
2015,12,1.0,28.3,21.8,33.2,23.26752020618556
2015,13,0.0,28.4,21.0,28.3,22.637505670103085
2015,14,0.0,29.6,18.8,32.2,19.07825927835051
2015,15,0.0,32.2,16.1,35.1,19.54060577319588
2015,16,0.0,30.6,17.7,29.0,20.162652680412368
2015,17,0.0,3.8,19.9,22.2,23.09441164948453
2015,18,0.6,21.1,18.2,26.5,23.44837268041237
2015,19,2.8,26.5,19.1,29.8,23.48598494845361
2015,20,0.0,27.1,19.9,30.1,23.62097463917525
2015,21,0.0,28.1,21.1,32.2,19.13654164948454
2015,22,0.0,23.5,22.7,32.5,23.038207835051548
2015,23,1.4,29.7,20.5,37.0,21.140573608247426
2015,24,0.0,3.2,20.4,21.3,15.033668247422677
2015,25,22.6,3.5,17.6,20.3,15.904639793814438
2015,26,39.2,5.1,16.9,22.2,19.16215762886599
2015,27,15.2,27.0,14.5,24.8,16.75963773195877
2015,28,0.0,27.6,11.5,27.9,17.447357835051548
2015,29,0.0,28.5,13.9,27.5,18.90994319587629
2015,30,0.0,20.5,16.9,26.3,22.672782989690724
2015,31,0.0,23.1,16.9,26.0,18.490673917525783
2015,32,0.0,26.1,15.4,25.9,18.90286618556701
2015,33,0.0,17.1,14.3,25.1,22.75162536082475
2015,34,2.4,12.9,18.3,24.6,22.77647855670104
2015,35,0.0,19.5,16.0,25.5,22.748680515463928
2015,36,0.2,21.0,16.7,28.6,23.039573402061865
2015,37,0.0,27.6,16.4,35.4,23.226282577319584
2015,38,0.0,11.2,21.4,27.5,20.13716494845361
2015,39,0.4,18.1,19.7,28.5,19.946022371134035
2015,40,1.2,22.1,20.1,30.2,20.637649587628864
2015,41,0.0,23.8,18.7,30.4,20.69963350515464
2015,42,21.2,17.1,19.1,28.1,21.639627113402053
2015,43,0.0,14.9,18.7,29.0,22.826683814433
2015,44,0.6,20.0,19.5,29.9,18.985211855670105
2015,45,1.6,24.5,18.4,30.0,19.805951855670106
2015,46,0.0,26.0,17.7,29.9,23.82996340206186
2015,47,0.0,24.8,18.1,29.2,23.401739793814425
2015,48,0.0,12.8,18.9,28.9,21.406734226804137
2015,49,0.0,15.4,18.5,28.0,17.709072061855665
2015,50,1.6,8.4,20.5,25.4,19.6990875257732
2015,51,9.8,15.4,18.8,28.5,21.80556360824743
2015,52,1.2,16.5,19.0,28.3,23.184615979381448
2015,53,0.6,18.0,20.3,26.4,23.7584781443299
2015,54,0.0,9.4,19.3,24.2,24.33531762886598
2015,55,2.0,13.0,18.9,27.8,25.074943814432995
2015,56,0.0,20.0,18.1,28.3,19.84411
2015,57,0.0,20.0,17.7,29.4,20.580759175257736
2015,58,0.0,14.7,17.8,36.9,22.73542061855669
2015,59,2.4,9.9,16.6,24.0,23.980150721649483
2015,60,0.4,20.5,14.5,30.1,23.84110041237113
2015,61,0.0,20.0,20.0,29.8,24.77327969072165
2015,62,0.0,22.6,16.4,28.0,24.39832783505155
2015,63,0.0,23.7,11.7,30.4,18.96183701030929
2015,64,0.0,15.8,16.8,26.8,18.53585597938144
2015,65,0.0,21.7,18.0,27.8,18.81045762886598
2015,66,0.0,24.0,18.2,33.5,20.1788069072165
2015,67,0.0,11.8,18.2,26.8,17.360505360824746
2015,68,0.0,19.1,19.0,30.6,19.10696391752576
2015,69,5.0,19.9,18.0,28.1,21.40339577319588
2015,70,0.2,3.5,18.6,21.4,22.119004639175262
2015,71,0.0,21.4,14.5,26.7,21.96641773195877
2015,72,0.0,14.0,15.3,24.7,20.82887175257732
2015,73,0.0,15.0,13.4,24.3,19.57970041237113
2015,74,0.0,11.2,11.4,24.6,17.148322577319586
2015,75,0.0,16.6,16.1,29.3,19.682509381443293
2015,76,0.0,21.9,16.5,31.4,22.66245350515464
2015,77,0.0,11.9,16.7,30.7,22.770280824742272
2015,78,0.2,10.9,17.7,23.9,23.171496701030936
2015,79,3.0,6.6,17.3,24.9,15.908438144329898
2015,80,0.6,17.4,16.6,29.5,18.85583989690721
2015,81,0.0,3.7,18.2,26.9,19.283171752577328
2015,82,10.6,15.8,13.2,24.3,19.094085670103084
2015,83,0.2,20.5,14.9,27.8,19.22144701030928
2015,84,0.0,21.3,13.4,26.6,19.007732783505155
2015,85,0.0,19.5,10.0,23.7,15.948816701030932
2015,86,0.0,16.6,11.8,26.6,16.76648195876289
2015,87,0.0,9.5,15.7,25.7,19.24736206185567
2015,88,0.2,8.6,17.2,23.4,19.14580443298969
2015,89,9.4,14.6,15.7,26.2,18.75969020618556
2015,90,0.0,13.6,15.6,29.8,19.007536288659782
2015,91,0.6,3.5,17.0,18.7,18.56277494845361
2015,92,18.8,3.5,16.4,19.2,15.35892350515464
2015,93,8.8,17.7,14.9,26.2,16.6248618556701
2015,94,0.0,14.4,14.0,26.2,20.17876237113402
