Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
61093,2015,1,1,30.8,0
61093,2015,1,2,21.0,1
61093,2015,1,3,31.5,2
61093,2015,1,4,26.8,3
61093,2015,1,5,12.4,4
61093,2015,1,6,27.2,5
61093,2015,1,7,31.2,6
61093,2015,1,8,31.9,7
61093,2015,1,9,25.7,8
61093,2015,1,10,13.5,9
61093,2015,1,11,3.2,10
61093,2015,1,12,9.9,11
61093,2015,1,13,22.2,12
61093,2015,1,14,29.3,13
61093,2015,1,15,29.6,14
61093,2015,1,16,28.5,15
61093,2015,1,17,32.1,16
61093,2015,1,18,28.3,17
61093,2015,1,19,3.5,18
61093,2015,1,20,21.9,19
61093,2015,1,21,27.8,20
61093,2015,1,22,23.5,21
61093,2015,1,23,27.7,22
61093,2015,1,24,28.8,23
61093,2015,1,25,26.5,24
61093,2015,1,26,3.3,25
61093,2015,1,27,3.0,26
61093,2015,1,28,7.4,27
61093,2015,1,29,27.0,28
61093,2015,1,30,30.3,29
61093,2015,1,31,24.4,30
61093,2015,2,1,18.5,31
61093,2015,2,2,21.1,32
61093,2015,2,3,17.0,33
61093,2015,2,4,11.0,34
61093,2015,2,5,16.5,35
61093,2015,2,6,21.0,36
61093,2015,2,7,19.5,37
61093,2015,2,8,28.4,38
61093,2015,2,9,4.9,39
61093,2015,2,10,21.8,40
61093,2015,2,11,25.5,41
61093,2015,2,12,22.7,42
61093,2015,2,13,20.9,43
61093,2015,2,14,21.0,44
61093,2015,2,15,23.6,45
61093,2015,2,16,25.1,46
61093,2015,2,17,26.4,47
61093,2015,2,18,25.0,48
61093,2015,2,19,11.4,49
61093,2015,2,20,9.2,50
61093,2015,2,21,13.5,51
61093,2015,2,22,12.1,52
61093,2015,2,23,18.8,53
61093,2015,2,24,13.0,54
61093,2015,2,25,8.0,55
61093,2015,2,26,10.2,56
61093,2015,2,27,16.2,57
61093,2015,2,28,18.1,58
61093,2015,3,1,19.4,59
61093,2015,3,2,8.5,60
61093,2015,3,3,23.4,61
61093,2015,3,4,15.3,62
61093,2015,3,5,23.2,63
61093,2015,3,6,24.2,64
61093,2015,3,7,20.5,65
61093,2015,3,8,17.3,66
61093,2015,3,9,23.3,67
61093,2015,3,10,10.8,68
61093,2015,3,11,17.6,69
61093,2015,3,12,18.6,70
61093,2015,3,13,3.3,71
61093,2015,3,14,19.3,72
61093,2015,3,15,11.8,73
61093,2015,3,16,16.9,74
61093,2015,3,17,13.2,75
61093,2015,3,18,16.2,76
61093,2015,3,19,21.9,77
61093,2015,3,20,16.9,78
61093,2015,3,21,4.2,79
61093,2015,3,22,5.1,80
61093,2015,3,23,17.7,81
61093,2015,3,24,10.3,82
61093,2015,3,25,17.8,83
61093,2015,3,26,20.6,84
61093,2015,3,27,21.6,85
61093,2015,3,28,17.0,86
61093,2015,3,29,17.8,87
61093,2015,3,30,10.1,88
61093,2015,3,31,8.7,89
61093,2015,4,1,14.7,90
61093,2015,4,2,14.5,91
61093,2015,4,3,3.3,92
61093,2015,4,4,2.9,93
61093,2015,4,5,15.9,94
61093,2015,4,6,14.1,95
61093,2015,4,7,15.6,96
61093,2015,4,8,14.1,97
61093,2015,4,9,12.4,98
61093,2015,4,10,12.2,99
61093,2015,4,11,12.6,100
61093,2015,4,12,13.9,101
61093,2015,4,13,13.7,102
61093,2015,4,14,16.7,103
61093,2015,4,15,16.6,104
61093,2015,4,16,15.4,105
61093,2015,4,17,7.4,106
61093,2015,4,18,10.1,107
61093,2015,4,19,13.4,108
61093,2015,4,20,3.9,109
61093,2015,4,21,3.4,110
61093,2015,4,22,5.5,111
61093,2015,4,23,8.9,112
61093,2015,4,24,14.5,113
61093,2015,4,25,14.5,114
61093,2015,4,26,6.6,115
61093,2015,4,27,15.2,116
61093,2015,4,28,14.8,117
61093,2015,4,29,9.8,118
61093,2015,4,30,9.8,119
61093,2015,5,1,7.4,120
61093,2015,5,2,7.0,121
61093,2015,5,3,3.4,122
61093,2015,5,4,6.9,123
61093,2015,5,5,13.9,124
61093,2015,5,6,14.5,125
61093,2015,5,7,14.1,126
61093,2015,5,8,13.9,127
61093,2015,5,9,13.7,128
61093,2015,5,10,12.1,129
61093,2015,5,11,13.1,130
61093,2015,5,12,13.4,131
61093,2015,5,13,12.6,132
61093,2015,5,14,13.2,133
61093,2015,5,15,10.3,134
61093,2015,5,16,6.2,135
61093,2015,5,17,9.3,136
61093,2015,5,18,6.3,137
61093,2015,5,19,9.4,138
61093,2015,5,20,9.9,139
61093,2015,5,21,11.9,140
61093,2015,5,22,3.5,141
61093,2015,5,23,9.5,142
61093,2015,5,24,11.4,143
61093,2015,5,25,10.3,144
61093,2015,5,26,10.4,145
61093,2015,5,27,10.3,146
61093,2015,5,28,10.9,147
61093,2015,5,29,4.0,148
61093,2015,5,30,8.1,149
61093,2015,5,31,4.5,150
61093,2015,6,1,11.4,151
61093,2015,6,2,11.4,152
61093,2015,6,3,11.1,153
61093,2015,6,4,11.2,154
61093,2015,6,5,7.3,155
61093,2015,6,6,10.6,156
61093,2015,6,7,11.1,157
61093,2015,6,8,10.7,158
61093,2015,6,9,10.8,159
61093,2015,6,10,4.4,160
61093,2015,6,11,5.0,161
61093,2015,6,12,7.8,162
61093,2015,6,13,9.6,163
61093,2015,6,14,10.0,164
61093,2015,6,15,5.2,165
61093,2015,6,16,3.3,166
61093,2015,6,17,3.4,167
61093,2015,6,18,8.7,168
61093,2015,6,19,4.4,169
61093,2015,6,20,10.2,170
61093,2015,6,21,8.3,171
61093,2015,6,22,10.7,172
61093,2015,6,23,10.6,173
61093,2015,6,24,9.5,174
61093,2015,6,25,5.8,175
61093,2015,6,26,9.4,176
61093,2015,6,27,10.8,177
61093,2015,6,28,10.6,178
61093,2015,6,29,8.7,179
61093,2015,6,30,6.6,180
61093,2015,7,1,7.4,181
61093,2015,7,2,10.8,182
61093,2015,7,3,10.9,183
61093,2015,7,4,11.1,184
61093,2015,7,5,11.1,185
61093,2015,7,6,11.2,186
61093,2015,7,7,8.9,187
61093,2015,7,8,8.9,188
61093,2015,7,9,10.4,189
61093,2015,7,10,9.9,190
61093,2015,7,11,10.8,191
61093,2015,7,12,11.2,192
61093,2015,7,13,8.9,193
61093,2015,7,14,11.6,194
61093,2015,7,15,11.3,195
61093,2015,7,16,6.8,196
61093,2015,7,17,5.0,197
61093,2015,7,18,8.4,198
61093,2015,7,19,9.8,199
61093,2015,7,20,7.2,200
61093,2015,7,21,11.7,201
61093,2015,7,22,6.5,202
61093,2015,7,23,7.8,203
61093,2015,7,24,9.2,204
61093,2015,7,25,12.5,205
61093,2015,7,26,12.0,206
61093,2015,7,27,12.9,207
61093,2015,7,28,12.8,208
61093,2015,7,29,11.7,209
61093,2015,7,30,13.0,210
61093,2015,7,31,12.8,211
61093,2015,8,1,12.3,212
61093,2015,8,2,11.3,213
61093,2015,8,3,13.6,214
61093,2015,8,4,8.5,215
61093,2015,8,5,9.2,216
61093,2015,8,6,13.3,217
61093,2015,8,7,13.9,218
61093,2015,8,8,11.6,219
61093,2015,8,9,13.0,220
61093,2015,8,10,14.2,221
61093,2015,8,11,14.3,222
61093,2015,8,12,10.8,223
61093,2015,8,13,14.8,224
61093,2015,8,14,14.7,225
61093,2015,8,15,7.9,226
61093,2015,8,16,12.7,227
61093,2015,8,17,15.4,228
61093,2015,8,18,15.4,229
61093,2015,8,19,12.0,230
61093,2015,8,20,14.9,231
61093,2015,8,21,15.6,232
61093,2015,8,22,14.9,233
61093,2015,8,23,3.5,234
61093,2015,8,24,3.8,235
61093,2015,8,25,7.8,236
61093,2015,8,26,8.0,237
61093,2015,8,27,9.8,238
61093,2015,8,28,14.5,239
61093,2015,8,29,16.7,240
61093,2015,8,30,16.6,241
61093,2015,8,31,16.5,242
61093,2015,9,1,18.0,243
61093,2015,9,2,15.6,244
61093,2015,9,3,14.7,245
61093,2015,9,4,7.9,246
61093,2015,9,5,14.7,247
61093,2015,9,6,9.5,248
61093,2015,9,7,17.5,249
61093,2015,9,8,18.7,250
61093,2015,9,9,18.9,251
61093,2015,9,10,12.7,252
61093,2015,9,11,18.9,253
61093,2015,9,12,19.5,254
61093,2015,9,13,18.3,255
61093,2015,9,14,19.8,256
61093,2015,9,15,19.6,257
61093,2015,9,16,20.3,258
61093,2015,9,17,10.6,259
61093,2015,9,18,16.1,260
61093,2015,9,19,13.3,261
61093,2015,9,20,11.2,262
61093,2015,9,21,19.3,263
61093,2015,9,22,17.5,264
61093,2015,9,23,15.7,265
61093,2015,9,24,12.0,266
61093,2015,9,25,10.2,267
61093,2015,9,26,14.8,268
61093,2015,9,27,14.4,269
61093,2015,9,28,22.6,270
61093,2015,9,29,22.4,271
61093,2015,9,30,16.3,272
61093,2015,10,1,20.6,273
61093,2015,10,2,22.6,274
61093,2015,10,3,23.9,275
61093,2015,10,4,22.8,276
61093,2015,10,5,23.1,277
61093,2015,10,6,24.4,278
61093,2015,10,7,6.2,279
61093,2015,10,8,9.5,280
61093,2015,10,9,24.0,281
61093,2015,10,10,22.1,282
61093,2015,10,11,17.6,283
61093,2015,10,12,21.5,284
61093,2015,10,13,6.1,285
61093,2015,10,14,23.0,286
61093,2015,10,15,25.2,287
61093,2015,10,16,25.9,288
61093,2015,10,17,20.9,289
61093,2015,10,18,10.4,290
61093,2015,10,19,22.9,291
61093,2015,10,20,22.7,292
