Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,index,Quality_Y
61375,2015,1,1,16.1,1.0,0,True
61375,2015,1,2,20.3,1.0,1,True
61375,2015,1,3,19.4,1.0,2,True
61375,2015,1,4,18.9,1.0,3,True
61375,2015,1,5,18.7,1.0,4,True
61375,2015,1,6,19.0,1.0,5,True
61375,2015,1,7,18.5,1.0,6,True
61375,2015,1,8,14.4,1.0,7,True
61375,2015,1,9,17.8,1.0,8,True
61375,2015,1,10,20.4,1.0,9,True
61375,2015,1,11,18.9,1.0,10,True
61375,2015,1,12,18.1,1.0,11,True
61375,2015,1,13,17.2,1.0,12,True
61375,2015,1,14,18.6,1.0,13,True
61375,2015,1,15,16.2,1.0,14,True
61375,2015,1,16,17.1,1.0,15,True
61375,2015,1,17,16.4,1.0,16,True
61375,2015,1,18,18.0,1.0,17,True
61375,2015,1,19,17.1,1.0,18,True
61375,2015,1,20,15.9,1.0,19,True
61375,2015,1,21,17.8,1.0,20,True
61375,2015,1,22,18.1,1.0,21,True
61375,2015,1,23,18.9,1.0,22,True
61375,2015,1,24,19.8,1.0,23,True
61375,2015,1,25,19.1,1.0,24,True
61375,2015,1,26,18.2,1.0,25,True
61375,2015,1,27,17.0,1.0,26,True
61375,2015,1,28,15.6,1.0,27,True
61375,2015,1,29,12.3,1.0,28,True
61375,2015,1,30,10.2,1.0,29,True
61375,2015,1,31,12.6,1.0,30,True
61375,2015,2,1,15.5,1.0,31,True
61375,2015,2,2,15.9,1.0,32,True
61375,2015,2,3,13.1,1.0,33,True
61375,2015,2,4,12.4,1.0,34,True
61375,2015,2,5,15.1,1.0,35,True
61375,2015,2,6,13.8,1.0,36,True
61375,2015,2,7,15.1,1.0,37,True
61375,2015,2,8,16.1,1.0,38,True
61375,2015,2,9,19.3,1.0,39,True
61375,2015,2,10,19.5,1.0,40,True
61375,2015,2,11,16.8,1.0,41,True
61375,2015,2,12,15.7,1.0,42,True
61375,2015,2,13,17.7,1.0,43,True
61375,2015,2,14,16.2,1.0,44,True
61375,2015,2,15,16.4,1.0,45,True
61375,2015,2,16,16.3,1.0,46,True
61375,2015,2,17,16.1,1.0,47,True
61375,2015,2,18,16.9,1.0,48,True
61375,2015,2,19,15.5,1.0,49,True
61375,2015,2,20,16.5,1.0,50,True
61375,2015,2,21,18.5,1.0,51,True
61375,2015,2,22,18.7,1.0,52,True
61375,2015,2,23,18.8,1.0,53,True
61375,2015,2,24,18.9,1.0,54,True
61375,2015,2,25,17.6,1.0,55,True
61375,2015,2,26,16.9,1.0,56,True
61375,2015,2,27,17.4,1.0,57,True
61375,2015,2,28,15.6,1.0,58,True
61375,2015,3,1,18.2,1.0,59,True
61375,2015,3,2,15.0,1.0,60,True
61375,2015,3,3,12.6,1.0,61,True
61375,2015,3,4,18.1,1.0,62,True
61375,2015,3,5,16.0,1.0,63,True
61375,2015,3,6,12.1,1.0,64,True
61375,2015,3,7,13.4,1.0,65,True
61375,2015,3,8,16.3,1.0,66,True
61375,2015,3,9,16.7,1.0,67,True
61375,2015,3,10,18.3,1.0,68,True
61375,2015,3,11,19.2,1.0,69,True
61375,2015,3,12,17.4,1.0,70,True
61375,2015,3,13,16.5,1.0,71,True
61375,2015,3,14,12.3,1.0,72,True
61375,2015,3,15,14.0,1.0,73,True
61375,2015,3,16,11.4,1.0,74,True
61375,2015,3,17,10.7,1.0,75,True
61375,2015,3,18,16.7,1.0,76,True
61375,2015,3,19,16.5,1.0,77,True
61375,2015,3,20,18.2,1.0,78,True
61375,2015,3,21,15.8,1.0,79,True
