Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.8,16.1,32.8,9.385763750000008
2015.0,11.2,21.0,20.3,29.2,9.388850416666664
2015.0,0.0,31.5,19.4,32.1,5.907256458333332
2015.0,0.0,26.8,18.9,34.8,5.987490104166668
2015.0,0.0,12.4,18.7,24.3,8.490919270833333
2015.0,0.0,27.2,19.0,27.8,9.170352395833334
2015.0,0.0,31.2,18.5,29.9,9.371324375000002
2015.0,0.0,31.9,14.4,32.2,9.1790575
2015.0,0.0,25.7,17.8,34.4,5.426621562499997
2015.0,0.0,13.5,20.4,29.3,4.147886666666666
2015.0,22.2,3.2,18.9,20.3,7.6043793750000015
2015.0,3.4,9.9,18.1,20.6,7.930792187499999
2015.0,0.8,22.2,17.2,27.5,9.802261354166667
2015.0,0.0,29.3,18.6,32.4,5.650816250000001
2015.0,0.0,29.6,16.2,28.2,6.102539687500002
2015.0,0.0,28.5,17.1,31.6,9.017607083333331
2015.0,0.0,32.1,16.4,34.2,9.475492187500002
2015.0,49.4,28.3,18.0,30.5,9.996030416666668
2015.0,26.0,3.5,17.1,18.0,10.054292395833334
2015.0,0.0,21.9,15.9,24.4,10.080198124999995
2015.0,0.0,27.8,17.8,27.7,9.887137395833332
2015.0,0.0,23.5,18.1,27.6,5.906110416666667
2015.0,0.0,27.7,18.9,31.0,6.578225416666668
2015.0,0.0,28.8,19.8,30.9,9.30086104166667
2015.0,3.6,26.5,19.1,34.7,10.27369614583333
2015.0,24.6,3.3,18.2,19.4,10.493427291666666
2015.0,105.4,3.0,17.0,18.5,10.26074333333333
2015.0,5.4,7.4,15.6,17.1,10.168866041666666
2015.0,0.0,27.0,12.3,22.8,6.600788333333331
2015.0,0.0,30.3,10.2,26.1,6.896044999999998
2015.0,0.0,24.4,12.6,26.6,8.979069270833334
2015.0,29.0,18.5,15.5,25.5,9.4254396875
2015.0,19.4,21.1,15.9,23.3,10.638311875
2015.0,0.0,17.0,13.1,23.0,10.344148854166669
2015.0,0.0,11.0,12.4,21.7,6.544615104166664
2015.0,0.0,16.5,15.1,22.8,6.8276542708333325
2015.0,0.0,21.0,13.8,23.2,9.627744895833336
2015.0,4.8,19.5,15.1,25.7,10.4856246875
2015.0,0.0,28.4,16.1,33.7,10.808231770833336
2015.0,0.0,4.9,19.3,23.0,10.548838124999996
2015.0,0.0,21.8,19.5,26.9,6.448879479166668
2015.0,0.0,25.5,16.8,27.6,6.0984309375000025
2015.0,0.0,22.7,15.7,28.3,6.526238645833336
2015.0,0.6,20.9,17.7,26.6,9.901787395833336
2015.0,0.0,21.0,16.2,27.5,10.550428124999998
2015.0,0.0,23.6,16.4,30.4,10.368103645833337
2015.0,0.0,25.1,16.3,29.3,10.279366145833334
2015.0,0.0,26.4,16.1,28.2,10.06823125
2015.0,14.4,25.0,16.9,27.4,10.208906875
2015.0,7.0,11.4,15.5,26.6,10.661764791666664
2015.0,10.0,9.2,16.5,25.5,10.916901562499996
2015.0,0.0,13.5,18.5,24.9,10.455516354166674
2015.0,13.0,12.1,18.7,25.0,6.737673333333334
2015.0,13.4,18.8,18.8,25.7,6.839341250000001
2015.0,0.0,13.0,18.9,26.5,9.960362812499998
2015.0,0.0,8.0,17.6,24.5,10.800421458333332
2015.0,0.0,10.2,16.9,25.5,11.0048725
2015.0,10.8,16.2,17.4,25.9,11.20031635416666
2015.0,0.0,18.1,15.6,28.5,10.989846354166673
2015.0,0.6,19.4,18.2,36.0,6.351205520833335
2015.0,0.0,8.5,15.0,22.0,6.7360871875
2015.0,0.0,23.4,12.6,29.1,9.671300520833327
2015.0,0.0,15.3,18.1,28.5,10.21046770833333
2015.0,0.0,23.2,16.0,27.4,10.44142927083333
2015.0,0.0,24.2,12.1,29.0,7.442431041666667
2015.0,0.0,20.5,13.4,25.2,10.256593437500005
2015.0,0.0,17.3,16.3,28.3,10.558834895833334
2015.0,1.6,23.3,16.7,31.6,10.757566770833336
2015.0,25.0,10.8,18.3,25.8,10.977559374999998
2015.0,0.0,17.6,19.2,30.1,10.810747291666669
2015.0,0.0,18.6,17.4,27.4,6.961919166666664
2015.0,19.0,3.3,16.5,17.9,7.448326458333334
2015.0,0.0,19.3,12.3,24.0,10.087773437499996
2015.0,0.0,11.8,14.0,22.3,10.701038020833336
2015.0,0.0,16.9,11.4,22.1,10.905339270833332
2015.0,0.0,13.2,10.7,22.8,10.544191979166667
2015.0,19.8,16.2,16.7,33.1,10.372223333333332
2015.0,4.2,21.9,16.5,30.3,6.7240909375000015
2015.0,2.0,16.9,18.2,36.5,7.230351770833333
2015.0,0.0,4.2,15.8,19.4,8.964866770833336
2015.0,20.0,5.1,16.1,20.2,10.465766354166668
2015.0,0.0,17.7,15.6,26.8,10.26051333333333
2015.0,0.0,10.3,17.6,28.9,6.4965782291666665
2015.0,0.0,17.8,12.0,22.6,6.883304166666663
2015.0,0.0,20.6,13.1,26.0,9.150583645833333
2015.0,0.0,21.6,9.5,25.5,9.69509177083333
