year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,30.85436,30.31587,29.5311,29.31279,28.93732,28.63471,28.25801,27.93604,27.64308,27.50921,27.41255,27.49959,27.20925,26.97341,26.75171,26.69857,26.69652,26.70773,26.68382,26.56536,26.77919,26.86431,27.01231,27.18104,27.86859,28.038,28.1597,28.67007,28.98494,29.33142,29.72134,30.23649,30.75343,31.17987,31.51489,31.55175,31.93131,32.37859,32.89407,33.77735,33.55226,34.47248,34.80569,34.16162,35.03654,34.907,35.09468,35.10229,34.81585,34.8429,34.97507,35.07367,35.11698,35.02972,35.54866,35.65371,36.02911,36.98805,37.88331,38.40194,38.13263,37.73138,37.84292,38.0586,38.34827,38.42864,38.63433,39.02416,39.67124,40.27881,40.85701,41.47794,41.58386,41.52345,41.46933,41.13667,40.62296,40.1893,40.05604,39.59803,39.04038,38.7299,38.27792,37.9322,37.37032,36.79461,35.94565,35.32228,34.65636,33.84865,33.13102,32.40393,31.77392,31.02923,30.56439,30.1034,33.45875958333334
2023,29.92907,29.55569,29.2036,29.0374,28.61339,28.21901,28.05335,27.85529,27.65982,27.53085,27.36815,27.16388,27.22164,27.07969,27.08105,27.10186,27.39668,27.52992,27.49669,27.48832,28.06641,28.54922,29.04226,29.79163,31.60167,32.63653,33.71264,35.27109,37.11085,38.04307,39.27243,40.06523,40.23514,40.83687,40.98764,41.04155,41.47254,41.33027,41.32369,41.54286,41.69937,42.10865,42.40874,42.52315,42.96221,42.87227,43.2814,43.42072,43.34564,43.64838,43.53748,44.41726,44.27349,44.1622,44.45608,45.93807,45.64415,45.49693,45.69941,45.03547,44.24542,44.32994,44.62333,44.34215,44.4901,44.64945,44.36159,44.3092,44.12442,44.4764,45.15845,45.60273,45.56765,45.56999,45.2647,45.04426,44.40325,43.53326,42.88414,42.16503,41.31799,40.62658,40.45037,40.01831,39.0776,38.13797,37.38193,36.72241,35.80386,34.79761,34.1047,33.18105,32.55173,31.76943,31.25029,30.74984,37.85976187500001
2023,30.32603,29.99486,29.52203,28.71135,28.56146,28.26036,27.98127,28.20533,28.11722,27.87385,27.74162,27.62181,27.54498,27.39486,27.5204,27.39396,27.58353,27.62935,27.94878,28.05964,28.58531,28.98899,29.41934,30.07297,31.83818,32.87393,33.84858,35.33727,37.16708,38.71065,39.45729,40.35498,41.10296,41.26636,41.54126,41.60949,41.92957,41.75761,41.90015,42.16585,42.79565,42.54553,42.92781,43.18276,43.35648,43.46176,44.15051,44.19,44.14123,44.597,43.99767,44.03279,44.58953,44.689,44.71704,45.06961,45.11125,45.26569,45.45684,45.46624,45.39944,45.23517,45.58109,45.27579,45.2352,45.17663,45.03903,44.64021,44.69603,45.27839,45.64707,46.20795,45.79822,45.41659,45.47675,45.20028,44.06967,43.39168,42.60686,42.05744,41.48766,41.03114,40.45659,39.77938,38.81244,38.07388,37.38994,36.85822,35.90375,34.91898,34.22937,33.57355,32.92981,32.05571,31.33911,31.00301,38.176426354166665
2023,30.63498,30.28964,29.87797,29.53722,29.1866,28.77878,28.53837,28.21581,28.17003,28.07438,27.92176,27.83959,27.82519,27.82208,27.55885,27.46492,27.72382,27.85177,28.11032,28.17521,28.7019,29.07712,29.4753,30.27743,31.87276,33.06224,34.01705,35.26053,37.13222,38.26363,39.09295,39.92853,41.00238,41.27713,41.42527,41.49146,41.37635,41.50053,41.43349,42.10144,42.60841,43.00715,43.23363,43.65106,43.58803,44.1591,44.27488,44.74416,45.07389,45.18843,45.08455,44.9711,45.29123,45.63147,45.94402,46.08569,46.17876,46.36709,46.91481,46.84547,46.82439,47.28453,46.90152,46.45581,46.34591,46.02011,45.76561,45.85876,45.97548,46.16033,46.33545,46.35585,45.92709,45.61622,45.34717,44.98357,44.20359,43.43422,43.0359,42.56237,41.78918,41.13053,40.60442,40.05626,39.06373,38.2317,37.58387,37.05176,36.28142,35.25767,34.86539,33.74205,33.15518,32.51053,32.06644,31.51136,38.56776354166666
2023,31.17286,30.78868,30.38746,29.95754,29.66512,29.38898,29.00313,28.87171,28.57426,28.29208,28.23363,28.09965,27.95423,28.03458,27.90024,27.79373,28.13616,28.06012,28.30936,28.69149,29.13707,29.68219,29.92921,30.70071,32.38279,33.46359,34.67969,36.19701,37.97554,39.60349,40.57538,41.6359,42.48844,42.74231,43.36172,43.8261,43.92786,44.18576,43.11608,43.42576,43.72987,43.80652,44.65076,45.25015,46.25554,46.15833,46.02456,45.36079,44.62958,44.92928,44.45231,45.21573,46.29066,45.90939,46.08399,45.74877,46.44556,45.81605,46.53504,46.93149,46.07045,46.07403,45.86471,44.97297,45.37344,45.64133,45.69718,45.33558,45.56334,45.68008,45.50283,45.62192,45.163,44.85459,44.56091,44.59385,43.60279,43.0272,42.84018,42.75442,42.18511,41.80166,41.25226,40.46249,39.3997,38.63892,38.05298,37.25192,36.24179,35.43796,34.5186,33.82318,32.99483,32.14565,31.31811,30.97297,38.91530114583335
2023,30.66336,30.44517,29.97501,29.38792,28.93448,28.47699,28.2803,28.13789,27.84125,27.68924,27.68176,27.37312,27.3577,27.2886,27.25729,27.00107,27.24273,27.26895,27.23185,27.53538,28.23014,28.65095,29.06768,29.8115,31.28365,32.60995,33.40174,34.60696,36.82064,37.82116,38.80054,39.67529,40.4982,40.83662,40.90776,40.95193,40.87402,40.8415,41.06919,40.9725,41.35604,41.35465,41.40242,41.34367,41.69676,42.24248,41.86837,41.97408,42.1241,41.81437,41.7892,41.86296,42.13628,42.23794,42.558,42.76926,42.7241,42.822,42.98096,42.70831,42.89715,43.16505,43.18931,43.2956,43.33269,43.46059,43.58582,43.453,43.47612,43.96527,44.19552,44.33173,44.02189,43.58526,43.36535,43.0872,42.00081,41.44067,40.76533,40.68642,40.16697,39.51512,38.98997,38.60129,37.85775,37.63353,36.93461,36.41453,35.56478,34.89089,34.18956,33.53096,32.91206,32.41044,31.80613,31.18271,37.15072927083333
2023,30.95913,30.4654,29.98552,29.48779,29.09698,28.73739,28.35261,27.95686,27.78397,27.63255,27.54486,27.20314,27.13167,27.08112,26.88081,26.82998,26.86375,26.78857,26.91668,26.94069,27.12448,27.39642,27.7335,28.08358,29.20878,29.64938,30.39255,30.84068,31.86681,32.5106,33.38493,33.63107,34.51084,35.06176,35.37833,35.46938,35.85013,36.1082,36.28617,36.16199,37.20597,37.414,37.11132,37.70303,37.19016,38.0341,37.31627,37.14059,36.7873,36.67122,36.80093,36.50755,36.95855,36.8727,37.08614,36.78607,36.80806,36.79572,37.63514,37.79652,37.75346,38.17482,37.89576,38.183,38.44512,39.00395,39.413,39.74873,39.86186,40.57312,41.41642,41.63535,41.53143,41.51252,41.26287,40.7896,40.46679,40.22078,40.11767,39.84649,39.2133,38.7427,38.49685,37.95355,37.35677,36.84121,36.48754,36.21291,35.53022,34.70719,34.26648,33.63532,33.04166,32.42247,31.9008,31.33571,34.540706354166666
2023,30.72421,30.36725,30.16714,29.70686,29.49369,28.91329,28.74131,28.3956,27.88115,27.91522,27.76603,27.48436,27.37938,27.22457,27.06299,26.8785,26.89187,26.93114,26.9406,26.76046,27.13487,27.10743,27.13569,27.52229,28.11828,28.4439,28.92151,29.24464,30.22349,30.71111,31.02091,31.46046,32.05396,32.26382,32.75008,33.01332,33.25656,33.59341,33.9154,34.24358,34.60855,34.5061,34.56091,34.55057,34.98573,34.9904,34.96141,34.59436,34.4478,34.60401,34.3826,34.50313,34.59024,34.73931,34.87745,35.023,35.05632,35.26709,35.54245,35.59296,36.17774,36.36635,36.85902,37.02793,37.45396,37.96264,38.2793,39.03504,39.71802,40.54438,41.47451,42.01692,42.42492,42.74899,42.6073,42.22417,41.9935,41.65145,41.48772,41.118,40.20335,39.57309,39.27353,38.80437,38.26838,37.61221,36.73303,35.98742,35.05436,34.3083,33.60468,32.65802,31.91001,31.36587,30.84388,30.00928,33.72423291666666
2023,29.74201,29.46318,29.05381,28.71288,28.53232,28.09499,27.91022,27.74539,27.60788,27.42057,27.30858,27.25736,27.32683,27.06227,27.11357,27.10031,27.49938,27.39818,27.79168,27.9808,28.5517,29.18283,29.62988,30.66009,32.20436,33.53193,34.88108,36.61986,38.78088,40.27735,40.82779,41.88889,42.98524,43.50293,43.12409,43.95912,43.9766,44.03473,45.08189,45.06266,44.69399,44.97254,44.70523,45.30756,46.35441,46.40334,46.87905,46.90435,46.93447,46.53973,46.4155,47.16205,47.26905,47.42705,47.16704,46.88947,46.67654,46.32305,45.76853,45.77961,45.92152,46.05861,45.83639,46.15164,46.78519,47.26411,47.00281,46.67972,47.04938,47.65175,48.17099,48.34884,48.29176,48.18845,48.3497,47.77007,46.56365,45.81962,45.15293,44.56299,43.80964,42.91503,42.35007,42.17598,41.32129,40.43069,39.4452,38.60191,37.55903,36.40995,35.51389,34.49385,33.88107,33.0389,32.02067,31.59397,39.54833260416667
2023,31.19403,30.76136,30.31812,29.92662,29.62784,29.44162,28.969,28.87633,28.73718,28.38728,28.15827,27.92929,28.08745,27.98796,27.99828,27.9483,27.99878,28.35257,28.60006,28.80336,29.42746,29.93843,30.26889,31.22851,32.87405,34.01899,35.35817,36.7154,39.06073,40.64082,41.81049,42.54129,43.09527,43.32846,43.44463,43.42863,43.52064,43.73994,44.06079,44.29027,44.95832,45.13218,44.74967,45.49218,45.58589,45.40889,45.96394,46.38258,45.88363,45.59268,45.60196,45.68789,46.24949,46.32808,45.63838,46.47605,45.66143,45.43923,45.69524,45.634,45.51167,45.55126,45.84081,45.66305,45.41238,45.14009,45.14913,45.176,45.64458,46.4004,46.94662,47.13822,47.05077,46.82818,46.72122,46.36084,45.41999,44.92139,44.25061,43.67757,43.05457,42.48062,41.8509,41.42122,40.41751,39.52881,38.71776,38.0045,37.09396,36.04997,35.01143,34.04447,33.21309,32.60079,31.93564,31.48269,39.33510395833333
