year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,index,averagemwh
2022,5.1213995043,5.0030720006,4.8496023164,4.7690942757,4.6400403705,4.6161793732,4.4627090043,4.3818102749,4.3457655922,4.1702156827,4.1136443993,4.1990533575,4.1592859481,4.2437054406,4.1830646801,4.143592893,4.1021733689,4.1967528593,4.1455827424,4.1606735016,4.0771064104,4.1503195098,4.3337666565,4.2496350258,4.4745315594,4.408665918,4.4993075367,4.6048030476,4.7665264011,4.8409120801,4.827287868,4.7414082765,4.7542302643,4.8276108234,5.0716749355,4.6513916075,4.461890346,4.4851550199,4.5200508991,4.4978419976,4.6299097788,4.8177530671,4.9049703584,4.9517005667,4.5147642194,4.699846362,4.947153019,4.6734124306,4.9540091678,5.1692872847,4.8059918922,5.0615994663,4.6758768507,4.4132970054,4.5895556135,4.7803143258,5.0624330179,5.2810814619,5.1119619,4.8313643069,5.0321925348,5.3454628668,5.3600847615,5.306639349,5.3257091602,5.4160563358,5.6599475672,5.7688599113,5.9301219706,6.1164736422,6.6133502305,6.5795299245,6.5276746187,6.4660151384,6.591352822,6.6463258006,6.5434456213,6.5461821349,6.4945875102,6.3435196103,6.3131129799,6.2769781383,6.3171557518,6.1537404539,6.0580137196,5.9706318026,6.0664478018,6.0534996866,6.1184455739,5.9103006448,5.9726998277,5.7459083969,5.5803161033,5.3744533934,5.1931395134,5.0337489556,0,5.060617939362887
2022,5.0258619516,4.8430951054,4.7969800701,4.6594100647,4.6253245507,4.5151977811,4.4565158278,4.3325687791,4.1944328647,4.0929238429,4.0696238472,4.0310621708,4.0544308128,3.986522482,4.0335113171,3.9462804638,3.9694776517,4.0109405245,4.0750416759,3.9624844194,3.988864731,3.9985614947,4.1408962662,4.0862288008,4.1794120833,4.0591939431,4.078755691,4.0864544074,4.1318845772,4.285428595,4.1811462922,4.1272941184,4.0765142336,4.3626051492,4.3692749316,4.1821163756,3.9487086681,3.7747050413,3.9211374218,3.9600876186,4.1870995774,4.1648227523,4.1448512187,4.2560196092,4.0812721522,4.4966660323,4.7255457645,4.3611454686,3.6649937255,4.0691726151,4.0695667275,4.0814777488,4.0095562616,4.0425561214,4.253717304,4.4508051348,4.423522283,5.1289962498,4.8377785438,4.0821397702,4.271887352,4.5109422607,4.5367503865,4.8427113974,4.9501295379,5.249193372,5.4807568539,5.6708505774,5.7854931299,6.0588949375,6.5485761397,6.5180207281,6.4983833151,6.5905354001,6.6679317596,6.6759669361,6.5397650068,6.6366608969,6.6624032865,6.5184830113,6.2873147641,6.2823348719,6.2702087437,6.3344658472,6.1789279667,6.2278287606,6.4039134609,6.2721021001,6.36731354,6.1874591314,6.1214760931,5.7346745187,5.5266655317,5.2761928699,5.2412988358,5.0709374583,1,4.815980541068042
2022,4.9792504336,4.86341843,4.8326994388,4.6790130689,4.6615153517,4.5545978214,4.3929494672,4.2755033526,4.4010469561,4.1852805925,4.1347307652,4.1030382669,4.2578097204,4.3792686871,4.3595954008,4.2553529087,4.3475265444,4.3934807772,4.590929529,4.573633414,4.6397286184,5.4044274321,4.8738668414,5.010150142,5.5466266609,5.7802327941,5.8469197187,6.3086450726,6.4293465331,6.5521941946,6.5434743238,6.5131231583,6.4762557088,6.6228720592,6.5267104318,6.17044696,6.0896047226,5.7316501812,5.5860868072,5.57992298,5.6207193044,5.5052068894,5.5102092072,5.6039504289,5.4950846859,5.6136158842,5.6445713808,5.5374727719,5.5208774048,5.6041144839,5.5472230413,5.6050178991,5.6893685361,5.9152193658,5.8351929526,5.7744264831,5.8484790877,5.9271041763,5.7077296677,5.63346091,5.6689160598,5.7755114336,5.7369935052,5.8655192008,6.169839148,6.2680873269,6.4527162784,6.7361058119,6.7731066738,6.9679439932,7.4118037853,7.5506799158,7.4062219587,7.4836696935,7.4920716685,7.1859334782,7.1920840859,7.2008854991,6.9989739375,6.8868976238,6.7679045608,6.7387045954,6.5985063432,6.5496776383,6.3289264561,6.3492665571,6.3667494761,6.2764976331,6.338638018,6.1489385781,6.0027458034,5.7764220768,5.5739458616,5.4726331352,5.2905014909,5.0447028276,2,5.726192710907217
2022,4.8232293088,4.8403074066,4.7560188918,4.6368923023,4.6947073793,4.5103878975,4.3500292154,4.411532192,4.3517018917,4.1895871268,4.2187645525,4.2305286946,4.3610648391,4.4300783396,4.3752789644,4.2996317262,4.313088878,4.4848938634,4.5642277648,4.4477217947,4.6181079563,4.8327556645,4.8925444422,5.1639302087,5.555219187,5.9562332509,6.1477348994,6.4676046365,6.6507776544,6.7425178995,6.7770835193,6.8732616189,6.9584294685,7.2669103833,7.4321305717,7.4840432063,7.2855657297,7.5006984701,7.6522663146,7.6952394064,7.6809868779,7.612016688,7.8887534439,7.7948412816,7.708988091,7.7911893506,7.7491608162,7.8612549144,7.8457020051,7.7805495702,7.9986670466,8.0782156555,7.6549855572,7.7899689145,7.924041191,7.9113887933,7.8151564082,7.6958822167,7.7665022959,7.4963035459,7.2840891205,7.2065236656,7.087497335,7.4050669163,7.4426521183,7.5013078608,7.7823293721,7.7444966705,7.8967764661,8.3326790101,8.6318291989,8.8153438126,8.5641139109,8.426594444,8.4967015303,8.296704153,8.3489437374,8.2211474351,8.0050602655,7.9024627173,7.7004314383,7.5809271133,7.4516313767,7.4707543132,7.2772255726,7.1040882132,7.073338142,6.9262266022,7.007877645,6.8006746485,6.6210817959,6.4781917481,6.1173756119,5.9220599556,5.8206684447,5.6985989841,3,6.665265500278352
2022,5.5338394242,5.4281427485,5.3053978568,5.1356441962,5.1114996548,4.9957899554,4.8616331881,4.7371572641,4.745405189,4.583779774,4.6562021568,4.6060476783,4.6573715409,4.6826835453,4.6403129015,4.7144340192,4.604426986,4.8759730224,4.8102286009,4.8157703506,5.1237403648,5.3982665912,5.3263485087,5.555139965,6.1484279438,6.5427088479,6.6871984938,7.0032667007,7.1080809792,7.4924691666,7.4908832445,7.6304075873,7.4368833926,7.5535962718,7.6686670411,7.6771960375,7.6506507769,7.4493394569,7.338992749,7.1225601414,7.7883506188,7.5890570708,7.4935025705,7.4598617644,6.9856757622,7.3349038896,7.8282550356,7.7492790119,7.4406688312,7.1733239915,7.256382807,7.1017767209,7.6080680694,7.4793087214,7.4403447536,7.0953079511,6.7523022923,6.3688801369,6.6296168789,7.0863561589,7.0782392306,6.6872074526,6.673647436,7.0536253113,7.2901764458,7.4222385017,7.5494283045,7.6439925022,7.9671594311,8.1736283552,8.2094631236,8.5268547837,8.3280601531,8.3754090152,8.3200855961,8.2266070146,8.143883499,8.107597042,7.9752625692,7.7454831499,7.5404320795,7.7230675866,7.5932711256,7.3207242491,7.1928676316,6.9757702255,7.2190107529,7.1370741687,7.1469217489,6.8683401778,6.7141942256,6.6083796395,6.1948926398,5.9829714592,5.8455717096,5.5626575076,4,6.6978554968608215
2022,5.4545353666,5.3746063212,5.3738380492,5.1742286406,5.0626628851,5.0160903218,4.8744148137,4.8466517419,4.699384288,4.6649913397,4.6289500807,4.5139018131,4.7407006811,4.8334974024,4.7070827761,4.6284708879,4.8919096777,4.9216516618,4.9406678532,4.9341007645,5.0969474145,5.2081604089,5.4290993652,5.7167893654,6.1751017664,6.581513573,6.7892749843,7.0534732394,7.3213585381,7.6244343872,7.7232936497,8.016415611,7.9927359017,7.8171568141,7.8227494826,7.4726653591,7.3479728824,7.5878491694,7.1246498312,7.1311245736,7.0774580245,7.1939550548,7.2847206515,7.4121803224,7.686768747,7.7684792682,7.4148741912,7.4816088012,7.4491580739,7.4416525906,7.2100170577,7.1836086333,7.5096730304,7.3814779175,7.3856619764,6.9072895567,7.171448819,6.7781919415,6.391044929,6.8898736102,6.5757619471,6.7321784206,6.7929078945,6.943230899,7.0769087398,7.0631572591,7.3809990861,7.5410448368,7.5982869482,7.8779567223,8.2454697836,8.2685201494,8.2146017259,8.0827238491,8.0258213934,8.0488712837,7.9010860627,7.7800283413,7.6690203918,7.6388605382,7.4759436632,7.2714042922,7.3791045313,7.2325255379,7.0996166348,7.138012183,7.2120185287,7.023045686,6.8490362958,6.6038008405,6.7316735497,6.4972099556,6.110134842,5.9011490003,5.936172947,5.7221885726,5,6.669842476429897
2022,5.662754382,5.5518057586,5.3350398102,5.1624611889,5.2251236016,5.0997324694,4.8713561245,4.8312749088,4.7583683117,4.7222938043,4.7249352135,4.7813740355,4.7861269897,4.8290742511,4.7605134664,4.8531916497,4.872621507,4.8844504341,5.0320333682,5.0299078239,5.0509342169,5.3227069441,5.5551757053,5.7062333148,6.0971348569,6.3173923905,6.4803957344,6.6863639912,6.8402510123,6.9442339836,7.0961342178,7.2546808005,6.9871471978,6.9975262781,6.9569465634,6.9667755792,7.1470013322,7.4103266815,7.3649398222,6.4464463147,6.5290429992,7.0895218784,6.9186187485,6.6869210934,7.4490687709,7.4261802918,7.4307582539,7.2788648483,6.8452321027,7.2692628085,6.8141336262,6.7490285152,6.5872938063,7.2117270149,6.8492621306,7.0296679162,6.9009332383,6.4891262949,6.3509534801,6.7329109714,6.559798149,6.4693300577,6.3338028747,6.6842382187,6.9883338908,7.0779680311,7.1307527917,7.1801991612,7.358776908,7.6417972655,8.158958585,10.581960588,8.1633701145,8.1261122426,7.8934110084,7.8472217726,7.7941668967,7.7616440232,7.6621339237,7.5141732162,7.335931416,7.4029580914,7.3050274659,7.1932016,7.2365232874,7.2227927677,7.3722020096,7.1872942693,7.2640415225,7.0754929023,6.8663092434,6.6419773824,6.2828481882,6.12009436,5.8337689932,5.752753818,6,6.567660431575256
2022,5.6603133005,5.5976763947,5.3569049475,5.2609780946,5.2130058425,5.1243665699,4.8855141193,4.8338537013,4.7754336084,4.6483938232,4.5987741164,4.5218900841,4.5635180771,4.4982631767,4.5527160296,4.4036065757,4.5060627798,4.4992034354,4.5893311102,4.5409172696,4.5546341893,4.5532545105,4.6755955701,4.5938065118,4.8330366408,4.9535112014,4.8670461855,4.9935878522,5.131846299,5.3231132679,5.2757866222,5.3348950423,5.2638126989,5.2557828672,5.4743500921,5.3131453237,5.2745590152,5.4133254524,5.2368188311,5.1292081423,5.2063385139,4.9750060404,5.0600058978,5.5703659816,4.936729582,5.8433647751,5.8135041768,5.4645620853,5.0405997786,5.2046273393,5.7889639633,5.3307108503,5.9165003073,5.6857007797,5.4139821099,5.5606650524,5.7910426401,6.5212114791,6.4229809325,5.7571056791,6.3931307577,6.1207526914,6.3894405757,6.412463171,6.7033531283,6.6939519109,6.8539534001,6.9603010461,7.2107936798,7.5460259843,7.9543614477,7.9659805746,7.9408652461,7.8301205835,7.9167916525,7.8570369603,7.745688309,7.6570609434,7.6416202383,7.4831835581,7.4001225361,7.3820906558,7.2453472213,7.3138811105,7.1186651236,7.2162614573,7.3808546036,7.0895919513,7.3222097791,7.3519026323,7.2424037416,6.972383997,6.5804287557,6.4277391554,6.4479162286,6.2850044131,7,5.92205656245361
2022,6.0038501171,5.8686755431,5.7259556179,5.4981055996,5.516210463,5.4281051823,5.2107701294,5.1060673132,4.9880973828,4.9532124406,4.9147447463,4.8662380458,4.7943024261,4.7487266895,4.6969673821,4.6711313528,4.7286041112,4.7149437976,4.6288757282,4.6359191755,4.7273750396,4.7295237513,4.8036834433,4.6667011067,4.8480139025,5.043934004,5.0015674877,5.0111615197,5.0643200594,5.1396716182,5.1653692707,5.1632775646,5.2319862746,5.2513594687,5.2974357204,5.5412490804,5.8289425995,5.8162106755,5.8784143619,5.9520897635,5.9789699055,6.1245092753,6.0186194807,6.1830043484,6.1363183637,6.1462413235,6.1086177564,5.9532989773,5.8725979128,5.7535444395,5.7952493719,5.8621187066,5.8106848083,5.7270725044,5.7293240619,5.7750372243,5.7953983243,5.9895371974,5.8517187223,5.8187467091,6.1376560634,6.3982171477,6.2755101075,6.2775690977,6.524839596,6.6700432093,6.8844467466,6.9527081428,7.0753605741,7.406492987,7.8766708354,8.0466631128,8.0558157465,8.0250193404,8.0600837825,7.9826141357,7.9281667608,7.9809058903,7.8572694333,7.8609686122,7.7354776584,7.7521706407,7.6813306612,7.6017759275,7.5756591691,7.395344056,7.5713104655,7.4465433129,7.5547780004,7.4402520459,7.324053415,6.9853533585,6.654685264,6.4631322402,6.4276113542,6.109757525,8,6.12668717305567
2022,6.0033190164,5.7909459189,5.6058978807,5.5869912115,5.5270147359,5.3224902012,5.1557461749,5.1194877166,5.0361254231,4.9326591347,4.9459514896,4.89638118,4.9340232545,5.0486876239,5.0523768929,5.0380504303,4.9962537603,5.1709927911,5.2615899009,5.2492023688,5.3363610569,5.5935737071,5.7561294519,6.0261085299,6.3757359624,6.7392986362,6.7930980081,7.2951969285,7.4893174845,7.8294735125,7.8086993363,7.7135965816,7.5747913038,7.4734223136,7.2155135947,7.1389251087,6.9985048638,6.8970579832,6.775157523,6.5973540018,6.681428741,6.3915138125,6.5235677845,6.473541811,6.4982989575,6.5846659019,6.5134857911,6.3021461357,6.5739453018,6.4632042532,6.4033344846,6.4221578234,6.4439026537,6.948031158,6.7794715135,6.6114971032,6.9620955891,6.6968403633,6.6985694935,6.8067453305,6.6981646723,6.9128799427,7.1050844693,7.2221513649,7.4225875537,7.5112228699,7.9120096155,8.0949837702,8.1793776606,8.4667180572,8.8869307227,9.0207300688,8.8925562022,8.7542670557,8.6697844329,8.5189679509,8.4906031349,8.3034166943,8.2636241773,8.2047387008,8.2211202923,8.0952510325,8.0018959535,8.0778752961,7.9461314213,7.9408481653,7.8891340325,7.6497861833,7.6847927259,7.4888227326,7.3500988641,6.9596403181,6.6834288997,6.5458536064,6.2840742164,6.1558254456,9,6.839023972165981
2022,5.9033865013,5.8436702883,5.7348072273,5.5286438354,5.4963775916,5.3203897645,5.2611380411,5.2266502738,5.1966137134,5.1278126,4.9998886106,4.9734531766,5.0556614549,5.0709510392,5.0684364611,5.0423200451,5.0287637946,5.2331496291,5.1955709322,5.3633364174,5.3910944676,5.6741681596,5.8063502562,6.1529500036,6.6279954258,6.9356068586,7.0839392149,7.2671547254,7.6033947177,8.1469738008,8.042329645,8.0363521082,7.7492537141,7.4455697296,7.3442752442,7.2131567567,7.0523860255,6.8918208718,7.003652425,6.9027505113,7.0346273799,7.118356586,6.9047566805,6.7204200609,6.2395055779,6.4118764913,6.6623803473,6.8430976377,6.8736213796,6.7779186877,7.369763534,7.5565505744,6.992653987,7.282271315,6.9875942263,6.6864802087,7.0683741513,7.4924665608,7.656691482,7.6350839253,7.234191652,7.3368593492,7.5146525992,7.622321606,7.7805309107,7.9750173522,8.2103897443,8.4619844283,8.7065899885,8.9143612145,9.075613402,9.2099769071,8.9860732629,9.0496739372,9.0665865153,8.9039617058,8.8236208585,8.7120495109,8.6524295434,8.4895043753,8.5001134941,8.3614575301,8.2180876428,8.1512652706,7.9984120528,7.8424417518,8.0204043446,7.7730035344,7.8451938435,7.5841450832,7.508670174,7.2400110683,6.907156753,6.6797042899,6.3982459263,6.2961638436,10,7.076366518752578
