year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,12.59352,12.34432,12.02243,11.63856,11.5611,11.15557,11.00904,10.73831,10.63893,10.48061,10.35334,10.27019,10.19236,10.07325,9.95749,9.99906,9.88049,9.84215,10.03514,9.20796,8.63299,8.62552,8.60907,8.69973,8.7723,8.85252,8.96083,9.00989,9.18899,8.96395,8.84299,8.8009,8.84323,8.82409,9.0067,9.30663,8.772,8.72465,8.38907,8.58327,8.52847,8.05511,8.3049,8.31633,7.75,7.78988,7.71195,7.62972,7.56324,7.63418,7.67648,7.58365,7.70183,7.80384,7.95255,8.17072,8.28602,8.54873,8.64708,9.50646,9.28816,9.48952,10.31594,10.69503,11.09288,11.34759,11.66669,12.222,12.69182,13.1409,13.56489,14.04394,14.37674,14.31328,14.20918,13.90755,13.82689,13.62042,13.45604,13.46682,13.54501,13.27785,13.18275,13.38891,13.32074,13.58197,13.2144,13.49594,13.05321,12.54098,12.20704,11.6854,11.28223,10.9386,10.73749,10.55773,10.440737604166666
2023,10.32045,10.08668,9.7916,9.46255,9.37242,9.05529,8.76654,8.69405,8.50799,8.51228,8.44951,8.29996,8.45808,8.41626,8.28253,8.45871,8.42879,8.55035,8.61918,9.07807,10.31509,11.00941,11.31757,11.79148,12.54972,12.95981,13.50572,14.05005,14.26043,14.73888,14.98426,15.11376,14.93656,14.48856,13.55665,13.19358,13.15718,13.14691,12.69995,12.60773,12.37513,12.33784,12.3016,11.87069,11.6711,11.94778,12.4544,12.39206,12.34345,11.79493,13.16103,14.46113,14.1311,13.28913,13.45153,13.40054,13.97206,14.09037,13.44031,12.67377,13.10385,13.45865,13.27938,14.05079,14.64097,14.83089,15.25173,15.53366,16.10222,16.51945,17.08295,16.99011,17.46008,17.2864,17.31102,17.08715,16.98781,16.72314,16.89185,16.2531,15.35753,15.17319,14.51649,14.71214,14.80407,15.75749,16.11821,16.0725,15.68079,15.09094,14.73437,14.17456,13.54119,13.49402,13.50411,12.97615,13.042786354166664
2023,12.65889,12.22601,11.9005,11.80166,11.64796,11.48555,11.06034,11.06143,10.91793,10.90085,10.63962,10.52356,10.56042,10.5249,10.34179,10.53069,10.76165,10.66223,10.85962,10.99016,11.4743,11.75856,12.01695,12.36079,13.17382,13.38088,13.9193,14.11766,14.46995,14.64273,14.82208,14.64302,14.2726,13.73748,13.31318,13.49334,13.23971,13.34854,13.15062,12.94752,12.0564,12.31771,12.43557,12.15133,12.08535,12.65511,12.62109,12.42695,12.90584,12.361,11.94877,12.32812,12.22343,12.16894,12.11492,12.49047,12.47753,12.66186,12.90061,12.89831,12.76983,13.14878,13.58051,13.94111,14.55425,14.93745,15.41978,15.54654,16.0773,16.54692,17.22092,17.61734,17.65861,17.53823,17.42806,17.20831,16.80686,16.69604,16.38787,16.19189,15.29895,14.74932,14.57007,14.77429,15.12725,15.98833,15.49782,15.8113,15.42717,15.03006,14.60073,14.13507,13.73298,13.33226,13.00672,12.95641,13.43628572916667
2023,12.69104,12.40171,12.20733,11.72468,11.62451,11.32549,11.01518,10.97881,10.7843,10.73705,10.70723,10.595,10.56448,10.66894,10.39064,10.29915,10.34012,10.40849,10.52449,10.66952,10.97961,11.29886,11.64214,12.24146,13.22543,12.97281,13.1048,13.89625,14.31483,14.54674,14.7068,14.59902,14.29302,14.13628,13.91515,13.84521,13.63803,13.3346,12.98064,12.78774,12.54932,12.55804,12.4277,12.43383,12.4263,12.21311,12.25461,11.93927,12.16924,12.37666,12.42912,12.4901,12.27231,12.55617,12.89663,12.96109,13.08532,13.08125,13.40007,13.67037,13.4919,13.85635,14.56424,14.96331,14.98924,15.20513,15.67208,15.80932,16.14702,16.53583,17.02206,17.38482,17.27509,17.38786,17.51016,17.27099,16.93116,16.62269,16.2557,16.20514,15.87517,15.9376,15.70641,16.15798,16.03106,16.38488,15.92992,16.08098,15.44334,14.91721,14.43685,13.98422,13.57326,13.05893,12.91761,12.60971,13.535971979166666
2023,12.46587,12.44958,12.06376,11.48754,11.39137,11.13453,11.03301,10.8526,10.70769,10.74345,10.57534,10.53417,10.36827,10.36154,10.36278,10.4371,10.51366,10.42668,10.56548,10.79742,11.01597,10.82809,11.35038,12.3103,12.50573,13.3253,13.99952,14.12234,14.51994,15.17421,15.51879,15.56139,15.32404,15.34653,15.58008,14.99444,14.66012,13.97394,12.51693,13.03208,12.75547,12.4551,12.76978,13.74012,13.07045,13.28057,13.40813,12.73145,12.17142,12.7152,13.1377,13.20159,13.70356,13.418,12.47978,13.10672,11.63962,12.98337,14.28576,14.21342,13.51152,13.71524,13.88194,14.05109,14.66331,14.76877,15.1549,15.35825,15.7863,16.06975,16.5067,16.95531,17.15457,17.18706,16.91568,16.79195,16.54338,16.16289,15.41661,15.91065,16.13342,16.06226,15.80381,16.32059,16.32346,16.41666,16.07299,16.05959,15.54136,14.97888,14.62408,14.07187,13.43167,12.42245,12.20813,11.74619,13.613775520833338
2023,11.41739,11.32954,11.0257,11.43405,11.75277,11.34006,11.00353,10.90305,10.82213,10.71576,10.7937,10.6324,10.68063,10.74707,10.44178,10.52847,10.58349,10.57032,10.66289,10.87489,11.31543,11.5268,12.0188,12.28261,13.06666,13.28609,13.93587,14.14003,14.71757,15.13298,15.17161,14.80632,14.39496,14.14141,13.8924,13.70979,13.29139,13.0441,12.90216,12.72596,12.60224,12.47316,12.18146,11.83795,11.62787,11.58226,11.73041,11.75279,11.94553,11.82979,11.8285,11.59299,11.42177,11.30962,11.45323,11.73342,11.74816,12.05195,12.32115,12.55053,12.61194,12.72332,12.94792,13.39888,13.76837,14.39011,14.97023,15.35241,15.63534,16.27449,16.96481,17.32273,17.05356,17.071,17.10383,17.04332,16.73544,16.65884,16.75788,16.74342,16.41638,16.33868,16.19731,16.24338,16.47654,16.89814,16.82251,16.89664,16.38936,15.91654,15.68761,15.0946,14.61311,14.17006,14.17833,13.68196,13.425899270833325
2023,13.29458,13.13417,12.65161,12.4248,12.14499,11.80874,11.46699,11.26621,11.01334,11.03117,10.80391,10.77369,10.67221,10.48725,10.35987,10.37545,10.45251,10.40329,10.44122,9.67949,9.38672,9.43997,9.51663,9.74222,10.04269,10.13181,10.23633,10.60247,10.77781,10.89642,11.03949,11.12628,11.16999,11.10479,10.88504,10.68627,10.6798,10.59111,10.24426,10.27624,10.7275,10.98838,10.84477,10.25874,9.28353,9.327,8.8655,8.85112,8.68526,8.73463,8.83179,9.17474,9.35187,10.0164,9.7092,9.00462,8.98318,9.21649,9.84696,9.45835,9.99248,10.56383,10.56473,10.80484,11.21753,11.74633,12.29548,12.97745,13.43761,14.12777,14.60365,15.19537,15.37169,15.38579,15.56498,15.22175,15.07367,15.1036,15.00384,14.87469,14.82904,14.75319,14.77154,14.89842,14.93926,15.32864,15.28106,15.50224,15.10399,14.76289,14.43878,13.92688,13.37078,13.0812,12.77516,12.33871,11.69427833333333
2023,12.14339,11.84094,11.55368,11.03467,10.89717,10.4953,10.15852,9.95935,9.81712,9.74068,9.61649,9.29981,8.98855,8.83083,8.65645,8.57204,8.63617,8.66958,8.6839,8.70718,8.6791,8.73076,8.81192,9.03551,9.30259,9.43636,9.62924,9.79219,9.89561,9.92153,10.05843,10.20173,10.35845,10.41321,10.18411,10.05486,9.76894,9.41359,9.29743,9.00013,8.66196,8.50073,8.33232,8.21061,8.01946,7.97089,7.81553,7.54043,7.5778,7.63345,7.54597,7.31727,7.57002,7.59449,7.54153,7.78191,7.9492,8.0182,8.38729,8.70434,9.02023,9.2604,9.72812,10.1566,10.72986,11.24844,11.79653,12.14242,12.73145,13.552,14.39034,14.80729,15.13166,15.10049,15.15115,15.12364,15.19904,15.12102,15.05536,14.87898,15.0188,14.92696,14.93784,15.17464,15.78734,16.1178,15.9799,15.9757,15.3892,15.17283,14.80458,14.22982,13.74254,13.17694,13.29703,13.20684,10.877340520833334
2023,12.9546,12.60193,12.37745,10.36019,10.2627,10.00198,9.66484,9.48549,9.40222,9.09772,8.91235,8.82982,8.80223,8.86925,8.80602,8.75102,8.78686,8.83878,9.0886,9.19684,9.59762,9.98,10.16366,10.59487,11.21703,12.15728,13.20672,12.97913,12.8739,13.55316,13.88811,13.78621,13.27768,13.57812,13.87277,13.6035,13.55541,14.23213,14.66882,15.23574,15.68982,15.67257,15.8395,14.55705,13.76276,14.78815,15.26335,15.73326,16.28821,15.625,15.3017,15.75941,15.41235,15.2493,15.62082,15.74514,15.3247,14.92447,14.60399,13.7722,14.35585,14.88439,15.2604,16.03782,16.96477,17.39992,17.59478,17.79479,18.1522,18.59813,19.19808,19.40814,19.44439,19.674,19.63568,19.4781,19.25428,18.7864,18.52159,18.34793,18.18882,17.82405,17.47999,18.02742,18.15327,18.15024,17.8891,17.84659,17.1075,16.45626,15.8761,15.38964,14.74496,14.3138,13.94832,13.49735,14.37220364583333
2023,13.20499,12.78849,12.48947,12.06944,11.76982,11.58142,11.38237,11.15329,11.13435,11.09515,10.97337,10.90546,10.83845,10.7833,10.72775,10.75778,10.70795,10.82717,10.94786,11.09,11.6834,12.05787,12.2665,12.97579,13.78101,14.37151,14.93658,15.20297,15.49212,15.46016,15.26862,14.96832,14.88052,14.59416,14.16693,13.90338,13.93172,14.01837,13.39932,13.7436,13.58761,13.60027,13.70885,14.57286,13.13853,14.48959,13.0622,13.765,14.64645,14.39802,14.81579,14.22573,14.03128,14.81475,14.73355,14.68739,14.6381,13.32639,13.3016,13.59533,14.09971,14.14413,14.44917,15.14478,15.27417,15.53199,16.0521,16.43502,16.79567,17.34164,18.2592,18.737,18.72634,18.9235,19.0479,18.05434,17.46429,18.24303,17.86844,17.79686,17.58439,17.33139,17.06693,17.37348,17.36872,17.34423,17.01676,17.27649,16.73958,15.97745,15.48904,14.71246,14.44749,14.1266,13.79631,13.36195,14.425755937499991
