year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2018,21.74611,22.16212,21.08427,21.31119,21.50029,20.21443,19.3824,18.68275,17.64271,16.54595,16.60268,15.95975,15.92193,15.31683,15.24119,14.95754,15.48701,15.48701,15.48701,15.71393,16.28122,16.99979,17.68053,18.73947,20.3468,21.9163,23.82617,24.33673,25.4524,25.73605,26.54916,26.54916,26.54916,26.47353,26.47353,25.96297,25.96297,25.66041,25.20658,25.14985,25.71714,25.47131,25.54695,25.39568,25.18767,24.90402,25.2444,25.03639,25.37677,24.94184,25.52804,25.52804,25.52804,25.52804,25.52804,25.09312,25.28222,24.31782,24.96075,25.58477,24.94184,25.20658,25.52804,25.52804,25.62259,26.30334,26.30334,26.75717,27.13536,28.19431,29.49907,30.23655,29.70708,29.10197,29.10197,28.81832,28.23212,27.5892,27.15427,27.13536,26.26552,25.77387,25.11203,25.11203,24.75275,23.86399,23.75053,23.16434,23.56144,23.06979,22.8996,22.01085,21.23555,21.65156,21.74611,21.34901,23.514754374999992
2018,21.78393,22.1243,20.81954,20.97081,20.83845,20.06315,19.04203,18.11546,17.28343,17.0187,16.37577,16.33795,15.67611,15.6572,15.6572,15.6572,15.6572,15.6572,15.6572,15.8463,16.33795,16.69723,17.43471,18.24782,19.83623,21.38683,22.91851,23.59926,24.4691,25.35786,24.82839,25.81169,25.35786,25.14985,25.11203,25.11203,24.77166,24.80948,24.67711,25.11203,25.41458,25.11203,24.92293,24.43128,24.43128,24.82839,24.96075,25.14985,25.07421,25.0553,25.43349,25.11203,25.11203,25.11203,24.77166,24.072,24.79057,24.24219,24.43128,24.73384,25.11203,24.75275,24.48801,25.11203,25.41458,25.69823,25.69823,26.11424,26.56807,27.55138,28.98851,29.10197,28.68596,28.51577,28.51577,28.51577,28.04303,27.28664,26.88954,26.47353,25.69823,25.33895,24.69602,24.2611,24.2611,23.86399,23.39125,22.80505,23.39125,23.41016,22.80505,22.06757,21.57592,21.76502,21.87848,21.40574,23.13124375
2018,21.76502,21.85957,20.70608,20.66826,20.70608,19.89296,18.5882,17.88854,16.88633,16.54595,16.16776,15.60047,15.48701,15.48701,14.69281,14.63608,14.97645,15.20337,15.31683,15.31683,15.60047,16.28122,16.84851,17.45362,19.06094,20.57371,21.99194,22.97524,23.50471,24.69602,24.77166,24.77166,24.77166,24.77166,24.77166,24.39346,23.92072,23.54253,24.09091,24.16655,24.09091,23.61817,24.2611,24.37455,24.71493,24.62038,24.20437,24.8473,24.69602,24.56365,24.33673,24.71493,24.94184,24.94184,24.94184,24.94184,24.62038,24.67711,24.6582,23.75053,23.8829,24.18546,24.43128,24.77166,24.50692,25.11203,25.20658,26.00078,26.79499,28.02412,29.13979,30.12309,30.12309,30.12309,29.83945,29.3667,29.04524,28.68596,28.02412,27.94848,27.211,26.64371,26.49244,25.30113,25.8306,25.35786,24.94184,23.86399,24.41237,24.92293,24.6582,23.56144,22.1243,22.69159,23.14543,22.33231,23.132228645833337
2018,22.88069,23.03197,21.76502,21.87848,21.84066,20.9519,20.08206,18.87184,18.02091,17.45362,17.11324,16.58377,16.4325,15.77066,15.75175,15.75175,15.75175,15.75175,16.07321,16.4325,16.98088,17.11324,17.92636,18.90966,19.70387,21.85957,23.56144,24.31782,25.49022,26.0386,26.0386,26.0386,26.0386,25.69823,25.35786,25.35786,25.16876,25.22549,25.03639,25.41458,25.79278,24.90402,24.94184,25.30113,24.8662,25.03639,25.18767,25.43349,25.4524,25.4524,25.4524,25.69823,25.52804,25.4524,25.4524,25.52804,25.4524,24.8473,24.8473,24.8473,24.82839,24.41237,24.8473,25.43349,25.52804,25.94406,26.77608,27.55138,28.19431,28.95069,30.12309,30.80384,30.80384,30.80384,30.80384,30.16091,29.93399,29.3667,28.95069,28.68596,28.68596,28.11867,27.91066,27.32446,26.73826,26.0386,25.62259,24.56365,24.63929,24.67711,24.16655,22.86178,22.16212,22.3134,22.72941,22.25667,24.006799791666662
2018,22.91851,22.74832,21.65156,21.48138,21.87848,20.87627,20.02533,18.87184,18.19109,17.54817,17.0187,16.67832,16.26231,15.6572,15.6572,15.6572,15.6572,15.6572,15.82739,16.33795,16.90524,17.52926,18.02091,18.73947,20.23334,21.70829,23.42907,24.67711,25.69823,26.64371,26.64371,26.64371,26.83281,26.71935,26.71935,26.66262,26.13315,26.13315,26.13315,26.13315,25.69823,25.35786,25.94406,25.58477,25.18767,25.18767,25.18767,25.32004,25.39568,25.01748,25.01748,25.01748,24.58256,25.01748,25.01748,25.01748,24.92293,25.11203,25.11203,25.11203,25.11203,25.11203,25.33895,25.43349,25.69823,25.26331,26.13315,26.47353,26.8139,27.36228,28.61032,29.51798,29.25325,28.85614,28.85614,28.11867,27.87284,27.4001,27.11645,26.53025,26.0386,26.0386,25.58477,25.35786,24.90402,24.45019,23.99636,23.71272,23.97745,24.18546,23.52362,22.74832,22.3134,22.78614,23.33452,22.42686,23.69794208333334
2018,22.14321,22.23776,21.15991,21.15991,21.29228,20.32789,19.59041,18.47474,17.90745,17.2267,16.62159,15.99757,15.99757,15.35465,15.31683,15.31683,15.31683,15.31683,15.31683,15.31683,15.31683,15.31683,15.31683,15.48701,16.09212,16.09212,16.65941,16.77287,17.07542,17.94527,18.13437,18.56929,19.26894,19.68496,20.17661,20.17661,20.17661,20.17661,20.19552,20.85736,20.85736,20.44134,20.04424,20.42243,19.79842,19.74169,19.74169,19.74169,19.74169,19.74169,19.74169,19.74169,19.74169,19.74169,19.74169,19.74169,19.74169,19.74169,20.11988,20.51698,20.51698,21.06536,20.91409,21.27337,21.27337,21.93521,22.67268,23.71272,24.10982,25.0553,26.32225,27.34337,27.4001,27.4001,27.4001,27.003,26.64371,26.45462,25.58477,25.54695,25.28222,25.28222,25.28222,24.80948,24.03418,23.71272,23.23997,22.76723,23.35343,23.41016,23.10761,22.18103,21.36792,21.82175,22.29449,21.7272,20.614880520833328
2018,22.37013,22.44577,21.63265,21.80284,21.9163,20.91409,19.85514,19.06094,18.28564,17.45362,17.07542,16.77287,16.41359,16.09212,16.09212,16.09212,16.09212,16.09212,16.09212,16.09212,17.16997,17.73726,18.41801,19.26894,21.10318,23.16434,25.18767,26.28443,27.19209,28.26994,28.68596,29.02633,28.83723,28.40231,27.74047,27.55138,26.88954,26.88954,26.87063,26.8139,26.6248,26.13315,26.05751,25.4524,25.77387,25.81169,25.4524,25.09312,25.58477,25.90624,24.96075,25.52804,25.66041,26.20879,24.80948,25.79278,25.22549,25.11203,25.11203,25.11203,25.11203,25.11203,25.11203,25.77387,26.34116,26.49244,27.26773,28.13758,28.91287,30.57692,31.99515,32.77044,32.33552,32.16533,32.61917,32.16533,31.67368,31.48459,31.04966,30.7282,29.72599,29.44234,28.85614,28.1754,28.06194,27.4001,26.68153,25.71714,26.2277,26.01969,24.99857,23.90181,23.2967,23.46689,23.41016,23.01306,24.872704479166668
2018,23.50471,23.4858,22.48359,22.46468,22.55923,21.57592,20.66826,19.72278,18.81511,18.43692,17.94527,17.0187,17.11324,16.73505,16.4325,16.4325,16.4325,16.88633,17.11324,17.45362,17.79399,18.26673,19.36349,20.17661,22.08648,23.99636,26.00078,27.38119,28.66705,29.53689,29.91508,29.53689,29.00742,29.04524,28.34558,28.32667,28.08085,27.64592,27.211,27.15427,26.71935,26.79499,26.54916,25.33895,25.69823,25.52804,25.37677,25.69823,25.47131,25.54695,24.94184,25.18767,25.69823,25.69823,25.33895,24.8473,24.2611,24.92293,24.94184,24.94184,24.8662,24.71493,25.20658,25.69823,25.69823,26.34116,27.36228,27.96739,28.7616,29.9529,31.54132,32.27879,32.2977,32.44898,32.60026,32.2977,31.99515,31.33331,30.87948,30.63365,29.99072,29.80163,29.27216,29.04524,28.51577,27.75938,27.22991,26.4168,26.53025,26.45462,25.67932,24.58256,23.41016,23.76944,24.09091,23.27779,25.218988020833326
2018,23.80726,23.6749,22.48359,22.46468,22.37013,21.42465,20.66826,19.43913,18.66384,17.98309,17.6238,17.0187,17.0187,16.73505,16.33795,16.33795,16.33795,16.33795,16.39468,17.0187,17.66162,18.02091,18.9853,19.83623,21.70829,23.78835,26.30334,27.4001,28.44013,29.53689,29.57471,28.79941,28.68596,28.55359,28.00521,27.55138,27.32446,26.66262,26.64371,26.64371,26.15206,25.86842,25.86842,25.60368,25.66041,25.96297,26.15206,25.30113,25.4524,25.52804,26.07642,25.41458,24.58256,24.09091,24.09091,24.16655,24.12873,24.16655,24.29891,23.92072,23.92072,23.92072,23.6749,24.94184,25.4524,25.4524,26.26552,27.13536,27.13536,29.06415,30.46346,31.06857,31.3144,31.10639,31.3144,31.04966,30.55801,30.04745,29.49907,29.3667,29.27216,28.68596,28.68596,27.89175,27.17318,26.64371,26.32225,25.30113,25.73605,25.86842,25.6415,24.45019,23.35343,23.71272,24.09091,23.33452,24.70488156249998
2018,23.73163,23.44798,22.38904,22.25667,22.29449,21.36792,20.36571,19.60932,18.81511,17.96418,17.86963,17.37798,17.18888,17.05651,16.50813,16.50813,16.50813,16.50813,16.65941,17.18888,17.79399,18.55038,19.49586,20.30898,22.1243,23.78835,26.13315,27.11645,28.13758,28.93178,28.93178,28.79941,28.25103,28.04303,27.57029,27.51356,26.88954,26.20879,26.64371,26.54916,25.96297,25.96297,25.69823,25.28222,25.03639,24.92293,24.79057,24.67711,24.67711,24.67711,24.67711,24.67711,24.99857,24.60147,24.8473,24.77166,24.39346,24.77166,24.82839,24.63929,24.60147,24.67711,24.67711,24.8662,25.4524,25.54695,26.20879,26.73826,27.85393,28.95069,29.61253,30.23655,30.29328,30.29328,30.89839,30.97403,30.36892,30.21764,29.53689,29.53689,28.91287,28.36449,28.1754,28.13758,27.30555,26.39789,26.05751,25.14985,25.8306,25.79278,25.18767,24.18546,23.18324,23.05088,23.41016,22.69159,24.600681666666674
