year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,index,averagemwh
2022,6.8655980808,7.5370011132,7.048339928,6.4620656801,6.0196494297,5.8109033543,5.8891593468,5.5546935443,5.0521809018,4.6414169358,4.3952897802,4.2173016577,3.9560637502,3.8111034185,3.7837784157,3.75714004,3.6776210292,3.7317721894,3.7407698952,3.7260312465,3.7528223356,3.8660224259,4.0236241327,4.1491838573,4.4146337088,4.6126120133,4.8713818118,5.0455500373,4.8259983584,5.026965031,5.1205637571,5.0785950231,5.0629612179,5.0145735065,4.6617195564,4.437426594,4.3300408623,4.0477418813,3.7927964604,3.5332188266,3.3606988823,3.342409443,3.2890060658,2.9509570527,2.9876766318,2.8567350694,2.6122745367,2.771068305,2.8696610611,3.2120191039,2.5567329317,3.7054621585,3.3409202657,2.9073991692,2.4971511245,2.6041849311,2.7253410677,2.9879923319,3.3719005299,3.5030448309,3.9427561651,4.2031260197,4.6718013144,4.9647380621,4.9581453442,5.363171581,5.7279035142,5.9075591693,5.9418395411,6.374754993,6.6427869872,6.8438489801,6.9151564307,6.8505067968,6.7852293916,6.6564607411,6.3927535881,6.3000493167,6.190140679,6.0500901116,6.2819173841,6.0850233433,6.2805789568,6.0099976678,6.1132480645,5.7942372464,5.7603774807,5.5523339898,5.5934996982,6.266246631,6.6804986186,6.4799410777,7.1540574488,6.8878741749,7.3662897675,7.0878771618,0,4.8337707635752585
2022,6.9202462676,7.5265708734,7.0809667767,6.5662044904,6.1259130764,5.8611257595,6.039797684,5.6725755232,5.1385296946,4.7522467315,4.5323611072,4.2673667229,4.1373450187,3.9930075223,3.7561759221,3.665569948,3.6716136936,3.6867013518,3.659413989,3.6536585257,3.7985583182,3.7340175349,3.8227937082,3.9100587284,4.1059327141,4.3405890098,4.5812915578,4.5971602104,4.3124696864,4.6339310691,4.7351615149,4.579049106,4.4638114336,5.0012248464,4.6087517612,4.3792302282,4.2119291321,4.0405642971,3.5532417101,3.2247779866,3.7277601673,3.5608180116,3.0154587444,3.1655326499,3.2328344288,3.1666112773,3.0797735129,3.2997983084,3.1555035908,2.6251530282,2.8322813795,2.2938245277,3.0055824431,3.464617805,2.5960637564,3.0261922692,3.5065883482,3.2346920815,3.2310683523,3.644698977,3.9655813579,4.1972997483,4.4790528755,4.6942930775,5.055126226,5.3443160632,5.6864398089,6.0758479651,6.2999040613,6.8637400588,7.2379818639,7.5285512197,7.6545484956,7.5274486969,7.3917744546,7.0663780453,6.7657503272,6.6400291019,6.4623428405,6.1990104848,6.524837655,6.1691052216,6.3543513408,6.0135638354,6.2361013354,5.8696432027,5.7029146564,5.4185726047,5.3859959532,6.0437053635,6.3822686261,6.0851021419,6.7448264262,6.6462796323,7.2731871286,6.9631899259,1,4.867586089837114
2022,6.710493916,7.3984158399,6.9463950253,6.5115293271,6.0403721572,5.7412992581,5.8914976744,5.376521481,4.9338342034,4.6788177213,4.3792630898,4.2055984763,3.9683183965,3.7847408408,3.7303465635,3.7055332344,3.6379843575,3.5996169715,3.7255095152,3.8234863896,3.9396836005,4.1315670172,4.3788119522,4.5039361171,4.888920657,5.3764356783,5.8374766291,6.1608331393,5.9243600458,6.1553357736,6.0303988428,5.7322723845,5.5415915745,5.191654157,4.7944259192,4.3380484865,4.0953141852,3.708667512,3.3769925896,3.1229827079,2.9854018077,2.848402821,2.6214947415,2.4572575954,2.2630086754,2.2305865511,2.1826157075,2.0346548273,2.0348413808,2.0461991007,2.0813435831,2.0823356368,2.2508036857,2.3936906809,2.458355583,2.5675091464,2.7375730691,2.9835392418,3.1739180009,3.3349598126,3.7105359105,3.9762114073,4.27966435,4.5623541711,4.8314354823,5.238835155,5.7232637401,6.0372879733,6.2429192089,6.7694990062,7.2796658804,7.6042619244,7.772613761,7.7789465192,7.6546953898,7.3670884768,7.0966959321,6.8616654852,6.7099493575,6.5168669904,6.8361238847,6.4271629546,6.5262572043,6.3069107528,6.4973710547,6.0631896398,5.8088172475,5.518524643,5.6445161998,6.2683770322,6.4359552943,6.1383015751,6.8621398182,6.5315032396,7.116878189,6.799588187,2,4.882307712318556
2022,6.5757248687,7.1650432266,6.8303527569,6.2914784944,5.8608274031,5.7242867921,5.8724729062,5.3912269288,4.8913695438,4.5580948648,4.317911905,4.0602473211,3.9547947786,3.8332035592,3.759820489,3.6099806902,3.5826192649,3.6544967096,3.6366670361,3.7413391447,3.9445082987,4.110684657,4.259349121,4.4828098469,4.8837604665,5.4176441631,5.9160400298,6.1305160144,5.9053074574,6.1610009508,6.08901892,5.9149996062,5.6400160697,5.2873080475,5.3629425048,5.4565787631,5.6451231655,5.6897278209,5.1634549119,5.100930895,4.3664797906,3.8640900163,3.5456252902,4.7499533235,5.3718379797,5.5085667996,5.3085234118,5.1850227797,5.4039451578,5.6708379886,5.6091854571,5.2848474743,4.7661442139,4.9811354874,5.1430941248,5.4408967325,5.6465268832,5.5252796989,5.6007306274,5.6961284805,5.9009362669,6.0184433067,6.1011308798,6.1651076255,6.35965053,6.58563644,6.901242481,7.2984013974,7.5483637433,8.1716010308,8.570934848,8.8839909108,9.0592999082,9.2020198173,8.9753896356,8.6018292226,8.3491186948,8.0704322546,7.9082461917,7.6282186078,7.8839227624,7.3882449073,7.5718138771,7.2782520192,7.5437128125,6.9472048798,6.7074833477,6.291958446,6.20768292,6.7910939245,7.0983917949,6.6709710389,7.184759443,7.0040044529,7.5502257945,7.1650122885,3,5.929147016637113
2022,6.903196832,7.6205361026,7.1750922468,6.6409048388,6.2785759612,6.0273670175,6.1074857175,5.6352309206,5.2580737029,4.8106832155,4.5830363261,4.3516554128,4.0570462745,3.8559006026,3.8036456392,3.6952578155,3.6720531792,3.7725600031,3.8317434722,3.8635338865,3.9769959055,4.1607072653,4.3994540867,4.7091370771,5.1268116841,5.726583372,6.2856344399,6.6476615118,6.3031112121,6.6688466094,6.7146315243,6.4222574514,6.4023828217,6.1873387121,5.7337382199,5.5267926938,5.5138122433,5.236876054,5.0771355945,4.7522440329,4.2862738269,4.667557897,4.3379046346,3.3660822604,2.6846894061,3.4447918098,4.163102703,4.3755154552,3.9185277939,2.6967480907,3.1351527984,3.939871167,4.4526879096,4.7007803105,4.4908613927,3.3111305015,4.1610918334,4.053784013,5.0361836417,5.3037586703,4.7685105024,5.0645432195,4.8534833468,5.1384948824,5.3947750574,5.7354086105,6.0528494971,6.4143088709,6.6157261612,7.3044823485,7.9791117239,8.2523306478,8.3415541257,8.3722808843,8.2917986309,8.0791825656,7.8525530505,7.6381943928,7.4356954212,7.0634086609,7.5296187429,7.1445256554,7.3913719721,6.9464634092,7.1324016263,6.6937108147,6.5404118251,6.1044566454,6.0877086444,6.6905192039,6.9604014594,6.6085510275,7.2813444853,6.9824177879,7.542546558,7.1258934184,4,5.623229522379381
2022,6.8983554577,7.4930377683,7.080330386,6.6166766748,6.2063961879,5.9087782276,6.0133704631,5.5789368253,5.0820457333,4.7232300987,4.5080617631,4.2542160989,4.196807737,4.0437500089,3.815578921,3.7566734632,3.745576908,3.7144165365,3.716258491,3.7956633332,3.8923222236,4.0686592982,4.2358884639,4.4647131253,4.8740824589,5.4609133406,6.0935847439,6.2949848535,5.8714482605,6.3694892525,6.4829232023,6.5665018013,6.4988335205,6.411137332,6.0226977498,4.7275971456,4.7833976122,5.5436566799,5.4808716704,5.1318986614,5.1358818222,4.5649102057,5.0812620174,5.1496086013,5.3456542972,5.0956093913,4.9934135496,4.3104280196,4.5011595874,4.4959971253,4.4475756584,3.0713167133,3.4816439613,3.3799918334,3.5429228862,4.3280864884,4.5650419966,4.2270483981,4.4214253622,4.0441026919,4.0490345348,4.4726933107,4.5691554083,5.0253407049,5.2370214534,5.5104053788,5.8705572718,6.1488601028,6.3827499125,6.8874775509,7.273441995,7.5824888063,7.665053387,7.8430258619,7.7190173357,7.5593924997,7.2697179444,7.0472357627,6.9384882643,6.6673398766,7.0375384696,6.8651150494,7.0765156657,6.5503538749,6.713043473,6.3329927455,6.1535029014,5.8919952041,5.9451447196,6.5319645219,6.8229871529,6.5346190045,7.1617435348,6.8672451966,7.419545359,7.0736848657,5,5.549518888532989
2022,6.8369912494,7.4173197338,7.0461819027,6.5534564069,6.0647728843,5.7807099746,6.0187076881,5.6434694129,5.1716904888,4.6467773641,4.3334991993,4.1183310181,3.9050805799,3.7715349799,3.6565049631,3.7029164734,3.7779802168,3.5932952621,3.6185945739,3.7627700621,3.8600261005,4.0185937694,4.2131489888,4.3791066444,4.7352069619,5.1937851805,5.6707395055,5.8452855172,5.5649769082,5.8863133827,5.8832563671,5.6585026938,5.7834404652,6.0133092829,5.8496439384,4.9236008102,4.3855109536,4.680978421,4.671417538,3.910799105,3.7186984606,3.7480852227,4.0133746003,3.372403925,3.688942508,3.4713401152,3.0724533396,3.2761353037,4.1888397692,5.3903062741,5.4651393659,3.4392549083,4.0042971379,4.5562219233,4.2511125335,3.5862220804,4.1863697776,4.0424096462,3.5332678855,4.3575083831,4.0928102221,4.4505570749,5.0290616139,5.3659910912,5.3873503353,5.4932404002,5.7783052778,6.0986417645,6.2851054399,6.8392619466,7.1450746941,7.3344340477,7.452044314,7.3395868779,7.2006749082,6.9938481921,6.7106349692,6.6113127256,6.5612316906,6.391243385,6.6828110717,6.4083443717,6.5465921971,6.216596599,6.3899944182,6.1397100237,6.0096716777,5.766909822,5.8763100845,6.4507594151,6.8153361427,6.6231670392,7.1068565399,6.9339249314,7.4845472741,7.1263154713,6,5.3097821461721635
2022,6.8072841333,7.4977885473,7.1501335184,6.5747946605,6.0480827672,5.7775419678,5.9126838588,5.4789708313,4.9884912584,4.6048930767,4.3179311208,4.1106885235,4.0014647277,3.7746831497,3.740688782,3.7361074498,3.6665814339,3.6416230073,3.5764686018,3.6413056184,3.7472877739,3.8288620243,3.8610038301,3.9407038696,4.187744129,4.3734911895,4.6181978996,4.9391729185,4.692136536,4.8935639709,4.9860948248,4.9368206051,5.0689555188,4.8812351744,4.737238972,4.5253194773,4.4154290887,4.0510550465,3.7872217101,3.7088126152,3.4842776825,3.222732438,3.3854160219,4.2079685249,3.6490520791,2.8673026815,3.060047274,3.0993395163,3.638899765,4.3670570827,3.8307099078,2.316768318,2.4907805363,2.8438737378,2.7898644012,2.8773509447,3.1350268173,4.2304876048,4.0315943981,4.1260413323,4.4081650057,4.6707141826,4.6738711426,4.7571724575,4.9432591451,5.3102746834,5.5932439184,5.8400529341,5.9482334601,6.3734314359,6.8356529245,7.0495760467,7.0325138622,6.9557857032,6.7315508358,6.690818502,6.4755456212,6.3167548433,6.1620313147,5.9099043778,6.1726223324,6.0072455958,6.1440832909,5.8695599869,5.9196444777,5.678501862,5.6299753358,5.4518004944,5.605292438,6.3545525572,6.6836565571,6.4351928547,7.0290550305,6.8952516645,7.4850197033,7.1399540658,7,4.959413463060826
2022,6.8561808697,7.5897811739,7.1355366101,6.5612571849,6.0364210402,5.8233650462,5.9920978496,5.5795781572,5.0762216772,4.6990906001,4.3179255185,4.0470669584,3.9125844326,3.8271278958,3.7529646208,3.6525473263,3.3797692586,3.2793530204,3.3217571634,3.3822026782,3.370175018,3.4375589889,3.4933275959,3.5404299748,3.6778416022,3.7940902574,5.0033350166,5.9758205134,4.5084368941,4.7151001224,4.9247427,4.8805493149,4.8972101306,5.2734466437,5.6370471688,5.6340687032,5.7866800575,6.0291018293,5.9290492985,5.5632176435,5.7428830964,5.3774129651,5.4061232926,5.8906745318,5.7597310704,5.1989732563,4.6118350848,4.7195002365,4.8176257788,5.2194599571,5.4003340061,5.390827452,5.2352132675,5.2878111264,5.3712475059,5.3213415737,5.3539660801,5.4275544762,5.2878975275,5.3315737245,5.2901731805,5.4788737866,5.6834527681,5.9152732919,6.1493920098,6.333873841,6.6054558759,6.9239101285,6.94557171,7.2819973209,7.6897697786,7.8131019973,7.8002972111,7.8073840275,7.7426040817,7.4834437952,7.2590135257,7.0833738694,6.8469856915,6.6524996029,6.9301648033,6.681053988,6.9030976406,6.5407024235,6.6631707677,6.3237514908,6.1604917461,5.7747048348,5.8333413579,6.4890067164,6.7448677258,6.441405178,7.0344784634,6.8452114296,7.4627881656,7.1882816623,8,5.682979489210311
2022,7.0249308717,7.6702442648,7.285364592,6.6944346861,6.3579318464,6.1040868758,6.2127573594,5.7942439297,5.2182297565,4.8417220313,4.5148120558,4.2863733614,4.1288328191,3.9384183567,3.842159641,3.7512782619,3.7397386963,3.7626087558,3.7939290003,3.9028229685,3.9900454332,4.1741132968,4.3289038271,4.6055963025,4.8881349791,5.4161076596,6.0448290811,6.6145348648,6.2020813997,6.4370656553,6.3621672204,6.0233011415,5.8123764906,5.5342388477,5.0370583171,4.615802651,4.3188721989,4.007608304,3.68154918,3.4481805336,3.1772348753,2.938851479,2.846607672,2.7394058936,2.4318279603,2.3000928147,2.1769704722,2.195147889,2.2190600819,2.2956385735,2.2305601587,2.2817986308,2.5176038532,2.6845314039,2.8423628947,3.0384210795,3.4331786681,3.9185577626,3.996916576,3.5597194081,3.9006570135,4.036931187,4.4081422464,4.7190315928,4.9298558053,5.2965030181,5.6051342277,6.0806617356,6.239490188,6.8800839234,7.420684411,7.7565921231,7.890590377,7.8910911758,7.7045710356,7.522634126,7.3550598939,7.1926949081,6.8861702717,6.7532821142,7.0291012571,6.7801531219,6.939129474,6.5918287024,6.7143449116,6.3671178322,6.1899855257,5.8764999479,5.9715902311,6.5333977453,6.7774217737,7.2895187967,7.8492259929,7.393847876,7.8327486782,7.3758842101,9,5.208387970232992
